"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Afghanistan","Almonds shelled",0.0296505238073522,37171921,3520000,"Import_kg",231,"Almonds; with shell",45,190.15,6773.86,16337.82,5766.77,3.32,0,0,77.52,1,1.16,251.45,2315.44,0.32,1.54,154.16,0,0.24,1.25,0,16.64,102.68,0.67,1261.83,10786.91,3725.3,0,0,1.59,0.94,20.76
"2","Afghanistan","Almonds, with shell",0.0296505238073522,37171921,39790000,"Production_kg/Import_kg",221,"Almonds; with shell",45,2149.47,76571.51,184682.3,65187.47,37.55,0,0.16,876.24,11.28,13.07,2842.4,26173.67,3.67,17.42,1742.62,0.77,2.77,14.1,0.49,188.09,1160.67,7.54,14263.75,121934.99,42110.72,0,0,17.96,10.59,234.66
"3","Afghanistan","Anise, badian, fennel, coriander",0.00195,37171921,30566000,"Production_kg/Import_kg",711,"Anise; badian; fennel; coriander",161,14657.1,666825.84,604310.91,1970643.23,440.66,1,0.49,34294.56,1353.34,195.56,62557.09,1006892.02,39.56,3120.48,19401.38,13.83,12.74,129.82,21.08,23102.06,13283.1,115.02,35514.38,459089.35,110827.47,0,0,420.07,283.87,0
"4","Afghanistan","Apples",0.121111111111111,37171921,259671000,"Production_kg/Import_kg",515,"Apples",119,323.79,1790.48,1699.15,75474.14,83.74,0,0,44.7,4.04,0.37,593.28,8171.32,0.17,33.6,62.62,0.26,0.16,1.08,0.23,935.57,26.92,0.2,224.95,49.03,377.8,0,0,487.42,1.48,57.68
"5","Afghanistan","Apricots",0.03995,37171921,129364000,"Production_kg/Import_kg",526,"Apricots",125,430.34,8711.27,2227.6,99169.14,58.22,1.12,0,148.09,6.92,1.92,2540.79,11905.41,0.68,11.54,207.62,0.2,0.97,6.79,0.47,24.39,87.11,0.67,248.27,1480.92,683.83,0,0,745.75,6.88,74.05
"6","Afghanistan","Apricots, dry",0.03995,37171921,1000,"Import_kg",527,"Apricots",125,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Afghanistan","Asparagus",0.0845294117647059,37171921,257000,"Import_kg",367,"Asparagus",80,0.17,17.64,1.66,24.91,0.18,0,0,0.17,0,0,1.77,19.9,0,0,0.69,0,0,0,0,0.13,0.11,0,0.37,0,0.57,0,0,0.76,0,0.38
"8","Afghanistan","Avocados",0.048,37171921,116000,"Import_kg",572,"Avocados",141,0.95,10.46,91.59,28.22,0,0,0,0.13,0,0,3.32,28.5,0,0,1.1,0,0,0,0,0,0.2,0,15.55,51.64,10.82,0,0,0.5,0,0.25
"9","Afghanistan","Bananas",0.04075,37171921,118039000,"Import_kg",486,"Bananas",117,785.01,9473.86,1811.78,181912.9,82.96,0.29,0.15,76.77,6.23,1.29,2647.93,12184.81,0.72,49.46,197.65,0.42,0.39,6.64,2.72,76.37,220.79,2.1,864.98,202.61,440.28,0,0,567.64,6.46,276.64
"10","Afghanistan","Barley",0.04775,37171921,135503000,"Production_kg/Import_kg",44,"Barley",3,2627.24,69810.46,10623.52,569180.2,5.09,0,0.16,425.6,59.38,19.3,1965.79,63236.19,4.88,163.37,2232.78,2.01,0.99,40.82,2.21,288.57,592.92,10.85,2771.2,1694.78,6366.88,0,0,89.64,13.99,0
"11","Afghanistan","Beans, dry",0.1145,37171921,33180000,"Import_kg",176,"Beans",30,256.88,16598.75,1070.29,45215.85,1.41,0,0.32,109.08,5.68,2.28,911.54,9668.79,0.68,12.18,301.5,0.35,0.17,1.56,0.3,86.06,134.78,1.02,240.97,107,370.73,0,0,9.14,2.98,0
"12","Afghanistan","Beans, green",0.0843965476190476,37171921,10000,"Import_kg",414,"Beans; green",92,0,1.45,0.17,2.39,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Afghanistan","Berries nes",0.109406559397488,37171921,35804000,"Production_kg",558,"Berries; nes",138,49.83,819.39,396.8,11292.71,40.77,0,0,32.26,1.35,0.37,145.56,2535.51,0.1,5.32,19.81,0,0,0.43,0,8.6,14.31,0.83,15.85,36.98,192.14,0,0,75.58,0.44,0.7
"14","Afghanistan","Bran, wheat",0.0374838709677419,37171921,538000,"Import_kg",17,"Wheat Flour",222,13.34,442.95,58.41,2747.14,0,0,0,1.54,0.11,0,6.64,50.71,0,1.25,7.14,0,0,0,0,0.4,1.75,0,5.98,3.36,15.95,0,0,0.45,0,0
"15","Afghanistan","Cabbages and other brassicas",0.08324,37171921,21433000,"Import_kg",358,"Cabbages and other brassicas",78,18.61,1573.2,211.12,3035.76,42.48,0.16,0,85.01,1.2,0.24,197.8,1528.68,0.11,27.23,48.84,0,0,0.54,0.12,17.08,16.91,0.18,23.76,12.42,60.85,0,0,62.93,0.77,19.12
"16","Afghanistan","Cake, copra",0.0131048387096774,37171921,10000,"Import_kg",253,"Coconut Oil",70,1.63,2.16,181.85,0.9,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,177.57,11.91,3.7,0,0,0,0,0
"17","Afghanistan","Cake, cottonseed",0.014,37171921,272000,"Import_kg",332,"Cottonseed Oil",67,46.89,0,5224.94,1.05,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1343.26,976.08,2742.7,0,0,0,0,0
"18","Afghanistan","Cake, groundnuts",0.014,37171921,17000,"Import_kg",245,"Groundnut Oil",64,2.93,0,326.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.75,142.97,112.16,0,0,0,0,0
"19","Afghanistan","Cake, linseed",0.0178426203877423,37171921,128000,"Import_kg",335,"Oilcrops; Other",62,10.06,369,750.46,525.24,0,0,0,6.54,0.33,0,13.9,238.34,0,0.64,10.65,0,0,0,0,0.84,6.42,0,84.82,194.19,509.55,0,0,0.11,0,0.45
"20","Afghanistan","Cake, rapeseed",0.0137773983739837,37171921,86000,"Import_kg",272,"Rape and Mustard Oil",66,15.03,0,1679.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.2,993.35,466.12,0,0,0,0,0
"21","Afghanistan","Cake, soybeans",0.014,37171921,12393000,"Import_kg",238,"Soyabean Oil",63,2129.29,0,237878.77,19.85,0,0,0,3.7,0.69,0.78,0,0,0,3.7,0,0,0,0,0,0.48,0,0,63023.22,55703.8,107865.44,0,0,0,0,0
"22","Afghanistan","Cake, sunflower",0.0244,37171921,480000,"Import_kg",269,"Sunflowerseed Oil",65,47.35,0,5268.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555.24,1559.79,3022.99,0,0,0,0,0
"23","Afghanistan","Carrots and turnips",0.0830718954248366,37171921,73000,"Import_kg",426,"Carrots and turnips",96,0,3.1,0.55,13.87,0,0,0,0.16,0,0,0.69,4.8,0,0.11,0.28,0,0,0,0,0.25,0,0,0,0,0.18,0,0,0.21,0,0
"24","Afghanistan","Cashew nuts, shelled",0.0289438420348059,37171921,1795000,"Import_kg",230,"Cashew nuts; with shell",43,90.8,3065.54,7021.63,4034.34,0.27,0,0,6.72,1.01,0.86,108.53,443.79,0.35,15.42,78.5,0,0,0.22,0,0,50.5,0.22,1298.5,3970.23,1308.84,0,0,1.66,0.38,4.67
"25","Afghanistan","Cauliflowers and broccoli",0.103835520801038,37171921,4151000,"Import_kg",393,"Cauliflowers and broccoli",84,3.08,333.13,34.77,437.6,8.7,0,0,4.71,0.12,0,31.86,204.34,0,3.22,11.68,0,0,0,0,6.81,1.94,0,6.69,2.02,3.47,0,0,9.31,0.12,5.16
"26","Afghanistan","Cereal preparations nes",0.0486257263475995,37171921,3550000,"Import_kg",113,"Cereals; nes",13,68.4,2558.02,903.96,14433.87,0.21,0,0,28.52,4.36,0.75,83.86,620.07,0.16,1.53,74.76,0,0,0.29,0,2.57,36.14,1.81,88.18,115.68,210.35,0,0,2.14,0.77,0
"27","Afghanistan","Cherries",0.1289,37171921,22000,"Import_kg",531,"Cherries",127,0,0.5,0,4.78,0,0,0,0,0,0,0.11,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Afghanistan","Chestnut",0.059,37171921,10000,"Import_kg",220,"Chestnuts",44,0.12,2.32,1.33,23.74,0,0,0,0,0,0,0.3,5.61,0,0,0,0,0,0,0,0,0,0,0.38,0.7,0.8,0,0,0,0,0
"29","Afghanistan","Chick peas",0.04575,37171921,5641000,"Import_kg",191,"Chick peas",33,116.84,6449.59,1669.74,19343.7,0.7,0,0.12,45.23,2.3,1.14,268.35,2532,0.3,6.65,102.96,0.13,0,0.58,0.18,48.64,32.84,3.73,204.5,452.28,882.5,0,0,3.48,0.98,0
"30","Afghanistan","Chillies and peppers, dry",4e-04,37171921,312000,"Import_kg",689,"Pimento",156,504.57,21503.67,18729.94,86110.97,158.29,1.42,0.11,435.33,15.32,5.54,3823.21,46625.52,1.38,952.13,390.13,0.59,0.91,11.58,3.62,108.07,322.1,4.57,5560.65,3570.71,12937.08,0,0,58.81,12.56,0
"31","Afghanistan","Chillies and peppers, green",0.0664142191142191,37171921,305000,"Import_kg",401,"Chillies and peppers; green",88,0.48,22,8.21,85.34,1.42,0,0,0.34,0,0,3.48,39.72,0,0,1.26,0,0,0,0,0,0.45,0,0.52,0.22,2.25,0,0,1.09,0,0.2
"32","Afghanistan","Chocolate products nes",0.0115,37171921,2883000,"Import_kg",666,"Cocoa Beans",153,153.77,10882.48,27888.7,39049.04,0,0,0,72.34,3.42,4.59,676.78,24953.62,2.55,5.56,395.54,0.11,0.13,1.25,0,8.09,336.54,2.59,15523.51,10718.25,580,0,0,2.62,2.68,0
"33","Afghanistan","Cider etc",0.0683571428571429,37171921,82000,"Import_kg",517,"Fruit juice; nes",149,0.16,0.8,0.44,39.26,0.24,0,0,0,0,0,0.35,0.92,0,0,0,0,0,0,0,0,0,0,0,0.11,0.2,0,0,0.28,0,0
"34","Afghanistan","Cinnamon (cannella)",0.00115555555555556,37171921,66000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Afghanistan","Cloves",0.0013,37171921,58000,"Import_kg",698,"Cloves",157,28.77,518.91,1120.23,5422.3,0,0,0,67.29,1.03,0.28,122.42,2574.52,0,33.25,9.76,0,0,0,0,4.49,31.09,7.22,474.34,167.19,432.81,0,0,4,0.51,0
"36","Afghanistan","Cocoa, powder & cake",0.0115,37171921,12000,"Import_kg",665,"Cocoa Beans",153,0.64,45.3,116.08,162.54,0,0,0,0.3,0,0,2.82,103.87,0,0,1.65,0,0,0,0,0,1.4,0,64.61,44.61,2.41,0,0,0,0,0
"37","Afghanistan","Coconuts",0.04,37171921,6181000,"Import_kg",249,"Coconuts - Incl Copra",58,131.99,1394.72,11699.68,5230.8,1,0,0,7.76,1.19,0.69,135.9,2683.6,0.21,8.8,43.75,0,0,0.28,0,5.03,12.05,1.56,12408.34,1106.81,283.93,0,0,22.05,0.43,17.25
"38","Afghanistan","Coconuts, desiccated",0.04,37171921,58000,"Import_kg",250,"Coconuts - Incl Copra",58,1.24,13.09,109.79,49.08,0,0,0,0,0,0,1.28,25.18,0,0,0.41,0,0,0,0,0,0.11,0,116.43,10.39,2.66,0,0,0.21,0,0.16
"39","Afghanistan","Coffee, extracts",0.00312,37171921,435000,"Import_kg",659,"Coffee substitutes; cont. coffee",112,135.03,5114.17,1215.25,29413.49,0,0,0,41.87,2.79,0.19,916.31,8739.28,0,31.13,137.33,0.15,0,6.63,0.28,5.03,91.52,0.41,226.17,133.53,459.47,0,0,2.27,3.05,0
"40","Afghanistan","Coffee, green",0.00312,37171921,9000,"Import_kg",656,"Coffee",152,1.44,87.72,115.77,280.92,0,0,0,0.8,0,0,17.27,0,0,0.28,2.21,0,0,0,0,0.33,1.45,0,0.26,1.93,0.13,0,0,0,0,0
