"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Antigua and Barbuda","Bananas",0.04075,96286,1842000,"Import_kg",486,"Bananas",117,4729.23,57074.64,10914.95,1095921.53,499.81,1.72,0.88,462.51,37.5,7.75,15952.26,73406.52,4.33,297.96,1190.72,2.51,2.37,39.97,16.38,460.07,1330.14,12.68,5211.01,1220.6,2652.45,0,0,3419.7,38.91,1666.58
"2","Antigua and Barbuda","Beans, green",0.0843965476190476,96286,27000,"Import_kg",414,"Beans; green",92,15.85,1515.02,180.89,2486.17,7.62,0,0,20.92,0.72,0.15,96.71,744.49,0,5.51,35.42,0,0.33,0.29,0,2.69,9.97,0,16.17,6.09,31.23,0,0,27.62,0.38,4.12
"3","Antigua and Barbuda","Cabbages and other brassicas",0.08324,96286,242000,"Import_kg",358,"Cabbages and other brassicas",78,81.12,6857.55,920.28,13232.82,185.16,0.7,0.19,370.54,5.23,1.03,862.22,6663.5,0.47,118.68,212.88,0.18,0.31,2.34,0.54,74.44,73.72,0.77,103.59,54.12,265.24,0,0,274.29,3.34,83.34
"4","Antigua and Barbuda","Carrots and turnips",0.0830718954248366,96286,236000,"Import_kg",426,"Carrots and turnips",96,89.21,3863.51,690.86,17310.17,80.77,1.8,0,195.72,4.58,0.76,858.69,5991.61,0.17,139.28,351.49,0.15,0.27,2.29,0.54,308.62,35.9,0.42,95.4,43.27,223.25,0,0,263.33,3.7,67.86
"5","Antigua and Barbuda","Chillies and peppers, green",0.0664142191142191,96286,260000,"Import_kg",401,"Chillies and peppers; green",88,159.34,7239.14,2701.97,28086.2,468.87,0.51,0.12,112.39,6.61,1.27,1146.26,13070.29,0.63,28.84,414.22,0.51,0.49,4.83,1.44,32.83,146.68,0.96,169.55,72.54,741.91,0,0,358.89,3.59,67.31
"6","Antigua and Barbuda","Cucumbers and gherkins",0.0675,96286,11000,"Import_kg",397,"Cucumbers and gherkins",86,2.36,109.22,20.01,428.25,1.67,0,0,2.71,0,0,24.13,110.41,0,1.12,6.14,0,0,0,0,1.02,2.12,0,5.67,0.42,4.4,0,0,16.21,0,2.62
"7","Antigua and Barbuda","Eggplants (aubergines)",0.082,96286,28000,"Import_kg",399,"Eggplants (aubergines)",87,9.67,409.34,256.64,1876.23,2.34,0,0,6.07,0.22,0,71.22,735.11,0,1.9,15.53,0,0,0.46,0,10.44,4.55,0,9.58,4.61,20.57,0,0,32.54,0.42,7.27
"8","Antigua and Barbuda","Lemons and limes",0.0785,96286,135000,"Import_kg",497,"Lemons; Limes",114,67.39,1353.96,745.74,14844.88,73.55,0,0,67.56,1.04,0.34,374.71,2375.49,0.34,8.11,35.05,0,0,0.81,0.1,9.11,17.86,0,60.13,23.81,121.45,0,0,159.2,0.65,62.51
"9","Antigua and Barbuda","Maize",0.0869363057324841,96286,55000,"Import_kg",56,"Maize",4,232.17,5678.81,2248.98,47420.62,0.45,0,0,13.71,2.14,1.18,193.57,3402.79,0.12,6.14,143.82,0.18,0,1.69,0.23,0,72.06,0.16,388.81,846.12,1587.27,0,0,8.19,0.82,0
"10","Antigua and Barbuda","Mangoes, mangosteens, guavas",0.09628125,96286,3000,"Import_kg",571,"Mangos; mangosteens; guavas",140,1.99,24.31,8,446.45,2.8,0,0,0.57,0,0,5.82,86.29,0,0.34,0.62,0,0,0,0,0.25,1.47,0,4.94,2.44,5.45,0,0,2.69,0,0.86
"11","Antigua and Barbuda","Melons, other (inc.cantaloupes)",0.179843076923077,96286,178000,"Import_kg",568,"Other melons (inc. cantaloupes)",111,29.29,556.32,156.33,6613.82,23.87,0,0,15.69,0.55,0.12,262.89,704.87,0,12.49,16.87,0,0,0.49,0,7.81,11.1,0,39.06,2.74,61.33,0,0,95.06,0.49,49
"12","Antigua and Barbuda","Onions, dry",0.093304347826087,96286,510000,"Import_kg",403,"Onions",77,224.16,6533.5,797.84,47428.26,50.47,0,0,235.3,4.04,2.24,733.45,8061.08,0.16,57.02,296.09,0.19,0.21,1.37,0.62,34.63,67.74,0.37,193.01,138.14,316.01,0,0,512.15,2.95,45.41
"13","Antigua and Barbuda","Pineapples",0.1096,96286,206000,"Import_kg",574,"Pineapples",120,92.28,897.39,414.74,21574.18,43.43,0,0,69.99,1.17,0.18,313.19,1625.42,0.22,9.05,18.72,0.13,0,0.61,0.19,318.67,23.1,1.81,38.07,51.73,117.12,0,0,170.05,0.63,80.03
"14","Antigua and Barbuda","Sweet potatoes",0.10804347826087,96286,82000,"Import_kg",122,"Sweet Potatoes",19,86.51,1032.14,189.94,19902.95,18.92,0.3,0,26.84,1.13,0.2,204.17,1767.21,0,15.1,32.04,0,0,0.59,0.19,9.7,15.69,0.1,62.53,10.77,108.78,0,0,55.8,0.8,17.93
