"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Armenia","Apples",0.121111111111111,2951745,368000,"Import_kg",515,"Apples",119,5.78,31.95,30.32,1346.97,1.49,0,0,0.8,0,0,10.59,145.83,0,0.6,1.12,0,0,0,0,16.7,0.48,0,4.01,0.87,6.74,0,0,8.7,0,1.03
"2","Armenia","Apricots",0.03995,2951745,4000,"Import_kg",526,"Apricots",125,0.17,3.39,0.87,38.62,0,0,0,0,0,0,0.99,4.64,0,0,0,0,0,0,0,0,0,0,0,0.58,0.27,0,0,0.29,0,0
"3","Armenia","Barley",0.04775,2951745,23322000,"Import_kg",44,"Barley",3,5694.46,151312.06,23026.16,1233680.88,11.03,0,0.35,922.48,128.71,41.83,4260.8,137062.52,10.58,354.1,4839.48,4.35,2.14,88.48,4.78,625.47,1285.13,23.52,6006.48,3673.39,13800.02,0,0,194.3,30.31,0
"4","Armenia","Beans, dry",0.1145,2951745,434000,"Import_kg",176,"Beans",30,42.31,2734.17,176.3,7448.01,0.23,0,0,17.97,0.94,0.38,150.15,1592.66,0.11,2.01,49.66,0,0,0.26,0,14.18,22.2,0.17,39.69,17.63,61.07,0,0,1.51,0.49,0
"5","Armenia","Cabbages and other brassicas",0.08324,2951745,2454000,"Import_kg",358,"Cabbages and other brassicas",78,26.83,2268.36,304.41,4377.2,61.25,0.23,0,122.57,1.73,0.34,285.21,2204.17,0.15,39.26,70.42,0,0.1,0.77,0.18,24.63,24.39,0.25,34.27,17.9,87.74,0,0,90.73,1.1,27.57
"6","Armenia","Carrots and turnips",0.0830718954248366,2951745,3607000,"Import_kg",426,"Carrots and turnips",96,44.47,1926.2,344.44,8630.18,40.27,0.9,0,97.58,2.28,0.38,428.11,2987.18,0,69.44,175.24,0,0.14,1.14,0.27,153.87,17.9,0.21,47.56,21.57,111.31,0,0,131.29,1.85,33.83
"7","Armenia","Cauliflowers and broccoli",0.103835520801038,2951745,262000,"Import_kg",393,"Cauliflowers and broccoli",84,2.45,264.79,27.64,347.83,6.91,0,0,3.75,0,0,25.33,162.42,0,2.56,9.28,0,0,0,0,5.41,1.54,0,5.32,1.6,2.76,0,0,7.4,0,4.1
"8","Armenia","Cherries",0.1289,2951745,588000,"Import_kg",531,"Cherries",127,7.05,168.19,26.79,1609.29,1.93,0,0,4.27,0,0,38.4,162.27,0,0.23,3.62,0,0,0.11,0,0.94,1.7,0,5.87,7.26,8.04,0,0,12.73,0.11,1.24
"9","Armenia","Cucumbers and gherkins",0.0675,2951745,1595000,"Import_kg",397,"Cucumbers and gherkins",86,11.18,516.58,94.65,2025.59,7.91,0,0,12.81,0.36,0.15,114.12,522.25,0,5.31,29.04,0,0,0.15,0,4.8,10.01,0,26.82,2,20.81,0,0,76.66,0.33,12.41
"10","Armenia","Figs",0.0504615384615385,2951745,497000,"Import_kg",569,"Figs",139,18.07,338.34,70.07,4159.91,2.82,0,0,15.59,0.29,0.13,73.8,734.07,0,0.74,8.09,0,0,0.14,0,1.57,5.67,0,15.57,17.35,37.15,0,0,27.95,0.25,2.5
"11","Armenia","Fruit, fresh nes",0.107099201828105,2951745,5402000,"Import_kg",619,"Fresh fruit; nes",147,153.8,2609.84,1301.59,32933.17,66.65,0,0,91.66,6.23,0.43,476.02,5934.17,0.19,19.08,71.49,0.11,0,1.71,0.15,119.32,54.53,0.36,209.16,144.11,199.17,0,0,129.35,1.56,47.56
"12","Armenia","Garlic",0.00732,2951745,55000,"Import_kg",406,"Garlic",90,31.05,1293.39,63.72,6502.89,3.38,0,0,13.08,0.35,0.3,112.38,404.1,0.12,4.43,51.62,0,0,0.14,0.26,5.91,9.93,0.34,22.78,2.67,60.96,0,0,16.65,0.37,3.31
"13","Armenia","Grapes",0.1235,2951745,2506000,"Import_kg",560,"Grapes",122,42.29,369.03,162.8,10040.87,3.53,0,0,10.28,0.42,0,124.56,1453.45,0,2.21,13.98,0,0,0.15,0,3.85,18.56,0.47,82.03,9.4,64.16,0,0,57.23,0.33,9.62
"14","Armenia","Hazelnuts, with shell",0.03,2951745,23000,"Import_kg",225,"Hazelnuts; with shell",49,15.38,405.4,1430.48,542.84,0,0,0,4.93,0.12,0.11,17.33,198.7,0,0.17,8.28,0,0,0.1,0,1.18,4.23,0.16,96.93,696.76,557.39,0,0,0.16,0,1.52
"15","Armenia","Lentils",0.0454634146341463,2951745,2709000,"Import_kg",201,"Lentils",36,662.77,46641.67,2110.79,113285.96,3.46,0,0.55,139.14,18.88,5.85,1683.58,23265.32,2.35,23.16,658.71,0.79,0.47,4.41,1.23,399.09,154.77,2.42,286.65,356.3,884.18,0,0,23.2,5.46,0
"16","Armenia","Linseed",0.0178426203877423,2951745,220000,"Import_kg",333,"Oilcrops; Other",62,217.84,7986.94,16243.4,11368.6,0.96,0,0,141.55,7.18,1.81,300.76,5158.84,0.5,13.81,230.59,0.21,0.13,1.32,0.22,18.28,139,1.22,1835.98,4203.2,11028.96,0,0,2.4,1.82,9.69
