"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Australia","Almonds, with shell",0.0296505238073522,24898152,146410000,"Production_kg",221,"Almonds; with shell",45,11807.97,420641.31,1014541.83,358103.72,206.26,0,0.87,4813.56,61.94,71.79,15614.57,143783.57,20.14,95.69,9573.01,4.24,15.21,77.43,2.72,1033.26,6376.06,41.44,78357.09,669843.03,231332.89,0,0,98.64,58.19,1289.09
"2","Australia","Anise, badian, fennel, coriander",0.00195,24898152,1389000,"Production_kg",711,"Anise; badian; fennel; coriander",161,994.4,45240.14,40998.88,133696.35,29.9,0,0,2326.68,91.82,13.27,4244.12,68311.6,2.68,211.71,1316.27,0.94,0.86,8.81,1.43,1567.34,901.18,7.8,2409.44,31146.46,7518.98,0,0,28.5,19.26,0
"3","Australia","Apples",0.121111111111111,24898152,265150000,"Production_kg",515,"Apples",119,493.6,2729.52,2590.29,115057.32,127.66,0,0,68.15,6.17,0.56,904.43,12456.85,0.25,51.22,95.47,0.4,0.25,1.65,0.35,1426.24,41.03,0.31,342.93,74.74,575.95,0,0,743.05,2.26,87.93
"4","Australia","Apricots",0.03995,24898152,8377000,"Production_kg",526,"Apricots",125,41.6,842.18,215.36,9587.37,5.63,0.11,0,14.32,0.67,0.19,245.64,1150.98,0,1.12,20.07,0,0,0.66,0,2.36,8.42,0,24,143.17,66.11,0,0,72.1,0.67,7.16
"5","Australia","Asparagus",0.0845294117647059,24898152,7680000,"Production_kg",367,"Asparagus",80,7.39,787.16,74.02,1111.15,7.91,0,0,7.66,0.4,0.2,79.09,887.95,0,1.69,30.59,0,0,0.33,0,5.84,5.11,0,16.42,1.82,25.54,0,0,33.88,0.24,17.15
"6","Australia","Avocados",0.048,24898152,79533000,"Production_kg",572,"Avocados",141,969.46,10703.97,93750.73,28882.1,85.13,0.23,0.39,136.85,6.39,3.21,3394.22,29170.48,1.4,43.9,1129.66,0.42,0.93,9.22,2.03,94.5,201.31,0.94,15915.1,52854.57,11073.69,0,0,511.71,7.81,252.88
"7","Australia","Bananas",0.04075,24898152,310160000,"Production_kg",486,"Bananas",117,3079.51,37165.1,7107.45,713627.62,325.46,1.12,0.57,301.17,24.42,5.04,10387.58,47799.88,2.82,194.02,775.36,1.63,1.55,26.03,10.67,299.58,866.14,8.25,3393.24,794.81,1727.19,0,0,2226.79,25.34,1085.22
"8","Australia","Barley",0.04775,24898152,8818946000,"Production_kg",44,"Barley",3,255278.92,6783223.98,1032247.98,55305134.18,494.52,0.19,15.58,41354.34,5769.89,1875.22,191008.82,6144426.19,474.25,15874.13,216950.99,195.09,95.95,3966.46,214.37,28039.35,57611.72,1054.57,269266.81,164675.57,618646.05,0,0,8710.2,1358.94,0
"9","Australia","Beans, dry",0.1145,24898152,73470000,"Production_kg",176,"Beans",30,849.21,54872.77,3538.21,149476.27,4.68,0,1.05,360.58,18.79,7.53,3013.4,31963.46,2.25,40.25,996.72,1.16,0.57,5.15,1,284.52,445.57,3.36,796.62,353.74,1225.57,0,0,30.21,9.85,0
"10","Australia","Beans, green",0.0843965476190476,24898152,44092000,"Production_kg",414,"Beans; green",92,100.11,9567.74,1142.37,15700.86,48.09,0,0.13,132.11,4.56,0.97,610.74,4701.63,0.11,34.8,223.69,0.27,2.09,1.84,0.29,17,62.95,0.18,102.12,38.47,197.24,0,0,174.4,2.38,26.02
"11","Australia","Berries nes",0.109406559397488,24898152,5032000,"Production_kg",558,"Berries; nes",138,10.46,171.93,83.26,2369.49,8.55,0,0,6.77,0.28,0,30.54,532.01,0,1.12,4.16,0,0,0,0,1.8,3,0.17,3.33,7.76,40.32,0,0,15.86,0,0.15
"12","Australia","Blueberries",0.134028846153846,24898152,6159000,"Production_kg",552,"Blueberries",136,10.52,136.58,60.91,2674.32,1.79,0,0,1.11,0,0,14.21,442.95,0,0.18,2.21,0,0,0,0,1.11,1.11,0,5.17,8.67,26.95,0,0,15.54,0,0.92
"13","Australia","Broad beans, horse beans, dry",0.052,24898152,3.27e+08,"Production_kg",181,"Broad beans; horse beans; dry",32,8448.38,606105.64,40116.12,1389078.61,68.78,0.14,10.68,2502.82,203.95,88.2,30136.34,489138.87,20.76,460.51,9634.7,9.77,7.3,66.53,9.29,2419.6,4836.67,41.07,6364.7,7614.91,15242.44,0,0,263.33,75.89,681.93
"14","Australia","Cabbages and other brassicas",0.08324,24898152,80619000,"Production_kg",358,"Cabbages and other brassicas",78,104.51,8834.6,1185.6,17047.88,238.55,0.9,0.24,477.36,6.73,1.33,1110.8,8584.6,0.6,152.9,274.25,0.24,0.4,3.01,0.7,95.91,94.98,0.99,133.45,69.72,341.71,0,0,353.37,4.3,107.36
"15","Australia","Carrots and turnips",0.0830718954248366,24898152,314557000,"Production_kg",426,"Carrots and turnips",96,459.81,19914.31,3561.03,89224.64,416.32,9.26,0.33,1008.81,23.59,3.93,4426.1,30883.53,0.89,717.9,1811.74,0.78,1.42,11.79,2.77,1590.78,185.03,2.17,491.73,223.05,1150.75,0,0,1357.31,19.08,349.79
"16","Australia","Cauliflowers and broccoli",0.103835520801038,24898152,107128000,"Production_kg",393,"Cauliflowers and broccoli",84,118.78,12835.65,1339.8,16860.78,335.1,2.24,0.25,181.65,4.5,1.74,1227.72,7873.06,0.18,124.04,450.07,0.45,0.45,2.97,0.74,262.44,74.59,0.76,257.95,77.69,133.63,0,0,358.9,4.48,198.9
"17","Australia","Cherries",0.1289,24898152,15941000,"Production_kg",531,"Cherries",127,22.64,540.58,86.09,5172.32,6.22,0,0,13.71,0.25,0,123.43,521.54,0,0.75,11.62,0,0,0.34,0,3.03,5.46,0,18.87,23.34,25.83,0,0,40.92,0.34,3.97
"18","Australia","Chick peas",0.04575,24898152,281200000,"Production_kg",191,"Chick peas",33,8695.83,479997.84,124267.35,1439616.09,51.84,0,9.17,3366.32,171.03,85.11,19971.27,188439.23,22.66,495.21,7662.65,9.76,4.34,43.5,13.21,3620.26,2443.95,277.92,15219.14,33659.86,65678.07,0,0,259.17,73.27,0
"19","Australia","Chillies and peppers, green",0.0664142191142191,24898152,44302000,"Production_kg",401,"Chillies and peppers; green",88,105,4770.16,1780.44,18507.13,308.96,0.33,0,74.06,4.35,0.84,755.32,8612.54,0.42,19,272.95,0.34,0.32,3.18,0.95,21.63,96.66,0.63,111.72,47.8,488.87,0,0,236.48,2.37,44.35
"20","Australia","Cucumbers and gherkins",0.0675,24898152,14952000,"Production_kg",397,"Cucumbers and gherkins",86,12.42,574.1,105.19,2251.13,8.79,0,0,14.23,0.4,0.17,126.83,580.4,0,5.91,32.27,0,0,0.17,0,5.34,11.12,0,29.8,2.22,23.13,0,0,85.19,0.37,13.79
"21","Australia","Currants",0.038,24898152,218000,"Production_kg",550,"Currants",135,2.89,41.47,5.82,688.82,2.33,0,0,1.57,0,0,6.88,61.06,0,0,1.64,0,0,0,0,0.18,0.43,0,0.59,0.99,3.08,0,0,1.53,0,0
"22","Australia","Figs",0.0504615384615385,24898152,41000,"Production_kg",569,"Figs",139,0.18,3.31,0.69,40.68,0,0,0,0.15,0,0,0.72,7.18,0,0,0,0,0,0,0,0,0,0,0.15,0.17,0.36,0,0,0.27,0,0
"23","Australia","Fruit, citrus nes",0.125066666666667,24898152,537000,"Production_kg",512,"Citrus; Other",116,1.11,18.88,5.43,255.23,0.61,0,0,1.06,0,0,3.21,112.09,0,0.11,0.16,0,0,0,0,0.14,0.34,0,1.78,2.66,2.95,0,0,1.44,0,0.12
"24","Australia","Fruit, tropical fresh nes",0.1073859375,24898152,7581000,"Production_kg",603,"Fruit; tropical fresh; nes",146,26.56,419.55,339.01,5887.58,30.46,0,0,9.18,0.5,0.11,71.21,824.23,0,2.78,10.19,0,0,0.3,0,2.25,7.98,0,211.25,467.22,106.82,0,0,21.62,0.22,11.19
"25","Australia","Grapefruit (inc. pomelos)",0.15,24898152,5698000,"Production_kg",507,"Grapefruit",115,5.52,107.45,23.19,1225.24,6,0,0,2.83,0,0,29.01,154.26,0,1.12,3.18,0,0,0,0,1.17,1.17,0,1.83,1.75,3.36,0,0,13.66,0,6.83
"26","Australia","Grapes",0.1235,24898152,1553602000,"Production_kg",560,"Grapes",122,3108.22,27122.7,11965.22,737974.87,259.64,0.22,0.15,755.21,31.14,3.61,9155.12,106824.13,4.91,162.52,1027.34,2.18,6.77,11.01,4.95,282.94,1364.17,34.89,6029.31,690.51,4715.66,0,0,4206.18,23.95,707.35
"27","Australia","Groundnuts, with shell",0.028,24898152,14161000,"Production_kg",242,"Groundnuts (Shelled Eq)",54,1114.47,47863.85,89185.05,34586.7,2.88,0,0.24,121.68,7.17,5.66,1414.67,16878.36,2.21,20.84,793.51,1.55,0.34,29.11,1.1,280.82,380.93,2.98,12754.38,49615.93,31602.58,0,0,17.15,5.56,0
"28","Australia","Kiwi fruit",0.145,24898152,2529000,"Production_kg",592,"Kiwi fruit",144,4.3,73.9,47.28,962.85,6.36,0,0,2.24,0,0,23.32,175.13,0,0.31,3.11,0,0,0,0,0.45,1.09,0,4.39,4.27,16.21,0,0,5.78,0,1.75
"29","Australia","Lemons and limes",0.0785,24898152,33649000,"Production_kg",497,"Lemons; Limes",114,64.96,1305.09,718.82,14309.06,70.9,0,0,65.12,1,0.32,361.19,2289.74,0.33,7.81,33.78,0,0,0.78,0,8.78,17.22,0,57.96,22.95,117.07,0,0,153.46,0.63,60.26
"30","Australia","Lentils",0.0454634146341463,24898152,533755000,"Production_kg",201,"Lentils",36,15481.22,1089478.75,49304.75,2646188.51,80.83,0.13,12.73,3250.21,441.04,136.54,39325.92,543442.66,54.92,540.92,15386.51,18.47,11.08,103.01,28.76,9322.22,3615.09,56.42,6695.78,8322.57,20653.18,0,0,541.94,127.5,0
"31","Australia","Lettuce and chicory",0.0865961538461538,24898152,133525000,"Production_kg",372,"Lettuce and chicory",81,107.02,8877.58,1536.98,17282.82,68.73,1.11,0.47,329,7.21,2.53,1590.05,10970.35,0.44,156.95,417.85,0.37,0.48,2.56,0.52,199.72,84.5,1.44,226.04,45.93,519.69,0,0,579.48,6.48,105.28
"32","Australia","Linseed",0.0178426203877423,24898152,6e+06,"Production_kg",333,"Oilcrops; Other",62,704.34,25823.83,52519.11,36757.6,3.12,0,0,457.67,23.21,5.85,972.43,16679.86,1.63,44.64,745.57,0.66,0.41,4.27,0.72,59.09,449.41,3.95,5936.21,13590.04,35659.45,0,0,7.77,5.87,31.33
"33","Australia","Lupins",0.042,24898152,474629000,"Production_kg",210,"Lupins",39,16838.82,1341999.86,540869.71,1832300.14,125.27,0,16.11,4780.37,222.13,215.59,45977.71,857826.92,46.39,680.82,19881.16,9.34,14.52,117.51,16.2,0,8986.76,108.11,52468.14,178827.41,110700.52,0,0,366.17,143.73,0
"34","Australia","Maize",0.0869363057324841,24898152,327206000,"Production_kg",56,"Maize",4,5341.44,130650.66,51741.72,1090992.72,10.37,0.33,0.35,315.41,49.19,27.13,4453.42,78286.98,2.73,141.27,3308.84,4.03,1.79,38.99,5.36,0,1657.8,3.67,8945.22,19466.35,36517.83,0,0,188.37,18.98,0
"35","Australia","Maize, green",0.101,24898152,122068000,"Production_kg",446,"Maize; green",98,576.43,18670.28,6098.03,122445.98,40.29,0,0.2,59.78,5.9,2.74,1228.1,7766.64,0.26,142.55,772.5,0.64,0.35,6.93,0.45,111.65,186.88,0.79,1189.27,1961.08,2778.19,0,0,330.96,3.9,228.15
"36","Australia","Mangoes, mangosteens, guavas",0.09628125,24898152,49594000,"Production_kg",571,"Mangos; mangosteens; guavas",140,126.97,1554.18,511.31,28541.55,178.98,0.27,0,36.57,1.09,0.28,371.81,5516.82,0.15,21.92,39.61,0,0.11,2.39,0.24,15.72,94.13,0.11,316.11,155.99,348.39,0,0,171.71,1.23,54.82
"37","Australia","Melons, other (inc.cantaloupes)",0.179843076923077,24898152,202135000,"Production_kg",568,"Other melons (inc. cantaloupes)",111,128.63,2443.08,686.53,29044.89,104.81,0.23,0,68.89,2.41,0.51,1154.51,3095.45,0.18,54.83,74.09,0.13,0.1,2.14,0.43,34.31,48.75,0.15,171.54,12.04,269.35,0,0,417.44,2.16,215.18
"38","Australia","Millet",0.0477,24898152,36375000,"Production_kg",79,"Millet",7,1051.5,28374.35,11525.42,215660.86,0.84,0,0.1,182.48,22.03,6.95,794,17055.62,3.12,33.11,770.49,0.9,0.37,7.35,2.94,2290.97,403.53,3.34,2214.4,2367.54,6536,0,0,33.18,7.17,0
