"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Austria","Almonds, with shell",0.0296505238073522,8891388,173000,"Import_kg",221,"Almonds; with shell",45,39.07,1391.83,3356.93,1184.9,0.68,0,0,15.93,0.2,0.24,51.67,475.75,0,0.32,31.68,0,0,0.26,0,3.42,21.1,0.14,259.27,2216.39,765.44,0,0,0.33,0.19,4.27
"2","Austria","Anise, badian, fennel, coriander",0.00195,8891388,2619000,"Import_kg",711,"Anise; badian; fennel; coriander",161,5250.37,238866.23,216472.52,705911.63,157.85,0.36,0.18,12284.78,484.79,70.05,22408.81,360682.63,14.17,1117.8,6949.84,4.95,4.56,46.5,7.55,8275.48,4758.19,41.2,12721.74,164452.15,39699.93,0,0,150.47,101.69,0
"3","Austria","Apples",0.121111111111111,8891388,96720000,"Import_kg",515,"Apples",119,504.19,2788.1,2645.88,117526.68,130.4,0,0,69.61,6.3,0.57,923.84,12724.2,0.26,52.32,97.52,0.41,0.25,1.68,0.36,1456.85,41.92,0.31,350.29,76.35,588.31,0,0,758.99,2.31,89.82
"4","Austria","Apricots",0.03995,8891388,15404000,"Import_kg",526,"Apricots",125,214.23,4336.58,1108.92,49367.6,28.98,0.56,0,73.72,3.44,0.95,1264.84,5926.66,0.34,5.75,103.36,0.1,0.48,3.38,0.23,12.14,43.37,0.33,123.59,737.22,340.42,0,0,371.24,3.43,36.86
"5","Austria","Artichokes",0.1,8891388,105000,"Import_kg",366,"Artichokes",79,0.66,30.9,2.07,137.02,0,0,0,0.98,0,0,4.04,29.13,0,1.25,1.16,0,0,0,0,0.41,0.71,0,0.51,0,0.73,0,0,1.02,0,0.71
"6","Austria","Asparagus",0.0845294117647059,8891388,3078000,"Import_kg",367,"Asparagus",80,8.29,883.43,83.08,1247.03,8.88,0,0,8.6,0.45,0.22,88.77,996.54,0,1.89,34.33,0,0,0.37,0,6.55,5.73,0,18.43,2.05,28.67,0,0,38.02,0.27,19.25
"7","Austria","Avocados",0.048,8891388,10582000,"Import_kg",572,"Avocados",141,361.2,3988.07,34929.52,10760.85,31.72,0,0.14,50.99,2.38,1.2,1264.61,10868.3,0.52,16.36,420.89,0.16,0.35,3.43,0.76,35.21,75,0.35,5929.63,19692.48,4125.82,0,0,190.65,2.91,94.22
"8","Austria","Bananas",0.04075,8891388,140037000,"Import_kg",486,"Bananas",117,3893.47,46988.32,8986.04,902248.59,411.48,1.42,0.72,380.77,30.88,6.38,13133.15,60434.01,3.57,245.3,980.3,2.07,1.95,32.91,13.49,378.77,1095.07,10.44,4290.11,1004.89,2183.71,0,0,2815.36,32.04,1372.06
"9","Austria","Barley",0.04775,8891388,226025000,"Import_kg",44,"Barley",3,18321.13,486825.71,74083.48,3969198.3,35.49,0,1.12,2967.96,414.1,134.58,13708.53,440979.78,34.04,1139.27,15570.37,14,6.89,284.67,15.39,2012.36,4134.74,75.69,19325.03,11818.61,44399.65,0,0,625.12,97.53,0
"10","Austria","Beans, dry",0.1145,8891388,1636000,"Import_kg",176,"Beans",30,52.95,3421.59,220.63,9320.58,0.29,0,0,22.48,1.17,0.47,187.9,1993.08,0.14,2.51,62.15,0,0,0.32,0,17.74,27.78,0.21,49.67,22.06,76.42,0,0,1.88,0.61,0
