"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Austria","Apples",0.121111111111111,8891388,239210000,"Production_kg",515,"Apples",119,1246.98,6895.58,6543.86,290669.53,322.52,0.12,0,172.16,15.58,1.42,2284.86,31469.76,0.64,129.4,241.18,1.01,0.63,4.16,0.9,3603.1,103.67,0.78,866.34,188.82,1455.01,0,0,1877.16,5.72,222.14
"2","Austria","Apricots",0.03995,8891388,11510000,"Production_kg",526,"Apricots",125,160.07,3240.33,828.6,36887.89,21.66,0.41,0,55.09,2.57,0.71,945.1,4428.45,0.25,4.29,77.23,0,0.36,2.53,0.17,9.07,32.4,0.25,92.35,550.86,254.37,0,0,277.4,2.56,27.54
"3","Austria","Asparagus",0.0845294117647059,8891388,3320000,"Production_kg",367,"Asparagus",80,8.95,952.88,89.61,1345.08,9.58,0,0,9.28,0.48,0.24,95.75,1074.89,0,2.04,37.03,0,0,0.4,0,7.07,6.18,0,19.88,2.21,30.92,0,0,41.01,0.29,20.76
"4","Austria","Barley",0.04775,8891388,828130000,"Production_kg",44,"Barley",3,67126.55,1783674.25,271433.49,14542693.01,130.04,0,4.1,10874.28,1517.21,493.1,50226.49,1615699.97,124.7,4174.16,57048.08,51.3,25.23,1042.99,56.37,7373.05,15149.22,277.3,70804.72,43302.06,162675.31,0,0,2290.38,357.34,0
"5","Austria","Beans, green",0.0843965476190476,8891388,7660000,"Production_kg",414,"Beans; green",92,48.7,4654.53,555.74,7638.18,23.4,0,0,64.27,2.22,0.47,297.12,2287.26,0,16.93,108.82,0.13,1.02,0.89,0.14,8.27,30.62,0,49.68,18.71,95.95,0,0,84.84,1.16,12.66
"6","Austria","Berries nes",0.109406559397488,8891388,70000,"Production_kg",558,"Berries; nes",138,0.41,6.7,3.24,92.3,0.33,0,0,0.26,0,0,1.19,20.72,0,0,0.16,0,0,0,0,0,0.12,0,0.13,0.3,1.57,0,0,0.62,0,0
"7","Austria","Blueberries",0.134028846153846,8891388,1350000,"Production_kg",552,"Blueberries",136,6.46,83.83,37.38,1641.48,1.1,0,0,0.68,0,0,8.72,271.88,0,0.11,1.36,0,0,0,0,0.68,0.68,0,3.17,5.32,16.54,0,0,9.54,0,0.57
"8","Austria","Broad beans, horse beans, dry",0.052,8891388,13030000,"Production_kg",181,"Broad beans; horse beans; dry",32,942.69,67630.49,4476.24,154996.2,7.67,0,1.19,279.27,22.76,9.84,3362.67,54579.1,2.32,51.39,1075.06,1.09,0.81,7.42,1.04,269.98,539.68,4.58,710.19,849.69,1700.78,0,0,29.38,8.47,76.09
"9","Austria","Cabbages and other brassicas",0.08324,8891388,6e+07,"Production_kg",358,"Cabbages and other brassicas",78,217.8,18411.88,2470.86,35528.91,497.15,1.87,0.51,994.86,14.03,2.77,2314.98,17890.88,1.26,318.66,571.55,0.49,0.83,6.28,1.46,199.88,197.94,2.06,278.13,145.3,712.15,0,0,736.45,8.97,223.75
"10","Austria","Carrots and turnips",0.0830718954248366,8891388,108180000,"Production_kg",426,"Carrots and turnips",96,442.81,19178.31,3429.42,85927.07,400.94,8.91,0.32,971.53,22.72,3.78,4262.52,29742.13,0.86,691.36,1744.78,0.75,1.36,11.35,2.67,1531.99,178.19,2.09,473.56,214.81,1108.22,0,0,1307.15,18.38,336.86
"11","Austria","Cauliflowers and broccoli",0.103835520801038,8891388,5760000,"Production_kg",393,"Cauliflowers and broccoli",84,17.88,1932.57,201.72,2538.6,50.45,0.34,0,27.35,0.68,0.26,184.85,1185.39,0,18.68,67.76,0,0,0.45,0.11,39.51,11.23,0.11,38.84,11.7,20.12,0,0,54.04,0.67,29.95
"12","Austria","Cereals nes",0.0486257263475995,8891388,22550000,"Production_kg",108,"Cereals; nes",13,1816.36,67930.82,24005.73,383306.79,5.61,0,0,757.26,115.66,19.83,2227.1,16466.64,4.22,40.68,1985.2,1.87,1.38,7.6,2.51,68.33,959.68,48.19,2341.84,3072.04,5585.99,0,0,56.92,20.44,0
"13","Austria","Cherries",0.1289,8891388,7510000,"Production_kg",531,"Cherries",127,29.87,713.15,113.58,6823.5,8.2,0,0,18.09,0.33,0,162.83,688.03,0,0.98,15.33,0,0,0.45,0,4,7.21,0,24.9,30.8,34.07,0,0,53.98,0.45,5.24
"14","Austria","Cherries, sour",0.028,8891388,760000,"Production_kg",530,"Sour cherries",126,14.45,335.8,81.41,3396.65,3.05,0,0,4.17,0.12,0,52.81,366.33,0,1.68,5.04,0,0,0.12,0,1.86,2.75,0,20.76,25.03,27.47,0,0,26.56,0.12,3.36
"15","Austria","Chillies and peppers, green",0.0664142191142191,8891388,14980000,"Production_kg",401,"Chillies and peppers; green",88,99.42,4516.68,1685.82,17523.67,292.54,0.32,0,70.12,4.12,0.79,715.18,8154.87,0.39,17.99,258.44,0.32,0.3,3.01,0.9,20.48,91.52,0.6,105.78,45.26,462.89,0,0,223.92,2.24,42
"16","Austria","Cucumbers and gherkins",0.0675,8891388,45270000,"Production_kg",397,"Cucumbers and gherkins",86,105.3,4867.38,891.83,19085.77,74.56,0,0,120.69,3.36,1.45,1075.28,4920.83,0.41,50.07,273.59,0.2,0.24,1.44,0.3,45.26,94.29,0.6,252.69,18.86,196.11,0,0,722.29,3.13,116.91
"17","Austria","Currants",0.038,8891388,4500000,"Production_kg",550,"Currants",135,166.82,2397.35,336.3,39816.03,134.52,0,0,90.9,4.01,0.34,397.56,3529.44,0.13,2.22,94.56,0,0,0.18,0,10.12,24.64,0.29,33.96,57.27,177.8,0,0,88.54,1.56,2.66
"18","Austria","Eggplants (aubergines)",0.082,8891388,1170000,"Production_kg",399,"Eggplants (aubergines)",87,4.38,185.23,116.13,849,1.06,0,0,2.75,0,0,32.23,332.64,0,0.86,7.03,0,0,0.21,0,4.73,2.06,0,4.33,2.09,9.31,0,0,14.73,0.19,3.29
"19","Austria","Garlic",0.00732,8891388,1210000,"Production_kg",406,"Garlic",90,226.77,9446.27,465.35,47493.95,24.7,0,0,95.56,2.58,2.17,820.8,2951.33,0.9,32.39,377.04,0.26,0.15,1,1.88,43.13,72.51,2.48,166.39,19.52,445.26,0,0,121.6,2.69,24.17
"20","Austria","Grain, mixed",0.0651708222811671,8891388,19770000,"Production_kg",103,"Mixed grain",12,1188.11,39000.92,8461.27,251435.81,0,0,0.13,83.89,11.36,8.88,1175.87,36051.38,1.57,18.66,1078.33,1.37,0.54,14.66,1.03,111.4,404.4,8.76,1498.99,1816.68,3557.51,0,0,36.68,5.6,0
"21","Austria","Grapes",0.1235,8891388,309920000,"Production_kg",560,"Grapes",122,1736.28,15150.97,6683.87,412238.88,145.04,0.12,0,421.87,17.39,2.02,5114.12,59672.85,2.74,90.79,573.88,1.22,3.78,6.15,2.77,158.05,762.04,19.49,3368.02,385.72,2634.21,0,0,2349.61,13.38,395.13
"22","Austria","Leeks, other alliaceous vegetables",0.083270092226614,8891388,6530000,"Production_kg",407,"Leeks; other alliaceous veg.",91,42.01,1889.38,262.63,8466.93,16.84,0.1,0,54.76,2.31,0.51,163.94,1640.47,0,11.83,65.22,0,0,2.03,0.16,6.48,51.15,0.55,66.44,32.04,147.88,0,0,75.73,0.77,24.7
"23","Austria","Lettuce and chicory",0.0865961538461538,8891388,41290000,"Production_kg",372,"Lettuce and chicory",81,92.67,7687.31,1330.9,14965.61,59.51,0.96,0.41,284.89,6.24,2.19,1376.87,9499.49,0.38,135.91,361.83,0.32,0.41,2.22,0.45,172.94,73.17,1.25,195.74,39.77,450.01,0,0,501.78,5.61,91.16
"24","Austria","Linseed",0.0178426203877423,8891388,1710000,"Production_kg",333,"Oilcrops; Other",62,562.11,20609.29,41914.06,29335.23,2.49,0,0,365.26,18.52,4.67,776.07,13311.74,1.3,35.62,595.02,0.53,0.33,3.41,0.57,47.16,358.66,3.15,4737.52,10845.84,28458.83,0,0,6.2,4.69,25.01
"25","Austria","Lupins",0.042,8891388,360000,"Production_kg",210,"Lupins",39,35.76,2850.35,1148.78,3891.73,0.27,0,0,10.15,0.47,0.46,97.65,1821.99,0,1.45,42.23,0,0,0.25,0,0,19.09,0.23,111.44,379.82,235.12,0,0,0.78,0.31,0
"26","Austria","Maize",0.0869363057324841,8891388,2298880000,"Production_kg",56,"Maize",4,105087.4,2570420.58,1017966.34,21464187.13,203.93,6.56,6.92,6205.37,967.76,533.67,87616.57,1540217.85,53.66,2779.37,65098.19,79.31,35.21,767.11,105.39,0,32615.51,72.12,175988.31,382980.9,718451.65,0,0,3705.95,373.32,0
"27","Austria","Oats",0.0434605263157895,8891388,77350000,"Production_kg",75,"Oats",6,7313.02,273342.62,123478.95,1297692.5,2,0,0.9,1178.71,105.9,68.31,8156.87,88574.57,12.53,481.21,7273.82,10.44,2.5,25,2.38,0,3542.98,98.4,23790.03,43916.97,49791.92,0,0,211.15,40.06,0
"28","Austria","Oilseeds nes",0.0178426203877423,8891388,22570000,"Production_kg",339,"Oilcrops; Other",62,7419.21,272018.51,553216.61,387190.77,32.86,0,1.04,4820.97,244.45,61.65,10243.2,175699.42,17.19,470.19,7853.52,7,4.32,44.94,7.58,622.42,4733.93,41.6,62529.79,143152.34,375623.3,0,0,81.81,61.85,330.06
"29","Austria","Onions, dry",0.093304347826087,8891388,141650000,"Production_kg",403,"Onions",77,674.2,19651.07,2399.69,142651.77,151.82,0,0.23,707.72,12.15,6.73,2206.01,24245.63,0.47,171.5,890.56,0.57,0.63,4.11,1.87,104.15,203.75,1.1,580.53,415.48,950.47,0,0,1540.41,8.87,136.6
"30","Austria","Peaches and nectarines",0.105333333333333,8891388,2510000,"Production_kg",534,"Peaches and nectarines",128,12.89,222.84,46.36,3003.97,3.93,0,0,2.76,0.17,0,56.01,316.24,0,0.36,6.63,0,0,0.19,0,1.65,2.41,0,4.5,14.74,17.1,0,0,22.67,0.15,2.28
"31","Austria","Pears",0.04975,8891388,32730000,"Production_kg",521,"Pears",123,383.6,3354.29,2215.64,93462.16,31.77,0,0,85.61,14,1.68,799.11,14551.71,0.61,25.35,96.84,0.2,0.32,1.52,0.21,37.74,51.79,0.36,155.38,606.73,680.72,0,0,627.87,2.13,85.09
"32","Austria","Peas, dry",0.0623254069051863,8891388,12800000,"Production_kg",187,"Cow peas; dry",34,764.55,50046.52,3417.72,130017.33,2.21,0,0.93,223.12,17.85,9.69,2303.54,24503.18,2.01,59.55,937.87,1.24,0.35,6.27,0.82,342.66,468.63,2.92,764.55,244.84,1251.91,0,0,26.94,8.11,0
"33","Austria","Peas, green",0.0753287037037037,8891388,9790000,"Production_kg",417,"Peas; green",93,93.79,11483.5,570.06,16419.55,46.41,0,0,53.42,2.84,1.18,316.94,4765.08,0.13,14.78,196.45,0.44,0.18,2.7,0.24,33.47,44.34,0.48,87.7,46.77,207.56,0,0,103.52,1.89,59.44
"34","Austria","Plums and sloes",0.0704444444444444,8891388,12780000,"Production_kg",536,"Plums and sloes",129,109.77,1503.09,599.88,25268.27,31.68,0,0,37.37,1.66,0.2,401.28,1700.33,0.12,1.36,50.19,0,0.16,1.25,0,3.88,14.28,0.11,68.35,544.79,177.51,0,0,170.53,1.05,13.26
"35","Austria","Potatoes",0.133867924528302,8891388,751260000,"Production_kg",116,"Potatoes",18,5061.45,129850.44,8578.41,1130901.07,1009.44,0,0.94,578.93,66.49,26.22,23606.69,85072.27,5.58,663.62,3055.35,5.02,4.09,86.93,15.54,2209.08,1556.88,6.99,1855.63,88.36,2587.78,0,0,4820.07,66.58,1404.35
"36","Austria","Pulses nes",0.0587825743767065,8891388,12610000,"Production_kg",211,"Pulses; nes",40,904.84,54559,18471.77,131650.98,4.98,0,0.82,462.39,25.29,11.41,2482.63,21953.34,3.93,65.62,831.36,1.22,0.53,5.02,0.64,849.26,621.98,4.55,2094.19,3845.18,3919.98,0,0,27.65,8.09,33.78
"37","Austria","Pumpkins, squash and gourds",0.100019949494949,8891388,27130000,"Production_kg",394,"Pumpkins; squash; and gourds",85,65.3,3101.5,542.28,12220.99,52.45,0.67,0,85.02,2.98,0.65,553.63,4809.5,0.31,22.02,193.28,0.11,0.19,2.27,0.41,122.71,67.82,0.18,167.11,40.34,81.35,0,0,284.33,1.72,66.35
"38","Austria","Rapeseed",0.0841,8891388,107170000,"Production_kg",270,"Rape and Mustardseed",56,7517.15,330209.94,546336.94,373277.69,50.88,0,2.32,5417.51,123.33,79.4,10577.04,101757.4,11.79,186.32,10949.67,12.93,1.87,62.58,5.69,2391.3,5302.85,31.87,28506.41,322728.62,144581.51,0,0,95.09,59.69,0
"39","Austria","Raspberries",0.122789473684211,8891388,680000,"Production_kg",547,"Raspberries",133,3.36,68.51,38.93,736.2,1.75,0,0,2.02,0,0,9.4,233.57,0,0,4.33,0,0,0,0,0.77,1.37,0,1.18,3.99,23.36,0,0,5.31,0,0.25
"40","Austria","Rye",0.03,8891388,199670000,"Production_kg",71,"Rye",5,25924.85,773254.26,120049.03,5710454.03,0,0,2.84,2213.58,206.71,198.37,17790.59,446636.05,27.47,74.86,25183.43,24.66,14.98,149.34,22.01,2275.6,8234.07,192.9,14746.48,15569.88,57413.94,0,0,834.64,115.65,0
"41","Austria","Sorghum",0.0326666666666667,8891388,29740000,"Production_kg",83,"Sorghum",8,3573.49,120198.61,35588.58,730306.75,0,0,0.26,312.4,62.36,19.02,3186.52,34489.98,2.27,96.08,3673.27,3.3,1.17,33.76,2.46,0,2597.86,13.34,6245.92,11580.55,15952.69,0,0,103.16,21.55,0
"42","Austria","Soybeans",0.071,8891388,217780000,"Production_kg",236,"Soyabeans",53,13951.98,1220535.58,600677.5,820818.2,113.35,0.52,9.18,8191.79,300.47,137.45,51766.26,339658.28,46.35,335.58,20867.52,23.4,9.37,78.72,23.34,3998.28,8192.83,74.94,99422.36,150996.41,365416.84,0,0,309,174.75,0
"43","Austria","Spinach",0.0856063829787234,8891388,14510000,"Production_kg",373,"Spinach",82,44.93,4899.2,856.64,5400.7,72.17,0.66,0.31,244.23,7.8,1.03,932.42,3850.73,0.15,193,100.76,0.13,0.35,1.3,0.37,36.79,124.55,1.33,88.64,19.06,166.8,0,0,173.69,3.49,53.38
"44","Austria","Strawberries",0.127327819548872,8891388,13580000,"Production_kg",544,"Strawberries",132,41.58,1046.58,447.82,8934.7,71.67,0,0,28.07,1.24,0.17,163.73,1829.27,0,2.69,29.06,0,0,0.57,0,6.84,15.59,0.46,20.99,55.78,158.94,0,0,107.94,0.48,6
"45","Austria","Sugar beet",0.125770747489689,8891388,1965150000,"Production_kg",157,"Roots and tubers; nes",23,17970.8,340652.5,134667.94,3812132.83,2545.3,5.01,13.74,5864.04,501.75,53.3,85317.03,312614.85,22.34,2641.23,11716.6,12.88,12.65,211.66,28.96,3830.92,7556.4,31.49,3602.47,746.85,7951.79,0,0,12687.26,182.37,3836.78
"46","Austria","Sunflower seed",0.0295859213250518,8891388,64540000,"Production_kg",267,"Sunflowerseed",55,13639.32,471222.8,1070269.5,733429.43,19.63,0,5.57,3545.21,130.34,67.47,19198.12,290322.97,44.16,359.84,16642.46,38.21,5.55,167.12,33,1351.84,7973.66,47.84,115986.07,337690.59,811313.68,0,0,126.31,85.32,1128.58
"47","Austria","Tomatoes",0.0714285714285714,8891388,58330000,"Production_kg",388,"Tomatoes",76,183.38,8753.6,2314.14,33419.89,211.69,0.59,0.2,137.75,9.3,1.75,1800.75,10523.78,0.62,102.38,370.25,0.45,0.39,7.41,0.76,61.54,119.4,0.52,266.35,280.12,748.53,0,0,863.23,4.9,59.7
"48","Austria","Triticale",0.0385,8891388,326340000,"Production_kg",97,"Triticale",11,32031.65,1244086.36,199244.48,6876317.95,0,0,6.96,3527.29,245,328.9,31650.32,0,43.57,476.66,34128.96,39.66,12.77,136.33,13.16,0,12393.2,306.02,34891.62,20115.11,87038.38,0,0,1001.94,212.59,0
"49","Austria","Vegetables, fresh nes",0.075156077445368,8891388,12820000,"Production_kg",463,"Vegetables; fresh; nes",101,90.77,6122.18,1280.79,15340.09,90.99,0.6,0.14,379.85,7.87,1.07,747.84,9070.92,0.31,91.11,151.63,0.18,0.38,1.97,0.42,41.92,98.65,1.24,131.43,125.64,250.42,0,0,162.64,3.13,48.02
"50","Austria","Walnuts, with shell",0.0301725284440344,8891388,3090000,"Production_kg",222,"Walnuts; with shell",46,693.38,18061.28,67510.16,16222.29,2.88,0,0,101.81,3.16,3.19,604.98,6334.9,1.9,3.55,505.72,0.32,0.24,2.53,0.65,41.06,253.78,3.96,5839.24,14810.23,47074.46,0,0,9.68,2.94,75.44
"51","Austria","Watermelons",0.193615384615385,8891388,1390000,"Production_kg",567,"Watermelons",110,1.92,40.79,11.55,422.39,0.52,0,0,0.66,0,0,7.85,23.09,0,0.31,2.92,0,0,0,0,0.33,0.79,0,1.29,2.99,4.04,0,0,7.53,0,3.75
"52","Austria","Wheat",0.0442045454545455,8891388,1596880000,"Production_kg",15,"Wheat",1,136844.3,4648461.79,746557.29,28176814.31,135.43,0,16.45,17283.45,1598.24,1001.79,138996.21,2055825.78,190.96,3014.67,124473.61,135.15,83.29,1872.28,229.15,12676.24,55560.11,1092.51,174704.56,114979.98,474140.06,0,0,4531.48,768.47,0
