"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Azerbaijan","Almonds shelled",0.0296505238073522,9949537,640000,"Import_kg",231,"Almonds; with shell",45,129.17,4601.35,11097.97,3917.26,2.26,0,0,52.66,0.68,0.79,170.81,1572.83,0.22,1.05,104.72,0,0.17,0.85,0,11.3,69.75,0.45,857.14,7327.34,2530.53,0,0,1.08,0.64,14.1
"2","Azerbaijan","Almonds, with shell",0.0296505238073522,9949537,61000,"Import_kg",221,"Almonds; with shell",45,12.31,438.57,1057.77,373.36,0.22,0,0,5.02,0,0,16.28,149.91,0,0,9.98,0,0,0,0,1.08,6.65,0,81.7,698.39,241.19,0,0,0.1,0,1.34
"3","Azerbaijan","Anise, badian, fennel, coriander",0.00195,9949537,258000,"Import_kg",711,"Anise; badian; fennel; coriander",161,462.21,21028.37,19056.96,62144.29,13.9,0,0,1081.48,42.68,6.17,1972.74,31752.37,1.25,98.4,611.82,0.44,0.4,4.09,0.66,728.52,418.88,3.63,1119.95,14477.4,3494.95,0,0,13.25,8.95,0
"4","Azerbaijan","Apples",0.121111111111111,9949537,751000,"Import_kg",515,"Apples",119,3.5,19.35,18.36,815.51,0.9,0,0,0.48,0,0,6.41,88.29,0,0.36,0.68,0,0,0,0,10.11,0.29,0,2.43,0.53,4.08,0,0,5.27,0,0.62
"5","Azerbaijan","Apricots",0.03995,9949537,3012000,"Import_kg",526,"Apricots",125,37.43,757.77,193.77,8626.41,5.06,0,0,12.88,0.6,0.17,221.02,1035.61,0,1,18.06,0,0,0.59,0,2.12,7.58,0,21.6,128.82,59.48,0,0,64.87,0.6,6.44
"6","Azerbaijan","Apricots, dry",0.03995,9949537,1713000,"Import_kg",527,"Apricots",125,21.29,430.96,110.2,4906.06,2.88,0,0,7.33,0.34,0,125.7,588.98,0,0.57,10.27,0,0,0.34,0,1.21,4.31,0,12.28,73.26,33.83,0,0,36.89,0.34,3.66
"7","Azerbaijan","Artichokes",0.1,9949537,1000,"Import_kg",366,"Artichokes",79,0,0.26,0,1.17,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Azerbaijan","Avocados",0.048,9949537,147000,"Import_kg",572,"Avocados",141,4.48,49.51,433.62,133.59,0.39,0,0,0.63,0,0,15.7,134.92,0,0.2,5.22,0,0,0,0,0.44,0.93,0,73.61,244.47,51.22,0,0,2.37,0,1.17
"9","Azerbaijan","Bananas",0.04075,9949537,39782000,"Import_kg",486,"Bananas",117,988.43,11928.9,2281.28,229053.39,104.46,0.36,0.18,96.67,7.84,1.62,3334.11,15342.35,0.91,62.28,248.87,0.52,0.5,8.35,3.42,96.16,278.01,2.65,1089.13,255.11,554.38,0,0,714.73,8.13,348.32
"10","Azerbaijan","Barley",0.04775,9949537,14160000,"Import_kg",44,"Barley",3,1025.71,27255.05,4147.58,222216.48,1.99,0,0,166.16,23.18,7.53,767.48,24688.35,1.91,63.78,871.71,0.78,0.39,15.94,0.86,112.66,231.48,4.24,1081.92,661.67,2485.72,0,0,35,5.46,0
