"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Bahrain","Bananas",0.04075,1569446,1052000,"Production_kg",486,"Bananas",117,165.7,1999.8,382.44,38399.21,17.51,0,0,16.21,1.31,0.27,558.94,2572.04,0.15,10.44,41.72,0,0,1.4,0.57,16.12,46.61,0.44,182.58,42.77,92.94,0,0,119.82,1.36,58.39
"2","Bahrain","Cabbages and other brassicas",0.08324,1569446,810000,"Production_kg",358,"Cabbages and other brassicas",78,16.66,1408.17,188.98,2717.31,38.02,0.14,0,76.09,1.07,0.21,177.05,1368.32,0,24.37,43.71,0,0,0.48,0.11,15.29,15.14,0.16,21.27,11.11,54.47,0,0,56.33,0.69,17.11
"3","Bahrain","Carrots and turnips",0.0830718954248366,1569446,35000,"Production_kg",426,"Carrots and turnips",96,0.81,35.15,6.29,157.5,0.73,0,0,1.78,0,0,7.81,54.52,0,1.27,3.2,0,0,0,0,2.81,0.33,0,0.87,0.39,2.03,0,0,2.4,0,0.62
"4","Bahrain","Cauliflowers and broccoli",0.103835520801038,1569446,1155000,"Production_kg",393,"Cauliflowers and broccoli",84,20.32,2195.42,229.16,2883.88,57.32,0.38,0,31.07,0.77,0.3,209.99,1346.61,0,21.22,76.98,0,0,0.51,0.13,44.89,12.76,0.13,44.12,13.29,22.86,0,0,61.39,0.77,34.02
"5","Bahrain","Chillies and peppers, green",0.0664142191142191,1569446,951000,"Production_kg",401,"Chillies and peppers; green",88,35.76,1624.47,606.32,6302.56,105.21,0.11,0,25.22,1.48,0.28,257.22,2932.98,0.14,6.47,92.95,0.12,0.11,1.08,0.32,7.37,32.92,0.22,38.05,16.28,166.48,0,0,80.53,0.81,15.1
"6","Bahrain","Cucumbers and gherkins",0.0675,1569446,2773000,"Production_kg",397,"Cucumbers and gherkins",86,36.54,1689.11,309.49,6623.27,25.87,0,0,41.88,1.16,0.5,373.15,1707.66,0.14,17.37,94.94,0,0,0.5,0.1,15.71,32.72,0.21,87.69,6.54,68.06,0,0,250.65,1.09,40.57
"7","Bahrain","Dates",0.0393863636363636,1569446,1.3e+07,"Production_kg",577,"Dates",121,4180.88,36961.23,6177.73,1071717.96,142.11,0,0.41,872.77,34.75,6.41,12691.95,103891.03,4.82,42.06,1690.33,1.44,2.54,34.59,3.74,170.35,848.23,5.87,336.49,378.55,199.79,0,0,794.82,28.18,364.53
"8","Bahrain","Eggplants (aubergines)",0.082,1569446,1418000,"Production_kg",399,"Eggplants (aubergines)",87,30.05,1271.8,797.36,5829.37,7.27,0,0,18.86,0.67,0.21,221.27,2283.94,0.11,5.91,48.25,0,0.1,1.42,0,32.45,14.14,0.26,29.75,14.32,63.91,0,0,101.11,1.32,22.59
"9","Bahrain","Fruit, fresh nes",0.107099201828105,1569446,5685000,"Production_kg",619,"Fresh fruit; nes",147,304.41,5165.62,2576.22,65184.13,131.92,0.17,0,181.43,12.34,0.85,942.18,11745.42,0.38,37.76,141.51,0.21,0.19,3.38,0.3,236.16,107.94,0.71,413.98,285.23,394.21,0,0,256.02,3.08,94.14
"10","Bahrain","Grapes",0.1235,1569446,152000,"Production_kg",560,"Grapes",122,4.82,42.1,18.57,1145.42,0.4,0,0,1.17,0,0,14.21,165.8,0,0.25,1.59,0,0,0,0,0.44,2.12,0,9.36,1.07,7.32,0,0,6.53,0,1.1
