"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Bangladesh","Bananas",0.04075,161376708,833309000,"Production_kg",486,"Bananas",117,1276.52,15405.72,2946.19,295813.64,134.91,0.47,0.24,124.84,10.12,2.09,4305.87,19814.06,1.17,80.43,321.4,0.68,0.64,10.79,4.42,124.18,359.03,3.42,1406.57,329.47,715.96,0,0,923.05,10.5,449.85
"2","Bangladesh","Barley",0.04775,161376708,361000,"Production_kg/Import_kg",44,"Barley",3,1.61,42.84,6.52,349.29,0,0,0,0.26,0,0,1.21,38.81,0,0.1,1.37,0,0,0,0,0.18,0.36,0,1.7,1.04,3.91,0,0,0,0,0
"3","Bangladesh","Beans, dry",0.1145,161376708,112693000,"Production_kg/Import_kg",176,"Beans",30,200.97,12985.84,837.33,35374.1,1.11,0,0.25,85.33,4.45,1.78,713.13,7564.27,0.53,9.53,235.88,0.28,0.13,1.22,0.24,67.33,105.44,0.79,188.52,83.71,290.04,0,0,7.15,2.33,0
"4","Bangladesh","Beans, green",0.0843965476190476,161376708,144053000,"Production_kg/Import_kg",414,"Beans; green",92,50.46,4822.79,575.83,7914.29,24.24,0,0,66.59,2.3,0.49,307.86,2369.94,0,17.54,112.76,0.13,1.05,0.92,0.15,8.57,31.73,0,51.47,19.39,99.42,0,0,87.91,1.2,13.12
"5","Bangladesh","Berries nes",0.109406559397488,161376708,27329000,"Production_kg",558,"Berries; nes",138,8.76,144.06,69.77,1985.48,7.17,0,0,5.67,0.24,0,25.59,445.79,0,0.93,3.48,0,0,0,0,1.51,2.52,0.15,2.79,6.5,33.78,0,0,13.29,0,0.12
"6","Bangladesh","Cabbages and other brassicas",0.08324,161376708,331038000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,66.21,5596.98,751.11,10800.33,151.13,0.57,0.15,302.42,4.27,0.84,703.72,5438.6,0.38,96.87,173.75,0.15,0.25,1.91,0.44,60.76,60.17,0.62,84.55,44.17,216.48,0,0,223.87,2.73,68.02
"7","Bangladesh","Castor oil seed",0.0178426203877423,161376708,254000,"Production_kg",265,"Oilcrops Oil; Other",75,7.79,1.1,801.88,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.55,325.04,289.57,0,0,0,0,0
"8","Bangladesh","Cauliflowers and broccoli",0.103835520801038,161376708,284336000,"Production_kg/Import_kg",393,"Cauliflowers and broccoli",84,48.64,5256.21,548.65,6904.51,137.22,0.92,0.1,74.39,1.84,0.71,502.75,3224.03,0,50.79,184.3,0.19,0.18,1.22,0.3,107.47,30.54,0.31,105.63,31.82,54.72,0,0,146.97,1.83,81.45
"9","Bangladesh","Chick peas",0.04575,161376708,246423000,"Production_kg/Import_kg",191,"Chick peas",33,1175.72,64898.02,16801.55,194643.04,7.01,0,1.24,455.14,23.12,11.51,2700.21,25477.89,3.06,66.95,1036.03,1.32,0.59,5.88,1.79,489.48,330.43,37.58,2057.7,4550.97,8879.99,0,0,35.04,9.91,0
"10","Bangladesh","Chillies and peppers, dry",4e-04,161376708,168501000,"Production_kg/Import_kg",689,"Pimento",156,62769.3,2675067.24,2330013.95,10712245.08,19690.87,177.21,14.29,54155.8,1905.57,689.79,475608.94,5800236.39,172.22,118445.42,48531.76,72.87,113.69,1440.14,449.96,13443.39,40069.14,568.45,691747.36,444197.52,1609378.52,0,0,7316.42,1562.04,0
"11","Bangladesh","Coconuts",0.04,161376708,431750000,"Production_kg/Import_kg",249,"Coconuts - Incl Copra",58,2123.61,22440.54,188244.26,84161.93,16.05,0,0.13,124.83,19.19,11.03,2186.6,43178.26,3.42,141.67,703.93,0.42,0.21,4.52,0.28,80.93,193.86,25.08,199646.31,17808.24,4568.27,0,0,354.71,6.84,277.57
"12","Bangladesh","Cucumbers and gherkins",0.0675,161376708,119140000,"Production_kg/Import_kg",397,"Cucumbers and gherkins",86,15.27,705.78,129.32,2767.49,10.81,0,0,17.5,0.49,0.21,155.92,713.53,0,7.26,39.67,0,0,0.21,0,6.56,13.67,0,36.64,2.73,28.44,0,0,104.73,0.45,16.95
"13","Bangladesh","Fruit, fresh nes",0.107099201828105,161376708,691096000,"Production_kg/Import_kg",619,"Fresh fruit; nes",147,359.89,6107.11,3045.77,77064.67,155.96,0.2,0,214.5,14.59,1,1113.91,13886.15,0.45,44.64,167.3,0.25,0.23,4,0.36,279.2,127.61,0.84,489.43,337.22,466.06,0,0,302.68,3.65,111.3
"14","Bangladesh","Fruit, tropical fresh nes",0.1073859375,161376708,1009536000,"Production_kg/Import_kg",603,"Fruit; tropical fresh; nes",146,545.6,8619.95,6965.24,120964.71,625.72,0.25,0,188.56,10.19,2.18,1462.99,16934.42,0.65,57.13,209.38,1.6,1.7,6.12,0.89,46.14,163.89,1.28,4340.32,9599.34,2194.76,0,0,444.16,4.45,229.84
"15","Bangladesh","Garlic",0.00732,161376708,548456000,"Production_kg/Import_kg",406,"Garlic",90,5663.36,235909.61,11621.55,1186105.7,616.81,0,0.16,2386.45,64.54,54.11,20498.43,73706.13,22.41,808.79,9416.07,6.55,3.74,24.87,47.01,1077.15,1810.73,62.03,4155.4,487.51,11119.76,0,0,3036.84,67.3,603.58
"16","Bangladesh","Ginger",0.02852,161376708,191181000,"Production_kg/Import_kg",720,"Ginger",162,808.62,20277.88,8733.54,169175.87,11.57,0,0,295.43,22.89,7.52,3750.96,24521.33,2.31,102.14,364.52,0.3,0.54,16.3,1.94,171.14,609.37,138.32,10795.94,1989.71,3858.96,0,0,193.34,9.26,0
"17","Bangladesh","Grapefruit (inc. pomelos)",0.15,161376708,72273000,"Production_kg/Import_kg",507,"Grapefruit",115,10.8,210.28,45.38,2397.73,11.75,0,0,5.54,0.16,0,56.77,301.89,0,2.18,6.22,0,0,0,0,2.3,2.29,0,3.58,3.43,6.57,0,0,26.73,0.12,13.36
"18","Bangladesh","Groundnuts, with shell",0.028,161376708,62832000,"Production_kg",242,"Groundnuts (Shelled Eq)",54,762.92,32765.81,61052.76,23676.76,1.97,0,0.16,83.3,4.91,3.87,968.43,11554.3,1.51,14.27,543.2,1.06,0.24,19.93,0.75,192.24,260.77,2.04,8731.17,33965.21,21633.95,0,0,11.74,3.8,0
"19","Bangladesh","Lemons and limes",0.0785,161376708,67175000,"Production_kg/Import_kg",497,"Lemons; Limes",114,20.01,401.98,221.4,4407.3,21.84,0,0,20.06,0.31,0,111.25,705.26,0.1,2.41,10.41,0,0,0.24,0,2.7,5.3,0,17.85,7.07,36.06,0,0,47.27,0.19,18.56
"20","Bangladesh","Lentils",0.0454634146341463,161376708,647795000,"Production_kg/Import_kg",201,"Lentils",36,2898.86,204004.93,9232.32,495498.88,15.14,0,2.38,608.6,82.58,25.57,7363.78,101759.65,10.28,101.29,2881.12,3.46,2.08,19.29,5.39,1745.59,676.93,10.56,1253.78,1558.4,3867.31,0,0,101.48,23.87,0
"21","Bangladesh","Lettuce and chicory",0.0865961538461538,161376708,38516000,"Production_kg/Import_kg",372,"Lettuce and chicory",81,4.76,395.09,68.4,769.16,3.06,0,0,14.64,0.32,0.11,70.76,488.23,0,6.99,18.6,0,0,0.11,0,8.89,3.76,0,10.06,2.04,23.13,0,0,25.79,0.29,4.69
"22","Bangladesh","Linseed",0.0178426203877423,161376708,6908000,"Production_kg/Import_kg",333,"Oilcrops; Other",62,125.11,4587.2,9329.21,6529.42,0.55,0,0,81.3,4.12,1.04,172.74,2962.92,0.29,7.93,132.44,0.12,0,0.76,0.13,10.5,79.83,0.7,1054.48,2414.06,6334.35,0,0,1.38,1.04,5.57
"23","Bangladesh","Maize",0.0869363057324841,161376708,4860243000,"Production_kg/Import_kg",56,"Maize",4,12241.12,299415.71,118577.91,2500258.07,23.76,0.76,0.81,722.83,112.73,62.16,10206.03,179412.44,6.25,323.75,7582.97,9.24,4.1,89.36,12.28,0,3799.22,8.4,20500.02,44611.57,83688.92,0,0,431.69,43.49,0
"24","Bangladesh","Mangoes, mangosteens, guavas",0.09628125,161376708,1459491000,"Production_kg/Import_kg",571,"Mangos; mangosteens; guavas",140,576.49,7056.66,2321.59,129591.37,812.66,1.21,0.27,166.05,4.96,1.28,1688.2,25048.84,0.7,99.53,179.85,0.43,0.52,10.86,1.1,71.39,427.4,0.5,1435.3,708.26,1581.83,0,0,779.62,5.57,248.92
"25","Bangladesh","Melons, other (inc.cantaloupes)",0.179843076923077,161376708,228962000,"Production_kg/Import_kg",568,"Other melons (inc. cantaloupes)",111,22.48,426.96,119.98,5075.96,18.32,0,0,12.04,0.42,0,201.76,540.97,0,9.58,12.95,0,0,0.37,0,6,8.52,0,29.98,2.1,47.07,0,0,72.95,0.38,37.6
"26","Bangladesh","Millet",0.0477,161376708,9288000,"Production_kg/Import_kg",79,"Millet",7,41.42,1117.82,454.05,8496.04,0,0,0,7.19,0.87,0.27,31.28,671.91,0.12,1.3,30.35,0,0,0.29,0.12,90.25,15.9,0.13,87.24,93.27,257.49,0,0,1.31,0.28,0
"27","Bangladesh","Oilseeds nes",0.0178426203877423,161376708,2458000,"Production_kg/Import_kg",339,"Oilcrops; Other",62,44.52,1632.22,3319.51,2323.29,0.2,0,0,28.93,1.47,0.37,61.46,1054.26,0.1,2.82,47.12,0,0,0.27,0,3.73,28.41,0.25,375.2,858.97,2253.88,0,0,0.49,0.37,1.98
"28","Bangladesh","Onions, dry",0.093304347826087,161376708,2058001000,"Production_kg/Import_kg",403,"Onions",77,539.7,15730.55,1920.93,114191.79,121.53,0,0.19,566.53,9.73,5.39,1765.9,19408.47,0.38,137.29,712.89,0.46,0.5,3.29,1.5,83.37,163.1,0.88,464.71,332.59,760.85,0,0,1233.09,7.1,109.34
"29","Bangladesh","Oranges",0.138371428571429,161376708,170969000,"Production_kg/Import_kg",490,"Oranges; Mandarines",113,33.84,607.3,175.67,7655.77,35.35,0,0,24.18,0.37,0,128.7,1030.15,0,2.07,16.58,0,0,1.35,0,8.32,8.12,0,16.08,23.54,24.88,0,0,66.55,0.33,20.52
"30","Bangladesh","Papayas",0.151,161376708,135822000,"Production_kg/Import_kg",600,"Papayas",145,19.2,417.07,78.33,4297.99,26.51,0,0,11.85,0.32,0,95.06,724.6,0,5.76,8.68,0,0,0.17,0,3.4,9.43,0,33.72,25.64,18.95,0,0,50.03,0.23,17.84
"31","Bangladesh","Peas, dry",0.0623254069051863,161376708,746935000,"Production_kg/Import_kg",187,"Cow peas; dry",34,2458.13,160907.2,10988.48,418025.51,7.12,0,2.99,717.35,57.41,31.15,7406.22,78781.45,6.45,191.46,3015.38,4,1.14,20.17,2.63,1101.7,1506.7,9.39,2458.13,787.2,4025.09,0,0,86.62,26.07,0
"32","Bangladesh","Pigeon peas",0.038,161376708,468000,"Production_kg",197,"Pigeon peas",35,2.45,154.37,12.37,413.35,0,0,0,1.02,0,0,10.62,108.12,0,0.13,2.61,0,0,0,0,0,1.4,0,2.52,0,6.08,0,0,0,0,0
"33","Bangladesh","Pineapples",0.1096,161376708,217440000,"Production_kg/Import_kg",574,"Pineapples",120,58.12,565.17,261.2,13587.17,27.35,0,0,44.08,0.74,0.12,197.24,1023.67,0.14,5.7,11.79,0,0,0.38,0.12,200.7,14.55,1.14,23.97,32.58,73.76,0,0,107.1,0.39,50.4
"34","Bangladesh","Plantains and others",0.104,161376708,160891000,"Production_kg",489,"Plantains",118,113.69,1246.24,351.63,27196.74,11.19,0,0,8.62,0.92,0.14,431.17,1461.93,0,3.07,31.09,0.17,0.12,0.61,0.29,12.94,35.47,0,154.82,29.72,61.83,0,0,65.16,0.92,33.07
