"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Belarus","Almonds, with shell",0.0296505238073522,9452617,1000,"Import_kg",221,"Almonds; with shell",45,0.21,7.57,18.25,6.44,0,0,0,0,0,0,0.28,2.59,0,0,0.17,0,0,0,0,0,0.11,0,1.41,12.05,4.16,0,0,0,0,0
"2","Belarus","Anise, badian, fennel, coriander",0.00195,9452617,393000,"Import_kg",711,"Anise; badian; fennel; coriander",161,741.08,33715.48,30554.65,99637.97,22.28,0,0,1733.97,68.43,9.89,3162.96,50909.61,2,157.77,980.96,0.7,0.64,6.56,1.07,1168.07,671.61,5.82,1795.65,23212.08,5603.56,0,0,21.24,14.35,0
"3","Belarus","Apples",0.121111111111111,9452617,237701000,"Import_kg",515,"Apples",119,1165.54,6445.25,6116.5,271686.89,301.46,0.11,0,160.92,14.56,1.33,2135.65,29414.58,0.6,120.95,225.43,0.94,0.59,3.89,0.84,3367.8,96.9,0.73,809.77,176.49,1359.99,0,0,1754.57,5.34,207.63
"4","Belarus","Apricots",0.03995,9452617,3764000,"Import_kg",526,"Apricots",125,49.24,996.74,254.88,11346.86,6.66,0.13,0,16.94,0.79,0.22,290.72,1362.21,0,1.32,23.76,0,0.11,0.78,0,2.79,9.97,0,28.41,169.45,78.24,0,0,85.33,0.79,8.47
"5","Belarus","Artichokes",0.1,9452617,65000,"Import_kg",366,"Artichokes",79,0.38,18,1.2,79.78,0,0,0,0.57,0,0,2.35,16.96,0,0.73,0.67,0,0,0,0,0.24,0.41,0,0.3,0,0.43,0,0,0.59,0,0.41
"6","Belarus","Asparagus",0.0845294117647059,9452617,8000,"Import_kg",367,"Asparagus",80,0,2.16,0.2,3.05,0,0,0,0,0,0,0.22,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Belarus","Avocados",0.048,9452617,2381000,"Import_kg",572,"Avocados",141,76.45,844.06,7392.68,2277.49,6.71,0,0,10.79,0.5,0.25,267.65,2300.23,0.11,3.46,89.08,0,0,0.73,0.16,7.45,15.87,0,1254.98,4167.83,873.21,0,0,40.35,0.62,19.94
"8","Belarus","Bananas",0.04075,9452617,71047000,"Import_kg",486,"Bananas",117,1858.05,22423.86,4288.34,430572.87,196.37,0.68,0.34,181.71,14.73,3.04,6267.43,28840.44,1.7,117.06,467.82,0.99,0.93,15.7,6.44,180.76,522.59,4.98,2047.34,479.56,1042.11,0,0,1343.55,15.29,654.78
"9","Belarus","Barley",0.04775,9452617,225660000,"Import_kg",44,"Barley",3,17205.52,457181.99,69572.4,3727506.45,33.33,0,1.05,2787.24,388.88,126.39,12873.79,414127.7,31.96,1069.9,14622.26,13.15,6.47,267.33,14.45,1889.82,3882.97,71.08,18148.29,11098.96,41696.08,0,0,587.06,91.59,0
"10","Belarus","Beans, dry",0.1145,9452617,737000,"Import_kg",176,"Beans",30,22.44,1449.87,93.49,3949.52,0.12,0,0,9.53,0.5,0.2,79.62,844.55,0,1.06,26.34,0,0,0.14,0,7.52,11.77,0,21.05,9.35,32.38,0,0,0.8,0.26,0
"11","Belarus","Beans, green",0.0843965476190476,9452617,2000,"Import_kg",414,"Beans; green",92,0,1.14,0.14,1.88,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Belarus","Broad beans, horse beans, dry",0.052,9452617,241000,"Import_kg",181,"Broad beans; horse beans; dry",32,16.4,1176.61,77.88,2696.57,0.13,0,0,4.86,0.4,0.17,58.5,949.55,0,0.89,18.7,0,0,0.13,0,4.7,9.39,0,12.36,14.78,29.59,0,0,0.51,0.15,1.32
"13","Belarus","Buckwheat",0.0421111111111111,9452617,174000,"Import_kg",89,"Buckwheat",9,14.41,464.99,118.02,3011.76,0,0,0,1.84,0.31,0.12,17.97,406.52,0,0.26,15.34,0,0,0.25,0,0,10.01,0,32.39,45.46,45.42,0,0,0.58,0,0
"14","Belarus","Cabbages and other brassicas",0.08324,9452617,21479000,"Import_kg",358,"Cabbages and other brassicas",78,73.34,6199.81,832.01,11963.61,167.4,0.63,0.17,335,4.72,0.93,779.52,6024.37,0.42,107.3,192.46,0.17,0.28,2.12,0.49,67.3,66.65,0.69,93.65,48.93,239.8,0,0,247.98,3.02,75.34
"15","Belarus","Carrots and turnips",0.0830718954248366,9452617,3188000,"Import_kg",426,"Carrots and turnips",96,12.27,531.62,95.06,2381.87,11.11,0.25,0,26.93,0.63,0.1,118.16,824.44,0,19.16,48.36,0,0,0.31,0,42.47,4.94,0,13.13,5.95,30.72,0,0,36.23,0.51,9.34
"16","Belarus","Cashew nuts, with shell",0.0289438420348059,9452617,932000,"Import_kg",217,"Cashew nuts; with shell",43,185.39,6259.24,14336.8,8237.33,0.56,0,0,13.72,2.06,1.76,221.59,906.13,0.72,31.49,160.28,0.18,0,0.44,0.15,0,103.1,0.45,2651.27,8106.43,2672.39,0,0,3.39,0.78,9.54
"17","Belarus","Cauliflowers and broccoli",0.103835520801038,9452617,3204000,"Import_kg",393,"Cauliflowers and broccoli",84,9.36,1011.17,105.55,1328.26,26.4,0.18,0,14.31,0.35,0.14,96.72,620.22,0,9.77,35.46,0,0,0.23,0,20.67,5.88,0,20.32,6.12,10.53,0,0,28.27,0.35,15.67
"18","Belarus","Cherries",0.1289,9452617,6095000,"Import_kg",531,"Cherries",127,22.8,544.42,86.71,5209.05,6.26,0,0,13.81,0.25,0,124.31,525.24,0,0.75,11.71,0,0,0.35,0,3.05,5.5,0,19.01,23.51,26.01,0,0,41.21,0.34,4
"19","Belarus","Cherries, sour",0.028,9452617,537000,"Import_kg",530,"Sour cherries",126,9.6,223.18,54.1,2257.51,2.03,0,0,2.77,0,0,35.1,243.47,0,1.12,3.35,0,0,0,0,1.24,1.83,0,13.8,16.64,18.26,0,0,17.65,0,2.23
