"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Belarus","Apples",0.121111111111111,9452617,237701000,"Import_kg",515,"Apples",119,1165.54,6445.25,6116.5,271686.89,301.46,0.11,0,160.92,14.56,1.33,2135.65,29414.58,0.6,120.95,225.43,0.94,0.59,3.89,0.84,3367.8,96.9,0.73,809.77,176.49,1359.99,0,0,1754.57,5.34,207.63
"2","Belarus","Barley",0.04775,9452617,225660000,"Import_kg",44,"Barley",3,17205.52,457181.99,69572.4,3727506.45,33.33,0,1.05,2787.24,388.88,126.39,12873.79,414127.7,31.96,1069.9,14622.26,13.15,6.47,267.33,14.45,1889.82,3882.97,71.08,18148.29,11098.96,41696.08,0,0,587.06,91.59,0
"3","Belarus","Beans, dry",0.1145,9452617,737000,"Import_kg",176,"Beans",30,22.44,1449.87,93.49,3949.52,0.12,0,0,9.53,0.5,0.2,79.62,844.55,0,1.06,26.34,0,0,0.14,0,7.52,11.77,0,21.05,9.35,32.38,0,0,0.8,0.26,0
"4","Belarus","Buckwheat",0.0421111111111111,9452617,174000,"Import_kg",89,"Buckwheat",9,14.41,464.99,118.02,3011.76,0,0,0,1.84,0.31,0.12,17.97,406.52,0,0.26,15.34,0,0,0.25,0,0,10.01,0,32.39,45.46,45.42,0,0,0.58,0,0
"5","Belarus","Cabbages and other brassicas",0.08324,9452617,21479000,"Import_kg",358,"Cabbages and other brassicas",78,73.34,6199.81,832.01,11963.61,167.4,0.63,0.17,335,4.72,0.93,779.52,6024.37,0.42,107.3,192.46,0.17,0.28,2.12,0.49,67.3,66.65,0.69,93.65,48.93,239.8,0,0,247.98,3.02,75.34
"6","Belarus","Carrots and turnips",0.0830718954248366,9452617,3188000,"Import_kg",426,"Carrots and turnips",96,12.27,531.62,95.06,2381.87,11.11,0.25,0,26.93,0.63,0.1,118.16,824.44,0,19.16,48.36,0,0,0.31,0,42.47,4.94,0,13.13,5.95,30.72,0,0,36.23,0.51,9.34
"7","Belarus","Cherries",0.1289,9452617,6095000,"Import_kg",531,"Cherries",127,22.8,544.42,86.71,5209.05,6.26,0,0,13.81,0.25,0,124.31,525.24,0,0.75,11.71,0,0,0.35,0,3.05,5.5,0,19.01,23.51,26.01,0,0,41.21,0.34,4
"8","Belarus","Cherries, sour",0.028,9452617,537000,"Import_kg",530,"Sour cherries",126,9.6,223.18,54.1,2257.51,2.03,0,0,2.77,0,0,35.1,243.47,0,1.12,3.35,0,0,0,0,1.24,1.83,0,13.8,16.64,18.26,0,0,17.65,0,2.23
"9","Belarus","Cucumbers and gherkins",0.0675,9452617,3350000,"Import_kg",397,"Cucumbers and gherkins",86,7.33,338.8,62.08,1328.5,5.19,0,0,8.4,0.23,0.1,74.85,342.52,0,3.48,19.04,0,0,0.1,0,3.15,6.56,0,17.59,1.31,13.65,0,0,50.28,0.22,8.14
"10","Belarus","Garlic",0.00732,9452617,1136000,"Import_kg",406,"Garlic",90,200.26,8342.01,410.95,41941.96,21.81,0,0,84.39,2.28,1.91,724.85,2606.33,0.79,28.6,332.96,0.23,0.13,0.88,1.66,38.09,64.03,2.19,146.94,17.24,393.21,0,0,107.39,2.38,21.34
"11","Belarus","Grapes",0.1235,9452617,21143000,"Import_kg",560,"Grapes",122,111.42,972.24,428.91,26453.52,9.31,0,0,27.07,1.12,0.13,328.18,3829.23,0.18,5.83,36.83,0,0.24,0.39,0.18,10.14,48.9,1.25,216.13,24.75,169.04,0,0,150.78,0.86,25.36
"12","Belarus","Hazelnuts, with shell",0.03,9452617,21000,"Import_kg",225,"Hazelnuts; with shell",49,4.39,115.59,407.85,154.77,0,0,0,1.41,0,0,4.94,56.65,0,0,2.36,0,0,0,0,0.34,1.21,0,27.64,198.66,158.92,0,0,0,0,0.43
