"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Belize","Anise, badian, fennel, coriander",0.00195,383071,16000,"Import_kg",711,"Anise; badian; fennel; coriander",161,744.5,33871.12,30695.7,100097.93,22.38,0,0,1741.98,68.74,9.93,3177.56,51144.63,2.01,158.5,985.48,0.7,0.65,6.59,1.07,1173.46,674.71,5.84,1803.94,23319.24,5629.43,0,0,21.34,14.42,0
"2","Belize","Apples",0.121111111111111,383071,438000,"Import_kg",515,"Apples",119,53,293.06,278.11,12353.35,13.71,0,0,7.32,0.66,0,97.11,1337.45,0,5.5,10.25,0,0,0.18,0,153.13,4.41,0,36.82,8.02,61.84,0,0,79.78,0.24,9.44
"3","Belize","Asparagus",0.0845294117647059,383071,7000,"Import_kg",367,"Asparagus",80,0.44,46.63,4.39,65.83,0.47,0,0,0.45,0,0,4.69,52.6,0,0,1.81,0,0,0,0,0.35,0.3,0,0.97,0.11,1.51,0,0,2.01,0,1.02
"4","Belize","Bananas",0.04075,383071,83845000,"Production_kg",486,"Bananas",117,54108,653002.07,124880.1,12538652.62,5718.4,19.73,10.03,5291.61,429.08,88.62,182512.94,839858.35,49.55,3409.03,13623.28,28.72,27.16,457.33,187.45,5263.76,15218.36,145.02,59620.18,13965.09,30347.21,0,0,39125.43,445.21,19067.71
"5","Belize","Beans, dry",0.1145,383071,7825000,"Production_kg/Import_kg",176,"Beans",30,5878.67,379856.06,24493.25,1034747.5,32.36,0,7.29,2496.14,130.09,52.1,20860.22,221266.63,15.56,278.66,6899.78,8.06,3.94,35.66,6.92,1969.56,3084.42,23.23,5514.6,2448.73,8484,0,0,209.15,68.16,0
"6","Belize","Beans, green",0.0843965476190476,383071,159000,"Production_kg",414,"Beans; green",92,23.46,2242.51,267.75,3680.01,11.27,0,0,30.96,1.07,0.23,143.15,1101.98,0,8.16,52.43,0,0.49,0.43,0,3.98,14.75,0,23.93,9.02,46.23,0,0,40.88,0.56,6.1
"7","Belize","Cabbages and other brassicas",0.08324,383071,1207000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,101.69,8596.95,1153.71,16589.3,232.13,0.87,0.24,464.52,6.55,1.29,1080.92,8353.68,0.59,148.79,266.87,0.23,0.39,2.93,0.68,93.33,92.42,0.96,129.86,67.84,332.52,0,0,343.87,4.19,104.47
"8","Belize","Carrots and turnips",0.0830718954248366,383071,1488000,"Production_kg/Import_kg",426,"Carrots and turnips",96,141.37,6122.89,1094.88,27433.19,128,2.85,0.1,310.17,7.25,1.21,1360.86,9495.51,0.28,220.73,557.04,0.24,0.44,3.62,0.85,489.1,56.89,0.67,151.19,68.58,353.81,0,0,417.32,5.87,107.55
"9","Belize","Cashew nuts, with shell",0.0289438420348059,383071,1000,"Import_kg",217,"Cashew nuts; with shell",43,4.91,165.72,379.59,218.09,0,0,0,0.36,0,0,5.87,23.99,0,0.83,4.24,0,0,0,0,0,2.73,0,70.2,214.63,70.76,0,0,0,0,0.25
"10","Belize","Cassava",0.108277777777778,383071,725000,"Production_kg",125,"Cassava",17,243.11,3194.02,829.68,54261.68,56.28,0,0,68.14,2.13,0.59,657.21,2586.91,0.17,16.08,68.88,0.11,0,1,0.15,41.43,36.71,0.67,152.07,152.94,76.91,0,0,109.82,2.46,36.71
"11","Belize","Cauliflowers and broccoli",0.103835520801038,383071,418000,"Import_kg",393,"Cauliflowers and broccoli",84,30.12,3255.21,339.78,4276.01,84.98,0.57,0,46.07,1.14,0.44,311.36,1996.66,0,31.46,114.14,0.12,0.11,0.75,0.19,66.56,18.92,0.19,65.42,19.7,33.89,0,0,91.02,1.13,50.44
"12","Belize","Chestnut",0.059,383071,1000,"Import_kg",220,"Chestnuts",44,1.16,22.55,12.9,230.39,0,0,0,0.17,0,0,2.89,54.42,0,0,0.56,0,0,0,0,0,0.33,0,3.7,6.79,7.78,0,0,0.15,0,0
"13","Belize","Chick peas",0.04575,383071,13000,"Import_kg",191,"Chick peas",33,26.13,1442.3,373.4,4325.76,0.16,0,0,10.12,0.51,0.26,60.01,566.22,0,1.49,23.02,0,0,0.13,0,10.88,7.34,0.84,45.73,101.14,197.35,0,0,0.78,0.22,0
"14","Belize","Chillies and peppers, dry",4e-04,383071,38000,"Import_kg",689,"Pimento",156,5963.35,254142.56,221361.05,1017708,1870.72,16.84,1.36,5145.03,181.04,65.53,45184.84,551046.67,16.36,11252.81,4610.72,6.92,10.8,136.82,42.75,1277.18,3806.74,54.01,65718.89,42200.62,152897.68,0,0,695.09,148.4,0
"15","Belize","Chillies and peppers, green",0.0664142191142191,383071,284000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,43.75,1987.54,741.84,7711.2,128.73,0.14,0,30.86,1.81,0.35,314.71,3588.51,0.17,7.92,113.73,0.14,0.13,1.33,0.4,9.01,40.27,0.26,46.55,19.92,203.69,0,0,98.53,0.99,18.48
"16","Belize","Cinnamon (cannella)",0.00115555555555556,383071,22000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Belize","Cloves",0.0013,383071,3000,"Import_kg",698,"Cloves",157,144.38,2604.46,5622.58,27215.28,0,0,0,337.76,5.19,1.4,614.47,12921.89,0.22,166.87,49,0,0,0.47,0.24,22.53,156.03,36.22,2380.76,839.17,2172.32,0,0,20.05,2.54,0
"18","Belize","Cocoa, beans",0.0115,383071,110000,"Production_kg",661,"Cocoa Beans",153,569.31,40291.32,103255.24,144575.31,0,0,0,267.83,12.67,17,2505.72,92388.37,9.46,20.6,1464.44,0.42,0.49,4.61,0.29,29.96,1245.99,9.58,57474.3,39683.3,2147.41,0,0,9.69,9.93,0
"19","Belize","Coconuts",0.04,383071,1300000,"Production_kg/Import_kg",249,"Coconuts - Incl Copra",58,2693.69,28464.65,238778,106755.01,20.35,0,0.17,158.34,24.35,14,2773.58,54769.37,4.34,179.7,892.9,0.53,0.27,5.74,0.35,102.66,245.9,31.82,253240.91,22588.83,5794.62,0,0,449.94,8.68,352.09
"20","Belize","Coffee, green",0.00312,383071,127000,"Production_kg/Import_kg",656,"Coffee",152,1968.81,120121.1,158516.82,384661.24,10.63,0,0.18,1094.94,36.72,5.64,23651.8,0,2.19,377.91,3020.25,1.53,5.31,117.82,0.25,457.65,1985.44,4.05,352.04,2640.3,176.02,0,0,55.81,61.6,0
"21","Belize","Cucumbers and gherkins",0.0675,383071,219000,"Production_kg",397,"Cucumbers and gherkins",86,11.82,546.54,100.14,2143.06,8.37,0,0,13.55,0.38,0.16,120.74,552.54,0,5.62,30.72,0,0,0.16,0,5.08,10.59,0,28.37,2.12,22.02,0,0,81.1,0.35,13.13
"22","Belize","Dates",0.0393863636363636,383071,4000,"Import_kg",577,"Dates",121,5.27,46.59,7.79,1351.03,0.18,0,0,1.1,0,0,16,130.97,0,0,2.13,0,0,0,0,0.21,1.07,0,0.42,0.48,0.25,0,0,1,0,0.46
"23","Belize","Fruit, fresh nes",0.107099201828105,383071,7180000,"Production_kg/Import_kg",619,"Fresh fruit; nes",147,1575.13,26729.05,13330.44,337289.6,682.59,0.87,0.26,938.79,63.84,4.39,4875.25,60775.65,1.97,195.37,732.22,1.09,1,17.5,1.56,1222,558.51,3.67,2142.1,1475.9,2039.82,0,0,1324.74,15.96,487.11
"24","Belize","Garlic",0.00732,383071,243000,"Import_kg",406,"Garlic",90,1057.06,44032.33,2169.15,221385.64,115.13,0,0,445.43,12.05,10.1,3826.01,13757.19,4.18,150.96,1757.5,1.22,0.7,4.64,8.77,201.05,337.97,11.58,775.6,90.99,2075.49,0,0,566.82,12.56,112.66
"25","Belize","Ginger",0.02852,383071,2000,"Import_kg",720,"Ginger",162,3.56,89.37,38.49,745.56,0,0,0,1.3,0.1,0,16.53,108.07,0,0.45,1.61,0,0,0,0,0.75,2.69,0.61,47.58,8.77,17.01,0,0,0.85,0,0
