"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Benin","Bananas",0.04075,11485044,22284000,"Production_kg",486,"Bananas",117,479.65,5788.65,1107.02,111151.02,50.69,0.17,0,46.91,3.8,0.79,1617.92,7445.07,0.44,30.22,120.77,0.25,0.24,4.05,1.66,46.66,134.91,1.29,528.51,123.8,269.02,0,0,346.83,3.95,169.03
"2","Benin","Beans, dry",0.1145,11485044,126170000,"Production_kg",176,"Beans",30,3161.53,204285.45,13172.39,556484.09,17.41,0,3.92,1342.42,69.96,28.02,11218.56,118996.53,8.37,149.86,3710.68,4.34,2.12,19.18,3.72,1059.22,1658.79,12.5,2965.74,1316.92,4562.67,0,0,112.48,36.66,0
"3","Benin","Cashew nuts, with shell",0.0289438420348059,11485044,204302000,"Production_kg",217,"Cashew nuts; with shell",43,33447.55,1129270.52,2586594.24,1486149.58,100.38,0.58,2.18,2475.91,372.09,317.59,39978.92,163480.29,130.04,5680.84,28916.35,32.78,9.38,80.22,26.75,0,18601.52,81.59,478333.51,1462534.05,482143.95,0,0,611.1,140.3,1720.85
"4","Benin","Cassava",0.108277777777778,11485044,3894777000,"Production_kg",125,"Cassava",17,43560.93,572306.1,148661.78,9722644.96,10084.78,3.21,7.99,12210.14,381.31,106.49,117760.18,463524.1,31.32,2881.37,12342.61,19.5,17.43,179.68,27.56,7422.65,6577.03,120.27,27247.7,27404.3,13780.45,0,0,19677.22,440.22,6577.03
"5","Benin","Castor oil seed",0.0178426203877423,11485044,641000,"Production_kg",265,"Oilcrops Oil; Other",75,276.11,39.05,28434.29,16.98,0,0,0,0.54,0,0,0.56,0,0,0.15,0.54,0,0,0,0,1.35,0.12,0,7075.82,11525.58,10268.04,0,0,2.48,0,0
"6","Benin","Chillies and peppers, dry",4e-04,11485044,46115000,"Production_kg",689,"Pimento",156,241376.61,10286855.06,8959967.63,41193473.97,75720.39,681.46,54.96,208253.79,7327.78,2652.56,1828933.57,22304557.56,662.26,455476.73,186626.8,280.22,437.2,5537.99,1730.31,51695.98,154084.14,2185.95,2660084.5,1708142.31,6188795.33,0,0,28134.99,6006.77,0
"7","Benin","Chillies and peppers, green",0.0664142191142191,11485044,56186000,"Production_kg",401,"Chillies and peppers; green",88,288.68,13115.12,4895.15,50883.64,849.45,0.92,0.22,203.62,11.97,2.3,2076.68,23679.38,1.14,52.25,750.44,0.93,0.88,8.75,2.61,59.48,265.74,1.74,307.16,131.43,1344.11,0,0,650.19,6.51,121.95
"8","Benin","Coconuts",0.04,11485044,14022000,"Production_kg",249,"Coconuts - Incl Copra",58,969.08,10240.45,85902.84,38406.21,7.32,0,0,56.96,8.76,5.04,997.82,19703.84,1.56,64.65,321.23,0.19,0,2.06,0.13,36.93,88.46,11.45,91106.02,8126.56,2084.67,0,0,161.87,3.12,126.67
"9","Benin","Coffee, green",0.00312,11485044,42000,"Production_kg",656,"Coffee",152,21.72,1324.99,1748.51,4242.98,0.12,0,0,12.08,0.4,0,260.89,0,0,4.17,33.31,0,0,1.3,0,5.05,21.9,0,3.88,29.12,1.94,0,0,0.62,0.68,0
"10","Benin","Dates",0.0393863636363636,11485044,1454000,"Production_kg",577,"Dates",121,63.9,564.91,94.42,16380.05,2.17,0,0,13.34,0.53,0,193.98,1587.86,0,0.64,25.83,0,0,0.53,0,2.6,12.96,0,5.14,5.79,3.05,0,0,12.15,0.43,5.57
"11","Benin","Fonio",0.0477,11485044,3806000,"Production_kg",94,"Fonio",10,241.37,5634.73,1599.64,51420.14,0,0,0,25.8,4.48,1.69,197.99,2367.71,0.3,6.66,118.28,0.15,0,1.18,0.51,0,228.1,0,0,0,0,0,0,7.66,1.28,0
"12","Benin","Fruit, fresh nes",0.107099201828105,11485044,153667000,"Production_kg",619,"Fresh fruit; nes",147,1124.4,19080.35,9515.84,240771.86,487.26,0.62,0.19,670.15,45.57,3.13,3480.17,43384.28,1.41,139.46,522.69,0.78,0.71,12.5,1.12,872.31,398.69,2.62,1529.13,1053.56,1456.11,0,0,945.65,11.39,347.72
