"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Bosnia and Herzegovina","Almonds, with shell",0.0296505238073522,3323925,84000,"Production_kg",221,"Almonds; with shell",45,50.75,1807.74,4360.08,1538.98,0.89,0,0,20.69,0.27,0.31,67.1,617.92,0,0.41,41.14,0,0,0.33,0,4.44,27.4,0.18,336.75,2878.71,994.17,0,0,0.42,0.25,5.54
"2","Bosnia and Herzegovina","Anise, badian, fennel, coriander",0.00195,3323925,946000,"Production_kg/Import_kg",711,"Anise; badian; fennel; coriander",161,5072.99,230796.24,209159.1,682062.74,152.52,0.35,0.17,11869.75,468.41,67.68,21651.74,348497.14,13.69,1080.03,6715.05,4.79,4.41,44.93,7.3,7995.89,4597.44,39.81,12291.94,158896.21,38358.69,0,0,145.39,98.25,0
"3","Bosnia and Herzegovina","Apples",0.121111111111111,3323925,126593000,"Production_kg/Import_kg",515,"Apples",119,1765.26,9761.57,9263.66,411479.51,456.57,0.17,0,243.71,22.05,2.01,3234.51,44549.43,0.91,183.18,341.42,1.43,0.89,5.89,1.27,5100.65,146.75,1.1,1226.42,267.3,2059.76,0,0,2657.36,8.09,314.47
"4","Bosnia and Herzegovina","Apricots",0.03995,3323925,3345000,"Production_kg/Import_kg",526,"Apricots",125,124.44,2519,644.14,28676.29,16.84,0.32,0,42.82,2,0.55,734.71,3442.63,0.2,3.34,60.04,0,0.28,1.96,0.14,7.05,25.19,0.19,71.79,428.23,197.74,0,0,215.64,1.99,21.41
"5","Bosnia and Herzegovina","Asparagus",0.0845294117647059,3323925,2000,"Import_kg",367,"Asparagus",80,0,1.54,0.14,2.17,0,0,0,0,0,0,0.15,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Bosnia and Herzegovina","Avocados",0.048,3323925,1173000,"Production_kg/Import_kg",572,"Avocados",141,107.1,1182.53,10357.17,3190.77,9.4,0,0,15.12,0.71,0.35,374.98,3222.63,0.16,4.85,124.8,0,0.1,1.02,0.22,10.44,22.24,0.1,1758.23,5839.14,1223.37,0,0,56.53,0.86,27.94
"7","Bosnia and Herzegovina","Bananas",0.04075,3323925,52487000,"Import_kg",486,"Bananas",117,3903.59,47110.44,9009.4,904593.6,412.55,1.42,0.72,381.76,30.96,6.39,13167.29,60591.08,3.57,245.94,982.84,2.07,1.96,32.99,13.52,379.75,1097.92,10.46,4301.26,1007.5,2189.38,0,0,2822.68,32.12,1375.63
"8","Bosnia and Herzegovina","Barley",0.04775,3323925,103053000,"Production_kg/Import_kg",44,"Barley",3,22344.71,593739.59,90353.27,4840891,43.29,0,1.36,3619.77,505.04,164.14,16719.11,537825.25,41.51,1389.47,18989.85,17.08,8.4,347.19,18.76,2454.3,5042.79,92.31,23569.08,14414.15,54150.45,0,0,762.41,118.95,0
"9","Bosnia and Herzegovina","Beans, dry",0.1145,3323925,15707000,"Production_kg/Import_kg",176,"Beans",30,1359.93,87873.11,5666.09,239370.89,7.49,0,1.69,577.44,30.09,12.05,4825.65,51186.2,3.6,64.46,1596.15,1.86,0.91,8.25,1.6,455.62,713.53,5.37,1275.71,566.47,1962.63,0,0,48.38,15.77,0
"10","Bosnia and Herzegovina","Beans, green",0.0843965476190476,3323925,1690000,"Production_kg/Import_kg",414,"Beans; green",92,28.74,2746.96,327.98,4507.82,13.81,0,0,37.93,1.31,0.28,175.35,1349.87,0,9.99,64.22,0,0.6,0.53,0,4.88,18.07,0,29.32,11.04,56.63,0,0,50.07,0.68,7.47
"11","Bosnia and Herzegovina","Berries nes",0.109406559397488,3323925,811000,"Production_kg",558,"Berries; nes",138,12.62,207.56,100.51,2860.56,10.33,0,0,8.17,0.34,0,36.87,642.27,0,1.35,5.02,0,0,0.11,0,2.18,3.62,0.21,4.01,9.37,48.67,0,0,19.15,0.11,0.18
"12","Bosnia and Herzegovina","Buckwheat",0.0421111111111111,3323925,1017000,"Production_kg/Import_kg",89,"Buckwheat",9,239.58,7728.81,1961.72,50060.16,0,0,0,30.52,5.14,1.95,298.62,6757.03,0.46,4.4,255.02,0.29,0.21,4.15,0.15,0,166.38,0.94,538.38,755.63,754.9,0,0,9.69,1.6,0
