"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Bosnia and Herzegovina","Almonds, with shell",0.0296505238073522,3323925,84000,"Production_kg",221,"Almonds; with shell",45,50.75,1807.74,4360.08,1538.98,0.89,0,0,20.69,0.27,0.31,67.1,617.92,0,0.41,41.14,0,0,0.33,0,4.44,27.4,0.18,336.75,2878.71,994.17,0,0,0.42,0.25,5.54
"2","Bosnia and Herzegovina","Anise, badian, fennel, coriander",0.00195,3323925,819000,"Production_kg",711,"Anise; badian; fennel; coriander",161,4391.95,199811.97,181079.6,590496.18,132.04,0.3,0.15,10276.24,405.52,58.6,18745.01,301711.58,11.86,935.04,5813.55,4.14,3.82,38.9,6.32,6922.45,3980.23,34.47,10641.76,137564.48,33209.05,0,0,125.87,85.06,0
"3","Bosnia and Herzegovina","Apples",0.121111111111111,3323925,98265000,"Production_kg",515,"Apples",119,1370.24,7577.2,7190.71,319401.82,354.4,0.13,0,189.18,17.12,1.56,2510.72,34580.5,0.71,142.19,265.02,1.11,0.69,4.57,0.98,3959.26,113.91,0.85,951.98,207.48,1598.84,0,0,2062.71,6.28,244.1
"4","Bosnia and Herzegovina","Apricots",0.03995,3323925,1034000,"Production_kg",526,"Apricots",125,38.47,778.67,199.12,8864.36,5.2,0,0,13.24,0.62,0.17,227.11,1064.18,0,1.03,18.56,0,0,0.61,0,2.18,7.79,0,22.19,132.37,61.13,0,0,66.66,0.62,6.62
"5","Bosnia and Herzegovina","Avocados",0.048,3323925,1050000,"Production_kg",572,"Avocados",141,95.87,1058.53,9271.13,2856.19,8.42,0,0,13.53,0.63,0.32,335.66,2884.7,0.14,4.34,111.71,0,0,0.91,0.2,9.35,19.91,0,1573.86,5226.85,1095.09,0,0,50.6,0.77,25.01
"6","Bosnia and Herzegovina","Barley",0.04775,3323925,74462000,"Production_kg",44,"Barley",3,16145.4,429012.62,65285.68,3497835.34,31.28,0,0.99,2615.5,364.92,118.6,12080.57,388611.14,29.99,1003.98,13721.31,12.34,6.07,250.86,13.56,1773.38,3643.72,66.7,17030.08,10415.09,39126.96,0,0,550.89,85.95,0
"7","Bosnia and Herzegovina","Beans, dry",0.1145,3323925,11114000,"Production_kg",176,"Beans",30,962.26,62177.49,4009.23,169374.68,5.3,0,1.19,408.59,21.29,8.53,3414.55,36218.46,2.55,45.61,1129.4,1.32,0.64,5.84,1.13,322.39,504.88,3.8,902.67,400.83,1388.72,0,0,34.24,11.16,0
"8","Bosnia and Herzegovina","Beans, green",0.0843965476190476,3323925,1605000,"Production_kg",414,"Beans; green",92,27.3,2608.8,311.49,4281.09,13.11,0,0,36.02,1.24,0.27,166.53,1281.97,0,9.49,60.99,0,0.57,0.5,0,4.63,17.16,0,27.84,10.49,53.78,0,0,47.55,0.65,7.09
"9","Bosnia and Herzegovina","Berries nes",0.109406559397488,3323925,811000,"Production_kg",558,"Berries; nes",138,12.62,207.56,100.51,2860.56,10.33,0,0,8.17,0.34,0,36.87,642.27,0,1.35,5.02,0,0,0.11,0,2.18,3.62,0.21,4.01,9.37,48.67,0,0,19.15,0.11,0.18
"10","Bosnia and Herzegovina","Buckwheat",0.0421111111111111,3323925,742000,"Production_kg",89,"Buckwheat",9,174.8,5638.92,1431.26,36523.74,0,0,0,22.26,3.75,1.42,217.87,4929.91,0.34,3.21,186.06,0.21,0.15,3.03,0.11,0,121.39,0.69,392.8,551.3,550.77,0,0,7.07,1.17,0
"11","Bosnia and Herzegovina","Cabbages and other brassicas",0.08324,3323925,71773000,"Production_kg",358,"Cabbages and other brassicas",78,696.91,58915.07,7906.36,113686.8,1590.79,5.98,1.62,3183.39,44.9,8.85,7407.56,57247.93,4.02,1019.65,1828.88,1.57,2.67,20.1,4.68,639.58,633.38,6.58,889.96,464.93,2278.77,0,0,2356.53,28.69,715.96
"12","Bosnia and Herzegovina","Carrots and turnips",0.0830718954248366,3323925,10906000,"Production_kg",426,"Carrots and turnips",96,119.41,5171.87,924.82,23172.18,108.12,2.4,0,261.99,6.13,1.02,1149.48,8020.64,0.23,186.44,470.52,0.2,0.37,3.06,0.72,413.13,48.05,0.56,127.71,57.93,298.86,0,0,352.5,4.96,90.84
"13","Bosnia and Herzegovina","Cherries",0.1289,3323925,9379000,"Production_kg",531,"Cherries",127,99.79,2382.4,379.43,22795.14,27.41,0,0,60.42,1.11,0.15,543.97,2298.49,0.13,3.28,51.22,0,0,1.51,0.11,13.35,24.08,0.15,83.18,102.88,113.83,0,0,180.32,1.49,17.51
"14","Bosnia and Herzegovina","Cherries, sour",0.028,3323925,4244000,"Production_kg",530,"Sour cherries",126,215.84,5016.01,1216,50737.75,45.6,0.23,0,62.32,1.85,0.75,788.88,5472.02,0.47,25.08,75.24,0.11,0.14,1.82,0.2,27.82,41.04,0.51,310.08,373.92,410.4,0,0,396.77,1.82,50.16
"15","Bosnia and Herzegovina","Chestnut",0.059,3323925,2109000,"Production_kg",220,"Chestnuts",44,281.76,5481,3136.61,55996.51,19,0,0.12,40.15,1.79,0.49,702.78,13227.52,0.7,20.04,136.04,0.23,0.22,1.16,0.71,0,79.58,1.4,900.12,1650.75,1890.57,0,0,36.51,2.2,21.51
"16","Bosnia and Herzegovina","Chick peas",0.04575,3323925,5861000,"Production_kg",191,"Chick peas",33,1357.64,74939.64,19401.23,224759.99,8.09,0,1.43,525.57,26.7,13.29,3118.01,29420.07,3.54,77.31,1196.33,1.52,0.68,6.79,2.06,565.21,381.56,43.39,2376.09,5255.14,10253.98,0,0,40.46,11.44,0
