"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Botswana","Cabbages and other brassicas",0.08324,2254068,17505000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,250.65,21189.06,2843.56,40887.94,572.13,2.15,0.58,1144.92,16.15,3.18,2664.16,20589.46,1.44,366.72,657.76,0.56,0.96,7.23,1.68,230.03,227.8,2.37,320.08,167.22,819.57,0,0,847.54,10.32,257.5
"2","Botswana","Carrots and turnips",0.0830718954248366,2254068,5512000,"Production_kg/Import_kg",426,"Carrots and turnips",96,89,3854.56,689.26,17270.1,80.58,1.79,0,195.26,4.57,0.76,856.7,5977.74,0.17,138.95,350.68,0.15,0.27,2.28,0.54,307.91,35.81,0.42,95.18,43.17,222.74,0,0,262.72,3.69,67.7
"3","Botswana","Cereals nes",0.0486257263475995,2254068,4440000,"Production_kg",108,"Cereals; nes",13,1410.72,52760.13,18644.64,297704.56,4.35,0,0,588.15,89.83,15.4,1729.73,12789.22,3.28,31.6,1541.86,1.45,1.07,5.91,1.95,53.07,745.36,37.43,1818.85,2385.97,4338.5,0,0,44.21,15.88,0
"4","Botswana","Fruit, fresh nes",0.107099201828105,2254068,5561000,"Production_kg/Import_kg",619,"Fresh fruit; nes",147,207.33,3518.23,1754.63,44395.98,89.85,0.11,0,123.57,8.4,0.58,641.71,7999.64,0.26,25.72,96.38,0.14,0.13,2.3,0.21,160.85,73.51,0.48,281.96,194.27,268.49,0,0,174.37,2.1,64.12
"5","Botswana","Groundnuts, with shell",0.028,2254068,88000,"Production_kg",242,"Groundnuts (Shelled Eq)",54,76.5,3285.46,6121.83,2374.09,0.2,0,0,8.35,0.49,0.39,97.11,1158.56,0.15,1.43,54.47,0.11,0,2,0,19.28,26.15,0.2,875.48,3405.73,2169.26,0,0,1.18,0.38,0
"6","Botswana","Maize",0.0869363057324841,2254068,252157000,"Production_kg/Import_kg",56,"Maize",4,45468.22,1112145.13,440443.99,9286920.36,88.24,2.84,3,2684.88,418.72,230.9,37909.11,666406.81,23.22,1202.55,28166.07,34.32,15.24,331.91,45.6,0,14111.77,31.2,76144.95,165704.53,310852.83,0,0,1603.45,161.52,0
"7","Botswana","Mangoes, mangosteens, guavas",0.09628125,2254068,1386000,"Production_kg/Import_kg",571,"Mangos; mangosteens; guavas",140,39.19,479.77,157.84,8810.73,55.25,0,0,11.29,0.34,0,114.78,1703.03,0,6.77,12.23,0,0,0.74,0,4.85,29.06,0,97.58,48.15,107.55,0,0,53.01,0.38,16.92
"8","Botswana","Millet",0.0477,2254068,905000,"Production_kg/Import_kg",79,"Millet",7,288.97,7797.79,3167.4,59267.55,0.23,0,0,50.15,6.06,1.91,218.21,4687.2,0.86,9.1,211.74,0.25,0.1,2.02,0.81,629.6,110.9,0.92,608.56,650.64,1796.21,0,0,9.12,1.97,0
"9","Botswana","Onions, dry",0.093304347826087,2254068,13415000,"Production_kg/Import_kg",403,"Onions",77,251.86,7341.13,896.46,53290.99,56.71,0,0,264.39,4.54,2.51,824.11,9057.54,0.18,64.07,332.69,0.21,0.23,1.53,0.7,38.91,76.12,0.41,216.87,155.21,355.07,0,0,575.46,3.31,51.03
"10","Botswana","Oranges",0.138371428571429,2254068,6459000,"Production_kg/Import_kg",490,"Oranges; Mandarines",113,91.53,1642.58,475.15,20706.68,95.61,0.11,0,65.41,1,0.13,348.09,2786.26,0,5.59,44.83,0.14,0,3.66,0.14,22.5,21.95,0,43.49,63.68,67.3,0,0,180.01,0.88,55.5
