"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Brunei Darussalam","Bananas",0.04075,428963,1943000,"Production_kg",486,"Bananas",117,1119.74,13513.56,2584.33,259481.23,118.34,0.41,0.21,109.51,8.88,1.83,3777.02,17380.45,1.03,70.55,281.93,0.59,0.56,9.46,3.88,108.93,314.94,3,1233.81,289,628.02,0,0,809.68,9.21,394.6
"2","Brunei Darussalam","Cassava",0.108277777777778,428963,3382000,"Production_kg",125,"Cassava",17,1012.75,13305.53,3456.23,226041.54,234.46,0,0.19,283.87,8.87,2.48,2737.8,10776.46,0.73,66.99,286.95,0.45,0.41,4.18,0.64,172.57,152.91,2.8,633.48,637.12,320.38,0,0,457.48,10.23,152.91
"3","Brunei Darussalam","Chillies and peppers, green",0.0664142191142191,428963,306000,"Production_kg",401,"Chillies and peppers; green",88,42.09,1912.4,713.79,7419.67,123.86,0.13,0,29.69,1.75,0.33,302.81,3452.84,0.17,7.62,109.43,0.14,0.13,1.28,0.38,8.67,38.75,0.25,44.79,19.16,195.99,0,0,94.81,0.95,17.78
"4","Brunei Darussalam","Coconuts",0.04,428963,429000,"Production_kg",249,"Coconuts - Incl Copra",58,793.82,8388.4,70366.78,31460.21,6,0,0,46.66,7.17,4.12,817.36,16140.28,1.28,52.96,263.13,0.16,0,1.69,0.1,30.25,72.46,9.38,74628.94,6656.82,1707.65,0,0,132.59,2.56,103.76
"5","Brunei Darussalam","Cucumbers and gherkins",0.0675,428963,1740000,"Production_kg",397,"Cucumbers and gherkins",86,83.89,3877.78,710.51,15205.41,59.4,0,0,96.15,2.67,1.15,856.66,3920.37,0.32,39.89,217.96,0.16,0.19,1.15,0.24,36.06,75.12,0.47,201.31,15.02,156.24,0,0,575.44,2.5,93.14
"6","Brunei Darussalam","Eggplants (aubergines)",0.082,428963,292000,"Production_kg",399,"Eggplants (aubergines)",87,22.64,958.19,600.74,4391.93,5.48,0,0,14.21,0.51,0.16,166.71,1720.75,0,4.45,36.35,0,0,1.07,0,24.45,10.65,0.19,22.41,10.79,48.15,0,0,76.18,0.99,17.02
"7","Brunei Darussalam","Fruit, fresh nes",0.107099201828105,428963,4322000,"Production_kg",619,"Fresh fruit; nes",147,846.71,14368.23,7165.79,181310.4,366.93,0.47,0.14,504.65,34.31,2.36,2620.7,32670.02,1.06,105.02,393.6,0.59,0.54,9.41,0.84,656.89,300.23,1.97,1151.49,793.37,1096.51,0,0,712.11,8.58,261.84
"8","Brunei Darussalam","Lemons and limes",0.0785,428963,68000,"Production_kg",497,"Lemons; Limes",114,7.62,153.08,84.31,1678.4,8.32,0,0,7.64,0.12,0,42.37,268.58,0,0.92,3.96,0,0,0,0,1.03,2.02,0,6.8,2.69,13.73,0,0,18,0,7.07
"9","Brunei Darussalam","Lettuce and chicory",0.0865961538461538,428963,10000,"Production_kg",372,"Lettuce and chicory",81,0.47,38.59,6.68,75.13,0.3,0,0,1.43,0,0,6.91,47.69,0,0.68,1.82,0,0,0,0,0.87,0.37,0,0.98,0.2,2.26,0,0,2.52,0,0.46
"10","Brunei Darussalam","Maize, green",0.101,428963,45000,"Production_kg",446,"Maize; green",98,12.33,399.49,130.48,2620.01,0.86,0,0,1.28,0.13,0,26.28,166.18,0,3.05,16.53,0,0,0.15,0,2.39,4,0,25.45,41.96,59.45,0,0,7.08,0,4.88
"11","Brunei Darussalam","Mushrooms and truffles",0.0389236263736264,428963,14000,"Production_kg",449,"Mushrooms and truffles",99,2.56,224.63,31.71,423.98,0.25,0,0,0.81,0.14,0,27.06,201.24,0,0.99,8.69,0,0,0.32,0,2.67,1.27,0,3.58,1.37,75.48,0,0,7.6,0,0.25
"12","Brunei Darussalam","Okra",0.0853823529411765,428963,432000,"Production_kg",430,"Okra",97,37.99,2176.36,180.61,7651.62,23.42,0,0,85.2,0.71,0.49,263.42,3184.63,0.12,12.64,62.35,0,0,1.06,0.25,14.51,41.28,0.93,30.67,20.05,31.85,0,0,105.91,0.9,19.46
"13","Brunei Darussalam","Onions, shallots, green",0.083270092226614,428963,98000,"Production_kg",402,"Onions (inc. shallots); green",89,10.55,419.24,55.26,2153.34,5.85,0,0,12.51,0.52,0.15,58.85,554.2,0,2.83,14.39,0,0,0,0,2.04,11.52,0.11,10.7,9.4,25.31,0,0,24.48,0.2,4.18
"14","Brunei Darussalam","Oranges",0.138371428571429,428963,459000,"Production_kg",490,"Oranges; Mandarines",113,34.18,613.37,177.43,7732.24,35.7,0,0,24.43,0.37,0,129.98,1040.44,0,2.09,16.74,0,0,1.37,0,8.4,8.2,0,16.24,23.78,25.13,0,0,67.22,0.33,20.72
"15","Brunei Darussalam","Pepper (piper spp.)",0.002,428963,29000,"Production_kg",687,"Pepper",155,970.98,32970.53,13843.98,188706.4,26.7,0,0,1214.26,36.25,3.96,2360.26,65982.38,3.78,44.55,541.05,0.2,0.34,4.22,0.8,38.2,519.29,23.72,3410.67,2582.51,2727.86,0,0,65.49,11.31,0
"16","Brunei Darussalam","Pineapples",0.1096,428963,1207000,"Production_kg",574,"Pineapples",120,121.36,1180.23,545.45,28373.82,57.12,0,0,92.05,1.55,0.24,411.9,2137.71,0.29,11.9,24.61,0.18,0.11,0.8,0.25,419.11,30.38,2.38,50.06,68.03,154.04,0,0,223.65,0.82,105.26
"17","Brunei Darussalam","Pumpkins, squash and gourds",0.100019949494949,428963,245000,"Production_kg",394,"Pumpkins; squash; and gourds",85,12.22,580.55,101.51,2287.56,9.82,0.13,0,15.91,0.56,0.12,103.63,900.25,0,4.12,36.18,0,0,0.42,0,22.97,12.69,0,31.28,7.55,15.23,0,0,53.22,0.32,12.42
"18","Brunei Darussalam","Rice, paddy",0.0488821264103023,428963,1500000,"Production_kg",27,"Rice (Milled Equivalent)",2,2533.18,53181.19,7632.65,555922.19,0.25,0,0.14,247.12,15.73,8.87,896.23,11947.9,1.07,66.99,1117.51,1.27,0.39,23.92,1.59,0,417.29,7.18,897.77,1291.21,1201.8,0,0,84.04,6.14,0
