"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Cabo Verde","Almonds, with shell",0.0296505238073522,543767,2000,"Import_kg",221,"Almonds; with shell",45,7.39,263.1,634.58,223.99,0.13,0,0,3.01,0,0,9.77,89.93,0,0,5.99,0,0,0,0,0.65,3.99,0,49.01,418.97,144.69,0,0,0,0,0.81
"2","Cabo Verde","Anise, badian, fennel, coriander",0.00195,543767,6000,"Import_kg",711,"Anise; badian; fennel; coriander",161,196.68,8948.03,8109.15,26443.74,5.91,0,0,460.19,18.16,2.62,839.44,13511.32,0.53,41.87,260.34,0.19,0.17,1.74,0.28,310,178.24,1.54,476.56,6160.44,1487.18,0,0,5.64,3.81,0
"3","Cabo Verde","Apples",0.121111111111111,543767,2769000,"Import_kg",515,"Apples",119,236.03,1305.18,1238.61,55017.37,61.05,0,0,32.59,2.95,0.27,432.47,5956.54,0.12,24.49,45.65,0.19,0.12,0.79,0.17,681.99,19.62,0.15,163.98,35.74,275.4,0,0,355.31,1.08,42.05
"4","Cabo Verde","Apricots",0.03995,543767,6000,"Import_kg",526,"Apricots",125,1.36,27.62,7.06,314.42,0.18,0,0,0.47,0,0,8.06,37.75,0,0,0.66,0,0,0,0,0,0.28,0,0.79,4.7,2.17,0,0,2.36,0,0.23
"5","Cabo Verde","Artichokes",0.1,543767,2000,"Import_kg",366,"Artichokes",79,0.2,9.63,0.64,42.67,0,0,0,0.31,0,0,1.26,9.07,0,0.39,0.36,0,0,0,0,0.13,0.22,0,0.16,0,0.23,0,0,0.32,0,0.22
"6","Cabo Verde","Asparagus",0.0845294117647059,543767,1000,"Import_kg",367,"Asparagus",80,0,4.69,0.44,6.62,0,0,0,0,0,0,0.47,5.29,0,0,0.18,0,0,0,0,0,0,0,0,0,0.15,0,0,0.2,0,0.1
"7","Cabo Verde","Avocados",0.048,543767,32000,"Import_kg",572,"Avocados",141,17.86,197.2,1727.16,532.09,1.57,0,0,2.52,0.12,0,62.53,537.4,0,0.81,20.81,0,0,0.17,0,1.74,3.71,0,293.2,973.73,204.01,0,0,9.43,0.14,4.66
"8","Cabo Verde","Bananas",0.04075,543767,86000,"Import_kg",486,"Bananas",117,39.1,471.85,90.24,9060.22,4.13,0,0,3.82,0.31,0,131.88,606.87,0,2.46,9.84,0,0,0.33,0.14,3.8,11,0.1,43.08,10.09,21.93,0,0,28.27,0.32,13.78
"9","Cabo Verde","Barley",0.04775,543767,1000,"Import_kg",44,"Barley",3,1.33,35.22,5.36,287.15,0,0,0,0.21,0,0,0.99,31.9,0,0,1.13,0,0,0,0,0.15,0.3,0,1.4,0.86,3.21,0,0,0,0,0
"10","Cabo Verde","Beans, dry",0.1145,543767,3572000,"Import_kg",176,"Beans",30,1890.48,122155.38,7876.62,332757.55,10.41,0,2.35,802.72,41.83,16.75,6708.3,71155.66,5,89.61,2218.86,2.59,1.27,11.47,2.22,633.38,991.9,7.47,1773.4,787.47,2728.31,0,0,67.26,21.92,0
