"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Chile","Alfalfa meal and pellets",0.0651708222811671,18729160,5052000,"Import_kg",862,"Mixed grain",12,144.13,4731.32,1026.46,30502.47,0,0,0,10.18,1.38,1.08,142.65,4373.51,0.19,2.26,130.82,0.17,0,1.78,0.13,13.51,49.06,1.06,181.85,220.39,431.57,0,0,4.45,0.68,0
"2","Chile","Almonds shelled",0.0296505238073522,18729160,2589000,"Import_kg",231,"Almonds; with shell",45,277.58,9888.31,23849.54,8418.19,4.85,0,0,113.16,1.46,1.69,367.06,3380.02,0.47,2.25,225.04,0,0.36,1.82,0,24.29,149.89,0.97,1841.99,15746.47,5438.1,0,0,2.32,1.37,30.3
"3","Chile","Anise, badian, fennel, coriander",0.00195,18729160,724000,"Import_kg",711,"Anise; badian; fennel; coriander",161,689.04,31347.95,28409.08,92641.31,20.72,0,0,1612.21,63.62,9.19,2940.85,47334.69,1.86,146.7,912.07,0.65,0.6,6.1,0.99,1086.04,624.45,5.41,1669.56,21582.11,5210.08,0,0,19.75,13.34,0
"4","Chile","Apples",0.121111111111111,18729160,3180000,"Import_kg",515,"Apples",119,7.87,43.52,41.3,1834.42,2.04,0,0,1.09,0,0,14.42,198.61,0,0.82,1.52,0,0,0,0,22.74,0.65,0,5.47,1.19,9.18,0,0,11.85,0,1.4
"5","Chile","Apricots",0.03995,18729160,1000,"Import_kg",526,"Apricots",125,0,0.13,0,1.52,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Chile","Apricots, dry",0.03995,18729160,148000,"Import_kg",527,"Apricots",125,0.98,19.78,5.06,225.18,0.13,0,0,0.34,0,0,5.77,27.03,0,0,0.47,0,0,0,0,0,0.2,0,0.56,3.36,1.55,0,0,1.69,0,0.17
"7","Chile","Asparagus",0.0845294117647059,18729160,399000,"Import_kg",367,"Asparagus",80,0.51,54.37,5.11,76.74,0.55,0,0,0.53,0,0,5.46,61.33,0,0.12,2.11,0,0,0,0,0.4,0.35,0,1.13,0.13,1.76,0,0,2.34,0,1.18
"8","Chile","Avocados",0.048,18729160,17325000,"Import_kg",572,"Avocados",141,280.74,3099.7,27148.72,8363.8,24.65,0,0.11,39.63,1.85,0.93,982.91,8447.31,0.41,12.71,327.13,0.12,0.27,2.67,0.59,27.37,58.3,0.27,4608.76,15305.84,3206.76,0,0,148.18,2.26,73.23
"9","Chile","Bananas",0.04075,18729160,245720000,"Import_kg",486,"Bananas",117,3243.29,39141.63,7485.44,751579.95,342.77,1.18,0.6,317.18,25.72,5.31,10940.02,50341.99,2.97,204.34,816.59,1.72,1.63,27.41,11.24,315.52,912.2,8.69,3573.7,837.08,1819.04,0,0,2345.22,26.69,1142.94
"10","Chile","Barley",0.04775,18729160,52123000,"Import_kg",44,"Barley",3,2005.75,53296.38,8110.46,434537.22,3.89,0,0.12,324.92,45.33,14.73,1500.77,48277.29,3.73,124.72,1704.6,1.53,0.75,31.16,1.68,220.31,452.66,8.29,2115.65,1293.87,4860.76,0,0,68.44,10.68,0
"11","Chile","Beans, dry",0.1145,18729160,13186000,"Import_kg",176,"Beans",30,202.61,13092.08,844.18,35663.51,1.12,0,0.25,86.03,4.48,1.8,718.97,7626.15,0.54,9.6,237.81,0.28,0.14,1.23,0.24,67.88,106.31,0.8,190.07,84.4,292.41,0,0,7.21,2.35,0
"12","Chile","Beans, green",0.0843965476190476,18729160,4261000,"Import_kg",414,"Beans; green",92,12.86,1229.16,146.76,2017.08,6.18,0,0,16.97,0.59,0.12,78.46,604.02,0,4.47,28.74,0,0.27,0.24,0,2.18,8.09,0,13.12,4.94,25.34,0,0,22.41,0.31,3.34
"13","Chile","Beet pulp",0.125770747489689,18729160,391000,"Import_kg",169,"Roots and tubers; nes",23,1.7,32.18,12.72,360.08,0.24,0,0,0.55,0,0,8.06,29.53,0,0.25,1.11,0,0,0,0,0.36,0.71,0,0.34,0,0.75,0,0,1.2,0,0.36
"14","Chile","Bran, maize",0.0538461538461538,18729160,2076000,"Import_kg",59,"Corn Flour",223,73.19,1749.28,675.27,15015.01,0,0,0,5.77,0.78,0.27,43.82,921.7,0,1.47,40.53,0,0,0.37,0,0,11.85,0,60.78,219.95,365.13,0,0,2.15,0.24,0
"15","Chile","Bran, wheat",0.0374838709677419,18729160,2352000,"Import_kg",17,"Wheat Flour",222,115.76,3843.35,506.79,23835.93,0,0,0,13.4,0.91,0.43,57.62,440,0,10.81,61.98,0.12,0,0.77,0,3.48,15.19,0.28,51.93,29.15,138.36,0,0,3.88,0.32,0
"16","Chile","Broad beans, horse beans, dry",0.052,18729160,39000,"Import_kg",181,"Broad beans; horse beans; dry",32,1.34,96.1,6.36,220.24,0,0,0,0.4,0,0,4.78,77.55,0,0,1.53,0,0,0,0,0.38,0.77,0,1.01,1.21,2.42,0,0,0,0,0.11
"17","Chile","Cake, copra",0.0131048387096774,18729160,2000,"Import_kg",253,"Coconut Oil",70,0.65,0.86,72.18,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.48,4.73,1.47,0,0,0,0,0
"18","Chile","Cake, groundnuts",0.014,18729160,8832000,"Import_kg",245,"Groundnut Oil",64,3023.3,0,336783.4,0,0,0,0,10.1,2.49,0.41,0,0,0,2.95,0,0,0,0,0,0.34,0,0,57485.91,147419.93,115645.49,0,0,0,0,0
"19","Chile","Cake, soybeans",0.014,18729160,919106000,"Import_kg",238,"Soyabean Oil",63,313415.91,0,35013985.52,2921.04,0,0,0,545.26,101.26,114.5,0,0,0,545.26,12.52,0,0,0,0,70.11,0,0,9276549.7,8199185.41,15876989.59,0,0,3.19,0,0
"20","Chile","Cake, sunflower",0.0244,18729160,43264000,"Import_kg",269,"Sunflowerseed Oil",65,8469.95,0,942508.46,0,0,0,0,6.31,3.25,0.35,0,0,0,8.84,0,0,0,0,0,0,0,0,99326.02,279028.01,540778.5,0,0,0.41,0,0
"21","Chile","Carrots and turnips",0.0830718954248366,18729160,193000,"Import_kg",426,"Carrots and turnips",96,0.38,16.24,2.9,72.78,0.34,0,0,0.82,0,0,3.61,25.19,0,0.59,1.48,0,0,0,0,1.3,0.15,0,0.4,0.18,0.94,0,0,1.11,0,0.29
"22","Chile","Cashew nuts, shelled",0.0289438420348059,18729160,423000,"Import_kg",230,"Cashew nuts; with shell",43,42.47,1433.77,3284.05,1886.88,0.13,0,0,3.14,0.47,0.4,50.76,207.56,0.17,7.21,36.71,0,0,0.1,0,0,23.62,0.1,607.31,1856.9,612.15,0,0,0.78,0.18,2.18
"23","Chile","Cassava dried",0.108277777777778,18729160,2080000,"Import_kg",128,"Cassava",17,14.27,187.42,48.68,3184.05,3.3,0,0,4,0.12,0,38.57,151.8,0,0.94,4.04,0,0,0,0,2.43,2.15,0,8.92,8.97,4.51,0,0,6.44,0.14,2.15
"24","Chile","Cereal preparations nes",0.0486257263475995,18729160,9405000,"Import_kg",113,"Cereals; nes",13,359.64,13450.25,4753.12,75894.45,1.11,0,0,149.94,22.9,3.93,440.96,3260.38,0.84,8.06,393.07,0.37,0.27,1.51,0.5,13.53,190.02,9.54,463.68,608.26,1106.02,0,0,11.27,4.05,0
"25","Chile","Chick peas",0.04575,18729160,5961000,"Import_kg",191,"Chick peas",33,245.06,13526.7,3501.95,40569.47,1.46,0,0.26,94.87,4.82,2.4,562.81,5310.36,0.64,13.96,215.94,0.27,0.12,1.23,0.37,102.02,68.87,7.83,428.89,948.56,1850.86,0,0,7.3,2.06,0
"26","Chile","Chillies and peppers, dry",4e-04,18729160,1077000,"Import_kg",689,"Pimento",156,3456.87,147322.97,128319.98,589951.45,1084.43,9.76,0.79,2982.5,104.94,37.99,26193.03,319434.24,9.48,6523.1,2672.77,4.01,6.26,79.31,24.78,740.36,2206.71,31.31,38096.34,24463.12,88632.7,0,0,402.93,86.03,0
"27","Chile","Chillies and peppers, green",0.0664142191142191,18729160,35000,"Import_kg",401,"Chillies and peppers; green",88,0.11,5.01,1.87,19.44,0.32,0,0,0,0,0,0.79,9.05,0,0,0.29,0,0,0,0,0,0.1,0,0.12,0,0.51,0,0,0.25,0,0
"28","Chile","Chocolate products nes",0.0115,18729160,18582000,"Import_kg",666,"Cocoa Beans",153,1967.03,139210.57,356757.27,499522.3,0,0,0.28,925.37,43.78,58.75,8657.52,319211.14,32.68,71.18,5059.8,1.46,1.71,15.93,1.02,103.53,4305.04,33.1,198579.52,137109.81,7419.5,0,0,33.47,34.32,0
"29","Chile","Cider etc",0.0683571428571429,18729160,525000,"Import_kg",517,"Fruit juice; nes",149,2.04,10.19,5.56,498.82,3.08,0,0,0.42,0,0,4.43,11.67,0,0.32,0.34,0,0,0,0,0.11,0.31,0,1.03,1.4,2.55,0,0,3.61,0,0
"30","Chile","Cinnamon (cannella)",0.00115555555555556,18729160,360000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Chile","Cloves",0.0013,18729160,40000,"Import_kg",698,"Cloves",157,39.37,710.26,1533.33,7421.86,0,0,0,92.11,1.41,0.38,167.57,3523.92,0,45.51,13.36,0,0,0.13,0,6.14,42.55,9.88,649.25,228.85,592.41,0,0,5.47,0.69,0
"32","Chile","Cocoa, beans",0.0115,18729160,14000,"Import_kg",661,"Cocoa Beans",153,1.48,104.88,268.79,376.35,0,0,0,0.7,0,0,6.52,240.5,0,0,3.81,0,0,0,0,0,3.24,0,149.61,103.3,5.59,0,0,0,0,0
"33","Chile","Cocoa, butter",0.0115,18729160,3658000,"Import_kg",664,"Cocoa Beans",153,387.22,27404.6,70230.23,98334.55,0,0,0,182.17,8.62,11.57,1704.3,62839,6.43,14.01,996.06,0.29,0.34,3.14,0.2,20.38,847.48,6.52,39091.8,26991.05,1460.58,0,0,6.59,6.76,0
"34","Chile","Cocoa, paste",0.0115,18729160,2827000,"Import_kg",662,"Cocoa Beans",153,299.26,21179.01,54275.79,75995.56,0,0,0,140.78,6.66,8.94,1317.13,48563.66,4.97,10.83,769.78,0.22,0.26,2.42,0.15,15.75,654.95,5.04,30211.19,20859.4,1128.78,0,0,5.09,5.22,0
"35","Chile","Cocoa, powder & cake",0.0115,18729160,9757000,"Import_kg",665,"Cocoa Beans",153,1032.84,73096.41,187325.41,262288.19,0,0,0.14,485.89,22.99,30.85,4545.88,167610.76,17.16,37.37,2656.79,0.77,0.9,8.36,0.53,54.36,2260.48,17.38,104269.75,71993.35,3895.82,0,0,17.58,18.02,0
"36","Chile","Coconuts",0.04,18729160,730000,"Import_kg",249,"Coconuts - Incl Copra",58,30.94,326.92,2742.43,1226.11,0.23,0,0,1.82,0.28,0.16,31.86,629.04,0,2.06,10.26,0,0,0,0,1.18,2.82,0.37,2908.54,259.44,66.55,0,0,5.17,0,4.04
"37","Chile","Coconuts, desiccated",0.04,18729160,1741000,"Import_kg",250,"Coconuts - Incl Copra",58,73.78,779.69,6540.5,2924.18,0.56,0,0,4.34,0.67,0.38,75.97,1500.22,0.12,4.92,24.46,0,0,0.16,0,2.81,6.74,0.87,6936.66,618.74,158.72,0,0,12.32,0.24,9.64
"38","Chile","Coffee, extracts",0.00312,18729160,4203000,"Import_kg",659,"Coffee substitutes; cont. coffee",112,2589.34,98071.23,23304.06,564044.46,0,0,0.37,802.91,53.58,3.67,17571.55,167587.81,1.5,596.99,2633.57,2.97,0.68,127.05,5.37,96.38,1755,7.91,4337.14,2560.57,8810.95,0,0,43.59,58.55,0
"39","Chile","Coffee, green",0.00312,18729160,15795000,"Import_kg",656,"Coffee",152,5008.19,305559.77,403229.45,978487.56,27.03,0.11,0.47,2785.27,93.39,14.34,60164.62,0,5.58,961.32,7682.79,3.89,13.51,299.71,0.63,1164.16,5050.5,10.3,895.51,6716.29,447.75,0,0,141.98,156.69,0
"40","Chile","Coffee, roasted",0.00312,18729160,3355000,"Import_kg",657,"Coffee",152,1063.79,64903.64,85649.56,207839.55,5.74,0,0,591.62,19.84,3.05,12779.51,0,1.19,204.19,1631.89,0.83,2.87,63.66,0.13,247.28,1072.77,2.19,190.21,1426.6,95.11,0,0,30.16,33.28,0
"41","Chile","Coffee, substitutes containing coffee",0.00312,18729160,17000,"Import_kg",658,"Coffee substitutes; cont. coffee",112,10.47,396.67,94.26,2281.41,0,0,0,3.25,0.22,0,71.07,677.85,0,2.41,10.65,0,0,0.51,0,0.39,7.1,0,17.54,10.36,35.64,0,0,0.18,0.24,0
"42","Chile","Cranberries",0.0513333333333333,18729160,14000,"Import_kg",554,"Cranberries",137,0,0.57,0.19,17.77,0,0,0,0,0,0,0.12,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0
"43","Chile","Cucumbers and gherkins",0.0675,18729160,20000,"Import_kg",397,"Cucumbers and gherkins",86,0,1.02,0.19,4,0,0,0,0,0,0,0.23,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0
"44","Chile","Dates",0.0393863636363636,18729160,141000,"Import_kg",577,"Dates",121,3.8,33.59,5.61,974.06,0.13,0,0,0.79,0,0,11.54,94.42,0,0,1.54,0,0,0,0,0.15,0.77,0,0.31,0.34,0.18,0,0,0.72,0,0.33
"45","Chile","Figs",0.0504615384615385,18729160,2000,"Import_kg",569,"Figs",139,0,0.21,0,2.64,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Chile","Flax tow waste",0,18729160,79000,"Import_kg",774,"fibre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Chile","Flour, cereals",0.057,18729160,1152000,"Import_kg",111,"Millet Flour",224,39.05,837.2,332.9,8124.14,0,0,0,7.22,2.06,0.3,24.17,257.18,0,1.24,24.6,0,0,0.23,0,0,12.84,0.11,57.84,99.71,282.51,0,0,1.2,0.11,0
"48","Chile","Flour, maize",0.0538461538461538,18729160,13674000,"Import_kg",58,"Corn Flour",223,482.08,11521.97,4447.82,98899.42,0.49,0,0,38.02,5.13,1.8,288.65,6070.97,0.21,9.67,266.96,0.36,0.14,2.42,0.28,0,78.06,0,400.32,1448.76,2405,0,0,14.13,1.56,0
"49","Chile","Flour, mustard",0.0841,18729160,1116000,"Import_kg",295,"Rape and Mustardseed",56,37.16,1632.42,2700.86,1845.33,0.25,0,0,26.78,0.61,0.39,52.29,503.05,0,0.92,54.13,0,0,0.31,0,11.82,26.22,0.16,140.92,1595.44,714.75,0,0,0.47,0.3,0
"50","Chile","Flour, potatoes",0.133867924528302,18729160,6378000,"Import_kg",117,"Potatoes",18,20.4,523.35,34.57,4557.96,4.07,0,0,2.33,0.27,0.11,95.14,342.87,0,2.67,12.31,0,0,0.35,0,8.9,6.27,0,7.48,0.36,10.43,0,0,19.43,0.27,5.66
"51","Chile","Flour, pulses",0.0619285714285714,18729160,4991000,"Import_kg",212,"Flour of pulses",41,173.81,12706.78,3992.71,16662.56,0.24,0,0.13,53.92,5.27,1.37,618.23,3779.53,0.84,9.86,171.69,0.17,0.12,1.18,0.18,82.02,92.23,1.16,488.94,989.75,1558.84,0,0,3.49,1.67,0
"52","Chile","Flour, roots and tubers nes",0.0546428571428571,18729160,3000,"Import_kg",150,"Flour of roots and tubers",24,0,1.18,0,24.3,0,0,0,0,0,0,0.2,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","Chile","Flour, wheat",0.0374838709677419,18729160,7157000,"Import_kg",16,"Wheat Flour",222,352.24,11695.11,1542.12,72531.35,0.19,0,0,40.77,2.78,1.31,175.35,1338.88,0,32.91,188.62,0.36,0.14,2.33,0.12,10.6,46.22,0.86,158.02,88.69,421.04,0,0,11.81,0.97,0
"54","Chile","Fructose and syrup, other",0.0196884037015616,18729160,4334000,"Import_kg",166,"Sweeteners; Other",28,349.07,750.53,177.08,90034.25,1.61,0,0,133.08,4.43,1.6,363.41,0,0,52.76,74.71,0,0.18,1,0.1,4,23.7,1.49,5.05,8.81,13.75,0,0,29.71,2.39,0
"55","Chile","Fruit, cooked, homogenized preparations",0.107099201828105,18729160,218000,"Import_kg",626,"Homogenized; cooked fruit prepared",151,0.6,3.89,1.73,151.86,0.3,0,0,0,0,0,1.35,19.65,0,0,0.13,0,0,0,0,0,0,0,0.25,0.25,0.48,0,0,0.93,0,0
"56","Chile","Fruit, dried nes",0.107099201828105,18729160,282000,"Import_kg",620,"Fruit dried; nes",148,4.09,42.56,9.08,1008.43,0.52,0,0,0.77,0,0,12.29,119.81,0,0.21,1.4,0,0,0,0,0.23,0.67,0,2.73,2.23,3.48,0,0,0.3,0,0.2
"57","Chile","Fruit, fresh nes",0.107099201828105,18729160,21000,"Import_kg",619,"Fresh fruit; nes",147,0,1.6,0.8,20.18,0,0,0,0,0,0,0.29,3.64,0,0,0,0,0,0,0,0,0,0,0.13,0,0.12,0,0,0,0,0
"58","Chile","Fruit, prepared nes",0.107099201828105,18729160,42147000,"Import_kg",623,"Fruit; prepared; nes",150,116.01,1526.12,502.07,29467.87,23.69,0,0,31.13,1.25,0.32,377.71,5293.79,0.17,9.73,37.77,0,0,1.13,0.11,11.02,23.39,0.61,53.02,74.9,160,0,0,177.64,0.98,2.54
"59","Chile","Fruit, tropical fresh nes",0.1073859375,18729160,6982000,"Import_kg",603,"Fruit; tropical fresh; nes",146,32.51,513.67,415.07,7208.41,37.29,0,0,11.24,0.61,0.13,87.18,1009.14,0,3.4,12.48,0,0.1,0.36,0,2.75,9.77,0,258.64,572.03,130.79,0,0,26.47,0.27,13.7
"60","Chile","Garlic",0.00732,18729160,7993000,"Import_kg",406,"Garlic",90,711.16,29623.49,1459.33,148940.9,77.45,0,0,299.67,8.1,6.8,2574.02,9255.38,2.81,101.56,1182.39,0.82,0.47,3.12,5.9,135.26,227.38,7.79,521.8,61.22,1396.32,0,0,381.34,8.45,75.79
"61","Chile","Ginger",0.02852,18729160,1435000,"Import_kg",720,"Ginger",162,52.3,1311.45,564.83,10941.28,0.75,0,0,19.11,1.48,0.49,242.59,1585.89,0.15,6.61,23.58,0,0,1.05,0.13,11.07,39.41,8.95,698.22,128.68,249.57,0,0,12.5,0.6,0
"62","Chile","Glucose and dextrose",0.0196884037015616,18729160,24797000,"Import_kg",172,"Sweeteners; Other",28,1997.22,4294.18,1013.18,515131.38,9.24,0,0,761.44,25.37,9.16,2079.26,0,0.45,301.86,427.47,0.33,1.04,5.7,0.58,22.86,135.61,8.54,28.92,50.43,78.68,0,0,170.01,13.68,0
"63","Chile","Grapefruit (inc. pomelos)",0.15,18729160,132000,"Import_kg",507,"Grapefruit",115,0.17,3.31,0.71,37.73,0.18,0,0,0,0,0,0.89,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.42,0,0.21
"64","Chile","Grapes",0.1235,18729160,464000,"Import_kg",560,"Grapes",122,1.23,10.77,4.75,293,0.1,0,0,0.3,0,0,3.63,42.41,0,0,0.41,0,0,0,0,0.11,0.54,0,2.39,0.27,1.87,0,0,1.67,0,0.28
"65","Chile","Groundnuts, prepared",0.028,18729160,1580000,"Import_kg",246,"Groundnuts (Shelled Eq)",54,165.3,7099.37,13228.3,5130.04,0.43,0,0,18.05,1.06,0.84,209.83,2503.47,0.33,3.09,117.7,0.23,0,4.32,0.16,41.65,56.5,0.44,1891.78,7359.24,4687.43,0,0,2.54,0.82,0
"66","Chile","Groundnuts, shelled",0.028,18729160,11089000,"Import_kg",243,"Groundnuts (Shelled Eq)",54,1160.15,49825.87,92840.9,36004.46,3,0,0.25,126.67,7.47,5.89,1472.66,17570.24,2.3,21.7,826.03,1.61,0.36,30.31,1.14,292.34,396.54,3.1,13277.2,51649.77,32898.02,0,0,17.85,5.78,0
"67","Chile","Hazelnuts, shelled",0.03,18729160,18000,"Import_kg",233,"Hazelnuts; with shell",49,1.9,50,176.44,66.95,0,0,0,0.61,0,0,2.14,24.51,0,0,1.02,0,0,0,0,0.15,0.52,0,11.96,85.94,68.75,0,0,0,0,0.19
"68","Chile","Hazelnuts, with shell",0.03,18729160,410000,"Import_kg",225,"Hazelnuts; with shell",49,43.22,1138.94,4018.82,1525.07,0.27,0,0,13.85,0.34,0.3,48.7,558.22,0.13,0.47,23.25,0,0,0.29,0,3.33,11.89,0.45,272.32,1957.49,1565.94,0,0,0.45,0.19,4.27
"69","Chile","Juice, apple, concentrated",0.0683571428571429,18729160,332000,"Import_kg",519,"Fruit juice; nes",149,1.29,6.44,3.52,315.44,1.95,0,0,0.26,0,0,2.8,7.38,0,0.2,0.21,0,0,0,0,0,0.19,0,0.65,0.89,1.61,0,0,2.28,0,0
"70","Chile","Juice, apple, single strength",0.0683571428571429,18729160,449000,"Import_kg",518,"Fruit juice; nes",149,1.75,8.71,4.75,426.61,2.63,0,0,0.36,0,0,3.79,9.98,0,0.27,0.29,0,0,0,0,0,0.26,0,0.88,1.2,2.18,0,0,3.09,0,0
"71","Chile","Juice, citrus, concentrated",0.0683571428571429,18729160,539000,"Import_kg",514,"Fruit juice; nes",149,2.1,10.46,5.71,512.12,3.16,0,0,0.43,0,0,4.55,11.98,0,0.33,0.35,0,0,0,0,0.12,0.31,0,1.06,1.44,2.61,0,0,3.7,0,0
"72","Chile","Juice, citrus, single strength",0.0683571428571429,18729160,872000,"Import_kg",513,"Fruit juice; nes",149,3.39,16.92,9.23,828.51,5.11,0,0,0.69,0,0,7.36,19.39,0,0.53,0.56,0,0,0,0,0.19,0.51,0,1.71,2.33,4.23,0,0,5.99,0,0
"73","Chile","Juice, fruit nes",0.0683571428571429,18729160,5736000,"Import_kg",622,"Fruit juice; nes",149,22.31,111.28,60.73,5449.92,33.61,0,0,4.54,0.12,0,48.41,127.52,0,3.48,3.68,0,0,0.19,0,1.23,3.34,0,11.24,15.31,27.82,0,0,39.42,0.12,0
"74","Chile","Juice, grape",0.0683571428571429,18729160,3955000,"Import_kg",562,"Fruit juice; nes",149,15.39,76.73,41.88,3757.75,23.17,0,0,3.13,0,0,33.38,87.92,0,2.4,2.54,0,0,0.13,0,0.85,2.3,0,7.75,10.55,19.18,0,0,27.18,0,0
"75","Chile","Juice, grapefruit",0.0683571428571429,18729160,194000,"Import_kg",509,"Fruit juice; nes",149,0.75,3.76,2.05,184.32,1.14,0,0,0.15,0,0,1.64,4.31,0,0.12,0.12,0,0,0,0,0,0.11,0,0.38,0.52,0.94,0,0,1.33,0,0
"76","Chile","Juice, grapefruit, concentrated",0.0683571428571429,18729160,29000,"Import_kg",510,"Fruit juice; nes",149,0.11,0.56,0.31,27.55,0.17,0,0,0,0,0,0.24,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.2,0,0
"77","Chile","Juice, orange, concentrated",0.0683571428571429,18729160,254000,"Import_kg",492,"Fruit juice; nes",149,0.99,4.93,2.69,241.33,1.49,0,0,0.2,0,0,2.14,5.65,0,0.15,0.16,0,0,0,0,0,0.15,0,0.5,0.68,1.23,0,0,1.75,0,0
"78","Chile","Juice, orange, single strength",0.0683571428571429,18729160,9716000,"Import_kg",491,"Fruit juice; nes",149,37.8,188.5,102.87,9231.42,56.93,0,0,7.69,0.2,0,82,215.99,0,5.89,6.23,0,0,0.33,0,2.08,5.65,0,19.04,25.93,47.12,0,0,66.77,0.21,0
"79","Chile","Juice, pineapple",0.0683571428571429,18729160,697000,"Import_kg",576,"Fruit juice; nes",149,2.71,13.52,7.38,662.24,4.08,0,0,0.55,0,0,5.88,15.49,0,0.42,0.45,0,0,0,0,0.15,0.41,0,1.37,1.86,3.38,0,0,4.79,0,0
"80","Chile","Juice, pineapple, concentrated",0.0683571428571429,18729160,4452000,"Import_kg",580,"Fruit juice; nes",149,17.32,86.37,47.14,4229.96,26.08,0,0,3.52,0,0,37.57,98.97,0,2.7,2.86,0,0,0.15,0,0.95,2.59,0,8.72,11.88,21.59,0,0,30.59,0,0
"81","Chile","Juice, tomato",0.0683571428571429,18729160,31000,"Import_kg",390,"Fruit juice; nes",149,0.12,0.6,0.33,29.45,0.18,0,0,0,0,0,0.26,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.21,0,0
"82","Chile","Kiwi fruit",0.145,18729160,292000,"Import_kg",592,"Kiwi fruit",144,0.66,11.34,7.26,147.79,0.98,0,0,0.34,0,0,3.58,26.88,0,0,0.48,0,0,0,0,0,0.17,0,0.67,0.66,2.49,0,0,0.89,0,0.27
"83","Chile","Leeks, other alliaceous vegetables",0.083270092226614,18729160,1000,"Import_kg",407,"Leeks; other alliaceous veg.",91,0,0.14,0,0.62,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","Chile","Lemons and limes",0.0785,18729160,14570000,"Import_kg",497,"Lemons; Limes",114,37.39,751.24,413.77,8236.59,40.81,0,0,37.49,0.58,0.19,207.91,1318.02,0.19,4.5,19.45,0,0,0.45,0,5.05,9.91,0,33.36,13.21,67.39,0,0,88.33,0.36,34.68
"85","Chile","Lentils",0.0454634146341463,18729160,15215000,"Import_kg",201,"Lentils",36,586.66,41285.5,1868.39,100276.6,3.06,0,0.48,123.17,16.71,5.17,1490.24,20593.61,2.08,20.5,583.07,0.7,0.42,3.9,1.09,353.26,136.99,2.14,253.73,315.38,782.65,0,0,20.54,4.83,0
"86","Chile","Linseed",0.0178426203877423,18729160,1272000,"Import_kg",333,"Oilcrops; Other",62,198.5,7277.89,14801.37,10359.33,0.88,0,0,128.99,6.54,1.65,274.06,4700.86,0.46,12.58,210.12,0.19,0.12,1.2,0.2,16.65,126.66,1.11,1672.99,3830.06,10049.84,0,0,2.19,1.65,8.83
"87","Chile","Maize",0.0869363057324841,18729160,2410905000,"Import_kg",56,"Maize",4,52319.76,1279732.64,506813.85,10686352.71,101.53,3.27,3.45,3089.46,481.82,265.7,43621.57,766826.67,26.72,1383.76,32410.37,39.49,17.53,381.92,52.47,0,16238.25,35.91,87619.12,190674.31,357694.78,0,0,1845.08,185.86,0
"88","Chile","Margarine, short",0.0178426203877423,18729160,10044000,"Import_kg",1242,"Oilcrops Oil; Other",75,2653.05,375.21,273215.51,163.16,0,0.13,0,5.15,0.58,0.17,5.41,0,0,1.4,5.18,0,0,0.25,0,12.92,1.13,0,67989.16,110745.48,98662.11,0,0,23.85,0.53,0
"89","Chile","Maté",0.0019,18729160,5315000,"Import_kg",671,"Tea",154,93.07,56009.62,6721.15,27920.8,336.06,0,0.47,2501.76,139.09,1.86,3443.56,0,0.93,279.21,1472.91,0.82,3.27,14.94,0,37.23,279.21,20.38,186.14,93.07,372.28,0,0,238.97,66.09,0
"90","Chile","Melons, other (inc.cantaloupes)",0.179843076923077,18729160,132000,"Import_kg",568,"Other melons (inc. cantaloupes)",111,0.11,2.12,0.6,25.21,0,0,0,0,0,0,1,2.69,0,0,0,0,0,0,0,0,0,0,0.15,0,0.23,0,0,0.36,0,0.19
