"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","China, Hong Kong SAR","Almonds, with shell",0.0296505238073522,7371730,26861000,"Import_kg",221,"Almonds; with shell",45,7316.85,260652,628664.72,221900.34,127.81,0,0.54,2982.74,38.38,44.49,9675.62,89096.04,12.48,59.29,5931.95,2.62,9.42,47.98,1.68,640.26,3950.95,25.68,48554.27,415070.79,143346.31,0,0,61.12,36.06,798.79
"2","China, Hong Kong SAR","Anise, badian, fennel, coriander",0.00195,7371730,449000,"Import_kg",711,"Anise; badian; fennel; coriander",161,1085.68,49393.04,44762.44,145969.23,32.64,0,0,2540.26,100.24,14.49,4633.72,74582.38,2.93,231.14,1437.1,1.02,0.94,9.62,1.56,1711.21,983.9,8.52,2630.62,34005.61,8209.2,0,0,31.12,21.03,0
"3","China, Hong Kong SAR","Apples",0.121111111111111,7371730,188941000,"Import_kg",515,"Apples",119,1187.97,6569.28,6234.2,276915.03,307.26,0.12,0,164.01,14.84,1.35,2176.74,29980.61,0.61,123.27,229.77,0.96,0.6,3.96,0.85,3432.6,98.76,0.74,825.35,179.88,1386.16,0,0,1788.33,5.44,211.63
"4","China, Hong Kong SAR","Apricots",0.03995,7371730,2e+05,"Import_kg",526,"Apricots",125,3.35,67.91,17.37,773.11,0.45,0,0,1.15,0,0,19.81,92.81,0,0,1.62,0,0,0,0,0.19,0.68,0,1.94,11.54,5.33,0,0,5.81,0,0.58
"5","China, Hong Kong SAR","Artichokes",0.1,7371730,11000,"Import_kg",366,"Artichokes",79,0,3.91,0.26,17.31,0,0,0,0.12,0,0,0.51,3.68,0,0.16,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0
"6","China, Hong Kong SAR","Asparagus",0.0845294117647059,7371730,1886000,"Import_kg",367,"Asparagus",80,6.13,652.89,61.4,921.62,6.56,0,0,6.36,0.33,0.16,65.6,736.49,0,1.4,25.37,0,0,0.27,0,4.84,4.24,0,13.62,1.51,21.19,0,0,28.1,0.2,14.23
"7","China, Hong Kong SAR","Avocados",0.048,7371730,17738000,"Import_kg",572,"Avocados",141,730.27,8063.06,70620.31,21756.23,64.13,0.17,0.29,103.09,4.82,2.42,2556.79,21973.46,1.06,33.07,850.95,0.32,0.7,6.94,1.53,71.18,151.64,0.71,11988.49,39814.16,8341.56,0,0,385.46,5.88,190.49
"8","China, Hong Kong SAR","Bananas",0.04075,7371730,68376000,"Import_kg",486,"Bananas",117,2292.97,27672.66,5292.12,531358.03,242.33,0.84,0.42,224.25,18.18,3.76,7734.46,35591.18,2.1,144.47,577.32,1.22,1.15,19.38,7.94,223.07,644.92,6.15,2526.56,591.81,1286.04,0,0,1658.04,18.87,808.04
"9","China, Hong Kong SAR","Barley",0.04775,7371730,49000,"Import_kg",44,"Barley",3,4.79,127.3,19.37,1037.87,0,0,0,0.78,0.11,0,3.58,115.31,0,0.3,4.07,0,0,0,0,0.53,1.08,0,5.05,3.09,11.61,0,0,0.16,0,0
"10","China, Hong Kong SAR","Beans, dry",0.1145,7371730,8139000,"Import_kg",176,"Beans",30,317.74,20531.26,1323.86,55928.21,1.75,0,0.39,134.92,7.03,2.82,1127.5,11959.48,0.84,15.06,372.93,0.44,0.21,1.93,0.37,106.45,166.71,1.26,298.06,132.35,458.56,0,0,11.3,3.68,0
"11","China, Hong Kong SAR","Beans, green",0.0843965476190476,7371730,113000,"Import_kg",414,"Beans; green",92,0.87,82.82,9.89,135.91,0.42,0,0,1.14,0,0,5.29,40.7,0,0.3,1.94,0,0,0,0,0.15,0.54,0,0.88,0.33,1.71,0,0,1.51,0,0.23
"12","China, Hong Kong SAR","Broad beans, horse beans, dry",0.052,7371730,91000,"Import_kg",181,"Broad beans; horse beans; dry",32,7.94,569.69,37.71,1305.62,0,0,0,2.35,0.19,0,28.33,459.75,0,0.43,9.06,0,0,0,0,2.27,4.55,0,5.98,7.16,14.33,0,0,0.25,0,0.64
"13","China, Hong Kong SAR","Buckwheat",0.0421111111111111,7371730,1000,"Import_kg",89,"Buckwheat",9,0.11,3.43,0.87,22.19,0,0,0,0,0,0,0.13,3,0,0,0.11,0,0,0,0,0,0,0,0.24,0.34,0.33,0,0,0,0,0
"14","China, Hong Kong SAR","Cabbages and other brassicas",0.08324,7371730,550681000,"Import_kg",358,"Cabbages and other brassicas",78,2411.01,203820.17,27352.53,393306.25,5503.43,20.68,5.61,11013.13,155.32,30.61,25626.89,198052.61,13.9,3527.52,6327.12,5.43,9.22,69.54,16.17,2212.65,2191.21,22.75,3078.86,1608.46,7883.54,0,0,8152.55,99.27,2476.9
"15","China, Hong Kong SAR","Carrots and turnips",0.0830718954248366,7371730,14362000,"Import_kg",426,"Carrots and turnips",96,70.91,3070.99,549.15,13759.36,64.2,1.43,0,155.57,3.64,0.61,682.55,4762.56,0.14,110.71,279.39,0.12,0.22,1.82,0.43,245.31,28.53,0.34,75.83,34.4,177.46,0,0,209.31,2.94,53.94
"16","China, Hong Kong SAR","Cauliflowers and broccoli",0.103835520801038,7371730,4770000,"Import_kg",393,"Cauliflowers and broccoli",84,17.86,1930.33,201.49,2535.66,50.4,0.34,0,27.32,0.68,0.26,184.63,1184.01,0,18.65,67.69,0,0,0.45,0.11,39.47,11.22,0.11,38.79,11.68,20.1,0,0,53.97,0.67,29.91
"17","China, Hong Kong SAR","Cherries",0.1289,7371730,188663000,"Import_kg",531,"Cherries",127,905.11,21608.59,3441.49,206754.12,248.58,0.59,0,547.99,10.09,1.39,4933.91,20847.49,1.19,29.78,464.6,0.42,0.57,13.72,0.97,121.11,218.4,1.39,754.48,933.17,1032.45,0,0,1635.53,13.5,158.84
"18","China, Hong Kong SAR","Chestnut",0.059,7371730,436000,"Import_kg",220,"Chestnuts",44,26.26,510.92,292.38,5219.79,1.77,0,0,3.74,0.17,0,65.51,1233.02,0,1.87,12.68,0,0,0.11,0,0,7.42,0.13,83.91,153.88,176.23,0,0,3.4,0.21,2
"19","China, Hong Kong SAR","Chick peas",0.04575,7371730,145000,"Import_kg",191,"Chick peas",33,15.14,835.97,216.42,2507.25,0,0,0,5.86,0.3,0.15,34.78,328.19,0,0.86,13.35,0,0,0,0,6.31,4.26,0.48,26.51,58.62,114.39,0,0,0.45,0.13,0
"20","China, Hong Kong SAR","Chillies and peppers, dry",4e-04,7371730,1728000,"Import_kg",689,"Pimento",156,14091.59,600547.54,523083.73,2404878.76,4420.56,39.78,3.21,12157.87,427.8,154.86,106773.31,1302142.1,38.66,26590.77,10895.29,16.36,25.52,323.31,101.02,3018.02,8995.45,127.62,155295.98,99721.5,361302.44,0,0,1642.52,350.68,0
"21","China, Hong Kong SAR","Chillies and peppers, green",0.0664142191142191,7371730,1180000,"Import_kg",401,"Chillies and peppers; green",88,9.45,429.13,160.17,1664.93,27.79,0,0,6.66,0.39,0,67.95,774.8,0,1.71,24.55,0,0,0.29,0,1.95,8.7,0,10.05,4.3,43.98,0,0,21.27,0.21,3.99
"22","China, Hong Kong SAR","Cinnamon (cannella)",0.00115555555555556,7371730,117000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","China, Hong Kong SAR","Cloves",0.0013,7371730,54000,"Import_kg",698,"Cloves",157,135.05,2436.13,5259.18,25456.29,0,0,0,315.93,4.85,1.31,574.75,12086.72,0.21,156.08,45.83,0,0,0.44,0.22,21.07,145.94,33.88,2226.89,784.93,2031.92,0,0,18.76,2.37,0
"24","China, Hong Kong SAR","Cocoa, beans",0.0115,7371730,1000,"Import_kg",661,"Cocoa Beans",153,0.27,19.03,48.78,68.3,0,0,0,0.13,0,0,1.18,43.64,0,0,0.69,0,0,0,0,0,0.59,0,27.15,18.75,1.01,0,0,0,0,0
"25","China, Hong Kong SAR","Coconuts",0.04,7371730,31288000,"Import_kg",249,"Coconuts - Incl Copra",58,3368.93,35600.01,298633.57,133515.78,25.45,0,0.21,198.03,30.45,17.5,3468.85,68498.65,5.43,224.75,1116.73,0.67,0.34,7.18,0.44,128.39,307.54,39.79,316721.96,28251.27,7247.18,0,0,562.73,10.85,440.35
"26","China, Hong Kong SAR","Coffee, green",0.00312,7371730,4389000,"Import_kg",656,"Coffee",152,3535.7,215720.29,284673.52,690796.51,19.08,0,0.33,1966.35,65.94,10.13,42475.26,0,3.94,678.68,5423.93,2.75,9.53,211.59,0.44,821.88,3565.57,7.27,632.21,4741.59,316.11,0,0,100.23,110.62,0
"27","China, Hong Kong SAR","Cucumbers and gherkins",0.0675,7371730,22151000,"Import_kg",397,"Cucumbers and gherkins",86,62.14,2872.62,526.34,11264,44,0,0,71.23,1.98,0.85,634.61,2904.17,0.24,29.55,161.46,0.12,0.14,0.85,0.18,26.71,55.65,0.35,149.13,11.13,115.74,0,0,426.28,1.85,69
"28","China, Hong Kong SAR","Currants",0.038,7371730,39000,"Import_kg",550,"Currants",135,1.74,25.06,3.52,416.21,1.41,0,0,0.95,0,0,4.16,36.89,0,0,0.99,0,0,0,0,0.11,0.26,0,0.36,0.6,1.86,0,0,0.93,0,0
"29","China, Hong Kong SAR","Dates",0.0393863636363636,7371730,312000,"Import_kg",577,"Dates",121,21.36,188.86,31.57,5476.07,0.73,0,0,4.46,0.18,0,64.85,530.84,0,0.21,8.64,0,0,0.18,0,0.87,4.33,0,1.72,1.93,1.02,0,0,4.06,0.14,1.86
"30","China, Hong Kong SAR","Eggplants (aubergines)",0.082,7371730,1871000,"Import_kg",399,"Eggplants (aubergines)",87,8.44,357.27,223.99,1637.56,2.04,0,0,5.3,0.19,0,62.16,641.59,0,1.66,13.55,0,0,0.4,0,9.12,3.97,0,8.36,4.02,17.95,0,0,28.4,0.37,6.35
"31","China, Hong Kong SAR","Fruit, fresh nes",0.107099201828105,7371730,191953000,"Import_kg",619,"Fresh fruit; nes",147,2188.25,37133.33,18519.31,468579.48,948.28,1.2,0.36,1304.21,88.68,6.1,6772.94,84432.55,2.74,271.42,1017.23,1.52,1.39,24.32,2.17,1697.66,775.91,5.09,2975.92,2050.4,2833.82,0,0,1840.39,22.17,676.71
