"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","China, Taiwan Province of","Apples",0.121111111111111,23726460,159899000,"Production_kg/Import_kg",515,"Apples",119,312.37,1727.32,1639.22,72811.93,80.79,0,0,43.13,3.9,0.36,572.35,7883.09,0.16,32.41,60.41,0.25,0.16,1.04,0.22,902.57,25.97,0.19,217.02,47.3,364.48,0,0,470.22,1.43,55.65
"2","China, Taiwan Province of","Apricots",0.03995,23726460,8277000,"Production_kg/Import_kg",526,"Apricots",125,43.14,873.22,223.29,9940.73,5.84,0.11,0,14.84,0.69,0.19,254.69,1193.4,0,1.16,20.81,0,0,0.68,0,2.45,8.73,0,24.89,148.45,68.55,0,0,74.75,0.69,7.42
"3","China, Taiwan Province of","Asparagus",0.0845294117647059,23726460,5520000,"Production_kg/Import_kg",367,"Asparagus",80,5.57,593.71,55.83,838.08,5.97,0,0,5.78,0.3,0.15,59.66,669.73,0,1.27,23.07,0,0,0.25,0,4.4,3.85,0,12.39,1.38,19.27,0,0,25.55,0.18,12.94
"4","China, Taiwan Province of","Bananas",0.04075,23726460,342629000,"Production_kg",486,"Bananas",117,3569.89,43083.19,8239.23,827264.05,377.28,1.3,0.66,349.13,28.31,5.85,12041.68,55411.43,3.27,224.92,898.82,1.89,1.79,30.17,12.37,347.29,1004.06,9.57,3933.57,921.38,2002.22,0,0,2581.38,29.37,1258.03
"5","China, Taiwan Province of","Beans, dry",0.1145,23726460,40443000,"Production_kg/Import_kg",176,"Beans",30,490.55,31697.46,2043.86,86345.5,2.7,0,0.61,208.29,10.86,4.35,1740.7,18463.81,1.3,23.25,575.76,0.67,0.33,2.98,0.58,164.35,257.38,1.94,460.17,204.34,707.96,0,0,17.45,5.69,0
"6","China, Taiwan Province of","Beans, green",0.0843965476190476,23726460,13079000,"Production_kg",414,"Beans; green",92,31.16,2978.23,355.59,4887.34,14.97,0,0,41.12,1.42,0.3,190.11,1463.51,0,10.83,69.63,0,0.65,0.57,0,5.29,19.59,0,31.79,11.97,61.4,0,0,54.29,0.74,8.1
"7","China, Taiwan Province of","Cabbages and other brassicas",0.08324,23726460,741532000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,1008.71,85273.37,11443.63,164549.71,2302.5,8.65,2.35,4607.62,64.98,12.81,10721.67,82860.37,5.81,1475.83,2647.11,2.27,3.86,29.1,6.77,925.72,916.75,9.52,1288.12,672.94,3298.28,0,0,3410.83,41.53,1036.27
"8","China, Taiwan Province of","Carrots and turnips",0.0830718954248366,23726460,103898000,"Production_kg",426,"Carrots and turnips",96,159.37,6902.51,1234.29,30926.22,144.3,3.21,0.11,349.66,8.18,1.36,1534.13,10704.56,0.31,248.83,627.97,0.27,0.49,4.09,0.96,551.38,64.13,0.75,170.44,77.31,398.86,0,0,470.46,6.61,121.24
"9","China, Taiwan Province of","Cassava",0.108277777777778,23726460,11085000,"Production_kg",125,"Cassava",17,60.01,788.46,204.81,13394.83,13.89,0,0,16.82,0.53,0.15,162.24,638.59,0,3.97,17,0,0,0.25,0,10.23,9.06,0.17,37.54,37.75,18.99,0,0,27.11,0.61,9.06
"10","China, Taiwan Province of","Cauliflowers and broccoli",0.103835520801038,23726460,88420000,"Production_kg/Import_kg",393,"Cauliflowers and broccoli",84,102.87,11117.31,1160.44,14603.58,290.24,1.94,0.22,157.33,3.9,1.51,1063.36,6819.07,0.15,107.43,389.82,0.39,0.39,2.57,0.64,227.3,64.6,0.65,223.41,67.29,115.74,0,0,310.86,3.88,172.27
"11","China, Taiwan Province of","Cereals nes",0.0486257263475995,23726460,405000,"Production_kg",108,"Cereals; nes",13,12.22,457.21,161.57,2579.83,0,0,0,5.1,0.78,0.13,14.99,110.83,0,0.27,13.36,0,0,0,0,0.46,6.46,0.32,15.76,20.68,37.6,0,0,0.38,0.14,0
"12","China, Taiwan Province of","Chillies and peppers, green",0.0664142191142191,23726460,31980000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,79.54,3613.45,1348.7,14019.36,234.04,0.25,0,56.1,3.3,0.63,572.16,6524.1,0.32,14.4,206.76,0.26,0.24,2.41,0.72,16.39,73.22,0.48,84.63,36.21,370.33,0,0,179.14,1.79,33.6
"13","China, Taiwan Province of","Coconuts",0.04,23726460,20852000,"Production_kg/Import_kg",249,"Coconuts - Incl Copra",58,697.59,7371.51,61836.52,27646.42,5.27,0,0,41.01,6.3,3.62,718.28,14183.66,1.12,46.54,231.24,0.14,0,1.49,0,26.59,63.68,8.24,65581.99,5849.85,1500.64,0,0,116.52,2.25,91.18
"14","China, Taiwan Province of","Cucumbers and gherkins",0.0675,23726460,48968000,"Production_kg",397,"Cucumbers and gherkins",86,42.68,1973.03,361.51,7736.57,30.22,0,0,48.92,1.36,0.59,435.87,1994.7,0.17,20.29,110.9,0,0,0.58,0.12,18.35,38.22,0.24,102.43,7.64,79.5,0,0,292.78,1.27,47.39
"15","China, Taiwan Province of","Eggplants (aubergines)",0.082,23726460,34874000,"Production_kg",399,"Eggplants (aubergines)",87,48.89,2068.99,1297.16,9483.33,11.82,0,0,30.68,1.09,0.34,359.97,3715.56,0.18,9.61,78.5,0,0.16,2.31,0.16,52.79,23,0.42,48.4,23.3,103.96,0,0,164.49,2.14,36.75
"16","China, Taiwan Province of","Fruit, citrus nes",0.125066666666667,23726460,70436000,"Production_kg",512,"Citrus; Other",116,153.1,2599.17,747.71,35130.3,83.79,0,0,145.59,1.79,0.45,441.5,15428.85,0.23,15.43,21.36,0.16,0.15,0.5,0,19.94,47.47,0.32,244.49,365.55,405.9,0,0,198.71,1.2,16.62
"17","China, Taiwan Province of","Fruit, fresh nes",0.107099201828105,23726460,158268000,"Production_kg/Import_kg",619,"Fresh fruit; nes",147,560.57,9512.59,4744.16,120037.78,242.93,0.31,0,334.1,22.72,1.56,1735.05,21629.41,0.7,69.53,260.59,0.39,0.36,6.23,0.56,434.9,198.77,1.3,762.35,525.26,725.95,0,0,471.46,5.68,173.36
