"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","China, mainland","Almonds, with shell",0.0296505238073522,1427647786,108496000,"Production_kg/Import_kg",221,"Almonds; with shell",45,152.6,5436.27,13111.7,4628.05,2.67,0,0,62.21,0.8,0.93,201.8,1858.22,0.26,1.24,123.72,0,0.2,1,0,13.35,82.4,0.54,1012.67,8656.89,2989.69,0,0,1.27,0.75,16.66
"2","China, mainland","Anise, badian, fennel, coriander",0.00195,1427647786,107409000,"Production_kg/Import_kg",711,"Anise; badian; fennel; coriander",161,1341.05,61011.04,55291.25,180303.43,40.32,0,0,3137.77,123.82,17.89,5723.64,92125.3,3.62,285.51,1775.12,1.27,1.17,11.88,1.93,2113.72,1215.33,10.52,3249.38,42004.25,10140.13,0,0,38.43,25.97,0
"3","China, mainland","Apples",0.121111111111111,1427647786,42550554000,"Production_kg/Import_kg",515,"Apples",119,1381.45,7639.15,7249.5,322013.35,357.3,0.14,0,190.72,17.26,1.57,2531.25,34863.25,0.71,143.35,267.19,1.12,0.7,4.61,0.99,3991.64,114.84,0.86,959.76,209.18,1611.91,0,0,2079.58,6.33,246.09
"4","China, mainland","Apricots",0.03995,1427647786,60736000,"Production_kg/Import_kg",526,"Apricots",125,5.26,106.49,27.23,1212.28,0.71,0,0,1.81,0,0,31.06,145.54,0,0.14,2.54,0,0,0,0,0.3,1.06,0,3.03,18.1,8.36,0,0,9.12,0,0.91
"5","China, mainland","Artichokes",0.1,1427647786,92907000,"Production_kg",366,"Artichokes",79,3.61,170.31,11.39,755.06,0.54,0,0,5.42,0,0,22.28,160.52,0,6.91,6.38,0,0,0,0,2.24,3.9,0,2.8,0.49,4.03,0,0,5.61,0,3.9
"6","China, mainland","Asparagus",0.0845294117647059,1427647786,8303497000,"Production_kg/Import_kg",367,"Asparagus",80,139.33,14842.64,1395.8,20951.71,149.2,0.21,0.36,144.49,7.51,3.7,1491.39,16743.02,1.03,31.79,576.83,0.85,0.87,6.19,0.63,110.09,96.33,1.09,309.63,34.4,481.65,0,0,638.74,4.51,323.39
"7","China, mainland","Avocados",0.048,1427647786,161875000,"Production_kg/Import_kg",572,"Avocados",141,34.41,379.95,3327.77,1025.2,3.02,0,0,4.86,0.23,0.11,120.48,1035.43,0,1.56,40.1,0,0,0.33,0,3.35,7.15,0,564.92,1876.12,393.07,0,0,18.16,0.28,8.98
"8","China, mainland","Bananas",0.04075,1427647786,13595646000,"Production_kg/Import_kg",486,"Bananas",117,2354.19,28411.58,5433.43,545546.47,248.8,0.86,0.44,230.23,18.67,3.86,7940.99,36541.55,2.16,148.32,592.74,1.25,1.18,19.9,8.16,229.02,662.14,6.31,2594.02,607.61,1320.38,0,0,1702.32,19.37,829.62
"9","China, mainland","Barley",0.04775,1427647786,6828778000,"Production_kg/Import_kg",44,"Barley",3,3447.37,91602.75,13939.8,746857.59,6.68,0,0.21,558.46,77.92,25.32,2579.44,82976.23,6.4,214.37,2929.77,2.63,1.3,53.56,2.89,378.65,778.01,14.24,3636.26,2223.83,8354.39,0,0,117.63,18.35,0
"10","China, mainland","Beans, dry",0.1145,1427647786,1432823000,"Production_kg/Import_kg",176,"Beans",30,288.83,18663.17,1203.41,50839.44,1.59,0,0.36,122.64,6.39,2.56,1024.91,10871.32,0.76,13.69,339,0.4,0.19,1.75,0.34,96.77,151.54,1.14,270.94,120.31,416.84,0,0,10.28,3.35,0
"11","China, mainland","Beans, green",0.0843965476190476,1427647786,21748004000,"Production_kg",414,"Beans; green",92,861.15,82302.84,9826.8,135060.69,413.69,0.56,1.16,1136.39,39.22,8.37,5253.69,40443.98,0.92,299.33,1924.22,2.29,17.98,15.79,2.51,146.2,541.5,1.55,878.43,330.91,1696.69,0,0,1500.21,20.5,223.82
"12","China, mainland","Berries nes",0.109406559397488,1427647786,65197000,"Production_kg",558,"Berries; nes",138,2.36,38.85,18.81,535.41,1.93,0,0,1.53,0,0,6.9,120.21,0,0.25,0.94,0,0,0,0,0.41,0.68,0,0.75,1.75,9.11,0,0,3.58,0,0
"13","China, mainland","Broad beans, horse beans, dry",0.052,1427647786,1740945000,"Production_kg",181,"Broad beans; horse beans; dry",32,784.43,56277.09,3724.79,128976.37,6.39,0,0.99,232.39,18.94,8.19,2798.17,45416.69,1.93,42.76,894.59,0.91,0.68,6.18,0.86,224.66,449.09,3.81,590.96,707.05,1415.27,0,0,24.45,7.05,63.32
"14","China, mainland","Buckwheat",0.0421111111111111,1427647786,466672000,"Production_kg/Import_kg",89,"Buckwheat",9,255.96,8257.21,2095.84,53482.68,0,0,0,32.6,5.49,2.08,319.03,7219,0.49,4.7,272.46,0.31,0.22,4.43,0.16,0,177.76,1.01,575.19,807.29,806.51,0,0,10.35,1.71,0
"15","China, mainland","Cabbages and other brassicas",0.08324,1427647786,33513649000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,757.65,64049.71,8595.43,123594.98,1729.43,6.5,1.76,3460.83,48.81,9.62,8053.15,62237.27,4.37,1108.51,1988.27,1.71,2.9,21.85,5.08,695.32,688.58,7.15,967.52,505.45,2477.37,0,0,2561.91,31.19,778.35
"16","China, mainland","Carrots and turnips",0.0830718954248366,1427647786,21379169000,"Production_kg/Import_kg",426,"Carrots and turnips",96,545.02,23604.93,4220.98,105760.22,493.48,10.97,0.39,1195.77,27.96,4.66,5246.36,36607.03,1.06,850.94,2147.5,0.93,1.68,13.97,3.29,1885.59,219.32,2.58,582.86,264.39,1364.02,0,0,1608.86,22.62,414.61
"17","China, mainland","Cashew nuts, with shell",0.0289438420348059,1427647786,12955000,"Production_kg/Import_kg",217,"Cashew nuts; with shell",43,17.06,576.07,1319.49,758.12,0,0,0,1.26,0.19,0.16,20.39,83.4,0,2.9,14.75,0,0,0,0,0,9.49,0,244.01,746.07,245.95,0,0,0.31,0,0.88
"18","China, mainland","Cassava",0.108277777777778,1427647786,4975472000,"Production_kg",125,"Cassava",17,447.67,5881.55,1527.79,99918.91,103.64,0,0,125.48,3.92,1.09,1210.21,4763.6,0.32,29.61,126.84,0.2,0.18,1.85,0.28,76.28,67.59,1.24,280.02,281.63,141.62,0,0,202.22,4.52,67.59
"19","China, mainland","Castor oil seed",0.0178426203877423,1427647786,3.6e+07,"Production_kg",265,"Oilcrops Oil; Other",75,124.75,17.64,12846.9,7.67,0,0,0,0.24,0,0,0.25,0,0,0,0.24,0,0,0,0,0.61,0,0,3196.93,5207.38,4639.2,0,0,1.12,0,0
"20","China, mainland","Cauliflowers and broccoli",0.103835520801038,1427647786,10638068000,"Production_kg",393,"Cauliflowers and broccoli",84,205.7,22229.2,2320.31,29200.04,580.34,3.89,0.43,314.58,7.8,3.01,2126.21,13634.82,0.31,214.81,779.45,0.79,0.78,5.14,1.29,454.49,129.17,1.31,446.72,134.55,231.43,0,0,621.56,7.75,344.46
"21","China, mainland","Cereals nes",0.0486257263475995,1427647786,44399000,"Production_kg",108,"Cereals; nes",13,22.27,832.99,294.37,4700.26,0,0,0,9.29,1.42,0.24,27.31,201.92,0,0.5,24.34,0,0,0,0,0.84,11.77,0.59,28.72,37.67,68.5,0,0,0.7,0.25,0
"22","China, mainland","Cherries",0.1289,1427647786,235916000,"Production_kg/Import_kg",531,"Cherries",127,5.84,139.52,22.22,1334.98,1.61,0,0,3.54,0,0,31.86,134.61,0,0.19,3,0,0,0,0,0.78,1.41,0,4.87,6.03,6.67,0,0,10.56,0,1.03
"23","China, mainland","Chestnut",0.059,1427647786,1855832000,"Production_kg/Import_kg",220,"Chestnuts",44,577.25,11229.28,6426.17,114723.7,38.92,0,0.24,82.26,3.66,1.01,1439.83,27100.09,1.43,41.05,278.71,0.47,0.46,2.37,1.46,0,163.04,2.86,1844.13,3382,3873.33,0,0,74.8,4.52,44.07
"24","China, mainland","Chick peas",0.04575,1427647786,22789000,"Production_kg/Import_kg",191,"Chick peas",33,12.29,678.41,175.64,2034.71,0,0,0,4.76,0.24,0.12,28.23,266.33,0,0.7,10.83,0,0,0,0,5.12,3.45,0.39,21.51,47.57,92.83,0,0,0.37,0.1,0
"25","China, mainland","Chillies and peppers, dry",4e-04,1427647786,494890000,"Production_kg/Import_kg",689,"Pimento",156,20838.83,888097.55,773543.06,3556366.18,6537.19,58.83,4.74,17979.22,632.63,229,157897.77,1925624.78,57.18,39322.78,16112.1,24.19,37.74,478.11,149.38,4463.08,13302.58,188.72,229653.72,147469.46,534298.77,0,0,2428.99,518.58,0
"26","China, mainland","Chillies and peppers, green",0.0664142191142191,1427647786,19056493000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,787.67,35784.82,13356.48,138836.82,2317.74,2.51,0.59,555.58,32.67,6.27,5666.25,64609.56,3.12,142.57,2047.59,2.54,2.41,23.86,7.13,162.29,725.09,4.75,838.1,358.6,3667.42,0,0,1774.06,17.76,332.74
"27","China, mainland","Cinnamon (cannella)",0.00115555555555556,1427647786,84845000,"Production_kg/Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","China, mainland","Cloves",0.0013,1427647786,1760000,"Production_kg/Import_kg",698,"Cloves",157,22.73,409.98,885.09,4284.13,0,0,0,53.17,0.82,0.22,96.73,2034.12,0,26.27,7.71,0,0,0,0,3.55,24.56,5.7,374.77,132.1,341.96,0,0,3.16,0.4,0
