"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Comoros","Almonds, with shell",0.0296505238073522,832322,1000,"Import_kg",221,"Almonds; with shell",45,2.41,85.94,207.29,73.17,0,0,0,0.98,0,0,3.19,29.38,0,0,1.96,0,0,0,0,0.21,1.3,0,16.01,136.86,47.27,0,0,0,0,0.26
"2","Comoros","Anise, badian, fennel, coriander",0.00195,832322,17000,"Import_kg",711,"Anise; badian; fennel; coriander",161,364.07,16563.28,15010.47,48948.79,10.95,0,0,851.84,33.62,4.86,1553.85,25010.18,0.98,77.51,481.91,0.34,0.32,3.22,0.52,573.83,329.94,2.86,882.14,11403.32,2752.84,0,0,10.43,7.05,0
"3","Comoros","Apples",0.121111111111111,832322,146000,"Import_kg",515,"Apples",119,8.13,44.96,42.67,1895.18,2.1,0,0,1.12,0.1,0,14.9,205.18,0,0.84,1.57,0,0,0,0,23.49,0.68,0,5.65,1.23,9.49,0,0,12.24,0,1.45
"4","Comoros","Bananas",0.04075,832322,22798000,"Production_kg/Import_kg",486,"Bananas",117,6771.25,81718.81,15627.9,1569127.93,715.62,2.47,1.25,662.21,53.7,11.09,22840.26,105102.62,6.2,426.62,1704.86,3.59,3.4,57.23,23.46,658.72,1904.48,18.15,7461.06,1747.64,3797.75,0,0,4896.28,55.72,2386.2
"5","Comoros","Beans, dry",0.1145,832322,156000,"Import_kg",176,"Beans",30,53.94,3485.36,224.74,9494.29,0.3,0,0,22.9,1.19,0.48,191.4,2030.22,0.14,2.56,63.31,0,0,0.33,0,18.07,28.3,0.21,50.6,22.47,77.84,0,0,1.92,0.63,0
"6","Comoros","Beans, green",0.0843965476190476,832322,5000,"Import_kg",414,"Beans; green",92,0.34,32.46,3.88,53.26,0.16,0,0,0.45,0,0,2.07,15.95,0,0.12,0.76,0,0,0,0,0,0.21,0,0.35,0.13,0.67,0,0,0.59,0,0
"7","Comoros","Cabbages and other brassicas",0.08324,832322,329000,"Import_kg",358,"Cabbages and other brassicas",78,12.76,1078.5,144.73,2081.16,29.12,0.11,0,58.28,0.82,0.16,135.6,1047.98,0,18.67,33.48,0,0,0.37,0,11.71,11.59,0.12,16.29,8.51,41.72,0,0,43.14,0.53,13.11
"8","Comoros","Cassava",0.108277777777778,832322,65071000,"Production_kg",125,"Cassava",17,10042.53,131939.41,34272.48,2241457.97,2324.94,0.74,1.84,2814.92,87.91,24.55,27148.42,106860.82,7.22,664.27,2845.46,4.49,4.02,41.42,6.35,1711.22,1516.27,27.73,6281.68,6317.78,3176.94,0,0,4536.39,101.49,1516.27
"9","Comoros","Chestnut",0.059,832322,1000,"Import_kg",220,"Chestnuts",44,0.53,10.38,5.94,106.03,0,0,0,0,0,0,1.33,25.05,0,0,0.26,0,0,0,0,0,0.15,0,1.7,3.13,3.58,0,0,0,0,0
"10","Comoros","Chillies and peppers, dry",4e-04,832322,10000,"Import_kg",689,"Pimento",156,722.26,30780.93,26810.54,123261.51,226.57,2.04,0.16,623.15,21.93,7.94,5472.64,66741,1.98,1362.9,558.44,0.84,1.31,16.57,5.18,154.69,461.06,6.54,7959.66,5111.2,18518.47,0,0,84.19,17.97,0
"11","Comoros","Chillies and peppers, green",0.0664142191142191,832322,1000,"Import_kg",401,"Chillies and peppers; green",88,0,3.22,1.2,12.5,0.21,0,0,0,0,0,0.51,5.82,0,0,0.18,0,0,0,0,0,0,0,0,0,0.33,0,0,0.16,0,0
"12","Comoros","Cloves",0.0013,832322,6471000,"Production_kg",698,"Cloves",157,143332.38,2585564.61,5581789.44,27017854.41,59.8,4.78,14.95,335306.07,5149.2,1387.47,610009.85,12828148.24,220.08,165659.54,48641.31,47.25,65.79,466.48,233.84,22367.03,154894.66,35958.88,2363489.13,833082.07,2156564.22,0,0,19909.05,2517.79,0
"13","Comoros","Cocoa, beans",0.0115,832322,52000,"Production_kg/Import_kg",661,"Cocoa Beans",153,123.87,8766.17,22465.22,31455.22,0,0,0,58.27,2.76,3.7,545.17,20100.92,2.06,4.48,318.62,0,0.11,1,0,6.52,271.09,2.08,12504.67,8633.89,467.21,0,0,2.11,2.16,0
"14","Comoros","Coconuts",0.04,832322,86972000,"Production_kg/Import_kg",249,"Coconuts - Incl Copra",58,82941.49,876455.48,7352217.1,3287095.25,626.69,0.15,5.09,4875.49,749.62,430.95,85401.43,1686404.35,133.71,5533.16,27493.33,16.4,8.28,176.7,10.8,3160.92,7571.42,979.62,7797544.78,695532.95,178422.16,0,0,13854.03,267.17,10841.17
"15","Comoros","Coffee, green",0.00312,832322,176000,"Production_kg/Import_kg",656,"Coffee",152,1255.74,76615.41,101104.9,245343.9,6.78,0,0.12,698.37,23.42,3.6,15085.55,0,1.4,241.04,1926.37,0.98,3.39,75.15,0.16,291.9,1266.35,2.58,224.54,1684.03,112.27,0,0,35.6,39.29,0
"16","Comoros","Dates",0.0393863636363636,832322,157000,"Import_kg",577,"Dates",121,95.21,841.7,140.68,24405.73,3.24,0,0,19.88,0.79,0.15,289.03,2365.86,0.11,0.96,38.49,0,0,0.79,0,3.88,19.32,0.13,7.66,8.62,4.55,0,0,18.1,0.64,8.3
"17","Comoros","Fruit, fresh nes",0.107099201828105,832322,3912000,"Production_kg/Import_kg",619,"Fresh fruit; nes",147,394.98,6702.64,3342.77,84579.53,171.17,0.22,0,235.41,16.01,1.1,1222.53,15240.24,0.49,48.99,183.61,0.27,0.25,4.39,0.39,306.43,140.05,0.92,537.16,370.1,511.51,0,0,332.19,4,122.15
"18","Comoros","Garlic",0.00732,832322,178000,"Import_kg",406,"Garlic",90,356.37,14844.76,731.29,74636.47,38.81,0,0,150.17,4.06,3.41,1289.88,4638.01,1.41,50.89,592.51,0.41,0.24,1.56,2.96,67.78,113.94,3.9,261.48,30.68,699.72,0,0,191.1,4.24,37.98
"19","Comoros","Ginger",0.02852,832322,1000,"Import_kg",720,"Ginger",162,0.82,20.56,8.86,171.57,0,0,0,0.3,0,0,3.8,24.87,0,0.1,0.37,0,0,0,0,0.17,0.62,0.14,10.95,2.02,3.91,0,0,0.2,0,0
"20","Comoros","Grapes",0.1235,832322,2000,"Import_kg",560,"Grapes",122,0.12,1.04,0.46,28.42,0,0,0,0,0,0,0.35,4.11,0,0,0,0,0,0,0,0,0,0,0.23,0,0.18,0,0,0.16,0,0
"21","Comoros","Groundnuts, with shell",0.028,832322,986000,"Production_kg",242,"Groundnuts (Shelled Eq)",54,2321.28,99693.39,185759.4,72039.02,6.01,0,0.49,253.44,14.94,11.78,2946.55,35155.16,4.6,43.41,1652.76,3.23,0.72,60.64,2.29,584.91,793.41,6.21,26565.5,103342.71,65823.55,0,0,35.72,11.57,0
"22","Comoros","Lemons and limes",0.0785,832322,2000,"Import_kg",497,"Lemons; Limes",114,0.12,2.32,1.28,25.44,0.13,0,0,0.12,0,0,0.64,4.07,0,0,0,0,0,0,0,0,0,0,0.1,0,0.21,0,0,0.27,0,0.11
"23","Comoros","Lentils",0.0454634146341463,832322,11000,"Import_kg",201,"Lentils",36,9.54,671.65,30.4,1631.35,0,0,0,2,0.27,0,24.24,335.03,0,0.33,9.49,0,0,0,0,5.75,2.23,0,4.13,5.13,12.73,0,0,0.33,0,0
