"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Congo","Anise, badian, fennel, coriander",0.00195,5244359,5000,"Import_kg",711,"Anise; badian; fennel; coriander",161,16.99,773.15,700.67,2284.87,0.51,0,0,39.76,1.57,0.23,72.53,1167.45,0,3.62,22.5,0,0,0.15,0,26.79,15.4,0.13,41.18,532.29,128.5,0,0,0.49,0.33,0
"2","Congo","Apples",0.121111111111111,5244359,1240000,"Import_kg",515,"Apples",119,10.96,60.6,57.51,2554.58,2.83,0,0,1.51,0.14,0,20.08,276.58,0,1.14,2.12,0,0,0,0,31.67,0.91,0,7.61,1.66,12.79,0,0,16.5,0,1.95
"3","Congo","Barley",0.04775,5244359,1563000,"Import_kg",44,"Barley",3,214.8,5707.6,868.56,46535.29,0.42,0,0,34.8,4.85,1.58,160.72,5170.09,0.4,13.36,182.55,0.16,0,3.34,0.18,23.59,48.48,0.89,226.57,138.56,520.55,0,0,7.33,1.14,0
"4","Congo","Beans, dry",0.1145,5244359,7929000,"Import_kg",176,"Beans",30,435.11,28115.12,1812.87,76587.05,2.4,0,0.54,184.75,9.63,3.86,1543.97,16377.09,1.15,20.63,510.69,0.6,0.29,2.64,0.51,145.78,228.29,1.72,408.16,181.24,627.95,0,0,15.48,5.04,0
"5","Congo","Cabbages and other brassicas",0.08324,5244359,42000,"Import_kg",358,"Cabbages and other brassicas",78,0.26,21.85,2.93,42.17,0.59,0,0,1.18,0,0,2.75,21.23,0,0.38,0.68,0,0,0,0,0.24,0.23,0,0.33,0.17,0.85,0,0,0.87,0,0.27
"6","Congo","Carrots and turnips",0.0830718954248366,5244359,128000,"Import_kg",426,"Carrots and turnips",96,0.89,38.47,6.88,172.37,0.8,0,0,1.95,0,0,8.55,59.66,0,1.39,3.5,0,0,0,0,3.07,0.36,0,0.95,0.43,2.22,0,0,2.62,0,0.68
"7","Congo","Cauliflowers and broccoli",0.103835520801038,5244359,7000,"Import_kg",393,"Cauliflowers and broccoli",84,0,3.98,0.42,5.23,0.1,0,0,0,0,0,0.38,2.44,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0
"8","Congo","Chick peas",0.04575,5244359,754000,"Import_kg",191,"Chick peas",33,110.7,6110.41,1581.93,18326.41,0.66,0,0.12,42.85,2.18,1.08,254.24,2398.84,0.29,6.3,97.55,0.12,0,0.55,0.17,46.09,31.11,3.54,193.74,428.49,836.09,0,0,3.3,0.93,0
"9","Congo","Chillies and peppers, dry",4e-04,5244359,4000,"Import_kg",689,"Pimento",156,45.85,1954.07,1702.02,7825.04,14.38,0.13,0,39.56,1.39,0.5,347.42,4236.93,0.13,86.52,35.45,0,0,1.05,0.33,9.82,29.27,0.42,505.3,324.48,1175.61,0,0,5.34,1.14,0
"10","Congo","Chillies and peppers, green",0.0664142191142191,5244359,3000,"Import_kg",401,"Chillies and peppers; green",88,0,1.53,0.57,5.95,0,0,0,0,0,0,0.24,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0
"11","Congo","Cinnamon (cannella)",0.00115555555555556,5244359,1000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Congo","Cloves",0.0013,5244359,1000,"Import_kg",698,"Cloves",157,3.52,63.41,136.9,662.64,0,0,0,8.22,0.13,0,14.96,314.62,0,4.06,1.19,0,0,0,0,0.55,3.8,0.88,57.97,20.43,52.89,0,0,0.49,0,0
"13","Congo","Coffee, green",0.00312,5244359,74000,"Import_kg",656,"Coffee",152,83.8,5112.51,6746.68,16371.68,0.45,0,0,46.6,1.56,0.24,1006.65,0,0,16.08,128.55,0,0.23,5.01,0,19.48,84.5,0.17,14.98,112.37,7.49,0,0,2.38,2.62,0
"14","Congo","Cucumbers and gherkins",0.0675,5244359,1000,"Import_kg",397,"Cucumbers and gherkins",86,0,0.18,0,0.71,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
