"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Congo","Beans, dry",0.1145,5244359,7929000,"Import_kg",176,"Beans",30,435.11,28115.12,1812.87,76587.05,2.4,0,0.54,184.75,9.63,3.86,1543.97,16377.09,1.15,20.63,510.69,0.6,0.29,2.64,0.51,145.78,228.29,1.72,408.16,181.24,627.95,0,0,15.48,5.04,0
"2","Congo","Cabbages and other brassicas",0.08324,5244359,42000,"Import_kg",358,"Cabbages and other brassicas",78,0.26,21.85,2.93,42.17,0.59,0,0,1.18,0,0,2.75,21.23,0,0.38,0.68,0,0,0,0,0.24,0.23,0,0.33,0.17,0.85,0,0,0.87,0,0.27
"3","Congo","Carrots and turnips",0.0830718954248366,5244359,128000,"Import_kg",426,"Carrots and turnips",96,0.89,38.47,6.88,172.37,0.8,0,0,1.95,0,0,8.55,59.66,0,1.39,3.5,0,0,0,0,3.07,0.36,0,0.95,0.43,2.22,0,0,2.62,0,0.68
"4","Congo","Coffee, green",0.00312,5244359,74000,"Import_kg",656,"Coffee",152,83.8,5112.51,6746.68,16371.68,0.45,0,0,46.6,1.56,0.24,1006.65,0,0,16.08,128.55,0,0.23,5.01,0,19.48,84.5,0.17,14.98,112.37,7.49,0,0,2.38,2.62,0
"5","Congo","Fruit, fresh nes",0.107099201828105,5244359,9000,"Import_kg",619,"Fresh fruit; nes",147,0.14,2.45,1.22,30.88,0,0,0,0,0,0,0.45,5.56,0,0,0,0,0,0,0,0.11,0,0,0.2,0.14,0.19,0,0,0.12,0,0
"6","Congo","Grapefruit (inc. pomelos)",0.15,5244359,19000,"Import_kg",507,"Grapefruit",115,0,1.7,0.37,19.4,0,0,0,0,0,0,0.46,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0.11
"7","Congo","Leeks, other alliaceous vegetables",0.083270092226614,5244359,4000,"Import_kg",407,"Leeks; other alliaceous veg.",91,0,1.96,0.27,8.79,0,0,0,0,0,0,0.17,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0
"8","Congo","Lemons and limes",0.0785,5244359,74000,"Import_kg",497,"Lemons; Limes",114,0.68,13.63,7.51,149.4,0.74,0,0,0.68,0,0,3.77,23.91,0,0,0.35,0,0,0,0,0,0.18,0,0.61,0.24,1.22,0,0,1.6,0,0.63
"9","Congo","Lettuce and chicory",0.0865961538461538,5244359,2000,"Import_kg",372,"Lettuce and chicory",81,0,0.63,0.11,1.23,0,0,0,0,0,0,0.11,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Congo","Maize",0.0869363057324841,5244359,2430000,"Import_kg",56,"Maize",4,188.33,4606.5,1824.32,38466.4,0.37,0,0,11.12,1.73,0.96,157.02,2760.26,0,4.98,116.66,0.14,0,1.37,0.19,0,58.45,0.13,315.39,686.35,1287.55,0,0,6.64,0.67,0
