"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Croatia","Almonds, with shell",0.0296505238073522,4156405,5000,"Import_kg",221,"Almonds; with shell",45,2.42,86.05,207.55,73.26,0,0,0,0.98,0,0,3.19,29.41,0,0,1.96,0,0,0,0,0.21,1.3,0,16.03,137.03,47.32,0,0,0,0,0.26
"2","Croatia","Anise, badian, fennel, coriander",0.00195,4156405,219000,"Import_kg",711,"Anise; badian; fennel; coriander",161,939.18,42728.25,38722.47,126273.05,28.24,0,0,2197.49,86.72,12.53,4008.48,64518.69,2.54,199.95,1243.18,0.89,0.82,8.32,1.35,1480.31,851.14,7.37,2275.66,29417.1,7101.5,0,0,26.92,18.19,0
"3","Croatia","Apples",0.121111111111111,4156405,9237000,"Import_kg",515,"Apples",119,103.01,569.61,540.55,24010.59,26.64,0,0,14.22,1.29,0.12,188.74,2599.54,0,10.69,19.92,0,0,0.34,0,297.63,8.56,0,71.56,15.6,120.19,0,0,155.06,0.47,18.35
"4","Croatia","Apricots",0.03995,4156405,3347000,"Import_kg",526,"Apricots",125,99.57,2015.68,515.44,22946.47,13.47,0.26,0,34.27,1.6,0.44,587.91,2754.76,0.16,2.67,48.04,0,0.23,1.57,0.11,5.64,20.16,0.16,57.45,342.67,158.23,0,0,172.56,1.59,17.13
"5","Croatia","Artichokes",0.1,4156405,34000,"Import_kg",366,"Artichokes",79,0.45,21.41,1.43,94.91,0,0,0,0.68,0,0,2.8,20.18,0,0.87,0.8,0,0,0,0,0.28,0.49,0,0.35,0,0.51,0,0,0.71,0,0.49
"6","Croatia","Asparagus",0.0845294117647059,4156405,110000,"Import_kg",367,"Asparagus",80,0.63,67.54,6.35,95.34,0.68,0,0,0.66,0,0,6.79,76.18,0,0.14,2.62,0,0,0,0,0.5,0.44,0,1.41,0.16,2.19,0,0,2.91,0,1.47
"7","Croatia","Avocados",0.048,4156405,1406000,"Import_kg",572,"Avocados",141,102.66,1133.53,9928,3058.55,9.02,0,0,14.49,0.68,0.34,359.44,3089.09,0.15,4.65,119.63,0,0,0.98,0.22,10.01,21.32,0.1,1685.38,5597.19,1172.68,0,0,54.19,0.83,26.78
"8","Croatia","Bananas",0.04075,4156405,77622000,"Import_kg",486,"Bananas",117,4616.69,55716.48,10655.22,1069842.75,487.91,1.68,0.86,451.5,36.61,7.56,15572.66,71659.72,4.23,290.87,1162.39,2.45,2.32,39.02,15.99,449.12,1298.49,12.37,5087.01,1191.55,2589.33,0,0,3338.32,37.99,1626.93
"9","Croatia","Barley",0.04775,4156405,9976000,"Import_kg",44,"Barley",3,1729.83,45964.78,6994.76,374761.06,3.35,0,0.11,280.23,39.1,12.71,1294.32,41636.13,3.21,107.57,1470.11,1.32,0.65,26.88,1.45,190,390.39,7.15,1824.62,1115.88,4192.1,0,0,59.02,9.21,0
"10","Croatia","Beans, dry",0.1145,4156405,4553000,"Import_kg",176,"Beans",30,315.25,20370.13,1313.47,55489.28,1.74,0,0.39,133.86,6.98,2.79,1118.65,11865.63,0.83,14.94,370.01,0.43,0.21,1.91,0.37,105.62,165.41,1.25,295.73,131.32,454.96,0,0,11.22,3.66,0
"11","Croatia","Beans, green",0.0843965476190476,4156405,292000,"Import_kg",414,"Beans; green",92,3.97,379.56,45.32,622.87,1.91,0,0,5.24,0.18,0,24.23,186.52,0,1.38,8.87,0,0,0,0,0.67,2.5,0,4.05,1.53,7.82,0,0,6.92,0,1.03
"12","Croatia","Broad beans, horse beans, dry",0.052,4156405,4000,"Import_kg",181,"Broad beans; horse beans; dry",32,0.62,44.41,2.94,101.79,0,0,0,0.18,0,0,2.21,35.84,0,0,0.71,0,0,0,0,0.18,0.35,0,0.47,0.56,1.12,0,0,0,0,0
"13","Croatia","Buckwheat",0.0421111111111111,4156405,50000,"Import_kg",89,"Buckwheat",9,9.42,303.88,77.13,1968.22,0,0,0,1.2,0.2,0,11.74,265.67,0,0.17,10.03,0,0,0.16,0,0,6.54,0,21.17,29.71,29.68,0,0,0.38,0,0
"14","Croatia","Cabbages and other brassicas",0.08324,4156405,7782000,"Import_kg",358,"Cabbages and other brassicas",78,60.43,5108.46,685.55,9857.65,137.94,0.52,0.14,276.03,3.89,0.77,642.3,4963.9,0.35,88.41,158.58,0.14,0.23,1.74,0.41,55.46,54.92,0.57,77.17,40.31,197.59,0,0,204.33,2.49,62.08
"15","Croatia","Carrots and turnips",0.0830718954248366,4156405,10785000,"Import_kg",426,"Carrots and turnips",96,94.44,4090.11,731.38,18325.46,85.51,1.9,0,207.2,4.85,0.81,909.06,6343.03,0.18,147.45,372.11,0.16,0.29,2.42,0.57,326.72,38,0.45,100.99,45.81,236.35,0,0,278.77,3.92,71.84
"16","Croatia","Cauliflowers and broccoli",0.103835520801038,4156405,4247000,"Import_kg",393,"Cauliflowers and broccoli",84,28.21,3048.22,318.18,4004.11,79.58,0.53,0,43.14,1.07,0.41,291.56,1869.7,0,29.46,106.88,0.11,0.11,0.71,0.18,62.32,17.71,0.18,61.26,18.45,31.74,0,0,85.23,1.06,47.23
"17","Croatia","Cherries",0.1289,4156405,723000,"Import_kg",531,"Cherries",127,6.15,146.87,23.39,1405.26,1.69,0,0,3.72,0,0,33.53,141.7,0,0.2,3.16,0,0,0,0,0.82,1.48,0,5.13,6.34,7.02,0,0,11.12,0,1.08
"18","Croatia","Cherries, sour",0.028,4156405,44000,"Import_kg",530,"Sour cherries",126,1.79,41.59,10.08,420.67,0.38,0,0,0.52,0,0,6.54,45.37,0,0.21,0.62,0,0,0,0,0.23,0.34,0,2.57,3.1,3.4,0,0,3.29,0,0.42
"19","Croatia","Chestnut",0.059,4156405,460000,"Import_kg",220,"Chestnuts",44,49.15,956.04,547.11,9767.32,3.31,0,0,7,0.31,0,122.58,2307.24,0.12,3.5,23.73,0,0,0.2,0.12,0,13.88,0.24,157,287.94,329.77,0,0,6.37,0.38,3.75
"20","Croatia","Chick peas",0.04575,4156405,901000,"Import_kg",191,"Chick peas",33,166.91,9212.94,2385.15,27631.56,1,0,0.18,64.61,3.28,1.63,383.32,3616.85,0.43,9.5,147.07,0.19,0,0.83,0.25,69.49,46.91,5.33,292.11,646.06,1260.61,0,0,4.97,1.41,0
"21","Croatia","Chillies and peppers, dry",4e-04,4156405,986000,"Import_kg",689,"Pimento",156,14260.83,607760.02,529365.88,2433760.99,4473.65,40.26,3.25,12303.89,432.93,156.72,108055.64,1317780.63,39.13,26910.12,11026.14,16.56,25.83,327.19,102.23,3054.26,9103.48,129.15,157161.06,100919.14,365641.62,0,0,1662.25,354.89,0
"22","Croatia","Chillies and peppers, green",0.0664142191142191,4156405,18476000,"Import_kg",401,"Chillies and peppers; green",88,262.31,11917,4447.95,46235.21,771.85,0.83,0.2,185.02,10.88,2.09,1886.97,21516.17,1.04,47.48,681.88,0.85,0.8,7.95,2.37,54.05,241.47,1.58,279.1,119.42,1221.32,0,0,590.79,5.92,110.81
"23","Croatia","Cinnamon (cannella)",0.00115555555555556,4156405,101000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Croatia","Cloves",0.0013,4156405,10000,"Import_kg",698,"Cloves",157,44.36,800.12,1727.33,8360.9,0,0,0,103.76,1.59,0.43,188.77,3969.78,0,51.26,15.05,0,0,0.14,0,6.92,47.93,11.13,731.4,257.8,667.37,0,0,6.16,0.78,0
"25","Croatia","Cocoa, beans",0.0115,4156405,1360000,"Import_kg",661,"Cocoa Beans",153,648.72,45911.25,117657.53,164741.03,0,0,0,305.18,14.44,19.38,2855.23,105274.92,10.78,23.47,1668.71,0.48,0.56,5.25,0.34,34.14,1419.79,10.92,65490.96,45218.42,2446.93,0,0,11.04,11.32,0
"26","Croatia","Coconuts",0.04,4156405,52000,"Import_kg",249,"Coconuts - Incl Copra",58,9.93,104.94,880.27,393.56,0,0,0,0.58,0,0,10.22,201.91,0,0.66,3.29,0,0,0,0,0.38,0.91,0.12,933.59,83.28,21.36,0,0,1.66,0,1.3
"27","Croatia","Coffee, green",0.00312,4156405,15520000,"Import_kg",656,"Coffee",152,22174.49,1352909.36,1785355.77,4332392.89,119.68,0.48,2.07,12332.16,413.52,63.51,266387.41,0,24.72,4256.4,34016.66,17.23,59.8,1327,2.79,5154.47,22361.79,45.6,3964.98,29737.33,1982.49,0,0,628.62,693.77,0
