"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Cyprus","Almonds, with shell",0.0296505238073522,1189265,42000,"Import_kg",221,"Almonds; with shell",45,70.92,2526.27,6093.08,2150.68,1.24,0,0,28.91,0.37,0.43,93.78,863.53,0.12,0.57,57.49,0,0,0.47,0,6.21,38.29,0.25,470.59,4022.91,1389.33,0,0,0.59,0.35,7.74
"2","Cyprus","Apples",0.121111111111111,1189265,8693000,"Import_kg",515,"Apples",119,338.8,1873.49,1777.93,78973.39,87.63,0,0,46.77,4.23,0.39,620.79,8550.17,0.18,35.16,65.53,0.27,0.17,1.13,0.24,978.94,28.17,0.21,235.38,51.3,395.32,0,0,510.01,1.55,60.35
"3","Cyprus","Apricots",0.03995,1189265,428000,"Import_kg",526,"Apricots",125,44.5,900.84,230.36,10255.18,6.02,0.12,0,15.31,0.72,0.2,262.75,1231.15,0,1.19,21.47,0,0.1,0.7,0,2.52,9.01,0,25.67,153.14,70.72,0,0,77.12,0.71,7.66
"4","Cyprus","Avocados",0.048,1189265,591000,"Import_kg",572,"Avocados",141,150.82,1665.23,14584.89,4493.22,13.24,0,0,21.29,0.99,0.5,528.04,4538.08,0.22,6.83,175.74,0,0.15,1.43,0.32,14.7,31.32,0.15,2475.93,8222.64,1722.74,0,0,79.61,1.22,39.34
"5","Cyprus","Bananas",0.04075,1189265,6598000,"Import_kg",486,"Bananas",117,1371.5,16551.99,3165.4,317823.97,144.95,0.5,0.25,134.13,10.88,2.25,4626.25,21288.34,1.26,86.41,345.32,0.73,0.69,11.59,4.75,133.42,385.75,3.68,1511.22,353.98,769.23,0,0,991.73,11.29,483.32
"6","Cyprus","Barley",0.04775,1189265,133575000,"Import_kg",44,"Barley",3,80949.08,2150963.96,327326.39,17537287.67,156.81,0,4.94,13113.48,1829.64,594.63,60569,1948400.84,150.38,5033.7,68795.28,61.86,30.43,1257.77,67.98,8891.29,18268.71,334.4,85384.65,52218.71,196172.99,0,0,2762.01,430.92,0
"7","Cyprus","Beans, green",0.0843965476190476,1189265,44000,"Import_kg",414,"Beans; green",92,2.09,199.89,23.87,328.02,1,0,0,2.76,0,0,12.76,98.23,0,0.73,4.67,0,0,0,0,0.36,1.32,0,2.13,0.8,4.12,0,0,3.64,0,0.54
"8","Cyprus","Broad beans, horse beans, dry",0.052,1189265,110000,"Import_kg",181,"Broad beans; horse beans; dry",32,59.5,4268.56,282.52,9782.73,0.48,0,0,17.63,1.44,0.62,212.24,3444.81,0.15,3.24,67.85,0,0,0.47,0,17.04,34.06,0.29,44.82,53.63,107.35,0,0,1.85,0.53,4.8
"9","Cyprus","Cabbages and other brassicas",0.08324,1189265,255000,"Import_kg",358,"Cabbages and other brassicas",78,6.92,585.03,78.51,1128.92,15.8,0,0,31.61,0.45,0,73.56,568.48,0,10.13,18.16,0,0,0.2,0,6.35,6.29,0,8.84,4.62,22.63,0,0,23.4,0.28,7.11
"10","Cyprus","Carrots and turnips",0.0830718954248366,1189265,3342000,"Import_kg",426,"Carrots and turnips",96,102.28,4429.56,792.08,19846.34,92.6,2.06,0,224.39,5.25,0.87,984.5,6869.46,0.2,159.68,402.99,0.17,0.32,2.62,0.62,353.84,41.16,0.48,109.38,49.61,255.96,0,0,301.91,4.24,77.8
