"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Cyprus","Alfalfa meal and pellets",0.0651708222811671,1189265,5318000,"Import_kg",862,"Mixed grain",12,2389.4,78434.55,17016.42,505661.3,0,0,0.26,168.71,22.84,17.86,2364.78,72502.75,3.16,37.54,2168.62,2.75,1.09,29.48,2.07,224.03,813.28,17.63,3014.6,3653.53,7154.48,0,0,73.76,11.26,0
"2","Cyprus","Almonds shelled",0.0296505238073522,1189265,9e+05,"Import_kg",231,"Almonds; with shell",45,1519.62,54134.26,130566.03,46086.01,26.54,0,0.11,619.48,7.97,9.24,2009.51,18504.17,2.59,12.31,1231.99,0.55,1.96,9.97,0.35,132.97,820.56,5.33,10084.13,86205.17,29771.29,0,0,12.69,7.49,165.9
"3","Cyprus","Almonds, with shell",0.0296505238073522,1189265,42000,"Import_kg",221,"Almonds; with shell",45,70.92,2526.27,6093.08,2150.68,1.24,0,0,28.91,0.37,0.43,93.78,863.53,0.12,0.57,57.49,0,0,0.47,0,6.21,38.29,0.25,470.59,4022.91,1389.33,0,0,0.59,0.35,7.74
"4","Cyprus","Anise, badian, fennel, coriander",0.00195,1189265,102000,"Import_kg",711,"Anise; badian; fennel; coriander",161,1528.78,69552.12,63031.61,205544.54,45.96,0.1,0,3577.03,141.16,20.4,6524.91,105022.13,4.13,325.48,2023.63,1.44,1.33,13.54,2.2,2409.62,1385.47,12,3704.27,47884.52,11559.67,0,0,43.81,29.61,0
"5","Cyprus","Apples",0.121111111111111,1189265,8693000,"Import_kg",515,"Apples",119,338.8,1873.49,1777.93,78973.39,87.63,0,0,46.77,4.23,0.39,620.79,8550.17,0.18,35.16,65.53,0.27,0.17,1.13,0.24,978.94,28.17,0.21,235.38,51.3,395.32,0,0,510.01,1.55,60.35
"6","Cyprus","Apricots",0.03995,1189265,428000,"Import_kg",526,"Apricots",125,44.5,900.84,230.36,10255.18,6.02,0.12,0,15.31,0.72,0.2,262.75,1231.15,0,1.19,21.47,0,0.1,0.7,0,2.52,9.01,0,25.67,153.14,70.72,0,0,77.12,0.71,7.66
"7","Cyprus","Apricots, dry",0.03995,1189265,111000,"Import_kg",527,"Apricots",125,11.54,233.63,59.74,2659.64,1.56,0,0,3.97,0.19,0,68.14,319.29,0,0.31,5.57,0,0,0.18,0,0.65,2.34,0,6.66,39.72,18.34,0,0,20,0.18,1.99
"8","Cyprus","Avocados",0.048,1189265,591000,"Import_kg",572,"Avocados",141,150.82,1665.23,14584.89,4493.22,13.24,0,0,21.29,0.99,0.5,528.04,4538.08,0.22,6.83,175.74,0,0.15,1.43,0.32,14.7,31.32,0.15,2475.93,8222.64,1722.74,0,0,79.61,1.22,39.34
"9","Cyprus","Bambara beans",0.028,1189265,18000,"Import_kg",203,"Bambara beans",37,18.47,958.85,304.3,2926.21,0.11,0,0,2.67,0.29,0.15,67.84,259.46,0,1.53,13.95,0,0,0.11,0,0,10.27,0,0,0,0,0,0,0.92,0.16,1.35
"10","Cyprus","Bananas",0.04075,1189265,6598000,"Import_kg",486,"Bananas",117,1371.5,16551.99,3165.4,317823.97,144.95,0.5,0.25,134.13,10.88,2.25,4626.25,21288.34,1.26,86.41,345.32,0.73,0.69,11.59,4.75,133.42,385.75,3.68,1511.22,353.98,769.23,0,0,991.73,11.29,483.32
"11","Cyprus","Barley",0.04775,1189265,133575000,"Import_kg",44,"Barley",3,80949.08,2150963.96,327326.39,17537287.67,156.81,0,4.94,13113.48,1829.64,594.63,60569,1948400.84,150.38,5033.7,68795.28,61.86,30.43,1257.77,67.98,8891.29,18268.71,334.4,85384.65,52218.71,196172.99,0,0,2762.01,430.92,0
"12","Cyprus","Barley, pearled",0.04775,1189265,2000,"Import_kg",46,"Barley",3,1.21,32.21,4.9,262.58,0,0,0,0.2,0,0,0.91,29.17,0,0,1.03,0,0,0,0,0.13,0.27,0,1.28,0.78,2.94,0,0,0,0,0
