"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Côte d'Ivoire","Almonds, with shell",0.0296505238073522,25069230,2000,"Import_kg",221,"Almonds; with shell",45,0.16,5.71,13.76,4.86,0,0,0,0,0,0,0.21,1.95,0,0,0.13,0,0,0,0,0,0,0,1.06,9.09,3.14,0,0,0,0,0
"2","Côte d'Ivoire","Avocados",0.048,25069230,1000,"Import_kg",572,"Avocados",141,0,0.13,1.17,0.36,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0.2,0.66,0.14,0,0,0,0,0
"3","Côte d'Ivoire","Beans, dry",0.1145,25069230,49000,"Import_kg",176,"Beans",30,0.56,36.35,2.34,99.01,0,0,0,0.24,0,0,2,21.17,0,0,0.66,0,0,0,0,0.19,0.3,0,0.53,0.23,0.81,0,0,0,0,0
"4","Côte d'Ivoire","Beans, green",0.0843965476190476,25069230,124000,"Import_kg",414,"Beans; green",92,0.28,26.72,3.19,43.85,0.13,0,0,0.37,0,0,1.71,13.13,0,0,0.62,0,0,0,0,0,0.18,0,0.29,0.11,0.55,0,0,0.49,0,0
"5","Côte d'Ivoire","Cashew nuts, with shell",0.0289438420348059,25069230,1e+05,"Import_kg",217,"Cashew nuts; with shell",43,7.5,253.23,580.03,333.26,0,0,0,0.56,0,0,8.96,36.66,0,1.27,6.48,0,0,0,0,0,4.17,0,107.26,327.96,108.12,0,0,0.14,0,0.39
"6","Côte d'Ivoire","Chillies and peppers, dry",4e-04,25069230,108000,"Import_kg",689,"Pimento",156,258.98,11037.12,9613.46,44197.9,81.24,0.73,0,223.44,7.86,2.85,1962.33,23931.33,0.71,488.7,200.24,0.3,0.47,5.94,1.86,55.47,165.32,2.35,2854.1,1832.72,6640.17,0,0,30.19,6.44,0
"7","Côte d'Ivoire","Chillies and peppers, green",0.0664142191142191,25069230,644000,"Import_kg",401,"Chillies and peppers; green",88,1.52,68.87,25.7,267.19,4.46,0,0,1.07,0,0,10.9,124.34,0,0.27,3.94,0,0,0,0,0.31,1.4,0,1.61,0.69,7.06,0,0,3.41,0,0.64
"8","Côte d'Ivoire","Coconuts",0.04,25069230,61000,"Import_kg",249,"Coconuts - Incl Copra",58,1.93,20.41,171.21,76.54,0,0,0,0.11,0,0,1.99,39.27,0,0.13,0.64,0,0,0,0,0,0.18,0,181.58,16.2,4.15,0,0,0.32,0,0.25
"9","Côte d'Ivoire","Coffee, green",0.00312,25069230,9000,"Import_kg",656,"Coffee",152,2.13,130.08,171.65,416.54,0,0,0,1.19,0,0,25.61,0,0,0.41,3.27,0,0,0.13,0,0.5,2.15,0,0.38,2.86,0.19,0,0,0,0,0
"10","Côte d'Ivoire","Cucumbers and gherkins",0.0675,25069230,3000,"Import_kg",397,"Cucumbers and gherkins",86,0,0.11,0,0.45,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Côte d'Ivoire","Eggplants (aubergines)",0.082,25069230,19000,"Import_kg",399,"Eggplants (aubergines)",87,0,1.07,0.67,4.89,0,0,0,0,0,0,0.19,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Côte d'Ivoire","Fruit, fresh nes",0.107099201828105,25069230,1e+05,"Import_kg",619,"Fresh fruit; nes",147,0.34,5.69,2.84,71.78,0.15,0,0,0.2,0,0,1.04,12.93,0,0,0.16,0,0,0,0,0.26,0.12,0,0.46,0.31,0.43,0,0,0.28,0,0.1
"13","Côte d'Ivoire","Ginger",0.02852,25069230,3000,"Import_kg",720,"Ginger",162,0,2.05,0.88,17.09,0,0,0,0,0,0,0.38,2.48,0,0,0,0,0,0,0,0,0,0,1.09,0.2,0.39,0,0,0,0,0
"14","Côte d'Ivoire","Grapefruit (inc. pomelos)",0.15,25069230,63000,"Import_kg",507,"Grapefruit",115,0,1.18,0.25,13.45,0,0,0,0,0,0,0.32,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0
"15","Côte d'Ivoire","Kola nuts",0.00312,25069230,39000,"Import_kg",224,"Kolanuts",48,7.7,126.95,20.57,1726.04,2.69,0,0,2.54,0,0,0,69.81,0,0,4.29,0,0,0,0,0,3.54,0,0,0,0,0,0,3.02,0,0
"16","Côte d'Ivoire","Maize",0.0869363057324841,25069230,14318000,"Import_kg",56,"Maize",4,232.14,5678.04,2248.68,47414.27,0.45,0,0,13.71,2.14,1.18,193.54,3402.33,0.12,6.14,143.8,0.18,0,1.69,0.23,0,72.05,0.16,388.76,846,1587.06,0,0,8.19,0.82,0
"17","Côte d'Ivoire","Mangoes, mangosteens, guavas",0.09628125,25069230,2000,"Import_kg",571,"Mangos; mangosteens; guavas",140,0,0,0,1.14,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Côte d'Ivoire","Millet",0.0477,25069230,452000,"Import_kg",79,"Millet",7,12.98,350.18,142.24,2661.54,0,0,0,2.25,0.27,0,9.8,210.49,0,0.41,9.51,0,0,0,0,28.27,4.98,0,27.33,29.22,80.66,0,0,0.41,0,0
"19","Côte d'Ivoire","Nuts nes",0.0310679900238414,25069230,57000,"Import_kg",234,"Nuts; nes",51,4.06,106.05,319.41,231.47,0,0,0,0.89,0,0,3.44,27.47,0,0.27,3.7,0,0,0,0,0.35,1.47,0,88.15,238.91,150.9,0,0,0,0,0.4
"20","Côte d'Ivoire","Oilseeds nes",0.0178426203877423,25069230,297000,"Import_kg",339,"Oilcrops; Other",62,34.63,1269.56,2581.96,1807.08,0.15,0,0,22.5,1.14,0.29,47.81,820.02,0,2.19,36.65,0,0,0.21,0,2.9,22.09,0.19,291.84,668.12,1753.1,0,0,0.38,0.29,1.54
"21","Côte d'Ivoire","Onions, shallots, green",0.083270092226614,25069230,210562000,"Import_kg",402,"Onions (inc. shallots); green",89,387.98,15413.47,2031.75,79167.3,214.95,0.93,0.38,459.95,18.94,5.38,2163.6,20375.17,0.71,104.17,528.92,0.47,0.78,3.26,1.61,74.98,423.64,4.01,393.38,345.47,930.5,0,0,899.95,7.32,153.82
"22","Côte d'Ivoire","Oranges",0.138371428571429,25069230,12093000,"Import_kg",490,"Oranges; Mandarines",113,15.41,276.52,79.99,3485.82,16.1,0,0,11.01,0.17,0,58.6,469.05,0,0.94,7.55,0,0,0.62,0,3.79,3.7,0,7.32,10.72,11.33,0,0,30.3,0.15,9.34
"23","Côte d'Ivoire","Pepper (piper spp.)",0.002,25069230,907000,"Import_kg",687,"Pepper",155,519.63,17644.69,7408.82,100989.16,14.29,0,0,649.83,19.4,2.12,1263.13,35311.5,2.02,23.84,289.55,0.11,0.18,2.26,0.43,20.44,277.91,12.69,1825.27,1382.07,1459.86,0,0,35.05,6.05,0
"24","Côte d'Ivoire","Pineapples",0.1096,25069230,1000,"Import_kg",574,"Pineapples",120,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Côte d'Ivoire","Pumpkins, squash and gourds",0.100019949494949,25069230,5000,"Import_kg",394,"Pumpkins; squash; and gourds",85,0,0.2,0,0.8,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Côte d'Ivoire","Rice, paddy",0.0488821264103023,25069230,126000,"Import_kg",27,"Rice (Milled Equivalent)",2,3.64,76.44,10.97,799.05,0,0,0,0.36,0,0,1.29,17.17,0,0,1.61,0,0,0,0,0,0.6,0,1.29,1.86,1.73,0,0,0.12,0,0
"27","Côte d'Ivoire","Rice, paddy (rice milled equivalent)",0.0488821264103023,25069230,1342041000,"Import_kg",30,"Rice (Milled Equivalent)",2,38781.02,814163.08,116849.94,8510740.93,3.79,0.11,2.08,3783.18,240.81,135.85,13720.55,182913.14,16.4,1025.5,17108.28,19.45,5.95,366.2,24.38,0,6388.39,109.92,13744.17,19767.51,18398.57,0,0,1286.52,94,0
"28","Côte d'Ivoire","Sesame seed",0.0154423214285714,25069230,13000,"Import_kg",289,"Sesameseed",59,1.92,65.91,162.72,54.94,0,0,0,2.72,0,0,1.63,40.13,0,0.13,2.02,0,0,0,0,0,1.17,0,27.12,73.25,79.07,0,0,0,0,0
"29","Côte d'Ivoire","Sorghum",0.0326666666666667,25069230,110000,"Import_kg",83,"Sorghum",8,4.69,157.68,46.69,958.04,0,0,0,0.41,0,0,4.18,45.25,0,0.13,4.82,0,0,0,0,0,3.41,0,8.19,15.19,20.93,0,0,0.14,0,0
"30","Côte d'Ivoire","Soybeans",0.071,25069230,1166000,"Import_kg",236,"Soyabeans",53,26.49,2317.71,1140.64,1558.68,0.22,0,0,15.56,0.57,0.26,98.3,644.99,0,0.64,39.63,0,0,0.15,0,7.59,15.56,0.14,188.8,286.73,693.9,0,0,0.59,0.33,0
"31","Côte d'Ivoire","Spices nes",0.00767204314204314,25069230,323000,"Import_kg",723,"Spices; nes",163,39.6,1666.24,1176.31,6500.49,6.88,0,0,123.92,4.21,0.53,186.73,2818.09,0.12,9.85,32.98,0,0,0.81,0.15,24.47,43.4,0.98,286.66,517.18,325.03,0,0,6.21,0.94,1.69
"32","Côte d'Ivoire","Sweet potatoes",0.10804347826087,25069230,245000,"Import_kg",122,"Sweet Potatoes",19,0.99,11.84,2.18,228.4,0.22,0,0,0.31,0,0,2.34,20.28,0,0.17,0.37,0,0,0,0,0.11,0.18,0,0.72,0.12,1.25,0,0,0.64,0,0.21
"33","Côte d'Ivoire","Tomatoes",0.0714285714285714,25069230,6043000,"Import_kg",388,"Tomatoes",76,6.74,321.64,85.03,1227.99,7.78,0,0,5.06,0.34,0,66.17,386.69,0,3.76,13.6,0,0,0.27,0,2.26,4.39,0,9.79,10.29,27.5,0,0,31.72,0.18,2.19
