"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Dominican Republic","Almonds, with shell",0.0296505238073522,10627141,144000,"Import_kg",221,"Almonds; with shell",45,27.21,969.29,2337.83,825.18,0.48,0,0,11.09,0.14,0.17,35.98,331.32,0,0.22,22.06,0,0,0.18,0,2.38,14.69,0,180.56,1543.53,533.06,0,0,0.23,0.13,2.97
"2","Dominican Republic","Anise, badian, fennel, coriander",0.00195,10627141,299000,"Import_kg",711,"Anise; badian; fennel; coriander",161,501.51,22816.21,20677.19,67427.82,15.08,0,0,1173.43,46.31,6.69,2140.46,34451.97,1.35,106.77,663.84,0.47,0.44,4.44,0.72,790.46,454.5,3.94,1215.17,15708.27,3792.09,0,0,14.37,9.71,0
"3","Dominican Republic","Apples",0.121111111111111,10627141,22457000,"Import_kg",515,"Apples",119,97.95,541.62,514,22831.01,25.33,0,0,13.52,1.22,0.11,179.47,2471.83,0,10.16,18.94,0,0,0.33,0,283.01,8.14,0,68.05,14.83,114.29,0,0,147.44,0.45,17.45
"4","Dominican Republic","Apricots",0.03995,10627141,13000,"Import_kg",526,"Apricots",125,0.15,3.06,0.78,34.86,0,0,0,0,0,0,0.89,4.18,0,0,0,0,0,0,0,0,0,0,0,0.52,0.24,0,0,0.26,0,0
"5","Dominican Republic","Asparagus",0.0845294117647059,10627141,9000,"Import_kg",367,"Asparagus",80,0,2.16,0.2,3.05,0,0,0,0,0,0,0.22,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Dominican Republic","Avocados",0.048,10627141,661626000,"Production_kg",572,"Avocados",141,18894.91,208622.41,1827218.67,562917.32,1659.22,4.39,7.54,2667.28,124.61,62.58,66153.9,568537.85,27.37,855.59,22017.33,8.18,18.18,179.62,39.58,1841.8,3923.56,18.42,310188.2,1030145.18,215828.21,0,0,9973.41,152.22,4928.77
"7","Dominican Republic","Bananas",0.04075,10627141,1209268000,"Production_kg",486,"Bananas",117,28130,339486.71,64923.43,6518671.48,2972.91,10.26,5.21,2751.04,223.07,46.07,94885.94,436630.7,25.76,1772.3,7082.56,14.93,14.12,237.76,97.45,2736.56,7911.82,75.39,30995.7,7260.25,15777.09,0,0,20340.77,231.46,9913.04
"8","Dominican Republic","Beans, dry",0.1145,10627141,79724000,"Production_kg/Import_kg",176,"Beans",30,2158.97,139503.99,8995.26,380016.06,11.89,0,2.68,916.72,47.78,19.13,7661.02,81261.25,5.71,102.34,2533.98,2.96,1.45,13.1,2.54,723.33,1132.77,8.53,2025.26,899.31,3115.79,0,0,76.81,25.03,0
"9","Dominican Republic","Beans, green",0.0843965476190476,10627141,2446000,"Import_kg",414,"Beans; green",92,13.01,1243.53,148.48,2040.66,6.25,0,0,17.17,0.59,0.13,79.38,611.08,0,4.52,29.07,0,0.27,0.24,0,2.21,8.18,0,13.27,5,25.64,0,0,22.67,0.31,3.38
"10","Dominican Republic","Blueberries",0.134028846153846,10627141,2000,"Import_kg",552,"Blueberries",136,0,0.1,0,2.03,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
