"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Ecuador","Alfalfa meal and pellets",0.0651708222811671,17084358,52000,"Import_kg",862,"Mixed grain",12,1.63,53.39,11.58,344.19,0,0,0,0.11,0,0,1.61,49.35,0,0,1.48,0,0,0,0,0.15,0.55,0,2.05,2.49,4.87,0,0,0,0,0
"2","Ecuador","Almonds shelled",0.0296505238073522,17084358,802000,"Import_kg",231,"Almonds; with shell",45,94.26,3358.03,8099.2,2858.78,1.65,0,0,38.43,0.49,0.57,124.65,1147.84,0.16,0.76,76.42,0,0.12,0.62,0,8.25,50.9,0.33,625.53,5347.43,1846.76,0,0,0.79,0.46,10.29
"3","Ecuador","Anise, badian, fennel, coriander",0.00195,17084358,1724000,"Production_kg/Import_kg",711,"Anise; badian; fennel; coriander",161,1798.72,81832.8,74160.98,241837.14,54.08,0.12,0,4208.62,166.08,24,7677,123565.69,4.86,382.94,2380.94,1.7,1.56,15.93,2.59,2835.08,1630.1,14.12,4358.32,56339.4,13600.74,0,0,51.55,34.84,0
"4","Ecuador","Apples",0.121111111111111,17084358,62207000,"Production_kg/Import_kg",515,"Apples",119,168.77,933.26,885.66,39339.64,43.65,0,0,23.3,2.11,0.19,309.24,4259.16,0,17.51,32.64,0.14,0,0.56,0.12,487.65,14.03,0.11,117.25,25.55,196.92,0,0,254.06,0.77,30.06
"5","Ecuador","Apricots",0.03995,17084358,358000,"Production_kg",526,"Apricots",125,2.59,52.45,13.41,597.12,0.35,0,0,0.89,0,0,15.3,71.69,0,0,1.25,0,0,0,0,0.15,0.52,0,1.49,8.92,4.12,0,0,4.49,0,0.45
"6","Ecuador","Asparagus",0.0845294117647059,17084358,1474000,"Production_kg",367,"Asparagus",80,2.07,220.18,20.71,310.8,2.21,0,0,2.14,0.11,0,22.12,248.37,0,0.47,8.56,0,0,0,0,1.63,1.43,0,4.59,0.51,7.14,0,0,9.48,0,4.8
"7","Ecuador","Avocados",0.048,17084358,26408000,"Production_kg",572,"Avocados",141,469.12,5179.67,45366.08,13976.08,41.2,0.11,0.19,66.22,3.09,1.55,1642.47,14115.62,0.68,21.24,546.65,0.2,0.45,4.46,0.98,45.73,97.41,0.46,7701.33,25576.39,5358.57,0,0,247.62,3.78,122.37
"8","Ecuador","Bananas",0.04075,17084358,6583477000,"Production_kg",486,"Bananas",117,95262.11,1149670.33,219862.93,22075453.6,10067.76,34.73,17.65,9316.37,755.43,156.03,321330.85,1478648.03,87.24,6001.9,23985.05,50.56,47.82,805.18,330.03,9267.34,26793.33,255.32,104966.82,24586.82,53429.06,0,0,68883.93,783.84,33570.47
"9","Ecuador","Barley",0.04775,17084358,57969000,"Production_kg/Import_kg",44,"Barley",3,2445.47,64980.6,9888.53,529801.31,4.74,0,0.15,396.16,55.27,17.96,1829.79,58861.17,4.54,152.07,2078.3,1.87,0.92,38,2.05,268.61,551.9,10.1,2579.47,1577.53,5926.38,0,0,83.44,13.02,0
"10","Ecuador","Beans, dry",0.1145,17084358,15195000,"Production_kg/Import_kg",176,"Beans",30,255.96,16539.26,1066.46,45053.79,1.41,0,0.32,108.68,5.66,2.27,908.27,9634.14,0.68,12.13,300.42,0.35,0.17,1.55,0.3,85.76,134.3,1.01,240.11,106.62,369.4,0,0,9.11,2.97,0
