"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Egypt","Almonds shelled",0.0296505238073522,98423598,2756000,"Import_kg",231,"Almonds; with shell",45,56.23,2003.03,4831.1,1705.24,0.98,0,0,22.92,0.29,0.34,74.35,684.68,0,0.46,45.59,0,0,0.37,0,4.92,30.36,0.2,373.13,3189.7,1101.57,0,0,0.47,0.28,6.14
"2","Egypt","Almonds, with shell",0.0296505238073522,98423598,591000,"Import_kg",221,"Almonds; with shell",45,12.06,429.53,1035.99,365.67,0.21,0,0,4.92,0,0,15.94,146.82,0,0,9.78,0,0,0,0,1.06,6.51,0,80.01,684,236.22,0,0,0.1,0,1.32
"3","Egypt","Anise, badian, fennel, coriander",0.00195,98423598,50108000,"Production_kg/Import_kg",711,"Anise; badian; fennel; coriander",161,9074.7,412854.14,374149.07,1220091.03,272.83,0.62,0.31,21232.91,837.9,121.08,38731.18,623400.47,24.5,1931.99,12012.04,8.56,7.89,80.37,13.05,14303.26,8224.01,71.21,21988.14,284237.54,68616.98,0,0,260.08,175.75,0
"4","Egypt","Apples",0.121111111111111,98423598,964387000,"Production_kg/Import_kg",515,"Apples",119,454.15,2511.38,2383.29,105862.43,117.46,0,0,62.7,5.67,0.52,832.15,11461.35,0.23,47.13,87.84,0.37,0.23,1.51,0.33,1312.26,37.76,0.28,315.52,68.77,529.92,0,0,683.66,2.08,80.9
"5","Egypt","Apricots",0.03995,98423598,99712000,"Production_kg/Import_kg",526,"Apricots",125,125.27,2535.9,648.46,28868.64,16.95,0.32,0,43.11,2.01,0.56,739.64,3465.72,0.2,3.36,60.44,0,0.28,1.98,0.14,7.1,25.36,0.2,72.27,431.1,199.07,0,0,217.09,2,21.56
"6","Egypt","Apricots, dry",0.03995,98423598,3377000,"Import_kg",527,"Apricots",125,4.24,85.88,21.96,977.71,0.57,0,0,1.46,0,0,25.05,117.38,0,0.11,2.05,0,0,0,0,0.24,0.86,0,2.45,14.6,6.74,0,0,7.35,0,0.73
"7","Egypt","Artichokes",0.1,98423598,296899000,"Production_kg",366,"Artichokes",79,167.42,7894.29,527.89,34999.44,24.96,0,0.21,251.28,4.03,1.04,1032.66,7440.81,0.7,320.13,295.62,0.27,0.16,1.77,0.35,103.77,180.99,0.77,129.71,22.62,187.03,0,0,260.07,3.86,180.99
"8","Egypt","Asparagus",0.0845294117647059,98423598,2000,"Import_kg",367,"Asparagus",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Egypt","Avocados",0.048,98423598,48000,"Import_kg",572,"Avocados",141,0.15,1.63,14.31,4.41,0,0,0,0,0,0,0.52,4.45,0,0,0.17,0,0,0,0,0,0,0,2.43,8.07,1.69,0,0,0,0,0
"10","Egypt","Bananas",0.04075,98423598,1361192000,"Production_kg/Import_kg",486,"Bananas",117,3418.88,41260.72,7890.7,792269.85,361.32,1.25,0.63,334.36,27.11,5.6,11532.3,53067.46,3.13,215.4,860.8,1.81,1.72,28.9,11.84,332.6,961.59,9.16,3767.17,882.4,1917.52,0,0,2472.19,28.13,1204.82
