"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","El Salvador","Apples",0.121111111111111,6420746,64997000,"Production_kg",515,"Apples",119,469.2,2594.59,2462.25,109369.84,121.35,0,0,64.78,5.86,0.53,859.72,11841.09,0.24,48.69,90.75,0.38,0.24,1.56,0.34,1355.73,39.01,0.29,325.98,71.05,547.48,0,0,706.32,2.15,83.58
"2","El Salvador","Avocados",0.048,6420746,31394000,"Production_kg",572,"Avocados",141,1483.92,16384.23,143501.21,44208.89,130.31,0.34,0.59,209.48,9.79,4.91,5195.42,44650.3,2.15,67.19,1729.14,0.64,1.43,14.11,3.11,144.65,308.14,1.45,24360.73,80902.79,16950.14,0,0,783.26,11.95,387.08
"3","El Salvador","Bananas",0.04075,6420746,16156000,"Production_kg",486,"Bananas",117,622.03,7506.98,1435.63,144145.58,65.74,0.23,0.12,60.83,4.93,1.02,2098.19,9655.09,0.57,39.19,156.61,0.33,0.31,5.26,2.15,60.51,174.95,1.67,685.4,160.54,348.87,0,0,449.79,5.12,219.2
"4","El Salvador","Beans, dry",0.1145,6420746,101919000,"Production_kg",176,"Beans",30,4568.18,295177.78,19033.16,804079.48,25.15,0,5.67,1939.7,101.09,40.49,16210.02,171941.42,12.09,216.54,5361.67,6.26,3.06,27.71,5.37,1530.5,2396.84,18.06,4285.28,1902.86,6592.73,0,0,162.53,52.97,0
"5","El Salvador","Cabbages and other brassicas",0.08324,6420746,702000,"Production_kg",358,"Cabbages and other brassicas",78,3.53,298.31,40.03,575.64,8.05,0,0,16.12,0.23,0,37.51,289.87,0,5.16,9.26,0,0,0.1,0,3.24,3.21,0,4.51,2.35,11.54,0,0,11.93,0.15,3.63
"6","El Salvador","Cashew nuts, with shell",0.0289438420348059,6420746,525000,"Production_kg",217,"Cashew nuts; with shell",43,153.74,5190.77,11889.46,6831.19,0.46,0,0,11.38,1.71,1.46,183.77,751.45,0.6,26.11,132.92,0.15,0,0.37,0.12,0,85.5,0.38,2198.69,6722.64,2216.21,0,0,2.81,0.64,7.91
"7","El Salvador","Cassava",0.108277777777778,6420746,29148000,"Production_kg",125,"Cassava",17,583.14,7661.29,1990.09,130154.07,135,0,0.11,163.45,5.1,1.43,1576.42,6205.06,0.42,38.57,165.23,0.26,0.23,2.41,0.37,99.36,88.04,1.61,364.76,366.85,184.47,0,0,263.41,5.89,88.04
"8","El Salvador","Chillies and peppers, green",0.0664142191142191,6420746,6071000,"Production_kg",401,"Chillies and peppers; green",88,55.8,2534.85,946.12,9834.62,164.18,0.18,0,39.35,2.31,0.44,401.37,4576.67,0.22,10.1,145.04,0.18,0.17,1.69,0.51,11.5,51.36,0.34,59.37,25.4,259.78,0,0,125.67,1.26,23.57
"9","El Salvador","Cocoa, beans",0.0115,6420746,368000,"Production_kg",661,"Cocoa Beans",153,113.63,8041.93,20609.19,28856.46,0,0,0,53.46,2.53,3.39,500.13,18440.22,1.89,4.11,292.3,0,0,0.92,0,5.98,248.69,1.91,11471.56,7920.57,428.61,0,0,1.93,1.98,0
"10","El Salvador","Coconuts",0.04,6420746,101591000,"Production_kg",249,"Coconuts - Incl Copra",58,12558.95,132712.41,1113268.66,497730.15,94.89,0,0.77,738.24,113.51,65.25,12931.44,255354.42,20.25,837.83,4163.02,2.48,1.25,26.76,1.63,478.62,1146.46,148.33,1180699.94,105317.22,27016.59,0,0,2097.77,40.45,1641.56
"11","El Salvador","Coffee, green",0.00312,6420746,39600000,"Production_kg",656,"Coffee",152,36626,2234624.41,2948903.83,7155890.27,197.68,0.79,3.42,20369.25,683.02,104.9,439996.81,0,40.83,7030.37,56185.93,28.46,98.77,2191.83,4.6,8513.73,36935.36,75.31,6549.02,49117.68,3274.51,0,0,1038.3,1145.92,0
"12","El Salvador","Cucumbers and gherkins",0.0675,6420746,2480000,"Production_kg",397,"Cucumbers and gherkins",86,7.99,369.25,67.66,1447.89,5.66,0,0,9.16,0.25,0.11,81.57,373.3,0,3.8,20.75,0,0,0.11,0,3.43,7.15,0,19.17,1.43,14.88,0,0,54.79,0.24,8.87
"13","El Salvador","Fruit, fresh nes",0.107099201828105,6420746,13416000,"Production_kg",619,"Fresh fruit; nes",147,175.59,2979.72,1486.06,37600.65,76.09,0,0,104.65,7.12,0.49,543.49,6775.2,0.22,21.78,81.63,0.12,0.11,1.95,0.17,136.23,62.26,0.41,238.8,164.53,227.4,0,0,147.68,1.78,54.3
"14","El Salvador","Lemons and limes",0.0785,6420746,18711000,"Production_kg",497,"Lemons; Limes",114,140.06,2814.16,1549.98,30854.43,152.87,0,0,140.43,2.16,0.7,778.82,4937.35,0.7,16.85,72.85,0.13,0.1,1.67,0.21,18.93,37.12,0,124.98,49.5,252.44,0,0,330.9,1.36,129.93
"15","El Salvador","Maize",0.0869363057324841,6420746,8.7e+08,"Production_kg",56,"Maize",4,55072.87,1347073.25,533482.82,11248677.58,106.87,3.44,3.63,3252.03,507.17,279.68,45916.98,807177.74,28.12,1456.58,34115.83,41.56,18.45,402.02,55.23,0,17092.72,37.8,92229.71,200707.75,376516.98,0,0,1942.16,195.64,0
"16","El Salvador","Maize, green",0.101,6420746,30787000,"Production_kg",446,"Maize; green",98,563.76,18259.88,5963.99,119754.46,39.4,0,0.2,58.46,5.77,2.68,1201.11,7595.92,0.26,139.42,755.52,0.63,0.35,6.78,0.44,109.19,182.78,0.77,1163.13,1917.97,2717.12,0,0,323.69,3.81,223.13
"17","El Salvador","Mangoes, mangosteens, guavas",0.09628125,6420746,31440000,"Production_kg",571,"Mangos; mangosteens; guavas",140,312.12,3820.64,1256.96,70163.71,439.99,0.66,0.15,89.91,2.69,0.69,914.03,13562.01,0.38,53.89,97.37,0.23,0.28,5.88,0.6,38.65,231.4,0.27,777.1,383.47,856.44,0,0,422.1,3.01,134.77
"18","El Salvador","Melons, other (inc.cantaloupes)",0.179843076923077,6420746,510000,"Production_kg",568,"Other melons (inc. cantaloupes)",111,1.26,23.9,6.72,284.17,1.03,0,0,0.67,0,0,11.3,30.29,0,0.54,0.72,0,0,0,0,0.34,0.48,0,1.68,0.12,2.64,0,0,4.08,0,2.11
"19","El Salvador","Olives",0.014,6420746,12691000,"Production_kg",260,"Olives",61,1383.59,13447.68,223245.57,83792.09,11.29,0.58,0,1072.99,37.84,3.11,120.01,40237.15,3.37,10376.95,232.95,0.23,0.81,3.03,0.15,119.3,56.47,0.28,16405.46,91479.51,10567.55,0,0,1050.51,40.06,0
"20","El Salvador","Onions, dry",0.093304347826087,6420746,1587000,"Production_kg",403,"Onions",77,10.46,304.88,37.23,2213.2,2.36,0,0,10.98,0.19,0.1,34.23,376.16,0,2.66,13.82,0,0,0,0,1.62,3.16,0,9.01,6.45,14.75,0,0,23.9,0.14,2.12
"21","El Salvador","Oranges",0.138371428571429,6420746,61485000,"Production_kg",490,"Oranges; Mandarines",113,305.87,5489.24,1587.87,69198.38,319.53,0.38,0.17,218.6,3.35,0.43,1163.27,9311.21,0.31,18.68,149.82,0.47,0.29,12.24,0.48,75.2,73.36,0.2,145.33,212.81,224.92,0,0,601.57,2.94,185.47
"22","El Salvador","Papayas",0.151,6420746,7947000,"Production_kg",600,"Papayas",145,28.23,613.34,115.19,6320.54,38.99,0,0,17.43,0.47,0,139.8,1065.58,0,8.48,12.76,0,0,0.25,0,5,13.87,0,49.59,37.7,27.87,0,0,73.57,0.34,26.23
"23","El Salvador","Pineapples",0.1096,6420746,1136000,"Production_kg",574,"Pineapples",120,7.63,74.21,34.3,1784.12,3.59,0,0,5.79,0,0,25.9,134.42,0,0.75,1.55,0,0,0,0,26.35,1.91,0.15,3.15,4.28,9.69,0,0,14.06,0,6.62
"24","El Salvador","Plantains and others",0.104,6420746,42487000,"Production_kg",489,"Plantains",118,754.57,8271.43,2333.82,180508.05,74.27,0.44,0.13,57.24,6.13,0.92,2861.76,9703.02,0.51,20.36,206.34,1.15,0.81,4.07,1.91,85.9,235.42,0,1027.57,197.24,410.39,0,0,432.48,6.08,219.51
