"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Eritrea","Anise, badian, fennel, coriander",0.00195,3452786,41000,"Import_kg",711,"Anise; badian; fennel; coriander",161,211.66,9629.48,8726.72,28457.62,6.36,0,0,495.24,19.54,2.82,903.37,14540.3,0.57,45.06,280.17,0.2,0.18,1.87,0.3,333.61,191.82,1.66,512.86,6629.61,1600.43,0,0,6.07,4.1,0
"2","Eritrea","Barley",0.04775,3452786,6.5e+07,"Production_kg",44,"Barley",3,13567.79,360520.76,54862.83,2939405.99,26.28,0,0.83,2197.94,306.66,99.67,10151.91,326569.38,25.21,843.69,11530.7,10.37,5.1,210.81,11.39,1490.26,3062,56.05,14311.23,8752.32,32880.35,0,0,462.94,72.23,0
"3","Eritrea","Beans, dry",0.1145,3452786,122000,"Production_kg/Import_kg",176,"Beans",30,10.17,657.06,42.37,1789.86,0,0,0,4.32,0.23,0,36.08,382.74,0,0.48,11.93,0,0,0,0,3.41,5.34,0,9.54,4.24,14.68,0,0,0.36,0.12,0
"4","Eritrea","Beans, green",0.0843965476190476,3452786,1000,"Import_kg",414,"Beans; green",92,0,1.56,0.19,2.57,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Eritrea","Broad beans, horse beans, dry",0.052,3452786,222000,"Production_kg/Import_kg",181,"Broad beans; horse beans; dry",32,41.36,2967.23,196.39,6800.32,0.34,0,0,12.25,1,0.43,147.53,2394.61,0.1,2.25,47.17,0,0,0.33,0,11.85,23.68,0.2,31.16,37.28,74.62,0,0,1.29,0.37,3.34
"6","Eritrea","Cauliflowers and broccoli",0.103835520801038,3452786,2000,"Import_kg",393,"Cauliflowers and broccoli",84,0,1.73,0.18,2.27,0,0,0,0,0,0,0.17,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Eritrea","Cereal preparations nes",0.0486257263475995,3452786,8000,"Import_kg",113,"Cereals; nes",13,1.66,62.06,21.93,350.18,0,0,0,0.69,0.11,0,2.03,15.04,0,0,1.81,0,0,0,0,0,0.88,0,2.14,2.81,5.1,0,0,0,0,0
"8","Eritrea","Cereals nes",0.0486257263475995,3452786,31759000,"Production_kg",108,"Cereals; nes",13,6587.52,246369.56,87063.3,1390166.09,20.33,0,0,2746.42,419.47,71.91,8077.16,59720.75,15.32,147.55,7199.88,6.79,5.02,27.58,9.12,247.8,3480.56,174.78,8493.32,11141.57,20259.12,0,0,206.45,74.14,0
"9","Eritrea","Chick peas",0.04575,3452786,3989000,"Production_kg",191,"Chick peas",33,889.52,49100.45,12711.69,147262.74,5.3,0,0.94,344.35,17.5,8.71,2042.92,19276.03,2.32,50.66,783.84,1,0.44,4.45,1.35,370.33,250,28.43,1556.81,3443.17,6718.41,0,0,26.51,7.5,0
"10","Eritrea","Chillies and peppers, dry",4e-04,3452786,1000,"Import_kg",689,"Pimento",156,17.41,742,646.29,2971.32,5.46,0,0,15.02,0.53,0.19,131.92,1608.85,0,32.85,13.46,0,0,0.4,0.12,3.73,11.11,0.16,191.87,123.21,446.4,0,0,2.03,0.43,0
