"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Eswatini","Avocados",0.048,1136281,43000,"Import_kg",572,"Avocados",141,11.49,126.81,1110.65,342.16,1.01,0,0,1.62,0,0,40.21,345.58,0,0.52,13.38,0,0,0.11,0,1.12,2.38,0,188.54,626.16,131.19,0,0,6.06,0,3
"2","Eswatini","Bananas",0.04075,1136281,3698000,"Import_kg",486,"Bananas",117,804.53,9709.52,1856.85,186437.87,85.03,0.29,0.15,78.68,6.38,1.32,2713.79,12487.9,0.74,50.69,202.57,0.43,0.4,6.8,2.79,78.27,226.28,2.16,886.5,207.65,451.23,0,0,581.76,6.62,283.52
"3","Eswatini","Beans, dry",0.1145,1136281,7111000,"Import_kg",176,"Beans",30,1801.02,116374.79,7503.89,317010.94,9.92,0,2.23,764.73,39.86,15.96,6390.85,67788.46,4.77,85.37,2113.86,2.47,1.21,10.92,2.12,603.4,944.96,7.12,1689.48,750.21,2599.21,0,0,64.08,20.88,0
"4","Eswatini","Dates",0.0393863636363636,1136281,4000,"Import_kg",577,"Dates",121,1.78,15.71,2.63,455.47,0,0,0,0.37,0,0,5.39,44.15,0,0,0.72,0,0,0,0,0,0.36,0,0.14,0.16,0,0,0,0.34,0,0.15
"5","Eswatini","Fruit, fresh nes",0.107099201828105,1136281,56000,"Import_kg",619,"Fresh fruit; nes",147,4.14,70.28,35.05,886.87,1.79,0,0,2.47,0.17,0,12.82,159.8,0,0.51,1.93,0,0,0,0,3.21,1.47,0,5.63,3.88,5.36,0,0,3.48,0,1.28
"6","Eswatini","Grapefruit (inc. pomelos)",0.15,1136281,7756000,"Import_kg",507,"Grapefruit",115,164.6,3204.86,691.68,36544.16,179.04,0,0,84.51,2.36,0.42,865.25,4601.08,0.22,33.26,94.8,0.17,0.14,1.25,0.18,35.04,34.89,0,54.61,52.33,100.11,0,0,407.46,1.88,203.64
"7","Eswatini","Maize",0.0869363057324841,1136281,149968000,"Import_kg",56,"Maize",4,53643.46,1312110.18,519636.36,10956719.94,104.1,3.35,3.53,3167.62,494.01,272.42,44725.21,786227.57,27.39,1418.77,33230.36,40.49,17.97,391.59,53.8,0,16649.08,36.81,89835.9,195498.41,366744.54,0,0,1891.76,190.57,0
"8","Eswatini","Mangoes, mangosteens, guavas",0.09628125,1136281,82000,"Import_kg",571,"Mangos; mangosteens; guavas",140,4.6,56.31,18.52,1034.05,6.48,0,0,1.33,0,0,13.47,199.87,0,0.79,1.44,0,0,0,0,0.57,3.41,0,11.45,5.65,12.62,0,0,6.22,0,1.99
"9","Eswatini","Oranges",0.138371428571429,1136281,3294000,"Import_kg",490,"Oranges; Mandarines",113,92.6,1661.75,480.69,20948.36,96.73,0.12,0,66.18,1.01,0.13,352.16,2818.78,0,5.65,45.35,0.14,0,3.7,0.15,22.77,22.21,0,44,64.42,68.09,0,0,182.11,0.89,56.15
"10","Eswatini","Pineapples",0.1096,1136281,142000,"Import_kg",574,"Pineapples",120,5.39,52.42,24.23,1260.18,2.54,0,0,4.09,0,0,18.29,94.94,0,0.53,1.09,0,0,0,0,18.61,1.35,0.11,2.22,3.02,6.84,0,0,9.93,0,4.67
"11","Eswatini","Plums and sloes",0.0704444444444444,1136281,301000,"Import_kg",536,"Plums and sloes",129,20.23,277.02,110.56,4656.88,5.84,0,0,6.89,0.31,0,73.95,313.37,0,0.25,9.25,0,0,0.23,0,0.71,2.63,0,12.6,100.4,32.72,0,0,31.43,0.19,2.44
"12","Eswatini","Potatoes",0.133867924528302,1136281,11813000,"Import_kg",116,"Potatoes",18,622.77,15977.07,1055.51,139148.45,124.2,0,0.12,71.23,8.18,3.23,2904.62,10467.47,0.69,81.65,375.94,0.62,0.5,10.7,1.91,271.81,191.56,0.86,228.32,10.87,318.41,0,0,593.07,8.19,172.79
"13","Eswatini","Rice, paddy",0.0488821264103023,1136281,350000,"Import_kg",27,"Rice (Milled Equivalent)",2,223.14,4684.56,672.34,48969.41,0,0,0,21.77,1.39,0.78,78.95,1052.45,0,5.9,98.44,0.11,0,2.11,0.14,0,36.76,0.63,79.08,113.74,105.86,0,0,7.4,0.54,0
