"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Eswatini","Almonds, with shell",0.0296505238073522,1136281,1052000,"Production_kg",221,"Almonds; with shell",45,1859.1,66227.49,159733.62,56381.32,32.47,0,0.14,757.87,9.75,11.3,2458.42,22637.87,3.17,15.07,1507.21,0.67,2.39,12.19,0.43,162.68,1003.87,6.52,12336.86,105462.83,36422,0,0,15.53,9.16,202.96
"2","Eswatini","Anise, badian, fennel, coriander",0.00195,1136281,1000,"Import_kg",711,"Anise; badian; fennel; coriander",161,15.69,713.68,646.77,2109.11,0.47,0,0,36.7,1.45,0.21,66.95,1077.64,0,3.34,20.76,0,0,0.14,0,24.73,14.22,0.12,38.01,491.35,118.61,0,0,0.45,0.3,0
"3","Eswatini","Apples",0.121111111111111,1136281,5939000,"Import_kg",515,"Apples",119,242.26,1339.64,1271.31,56469.94,62.66,0,0,33.45,3.03,0.28,443.89,6113.8,0.13,25.14,46.86,0.2,0.12,0.81,0.17,699.99,20.14,0.15,168.31,36.68,282.67,0,0,364.69,1.11,43.16
"4","Eswatini","Apricots",0.03995,1136281,4000,"Import_kg",526,"Apricots",125,0.44,8.81,2.25,100.31,0,0,0,0.15,0,0,2.57,12.04,0,0,0.21,0,0,0,0,0,0,0,0.25,1.5,0.69,0,0,0.75,0,0
"5","Eswatini","Artichokes",0.1,1136281,2000,"Import_kg",366,"Artichokes",79,0,4.61,0.31,20.42,0,0,0,0.15,0,0,0.6,4.34,0,0.19,0.17,0,0,0,0,0,0.11,0,0,0,0.11,0,0,0.15,0,0.11
"6","Eswatini","Asparagus",0.0845294117647059,1136281,4000,"Import_kg",367,"Asparagus",80,0,8.98,0.84,12.68,0,0,0,0,0,0,0.9,10.13,0,0,0.35,0,0,0,0,0,0,0,0.19,0,0.29,0,0,0.39,0,0.2
"7","Eswatini","Avocados",0.048,1136281,1037000,"Production_kg/Import_kg",572,"Avocados",141,276.98,3058.14,26784.74,8251.66,24.32,0,0.11,39.1,1.83,0.92,969.73,8334.05,0.4,12.54,322.75,0.12,0.27,2.63,0.58,27,57.51,0.27,4546.97,15100.64,3163.77,0,0,146.2,2.23,72.25
"8","Eswatini","Bambara beans",0.028,1136281,9000,"Import_kg",203,"Bambara beans",37,9.66,501.78,159.25,1531.33,0,0,0,1.39,0.15,0,35.5,135.78,0,0.8,7.3,0,0,0,0,0,5.37,0,0,0,0,0,0,0.48,0,0.71
"9","Eswatini","Bananas",0.04075,1136281,11191000,"Production_kg/Import_kg",486,"Bananas",117,2434.71,29383.25,5619.25,564203.96,257.31,0.89,0.45,238.11,19.31,3.99,8212.57,37791.25,2.23,153.4,613.01,1.29,1.22,20.58,8.43,236.85,684.78,6.53,2682.74,628.39,1365.54,0,0,1760.53,20.03,857.99
"10","Eswatini","Beans, dry",0.1145,1136281,7886000,"Production_kg/Import_kg",176,"Beans",30,1997.31,129058.03,8321.7,351560.72,11,0,2.48,848.08,44.2,17.7,7087.37,75176.46,5.29,94.68,2344.24,2.74,1.34,12.11,2.35,669.17,1047.95,7.89,1873.61,831.97,2882.48,0,0,71.06,23.16,0
"11","Eswatini","Beans, green",0.0843965476190476,1136281,121000,"Import_kg",414,"Beans; green",92,6.02,575.33,68.69,944.13,2.89,0,0,7.94,0.27,0,36.73,282.72,0,2.09,13.45,0,0.13,0.11,0,1.02,3.79,0,6.14,2.31,11.86,0,0,10.49,0.14,1.56
