"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Faroe Islands","Almonds, with shell",0.0296505238073522,48497,2000,"Import_kg",221,"Almonds; with shell",45,82.81,2950.01,7115.11,2511.43,1.45,0,0,33.76,0.43,0.5,109.51,1008.37,0.14,0.67,67.14,0,0.11,0.54,0,7.25,44.72,0.29,549.53,4697.69,1622.37,0,0,0.69,0.41,9.04
"2","Faroe Islands","Anise, badian, fennel, coriander",0.00195,48497,1000,"Import_kg",711,"Anise; badian; fennel; coriander",161,367.54,16721.45,15153.81,49416.22,11.05,0,0,859.98,33.94,4.9,1568.69,25249.01,0.99,78.25,486.51,0.35,0.32,3.26,0.53,579.31,333.09,2.88,890.57,11512.21,2779.13,0,0,10.53,7.12,0
"3","Faroe Islands","Apples",0.121111111111111,48497,390000,"Import_kg",515,"Apples",119,372.73,2061.16,1956.02,86883.93,96.4,0,0,51.46,4.66,0.42,682.97,9406.62,0.19,38.68,72.09,0.3,0.19,1.24,0.27,1077,30.99,0.23,258.96,56.44,434.92,0,0,561.1,1.71,66.4
"4","Faroe Islands","Apricots",0.03995,48497,2000,"Import_kg",526,"Apricots",125,5.1,103.23,26.4,1175.15,0.69,0,0,1.75,0,0,30.11,141.08,0,0.14,2.46,0,0,0,0,0.29,1.03,0,2.94,17.55,8.1,0,0,8.84,0,0.88
"5","Faroe Islands","Asparagus",0.0845294117647059,48497,8000,"Import_kg",367,"Asparagus",80,3.95,420.97,39.59,594.23,4.23,0,0,4.1,0.21,0.1,42.3,474.86,0,0.9,16.36,0,0,0.18,0,3.12,2.73,0,8.78,0.98,13.66,0,0,18.12,0.13,9.17
"6","Faroe Islands","Avocados",0.048,48497,62000,"Import_kg",572,"Avocados",141,387.99,4283.92,37520.72,11559.13,34.07,0,0.15,54.77,2.56,1.29,1358.43,11674.55,0.56,17.57,452.11,0.17,0.37,3.69,0.81,37.82,80.57,0.38,6369.51,21153.35,4431.89,0,0,204.8,3.13,101.21
"7","Faroe Islands","Bananas",0.04075,48497,1002000,"Import_kg",486,"Bananas",117,5107.59,61640.98,11788.22,1183602.36,539.8,1.86,0.95,499.51,40.5,8.37,17228.55,79279.52,4.68,321.8,1285.99,2.71,2.56,43.17,17.7,496.88,1436.56,13.69,5627.92,1318.25,2864.66,0,0,3693.3,42.03,1799.92
"8","Faroe Islands","Blueberries",0.134028846153846,48497,11000,"Import_kg",552,"Blueberries",136,9.65,125.23,55.85,2452.15,1.64,0,0,1.02,0,0,13.03,406.15,0,0.17,2.03,0,0,0,0,1.02,1.02,0,4.74,7.95,24.71,0,0,14.25,0,0.85
"9","Faroe Islands","Cabbages and other brassicas",0.08324,48497,195000,"Import_kg",358,"Cabbages and other brassicas",78,129.77,10970.75,1472.27,21169.95,296.23,1.11,0.3,592.79,8.36,1.65,1379.38,10660.31,0.75,189.87,340.56,0.29,0.5,3.74,0.87,119.1,117.94,1.22,165.72,86.58,424.34,0,0,438.82,5.34,133.32
"10","Faroe Islands","Carrots and turnips",0.0830718954248366,48497,360000,"Import_kg",426,"Carrots and turnips",96,270.17,11700.94,2092.33,52425.21,244.62,5.44,0.19,592.74,13.86,2.31,2600.62,18146.06,0.53,421.81,1064.51,0.46,0.83,6.93,1.63,934.68,108.72,1.28,288.92,131.06,676.14,0,0,797.51,11.21,205.52
