"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Finland","Apples",0.121111111111111,5522576,50215000,"Production_kg/Import_kg",515,"Apples",119,421.45,2330.52,2211.65,98238.45,109,0,0,58.18,5.26,0.48,772.22,10635.93,0.22,43.73,81.51,0.34,0.21,1.41,0.3,1217.75,35.04,0.26,292.8,63.82,491.76,0,0,634.43,1.93,75.08
"2","Finland","Asparagus",0.0845294117647059,5522576,1387000,"Production_kg/Import_kg",367,"Asparagus",80,6.02,640.92,60.27,904.72,6.44,0,0,6.24,0.32,0.16,64.4,722.98,0,1.37,24.91,0,0,0.27,0,4.75,4.16,0,13.37,1.49,20.8,0,0,27.58,0.19,13.96
"3","Finland","Barley",0.04775,5522576,1702226000,"Production_kg/Import_kg",44,"Barley",3,222147.23,5902854.89,898276.41,48127289.08,430.34,0.16,13.56,35987.11,5021.04,1631.85,166218.51,5346964.26,412.7,13813.89,188793.74,169.77,83.5,3451.66,186.55,24400.23,50134.51,917.7,234319.68,143302.95,538354.31,0,0,7579.74,1182.57,0
"4","Finland","Beans, green",0.0843965476190476,5522576,298000,"Production_kg/Import_kg",414,"Beans; green",92,3.05,291.54,34.81,478.42,1.47,0,0,4.03,0.14,0,18.61,143.26,0,1.06,6.82,0,0,0,0,0.52,1.92,0,3.11,1.17,6.01,0,0,5.31,0,0.79
"5","Finland","Berries nes",0.109406559397488,5522576,130000,"Production_kg",558,"Berries; nes",138,1.22,20.03,9.7,275.98,1,0,0,0.79,0,0,3.56,61.97,0,0.13,0.48,0,0,0,0,0.21,0.35,0,0.39,0.9,4.7,0,0,1.85,0,0
"6","Finland","Blueberries",0.134028846153846,5522576,1260000,"Production_kg/Import_kg",552,"Blueberries",136,9.7,125.97,56.18,2466.6,1.65,0,0,1.02,0,0,13.11,408.55,0,0.17,2.04,0,0,0,0,1.02,1.02,0,4.77,8,24.85,0,0,14.33,0,0.85
"7","Finland","Broad beans, horse beans, dry",0.052,5522576,30244000,"Production_kg/Import_kg",181,"Broad beans; horse beans; dry",32,3522.82,252734.9,16727.68,579220.22,28.68,0,4.45,1043.63,85.05,36.78,12566.3,203961.91,8.66,192.03,4017.49,4.07,3.04,27.74,3.88,1008.93,2016.8,17.12,2653.96,3175.28,6355.82,0,0,109.8,31.64,284.35
"8","Finland","Cabbages and other brassicas",0.08324,5522576,31869000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,186.25,15745.02,2112.97,30382.74,425.14,1.6,0.43,850.76,12,2.36,1979.67,15299.48,1.07,272.5,488.77,0.42,0.71,5.37,1.25,170.93,169.27,1.76,237.84,124.25,609,0,0,629.78,7.67,191.34
"9","Finland","Carrots and turnips",0.0830718954248366,5522576,86441000,"Production_kg/Import_kg",426,"Carrots and turnips",96,569.67,24672.38,4411.86,110542.85,515.8,11.47,0.41,1249.84,29.23,4.87,5483.61,38262.45,1.11,889.42,2244.62,0.97,1.76,14.61,3.44,1970.86,229.24,2.69,609.22,276.35,1425.7,0,0,1681.61,23.64,433.36
"10","Finland","Cauliflowers and broccoli",0.103835520801038,5522576,8965000,"Production_kg/Import_kg",393,"Cauliflowers and broccoli",84,44.81,4842.73,505.49,6361.37,126.43,0.85,0,68.53,1.7,0.66,463.21,2970.41,0,46.8,169.81,0.17,0.17,1.12,0.28,99.01,28.14,0.29,97.32,29.31,50.42,0,0,135.41,1.69,75.04
"11","Finland","Cereals nes",0.0486257263475995,5522576,1020000,"Production_kg",108,"Cereals; nes",13,132.28,4947.07,1748.22,27914.38,0.41,0,0,55.15,8.42,1.44,162.19,1199.19,0.31,2.96,144.57,0.14,0.1,0.55,0.18,4.98,69.89,3.51,170.54,223.72,406.8,0,0,4.15,1.49,0
"12","Finland","Chillies and peppers, green",0.0664142191142191,5522576,17322000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,185.09,8408.79,3138.53,32624.14,544.63,0.59,0.14,130.55,7.68,1.47,1331.47,15182.08,0.73,33.5,481.15,0.6,0.57,5.61,1.68,38.14,170.38,1.12,196.94,84.26,861.78,0,0,416.87,4.17,78.19
"13","Finland","Cucumbers and gherkins",0.0675,5522576,62945000,"Production_kg/Import_kg",397,"Cucumbers and gherkins",86,235.72,10896.16,1996.47,42725.61,166.91,0,0.16,270.17,7.51,3.24,2407.13,11015.83,0.91,112.08,612.45,0.44,0.53,3.22,0.68,101.31,211.07,1.33,565.67,42.21,439.02,0,0,1616.92,7.01,261.73
