"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","French Polynesia","Avocados",0.048,277679,1000,"Import_kg",572,"Avocados",141,1.09,12.07,105.69,32.56,0,0,0,0.15,0,0,3.83,32.89,0,0,1.27,0,0,0,0,0.11,0.23,0,17.94,59.59,12.48,0,0,0.58,0,0.29
"2","French Polynesia","Bananas",0.04075,277679,2000,"Import_kg",486,"Bananas",117,1.78,21.49,4.11,412.61,0.19,0,0,0.17,0,0,6.01,27.64,0,0.11,0.45,0,0,0,0,0.17,0.5,0,1.96,0.46,1,0,0,1.29,0,0.63
"3","French Polynesia","Cabbages and other brassicas",0.08324,277679,187000,"Import_kg",358,"Cabbages and other brassicas",78,21.74,1837.45,246.58,3545.67,49.61,0.19,0,99.28,1.4,0.28,231.03,1785.45,0.13,31.8,57.04,0,0,0.63,0.15,19.95,19.75,0.21,27.76,14.5,71.07,0,0,73.5,0.89,22.33
"4","French Polynesia","Carrots and turnips",0.0830718954248366,277679,125000,"Import_kg",426,"Carrots and turnips",96,16.38,709.58,126.89,3179.21,14.83,0.33,0,35.95,0.84,0.14,157.71,1100.43,0,25.58,64.56,0,0,0.42,0,56.68,6.59,0,17.52,7.95,41,0,0,48.36,0.68,12.46
"5","French Polynesia","Chillies and peppers, green",0.0664142191142191,277679,102000,"Import_kg",401,"Chillies and peppers; green",88,21.68,984.77,367.56,3820.67,63.78,0,0,15.29,0.9,0.17,155.93,1778,0,3.92,56.35,0,0,0.66,0.2,4.47,19.95,0.13,23.06,9.87,100.92,0,0,48.82,0.49,9.16
"6","French Polynesia","Coconuts",0.04,277679,3000,"Import_kg",249,"Coconuts - Incl Copra",58,8.58,90.62,760.17,339.86,0,0,0,0.5,0,0,8.83,174.36,0,0.57,2.84,0,0,0,0,0.33,0.78,0.1,806.21,71.91,18.45,0,0,1.43,0,1.12
"7","French Polynesia","Coffee, green",0.00312,277679,80000,"Import_kg",656,"Coffee",152,1710.91,104385.89,137751.98,334272.71,9.23,0,0.16,951.51,31.91,4.9,20553.55,0,1.91,328.41,2624.61,1.33,4.61,102.39,0.21,397.7,1725.36,3.52,305.92,2294.43,152.96,0,0,48.5,53.53,0
"8","French Polynesia","Cucumbers and gherkins",0.0675,277679,1000,"Import_kg",397,"Cucumbers and gherkins",86,0,3.44,0.63,13.5,0,0,0,0,0,0,0.76,3.48,0,0,0.19,0,0,0,0,0,0,0,0.18,0,0.14,0,0,0.51,0,0
"9","French Polynesia","Fruit, fresh nes",0.107099201828105,277679,4000,"Import_kg",619,"Fresh fruit; nes",147,1.21,20.54,10.25,259.22,0.52,0,0,0.72,0,0,3.75,46.71,0,0.15,0.56,0,0,0,0,0.94,0.43,0,1.65,1.13,1.57,0,0,1.02,0,0.37
"10","French Polynesia","Fruit, tropical fresh nes",0.1073859375,277679,2000,"Import_kg",603,"Fruit; tropical fresh; nes",146,0.63,9.92,8.02,139.27,0.72,0,0,0.22,0,0,1.68,19.5,0,0,0.24,0,0,0,0,0,0.19,0,5,11.05,2.53,0,0,0.51,0,0.26
"11","French Polynesia","Grapefruit (inc. pomelos)",0.15,277679,10000,"Import_kg",507,"Grapefruit",115,0.87,16.91,3.65,192.81,0.94,0,0,0.45,0,0,4.57,24.28,0,0.18,0.5,0,0,0,0,0.18,0.18,0,0.29,0.28,0.53,0,0,2.15,0,1.07
"12","French Polynesia","Lettuce and chicory",0.0865961538461538,277679,22000,"Import_kg",372,"Lettuce and chicory",81,1.58,131.15,22.71,255.33,1.02,0,0,4.86,0.11,0,23.49,162.07,0,2.32,6.17,0,0,0,0,2.95,1.25,0,3.34,0.68,7.68,0,0,8.56,0,1.56
"13","French Polynesia","Melons, other (inc.cantaloupes)",0.179843076923077,277679,117000,"Import_kg",568,"Other melons (inc. cantaloupes)",111,6.68,126.8,35.63,1507.43,5.44,0,0,3.58,0.13,0,59.92,160.65,0,2.85,3.85,0,0,0.11,0,1.78,2.53,0,8.9,0.62,13.98,0,0,21.67,0.11,11.17
"14","French Polynesia","Onions, shallots, green",0.083270092226614,277679,1288000,"Import_kg",402,"Onions (inc. shallots); green",89,214.26,8512.05,1122.03,43719.95,118.7,0.52,0.21,254.01,10.46,2.97,1194.84,11252.14,0.39,57.53,292.1,0.26,0.43,1.8,0.89,41.41,233.96,2.21,217.24,190.79,513.87,0,0,496.99,4.04,84.95
"15","French Polynesia","Oranges",0.138371428571429,277679,990000,"Import_kg",490,"Oranges; Mandarines",113,113.88,2043.71,591.18,25763.47,118.96,0.14,0,81.39,1.25,0.16,433.1,3466.69,0.11,6.95,55.78,0.18,0.11,4.56,0.18,28,27.31,0,54.11,79.23,83.74,0,0,223.97,1.1,69.05
"16","French Polynesia","Pineapples",0.1096,277679,85000,"Import_kg",574,"Pineapples",120,13.2,128.4,59.34,3086.78,6.21,0,0,10.01,0.17,0,44.81,232.56,0,1.3,2.68,0,0,0,0,45.6,3.31,0.26,5.45,7.4,16.76,0,0,24.33,0,11.45
"17","French Polynesia","Potatoes",0.133867924528302,277679,2093000,"Import_kg",116,"Potatoes",18,451.52,11583.74,765.27,100885.81,90.05,0,0,51.64,5.93,2.34,2105.91,7589.16,0.5,59.2,272.56,0.45,0.37,7.75,1.39,197.07,138.89,0.62,165.54,7.88,230.85,0,0,429.99,5.94,125.28
"18","French Polynesia","Pumpkins, squash and gourds",0.100019949494949,277679,3000,"Import_kg",394,"Pumpkins; squash; and gourds",85,0.23,10.98,1.92,43.27,0.19,0,0,0.3,0,0,1.96,17.03,0,0,0.68,0,0,0,0,0.43,0.24,0,0.59,0.14,0.29,0,0,1.01,0,0.23
"19","French Polynesia","Tangerines, mandarins, clementines, satsumas",0.138371428571429,277679,2e+05,"Import_kg",495,"Oranges; Mandarines",113,23.01,412.87,119.43,5204.74,24.03,0,0,16.44,0.25,0,87.5,700.34,0,1.4,11.27,0,0,0.92,0,5.66,5.52,0,10.93,16.01,16.92,0,0,45.25,0.22,13.95
"20","French Polynesia","Tomatoes",0.0714285714285714,277679,126000,"Import_kg",388,"Tomatoes",76,12.68,605.47,160.06,2311.59,14.64,0,0,9.53,0.64,0.12,124.55,727.91,0,7.08,25.61,0,0,0.51,0,4.26,8.26,0,18.42,19.38,51.77,0,0,59.71,0.34,4.13
"21","French Polynesia","Vegetables, fresh nes",0.075156077445368,277679,1400000,"Import_kg",463,"Vegetables; fresh; nes",101,317.4,21407.82,4478.61,53640.71,318.17,2.09,0.49,1328.24,27.51,3.76,2615.02,31718.88,1.08,318.59,530.22,0.61,1.33,6.9,1.46,146.59,344.94,4.33,459.6,439.33,875.66,0,0,568.71,10.95,167.93
"22","French Polynesia","Watermelons",0.193615384615385,277679,97000,"Import_kg",567,"Watermelons",110,4.28,91.14,25.81,943.83,1.15,0,0,1.48,0.18,0,17.55,51.6,0,0.68,6.53,0,0,0,0,0.74,1.76,0,2.89,6.68,9.02,0,0,16.82,0,8.39
