"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","French Polynesia","Avocados",0.048,277679,119000,"Production_kg/Import_kg",572,"Avocados",141,130.06,1436.05,12577.62,3874.83,11.42,0,0,18.36,0.86,0.43,455.37,3913.52,0.19,5.89,151.56,0,0.13,1.24,0.27,12.68,27.01,0.13,2135.17,7090.98,1485.65,0,0,68.65,1.05,33.93
"2","French Polynesia","Bananas",0.04075,277679,184000,"Production_kg/Import_kg",486,"Bananas",117,163.81,1976.93,378.07,37960.14,17.31,0,0,16.02,1.3,0.27,552.55,2542.63,0.15,10.32,41.24,0,0,1.38,0.57,15.94,46.07,0.44,180.5,42.28,91.87,0,0,118.45,1.35,57.73
"3","French Polynesia","Cabbages and other brassicas",0.08324,277679,1413000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,164.24,13884.03,1863.23,26791.64,374.89,1.41,0.38,750.2,10.58,2.09,1745.68,13491.15,0.95,240.29,431,0.37,0.63,4.74,1.1,150.72,149.26,1.55,209.73,109.57,537.02,0,0,555.34,6.76,168.72
"4","French Polynesia","Carrots and turnips",0.0830718954248366,277679,338000,"Production_kg/Import_kg",426,"Carrots and turnips",96,44.3,1918.7,343.1,8596.59,40.11,0.89,0,97.2,2.27,0.38,426.44,2975.56,0,69.17,174.56,0,0.14,1.14,0.27,153.27,17.83,0.21,47.38,21.49,110.87,0,0,130.77,1.84,33.7
"5","French Polynesia","Cassava",0.108277777777778,277679,3937000,"Production_kg",125,"Cassava",17,1821.25,23927.69,6215.44,406496.56,421.64,0.13,0.33,510.5,15.94,4.45,4923.47,19379.6,1.31,120.47,516.04,0.82,0.73,7.51,1.15,310.34,274.98,5.03,1139.21,1145.75,576.15,0,0,822.69,18.41,274.98
"6","French Polynesia","Chillies and peppers, green",0.0664142191142191,277679,236000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,50.15,2278.48,850.43,8839.99,147.57,0.16,0,35.37,2.08,0.4,360.78,4113.81,0.2,9.08,130.37,0.16,0.15,1.52,0.45,10.33,46.17,0.3,53.36,22.83,233.51,0,0,112.96,1.13,21.19
"7","French Polynesia","Coconuts",0.04,277679,84179000,"Production_kg/Import_kg",249,"Coconuts - Incl Copra",58,240627.06,2542743.22,21330005.39,9536410.36,1818.12,0.43,14.75,14144.61,2174.76,1250.27,247763.77,4892539.69,387.92,16052.63,79762.71,47.58,24.02,512.62,31.33,9170.35,21965.95,2842.05,22621975.11,2017856.84,517632.38,0,0,40192.84,775.11,31452.04
"8","French Polynesia","Coffee, green",0.00312,277679,102000,"Production_kg/Import_kg",656,"Coffee",152,2181.41,133092.01,175633.78,426197.71,11.77,0,0.2,1213.17,40.68,6.25,26205.77,0,2.43,418.72,3346.38,1.7,5.88,130.54,0.27,507.07,2199.83,4.49,390.05,2925.4,195.03,0,0,61.84,68.25,0
"9","French Polynesia","Cucumbers and gherkins",0.0675,277679,509000,"Production_kg/Import_kg",397,"Cucumbers and gherkins",86,37.91,1752.38,321.08,6871.37,26.84,0,0,43.45,1.21,0.52,387.13,1771.63,0.15,18.03,98.5,0,0,0.52,0.11,16.29,33.95,0.21,90.97,6.79,70.61,0,0,260.04,1.13,42.09
"10","French Polynesia","Fruit, citrus nes",0.125066666666667,277679,526000,"Production_kg",512,"Citrus; Other",116,97.69,1658.5,477.1,22416.24,53.47,0,0,92.9,1.14,0.29,281.72,9844.97,0.14,9.84,13.63,0,0,0.32,0,12.72,30.29,0.2,156,233.25,259,0,0,126.79,0.77,10.6
