"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Georgia","Almonds shelled",0.0296505238073522,4002942,503000,"Import_kg",231,"Almonds; with shell",45,252.33,8988.7,21679.79,7652.33,4.41,0,0,102.86,1.32,1.53,333.67,3072.52,0.43,2.04,204.57,0,0.32,1.65,0,22.08,136.25,0.89,1674.42,14313.9,4943.36,0,0,2.11,1.24,27.55
"2","Georgia","Almonds, with shell",0.0296505238073522,4002942,985000,"Production_kg/Import_kg",221,"Almonds; with shell",45,494.12,17602.13,42454.45,14985.19,8.63,0,0,201.43,2.59,3,653.41,6016.76,0.84,4,400.59,0.18,0.64,3.24,0.11,43.24,266.81,1.73,3278.93,28030.21,9680.34,0,0,4.13,2.43,53.94
"3","Georgia","Anise, badian, fennel, coriander",0.00195,4002942,292000,"Import_kg",711,"Anise; badian; fennel; coriander",161,1300.25,59155.12,53609.33,174818.73,39.09,0,0,3042.32,120.06,17.35,5549.53,89322.91,3.51,276.82,1721.13,1.23,1.13,11.52,1.87,2049.42,1178.36,10.2,3150.53,40726.51,9831.67,0,0,37.26,25.18,0
"4","Georgia","Apples",0.121111111111111,4002942,49023000,"Production_kg/Import_kg",515,"Apples",119,567.64,3138.93,2978.82,132315.38,146.81,0,0,78.37,7.09,0.65,1040.09,14325.32,0.29,58.9,109.79,0.46,0.29,1.89,0.41,1640.16,47.19,0.35,394.37,85.95,662.34,0,0,854.5,2.6,101.12
"5","Georgia","Apricots",0.03995,4002942,2460000,"Production_kg/Import_kg",526,"Apricots",125,75.99,1538.29,393.36,17511.93,10.28,0.2,0,26.15,1.22,0.34,448.67,2102.33,0.12,2.04,36.66,0,0.17,1.2,0,4.31,15.38,0.12,43.84,261.51,120.76,0,0,131.69,1.22,13.08
"6","Georgia","Apricots, dry",0.03995,4002942,287000,"Import_kg",527,"Apricots",125,8.87,179.47,45.89,2043.06,1.2,0,0,3.05,0.14,0,52.34,245.27,0,0.24,4.28,0,0,0.14,0,0.5,1.79,0,5.11,30.51,14.09,0,0,15.36,0.14,1.53
"7","Georgia","Asparagus",0.0845294117647059,4002942,2000,"Import_kg",367,"Asparagus",80,0,1.28,0.12,1.8,0,0,0,0,0,0,0.13,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Georgia","Avocados",0.048,4002942,296000,"Import_kg",572,"Avocados",141,22.44,247.79,2170.24,668.59,1.97,0,0,3.17,0.15,0,78.57,675.27,0,1.02,26.15,0,0,0.21,0,2.19,4.66,0,368.42,1223.53,256.34,0,0,11.85,0.18,5.85
"9","Georgia","Bananas",0.04075,4002942,29473000,"Import_kg",486,"Bananas",117,1820.16,21966.54,4200.88,421791.69,192.36,0.66,0.34,178.01,14.43,2.98,6139.61,28252.26,1.67,114.68,458.28,0.97,0.91,15.38,6.31,177.07,511.94,4.88,2005.58,469.78,1020.86,0,0,1316.15,14.98,641.42
"10","Georgia","Barley",0.04775,4002942,54961000,"Production_kg/Import_kg",44,"Barley",3,9895.57,262943.18,40013.8,2143834.27,19.17,0,0.6,1603.05,223.66,72.69,7404.22,238180.99,18.38,615.34,8409.83,7.56,3.72,153.75,8.31,1086.91,2233.25,40.88,10437.79,6383.44,23981.04,0,0,337.64,52.68,0
"11","Georgia","Beans, dry",0.1145,4002942,12623000,"Production_kg/Import_kg",176,"Beans",30,907.52,58640.45,3781.16,159739.6,5,0,1.13,385.34,20.08,8.04,3220.31,34158.13,2.4,43.02,1065.16,1.24,0.61,5.5,1.07,304.05,476.16,3.59,851.32,378.02,1309.72,0,0,32.29,10.52,0
"12","Georgia","Beans, green",0.0843965476190476,4002942,403000,"Import_kg",414,"Beans; green",92,5.69,543.93,64.94,892.6,2.73,0,0,7.51,0.26,0,34.72,267.29,0,1.98,12.72,0,0.12,0.1,0,0.97,3.58,0,5.81,2.19,11.21,0,0,9.91,0.14,1.48
"13","Georgia","Beet pulp",0.125770747489689,4002942,25000,"Import_kg",169,"Roots and tubers; nes",23,0.51,9.63,3.81,107.72,0,0,0,0.17,0,0,2.41,8.83,0,0,0.33,0,0,0,0,0.11,0.21,0,0.1,0,0.22,0,0,0.36,0,0.11
"14","Georgia","Berries nes",0.109406559397488,4002942,1e+06,"Production_kg",558,"Berries; nes",138,12.92,212.52,102.91,2928.89,10.57,0,0,8.37,0.35,0,37.75,657.61,0,1.38,5.14,0,0,0.11,0,2.23,3.71,0.22,4.11,9.59,49.83,0,0,19.6,0.12,0.18
"15","Georgia","Bran, wheat",0.0374838709677419,4002942,9115000,"Import_kg",17,"Wheat Flour",222,2098.95,69689.73,9189.32,432205.61,1.13,0,0.15,242.92,16.54,7.8,1044.87,7978.25,0.6,196.09,1123.94,2.13,0.81,13.91,0.74,63.18,275.39,5.11,941.6,528.51,2508.9,0,0,70.37,5.81,0
"16","Georgia","Brazil nuts, shelled",0.0297575757575758,4002942,34000,"Import_kg",229,"Brazil nuts; with shell",42,18.65,429.57,1941.51,298.85,0,0,0,4.67,0,0.12,18.81,214.07,0,0,21.73,0,0,0,0,0.82,10.73,0,460.52,681.58,696.42,0,0,0,0.11,1.4
"17","Georgia","Broad beans, horse beans, dry",0.052,4002942,1000,"Import_kg",181,"Broad beans; horse beans; dry",32,0.16,11.53,0.76,26.42,0,0,0,0,0,0,0.57,9.3,0,0,0.18,0,0,0,0,0,0,0,0.12,0.14,0.29,0,0,0,0,0
"18","Georgia","Buckwheat",0.0421111111111111,4002942,7111000,"Production_kg/Import_kg",89,"Buckwheat",9,1391.04,44873.95,11389.86,290652.39,0,0,0.13,177.18,29.85,11.31,1733.79,39231.75,2.68,25.52,1480.68,1.69,1.2,24.09,0.89,0,966.03,5.48,3125.88,4387.21,4382.99,0,0,56.26,9.28,0
"19","Georgia","Cabbages and other brassicas",0.08324,4002942,31514000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,254.09,21480.32,2882.64,41449.99,580,2.18,0.59,1160.66,16.37,3.23,2700.78,20872.48,1.46,371.76,666.81,0.57,0.97,7.33,1.7,233.19,230.93,2.4,324.48,169.51,830.84,0,0,859.19,10.46,261.04
"20","Georgia","Cake, copra",0.0131048387096774,4002942,18000,"Import_kg",253,"Coconut Oil",70,27.28,36.03,3039.58,15.1,0,0,0,0.1,0,0,3.82,0,0,0.14,0.88,0,0,0,0,0,0,0,2968.09,199.02,61.76,0,0,0.52,0,0
"21","Georgia","Cake, soybeans",0.014,4002942,35462000,"Import_kg",238,"Soyabean Oil",63,56579.31,0,6320889.15,527.32,0,0,0,98.43,18.28,20.67,0,0,0,98.43,2.26,0,0,0,0,12.66,0,0,1674646.33,1480155.47,2866188.75,0,0,0.58,0,0
"22","Georgia","Cake, sunflower",0.0244,4002942,18242000,"Import_kg",269,"Sunflowerseed Oil",65,16709.59,0,1859388.07,0,0,0,0,12.45,6.41,0.68,0,0,0,17.43,0,0,0,0,0,0,0,0,195951.15,550468.64,1066852.06,0,0,0.8,0,0
"23","Georgia","Carrots and turnips",0.0830718954248366,4002942,8116000,"Production_kg/Import_kg",426,"Carrots and turnips",96,73.79,3195.92,571.49,14319.09,66.81,1.49,0,161.9,3.79,0.63,710.32,4956.3,0.14,115.21,290.75,0.13,0.23,1.89,0.45,255.29,29.69,0.35,78.91,35.8,184.68,0,0,217.83,3.06,56.14
"24","Georgia","Cashew nuts, shelled",0.0289438420348059,4002942,30000,"Import_kg",230,"Cashew nuts; with shell",43,14.09,475.77,1089.76,626.13,0,0,0,1.04,0.16,0.13,16.84,68.88,0,2.39,12.18,0,0,0,0,0,7.84,0,201.53,616.18,203.13,0,0,0.26,0,0.73
"25","Georgia","Cauliflowers and broccoli",0.103835520801038,4002942,1861000,"Import_kg",393,"Cauliflowers and broccoli",84,12.83,1386.91,144.77,1821.83,36.21,0.24,0,19.63,0.49,0.19,132.66,850.7,0,13.4,48.63,0,0,0.32,0,28.36,8.06,0,27.87,8.4,14.44,0,0,38.78,0.48,21.49
"26","Georgia","Cereal preparations nes",0.0486257263475995,4002942,5603000,"Import_kg",113,"Cereals; nes",13,1002.46,37491.36,13248.88,211548.94,3.09,0,0,417.94,63.83,10.94,1229.14,9088.02,2.33,22.45,1095.64,1.03,0.76,4.2,1.39,37.71,529.65,26.6,1292.47,1695.47,3082.94,0,0,31.42,11.28,0
"27","Georgia","Cereals nes",0.0486257263475995,4002942,7450000,"Production_kg",108,"Cereals; nes",13,1332.91,49850.19,17616.31,281284.96,4.11,0,0,555.71,84.87,14.55,1634.33,12083.84,3.1,29.85,1456.82,1.37,1.02,5.58,1.84,50.14,704.25,35.37,1718.53,2254.38,4099.21,0,0,41.77,15,0
"28","Georgia","Cherries",0.1289,4002942,3326000,"Production_kg/Import_kg",531,"Cherries",127,29.39,701.54,111.73,6712.43,8.07,0,0,17.79,0.33,0,160.18,676.83,0,0.97,15.08,0,0,0.45,0,3.93,7.09,0,24.49,30.3,33.52,0,0,53.1,0.44,5.16
"29","Georgia","Cherries, sour",0.028,4002942,32000,"Import_kg",530,"Sour cherries",126,1.35,31.41,7.61,317.67,0.29,0,0,0.39,0,0,4.94,34.26,0,0.16,0.47,0,0,0,0,0.17,0.26,0,1.94,2.34,2.57,0,0,2.48,0,0.31
"30","Georgia","Chick peas",0.04575,4002942,66000,"Import_kg",191,"Chick peas",33,12.69,700.74,181.42,2101.66,0,0,0,4.91,0.25,0.12,29.16,275.1,0,0.72,11.19,0,0,0,0,5.29,3.57,0.41,22.22,49.14,95.88,0,0,0.38,0.11,0
"31","Georgia","Chillies and peppers, dry",4e-04,4002942,297000,"Import_kg",689,"Pimento",156,4460.29,190086.04,165567.1,761195.16,1399.2,12.59,1.02,3848.23,135.41,49.02,33796.02,412155.61,12.24,8416.54,3448.59,5.18,8.08,102.33,31.97,955.27,2847.25,40.39,49154.47,31563.97,114359.89,0,0,519.89,111,0
"32","Georgia","Chillies and peppers, green",0.0664142191142191,4002942,10873000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,160.29,7281.94,2717.94,28252.24,471.64,0.51,0.12,113.06,6.65,1.28,1153.04,13147.55,0.64,29.01,416.67,0.52,0.49,4.86,1.45,33.03,147.55,0.97,170.55,72.97,746.29,0,0,361.01,3.61,67.71
"33","Georgia","Chocolate products nes",0.0115,4002942,18536000,"Import_kg",666,"Cocoa Beans",153,9180.66,649732.77,1665081.14,2331403.51,0,0.13,1.29,4318.94,204.31,274.21,40406.97,1489843.35,152.53,332.19,23615.43,6.83,7.96,74.34,4.75,483.19,20092.75,154.5,926823.5,639927.99,34628.79,0,0,156.23,160.18,0
"34","Georgia","Cider etc",0.0683571428571429,4002942,60000,"Import_kg",517,"Fruit juice; nes",149,1.09,5.45,2.97,266.73,1.64,0,0,0.22,0,0,2.37,6.24,0,0.17,0.18,0,0,0,0,0,0.16,0,0.55,0.75,1.36,0,0,1.93,0,0
"35","Georgia","Cinnamon (cannella)",0.00115555555555556,4002942,16000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Georgia","Cloves",0.0013,4002942,5000,"Import_kg",698,"Cloves",157,23.03,415.4,896.78,4340.72,0,0,0,53.87,0.83,0.22,98,2060.98,0,26.62,7.81,0,0,0,0,3.59,24.89,5.78,379.72,133.84,346.48,0,0,3.2,0.4,0
