"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Georgia","Almonds, with shell",0.0296505238073522,4002942,925000,"Production_kg",221,"Almonds; with shell",45,464.02,16529.92,39868.4,14072.38,8.11,0,0,189.16,2.43,2.82,613.6,5650.26,0.79,3.76,376.19,0.17,0.6,3.04,0.11,40.6,250.56,1.63,3079.19,26322.79,9090.68,0,0,3.88,2.29,50.66
"2","Georgia","Apples",0.121111111111111,4002942,44300000,"Production_kg",515,"Apples",119,512.95,2836.52,2691.84,119567.78,132.67,0,0,70.82,6.41,0.58,939.89,12945.18,0.26,53.23,99.21,0.42,0.26,1.71,0.37,1482.15,42.64,0.32,356.37,77.67,598.52,0,0,772.17,2.35,91.38
"3","Georgia","Apricots",0.03995,4002942,1200000,"Production_kg",526,"Apricots",125,37.07,750.39,191.88,8542.4,5.02,0,0,12.76,0.6,0.17,218.86,1025.53,0,0.99,17.88,0,0,0.59,0,2.1,7.5,0,21.39,127.57,58.91,0,0,64.24,0.59,6.38
"4","Georgia","Barley",0.04775,4002942,53500000,"Production_kg",44,"Barley",3,9632.52,255953.5,38950.13,2086845.83,18.66,0,0.59,1560.44,217.72,70.76,7207.4,231849.54,17.89,598.98,8186.28,7.36,3.62,149.67,8.09,1058.02,2173.88,39.79,10160.33,6213.75,23343.56,0,0,328.66,51.28,0
"5","Georgia","Beans, dry",0.1145,4002942,5900000,"Production_kg",176,"Beans",30,424.18,27408.59,1767.32,74662.41,2.34,0,0.53,180.11,9.39,3.76,1505.17,15965.54,1.12,20.11,497.86,0.58,0.28,2.57,0.5,142.11,222.56,1.68,397.91,176.69,612.16,0,0,15.09,4.92,0
"6","Georgia","Berries nes",0.109406559397488,4002942,1e+06,"Production_kg",558,"Berries; nes",138,12.92,212.52,102.91,2928.89,10.57,0,0,8.37,0.35,0,37.75,657.61,0,1.38,5.14,0,0,0.11,0,2.23,3.71,0.22,4.11,9.59,49.83,0,0,19.6,0.12,0.18
"7","Georgia","Buckwheat",0.0421111111111111,4002942,116000,"Production_kg",89,"Buckwheat",9,22.69,732.02,185.8,4741.34,0,0,0,2.89,0.49,0.18,28.28,639.98,0,0.42,24.15,0,0,0.39,0,0,15.76,0,50.99,71.57,71.5,0,0,0.92,0.15,0
"8","Georgia","Cabbages and other brassicas",0.08324,4002942,29300000,"Production_kg",358,"Cabbages and other brassicas",78,236.24,19971.23,2680.13,38537.94,539.25,2.03,0.55,1079.12,15.22,3,2511.04,19406.1,1.36,345.64,619.96,0.53,0.9,6.81,1.58,216.81,214.71,2.23,301.68,157.6,772.47,0,0,798.82,9.73,242.7
"9","Georgia","Carrots and turnips",0.0830718954248366,4002942,1200000,"Production_kg",426,"Carrots and turnips",96,10.91,472.54,84.5,2117.16,9.88,0.22,0,23.94,0.56,0,105.02,732.82,0,17.03,42.99,0,0,0.28,0,37.75,4.39,0,11.67,5.29,27.31,0,0,32.21,0.45,8.3
"10","Georgia","Cereals nes",0.0486257263475995,4002942,7450000,"Production_kg",108,"Cereals; nes",13,1332.91,49850.19,17616.31,281284.96,4.11,0,0,555.71,84.87,14.55,1634.33,12083.84,3.1,29.85,1456.82,1.37,1.02,5.58,1.84,50.14,704.25,35.37,1718.53,2254.38,4099.21,0,0,41.77,15,0
"11","Georgia","Cherries",0.1289,4002942,3e+06,"Production_kg",531,"Cherries",127,26.5,632.78,100.78,6054.51,7.28,0,0,16.05,0.3,0,144.48,610.49,0,0.87,13.61,0,0,0.4,0,3.55,6.4,0,22.09,27.33,30.23,0,0,47.89,0.4,4.65
"12","Georgia","Chillies and peppers, green",0.0664142191142191,4002942,7100000,"Production_kg",401,"Chillies and peppers; green",88,104.67,4755.06,1774.8,18448.53,307.98,0.33,0,73.82,4.34,0.83,752.93,8585.27,0.41,18.94,272.08,0.34,0.32,3.17,0.95,21.57,96.35,0.63,111.37,47.65,487.32,0,0,235.74,2.36,44.21
"13","Georgia","Cucumbers and gherkins",0.0675,4002942,30400000,"Production_kg",397,"Cucumbers and gherkins",86,157.06,7260.19,1330.26,28468.4,111.21,0,0.11,180.02,5.01,2.16,1603.89,7339.93,0.61,74.68,408.08,0.29,0.36,2.15,0.45,67.51,140.64,0.89,376.91,28.13,292.53,0,0,1077.36,4.67,174.39
"14","Georgia","Eggplants (aubergines)",0.082,4002942,4400000,"Production_kg",399,"Eggplants (aubergines)",87,36.56,1547.26,970.06,7091.95,8.84,0,0,22.94,0.82,0.26,269.2,2778.62,0.13,7.19,58.7,0,0.12,1.73,0.12,39.48,17.2,0.31,36.19,17.43,77.75,0,0,123.01,1.6,27.48
"15","Georgia","Fruit, fresh nes",0.107099201828105,4002942,20700000,"Production_kg",619,"Fresh fruit; nes",147,434.57,7374.45,3677.82,93056.95,188.32,0.24,0,259.01,17.61,1.21,1345.06,16767.78,0.54,53.9,202.02,0.3,0.28,4.83,0.43,337.14,154.09,1.01,591,407.2,562.78,0,0,365.49,4.4,134.39
"16","Georgia","Fruit, stone nes",0.110582805429864,4002942,8e+06,"Production_kg",541,"Stone fruit; nes",130,87.35,1846.43,524.11,21331.81,14.61,0,0,18.07,0.53,0.24,362.06,3102.48,0.14,1.2,36.45,0,0,1.05,0,8.8,16.57,0.13,58.44,177.11,139.16,0,0,156.15,0.88,13.25
