"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Greece","Almonds, with shell",0.0296505238073522,10522246,212000,"Import_kg",221,"Almonds; with shell",45,40.46,1441.24,3476.11,1226.97,0.71,0,0,16.49,0.21,0.25,53.5,492.64,0,0.33,32.8,0,0,0.27,0,3.54,21.85,0.14,268.47,2295.07,792.61,0,0,0.34,0.2,4.42
"2","Greece","Apples",0.121111111111111,10522246,25697000,"Import_kg",515,"Apples",119,113.19,625.94,594.02,26385.4,29.28,0,0,15.63,1.41,0.13,207.41,2856.65,0,11.75,21.89,0,0,0.38,0,327.07,9.41,0,78.64,17.14,132.08,0,0,170.4,0.52,20.16
"3","Greece","Apricots",0.03995,10522246,280000,"Import_kg",526,"Apricots",125,3.29,66.61,17.03,758.28,0.45,0,0,1.13,0,0,19.43,91.03,0,0,1.59,0,0,0,0,0.19,0.67,0,1.9,11.32,5.23,0,0,5.7,0,0.57
"4","Greece","Artichokes",0.1,10522246,195000,"Import_kg",366,"Artichokes",79,1.03,48.5,3.24,215.02,0.15,0,0,1.54,0,0,6.34,45.71,0,1.97,1.82,0,0,0,0,0.64,1.11,0,0.8,0.14,1.15,0,0,1.6,0,1.11
"5","Greece","Asparagus",0.0845294117647059,10522246,248000,"Import_kg",367,"Asparagus",80,0.56,60.15,5.66,84.9,0.6,0,0,0.59,0,0,6.04,67.85,0,0.13,2.34,0,0,0,0,0.45,0.39,0,1.25,0.14,1.95,0,0,2.59,0,1.31
"6","Greece","Avocados",0.048,10522246,2983000,"Import_kg",572,"Avocados",141,86.04,949.97,8320.3,2563.26,7.56,0,0,12.15,0.57,0.28,301.23,2588.86,0.12,3.9,100.26,0,0,0.82,0.18,8.39,17.87,0,1412.45,4690.8,982.78,0,0,45.41,0.69,22.44
"7","Greece","Bananas",0.04075,10522246,208803000,"Import_kg",486,"Bananas",117,4905.6,59203.17,11322.01,1136792.66,518.45,1.79,0.91,479.75,38.9,8.03,16547.18,76144.13,4.49,309.07,1235.13,2.6,2.46,41.46,17,477.23,1379.74,13.15,5405.35,1266.12,2751.37,0,0,3547.23,40.36,1728.74
"8","Greece","Barley",0.04775,10522246,93759000,"Import_kg",44,"Barley",3,6421.99,170644.03,25968.03,1391298.76,12.44,0,0.39,1040.34,145.15,47.17,4805.17,154573.94,11.93,399.34,5457.79,4.91,2.41,99.78,5.39,705.38,1449.33,26.53,6773.88,4142.71,15563.14,0,0,219.12,34.19,0
"9","Greece","Beans, green",0.0843965476190476,10522246,117000,"Import_kg",414,"Beans; green",92,0.63,60.08,7.17,98.58,0.3,0,0,0.83,0,0,3.83,29.52,0,0.22,1.4,0,0,0,0,0.11,0.4,0,0.64,0.24,1.24,0,0,1.1,0,0.16
"10","Greece","Broad beans, horse beans, dry",0.052,10522246,991000,"Import_kg",181,"Broad beans; horse beans; dry",32,60.58,4346.43,287.68,9961.19,0.49,0,0,17.95,1.46,0.63,216.11,3507.65,0.15,3.3,69.09,0,0,0.48,0,17.35,34.68,0.29,45.64,54.61,109.3,0,0,1.89,0.54,4.89
"11","Greece","Cabbages and other brassicas",0.08324,10522246,2978000,"Import_kg",358,"Cabbages and other brassicas",78,9.13,772.21,103.63,1490.1,20.85,0,0,41.73,0.59,0.12,97.09,750.35,0,13.36,23.97,0,0,0.26,0,8.38,8.3,0,11.66,6.09,29.87,0,0,30.89,0.38,9.38
"12","Greece","Carrots and turnips",0.0830718954248366,10522246,2529000,"Import_kg",426,"Carrots and turnips",96,8.75,378.86,67.75,1697.43,7.92,0.18,0,19.19,0.45,0,84.2,587.54,0,13.66,34.47,0,0,0.22,0,30.26,3.52,0,9.35,4.24,21.89,0,0,25.82,0.36,6.65
"13","Greece","Cauliflowers and broccoli",0.103835520801038,10522246,3443000,"Import_kg",393,"Cauliflowers and broccoli",84,9.03,976.14,101.89,1282.24,25.48,0.17,0,13.81,0.34,0.13,93.37,598.74,0,9.43,34.23,0,0,0.23,0,19.96,5.67,0,19.62,5.91,10.16,0,0,27.29,0.34,15.13
"14","Greece","Cherries",0.1289,10522246,43000,"Import_kg",531,"Cherries",127,0.14,3.45,0.55,33.01,0,0,0,0,0,0,0.79,3.33,0,0,0,0,0,0,0,0,0,0,0.12,0.15,0.16,0,0,0.26,0,0
"15","Greece","Cherries, sour",0.028,10522246,18000,"Import_kg",530,"Sour cherries",126,0.29,6.72,1.63,67.98,0,0,0,0,0,0,1.06,7.33,0,0,0.1,0,0,0,0,0,0,0,0.42,0.5,0.55,0,0,0.53,0,0
"16","Greece","Chestnut",0.059,10522246,519000,"Import_kg",220,"Chestnuts",44,21.9,426.08,243.83,4353.06,1.48,0,0,3.12,0.14,0,54.63,1028.28,0,1.56,10.58,0,0,0,0,0,6.19,0.11,69.97,128.33,146.97,0,0,2.84,0.17,1.67
"17","Greece","Chillies and peppers, green",0.0664142191142191,10522246,6625000,"Import_kg",401,"Chillies and peppers; green",88,37.15,1687.93,630.01,6548.78,109.33,0.12,0,26.21,1.54,0.3,267.27,3047.56,0.15,6.72,96.58,0.12,0.11,1.13,0.34,7.66,34.2,0.22,39.53,16.91,172.99,0,0,83.68,0.84,15.69
"18","Greece","Cucumbers and gherkins",0.0675,10522246,723000,"Import_kg",397,"Cucumbers and gherkins",86,1.42,65.69,12.04,257.57,1.01,0,0,1.63,0,0,14.51,66.41,0,0.68,3.69,0,0,0,0,0.61,1.27,0,3.41,0.25,2.65,0,0,9.75,0,1.58
"19","Greece","Currants",0.038,10522246,52000,"Import_kg",550,"Currants",135,1.63,23.41,3.28,388.79,1.31,0,0,0.89,0,0,3.88,34.46,0,0,0.92,0,0,0,0,0,0.24,0,0.33,0.56,1.74,0,0,0.86,0,0
"20","Greece","Eggplants (aubergines)",0.082,10522246,880000,"Import_kg",399,"Eggplants (aubergines)",87,2.78,117.72,73.81,539.59,0.67,0,0,1.75,0,0,20.48,211.41,0,0.55,4.47,0,0,0.13,0,3,1.31,0,2.75,1.33,5.92,0,0,9.36,0.12,2.09
"21","Greece","Figs",0.0504615384615385,10522246,432000,"Import_kg",569,"Figs",139,4.41,82.5,17.09,1014.34,0.69,0,0,3.8,0,0,17.99,178.99,0,0.18,1.97,0,0,0,0,0.38,1.38,0,3.8,4.23,9.06,0,0,6.82,0,0.61
"22","Greece","Garlic",0.00732,10522246,2102000,"Import_kg",406,"Garlic",90,332.89,13866.57,683.1,69718.29,36.26,0,0,140.27,3.79,3.18,1204.88,4332.38,1.32,47.54,553.47,0.39,0.22,1.46,2.76,63.31,106.43,3.65,244.25,28.66,653.61,0,0,178.5,3.96,35.48
"23","Greece","Grain, mixed",0.0651708222811671,10522246,29078000,"Import_kg",103,"Mixed grain",12,1476.64,48472.32,10516.1,312497.18,0,0,0.16,104.26,14.11,11.03,1461.43,44806.49,1.95,23.2,1340.2,1.7,0.67,18.22,1.28,138.45,502.61,10.89,1863.02,2257.87,4421.45,0,0,45.59,6.96,0
"24","Greece","Grapefruit (inc. pomelos)",0.15,10522246,3715000,"Import_kg",507,"Grapefruit",115,8.51,165.77,35.78,1890.24,9.26,0,0,4.37,0.12,0,44.75,237.99,0,1.72,4.9,0,0,0,0,1.81,1.8,0,2.82,2.71,5.18,0,0,21.08,0,10.53
"25","Greece","Grapes",0.1235,10522246,1326000,"Import_kg",560,"Grapes",122,6.28,54.78,24.16,1490.4,0.52,0,0,1.53,0,0,18.49,215.74,0,0.33,2.07,0,0,0,0,0.57,2.76,0,12.18,1.39,9.52,0,0,8.49,0,1.43
"26","Greece","Hazelnuts, with shell",0.03,10522246,8000,"Import_kg",225,"Hazelnuts; with shell",49,1.5,39.56,139.58,52.97,0,0,0,0.48,0,0,1.69,19.39,0,0,0.81,0,0,0,0,0.12,0.41,0,9.46,67.99,54.39,0,0,0,0,0.15
"27","Greece","Kiwi fruit",0.145,10522246,2537000,"Import_kg",592,"Kiwi fruit",144,10.2,175.43,112.24,2285.54,15.1,0,0,5.32,0,0,55.35,415.7,0,0.73,7.39,0,0,0,0,1.06,2.58,0,10.42,10.14,38.47,0,0,13.73,0.11,4.16
"28","Greece","Leeks, other alliaceous vegetables",0.083270092226614,10522246,1512000,"Import_kg",407,"Leeks; other alliaceous veg.",91,8.22,369.67,51.39,1656.63,3.29,0,0,10.71,0.45,0.1,32.08,320.97,0,2.32,12.76,0,0,0.4,0,1.27,10.01,0.11,13,6.27,28.93,0,0,14.82,0.15,4.83
"29","Greece","Lemons and limes",0.0785,10522246,23108000,"Import_kg",497,"Lemons; Limes",114,105.55,2120.75,1168.07,23251.98,115.2,0,0,105.83,1.63,0.53,586.92,3720.8,0.53,12.7,54.9,0,0,1.26,0.16,14.27,27.98,0,94.19,37.3,190.24,0,0,249.37,1.02,97.92
"30","Greece","Lettuce and chicory",0.0865961538461538,10522246,5830000,"Import_kg",372,"Lettuce and chicory",81,11.06,917.19,158.79,1785.58,7.1,0.12,0,33.99,0.74,0.26,164.28,1133.41,0,16.22,43.17,0,0,0.26,0,20.63,8.73,0.15,23.35,4.75,53.69,0,0,59.87,0.67,10.88
"31","Greece","Linseed",0.0178426203877423,10522246,674000,"Import_kg",333,"Oilcrops; Other",62,187.22,6864.17,13959.98,9770.45,0.83,0,0,121.65,6.17,1.56,258.48,4433.63,0.43,11.86,198.18,0.18,0.11,1.13,0.19,15.71,119.46,1.05,1577.89,3612.33,9478.55,0,0,2.06,1.56,8.33
"32","Greece","Maize",0.0869363057324841,10522246,805728000,"Import_kg",56,"Maize",4,31123.18,761267.79,301485.68,6356934.13,60.4,1.94,2.05,1837.81,286.62,158.05,25948.93,456158.13,15.89,823.15,19279.79,23.49,10.43,227.19,31.21,0,9659.56,21.36,52121.52,113425.42,212780,0,0,1097.57,110.56,0
"33","Greece","Melons, other (inc.cantaloupes)",0.179843076923077,10522246,1056000,"Import_kg",568,"Other melons (inc. cantaloupes)",111,1.59,30.2,8.49,359.05,1.3,0,0,0.85,0,0,14.27,38.27,0,0.68,0.92,0,0,0,0,0.42,0.6,0,2.12,0.15,3.33,0,0,5.16,0,2.66
"34","Greece","Mushrooms and truffles",0.0389236263736264,10522246,10316000,"Import_kg",449,"Mushrooms and truffles",99,76.86,6747.86,952.5,12736.32,7.49,0,0,24.21,4.29,1.67,812.94,6045.06,0.67,29.78,260.98,0.22,0.77,9.5,0.3,80.3,38.1,0.45,107.59,41.02,2267.46,0,0,228.33,2.35,7.56
"35","Greece","Nuts nes",0.0310679900238414,10522246,998000,"Import_kg",234,"Nuts; nes",51,169.17,4423.66,13324.16,9655.87,0.54,0,0,37.28,1.38,1.04,143.64,1145.85,0.27,11.08,154.27,0.12,0,0.54,0,14.7,61.36,1.51,3677.13,9965.86,6294.54,0,0,2.07,0.75,16.79
"36","Greece","Oats",0.0434605263157895,10522246,10362000,"Import_kg",75,"Oats",6,827.83,30942.24,13977.75,146898.1,0.23,0,0.1,133.43,11.99,7.73,923.35,10026.59,1.42,54.47,823.39,1.18,0.28,2.83,0.27,0,401.06,11.14,2693.02,4971.38,5636.42,0,0,23.9,4.54,0
