"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Grenada","Apples",0.121111111111111,111454,629000,"Production_kg/Import_kg",515,"Apples",119,261.58,1446.49,1372.71,60974.01,67.66,0,0,36.11,3.27,0.3,479.3,6601.44,0.14,27.14,50.59,0.21,0.13,0.87,0.19,755.83,21.75,0.16,181.73,39.61,305.22,0,0,393.77,1.2,46.6
"2","Grenada","Avocados",0.048,111454,1557000,"Production_kg/Import_kg",572,"Avocados",141,4239.76,46812.06,410003.3,126311.08,372.31,0.98,1.69,598.5,27.96,14.04,14844.05,127572.25,6.14,191.98,4940.39,1.83,4.08,40.3,8.88,413.28,880.39,4.13,69602.06,231150.73,48428.95,0,0,2237.9,34.16,1105.95
"3","Grenada","Bananas",0.04075,111454,25419000,"Production_kg/Import_kg",486,"Bananas",117,56380.17,680423.75,130124.22,13065191.46,5958.53,20.56,10.45,5513.83,447.09,92.35,190177.25,875126.73,51.63,3552.18,14195.37,29.92,28.3,476.54,195.33,5484.81,15857.43,151.11,62123.82,14551.53,31621.59,0,0,40768.43,463.91,19868.43
"4","Grenada","Beans, dry",0.1145,111454,170000,"Production_kg/Import_kg",176,"Beans",30,438.96,28363.99,1828.92,77264.96,2.42,0,0.54,186.39,9.71,3.89,1557.64,16522.06,1.16,20.81,515.21,0.6,0.29,2.66,0.52,147.07,230.31,1.73,411.78,182.85,633.5,0,0,15.62,5.09,0
"5","Grenada","Cabbages and other brassicas",0.08324,111454,4563000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,1321.37,111704.66,14990.69,215553.45,3016.18,11.33,3.08,6035.8,85.12,16.78,14044.95,108543.72,7.62,1933.28,3467.61,2.98,5.06,38.11,8.86,1212.66,1200.91,12.47,1687.39,881.53,4320.61,0,0,4468.04,54.4,1357.47
"6","Grenada","Carrots and turnips",0.0830718954248366,111454,153000,"Production_kg/Import_kg",426,"Carrots and turnips",96,49.96,2163.86,386.94,9695.01,45.24,1.01,0,109.62,2.56,0.43,480.93,3355.76,0,78.01,196.86,0,0.15,1.28,0.3,172.85,20.11,0.24,53.43,24.24,125.04,0,0,147.48,2.07,38.01
"7","Grenada","Cassava",0.108277777777778,111454,235000,"Production_kg",125,"Cassava",17,270.84,3558.37,924.32,60451.45,62.7,0,0,75.92,2.37,0.66,732.18,2882,0.19,17.92,76.74,0.12,0.11,1.12,0.17,46.15,40.89,0.75,169.42,170.39,85.68,0,0,122.34,2.74,40.89
"8","Grenada","Cauliflowers and broccoli",0.103835520801038,111454,923000,"Production_kg/Import_kg",393,"Cauliflowers and broccoli",84,228.61,24705.18,2578.76,32452.47,644.98,4.32,0.48,349.62,8.67,3.35,2363.04,15153.53,0.34,238.73,866.27,0.87,0.86,5.72,1.43,505.12,143.56,1.46,496.48,149.54,257.21,0,0,690.79,8.61,382.83
"9","Grenada","Chillies and peppers, dry",4e-04,111454,109000,"Production_kg/Import_kg",689,"Pimento",156,58791.76,2505554.82,2182366.72,10033436.53,18443.11,165.98,13.39,50724.08,1784.82,646.08,445470.78,5432689.72,161.31,110939.83,45456.43,68.25,106.49,1348.88,421.45,12591.52,37530.06,532.43,647913.04,416049.82,1507396.18,0,0,6852.8,1463.06,0
"10","Grenada","Cinnamon (cannella)",0.00115555555555556,111454,82000,"Production_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Grenada","Cloves",0.0013,111454,40000,"Production_kg",698,"Cloves",157,6616.5,119354.75,257666.38,1247197.3,2.76,0.22,0.69,15478.39,237.7,64.05,28159.25,592172.56,10.16,7647.17,2245.38,2.18,3.04,21.53,10.79,1032.51,7150.24,1659.93,109103.31,38456.71,99551.25,0,0,919.04,116.23,0
"12","Grenada","Cocoa, beans",0.0115,111454,1e+06,"Production_kg",661,"Cocoa Beans",153,17788.58,1258932.33,3226287.16,4517363.76,0,0.26,2.5,8368.44,395.87,531.32,78293.17,2886743.68,295.54,643.67,45757.62,13.22,15.43,144.04,9.21,936.24,38932.03,299.36,1795827.64,1239934.43,67097.29,0,0,302.72,310.36,0
"13","Grenada","Coconuts",0.04,111454,5954000,"Production_kg/Import_kg",249,"Coconuts - Incl Copra",58,42403.03,448079.37,3758749.73,1680495.59,320.39,0,2.6,2492.55,383.23,220.32,43660.65,862157.88,68.36,2828.78,14055.7,8.38,4.23,90.33,5.52,1615.99,3870.81,500.82,3986419.2,355584.48,91216.6,0,0,7082.74,136.59,5542.44
"14","Grenada","Cucumbers and gherkins",0.0675,111454,5198000,"Production_kg",397,"Cucumbers and gherkins",86,964.54,44585.59,8169.28,174827.35,682.96,0.33,0.64,1105.5,30.75,13.24,9849.65,45075.25,3.73,458.61,2506.08,1.81,2.19,13.17,2.76,414.56,863.67,5.46,2314.63,172.73,1796.43,0,0,6616.21,28.7,1070.95
"15","Grenada","Fruit, citrus nes",0.125066666666667,111454,1278000,"Production_kg",512,"Citrus; Other",116,591.36,10039.4,2888.05,135692.34,323.64,0.24,0.16,562.33,6.91,1.74,1705.32,59594.61,0.87,59.59,82.52,0.6,0.59,1.92,0.33,77.01,183.37,1.24,944.35,1411.93,1567.8,0,0,767.51,4.65,64.18
