"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Guinea-Bissau","Bananas",0.04075,1874303,10032000,"Production_kg",486,"Bananas",117,1323.16,15968.51,3053.82,306620.16,139.84,0.48,0.25,129.4,10.49,2.17,4463.17,20537.89,1.21,83.36,333.14,0.7,0.66,11.18,4.58,128.72,372.15,3.55,1457.95,341.5,742.11,0,0,956.77,10.89,466.28
"2","Guinea-Bissau","Cashew nuts, with shell",0.0289438420348059,1874303,166190000,"Production_kg",217,"Cashew nuts; with shell",43,166720.65,5628894.71,12892983.84,7407772.82,500.36,2.91,10.88,12341.27,1854.69,1583.03,199276.56,814874.16,648.17,28316.37,144134.7,163.37,46.74,399.88,133.34,0,92720.02,406.67,2384272.77,7290060.27,2403266.08,0,0,3046.08,699.34,8577.62
"3","Guinea-Bissau","Cassava",0.108277777777778,1874303,56073000,"Production_kg",125,"Cassava",17,3842.92,50488.5,13114.85,857725.82,889.67,0.28,0.7,1077.17,33.64,9.39,10388.73,40891.81,2.76,254.19,1088.86,1.72,1.54,15.85,2.43,654.82,580.22,10.61,2403.78,2417.59,1215.7,0,0,1735.91,38.84,580.22
"4","Guinea-Bissau","Cereals nes",0.0486257263475995,1874303,1946000,"Production_kg",108,"Cereals; nes",13,743.58,27809.48,9827.45,156917.93,2.3,0,0,310.01,47.35,8.12,911.73,6741.11,1.73,16.65,812.7,0.77,0.57,3.11,1.03,27.97,392.88,19.73,958.7,1257.63,2286.79,0,0,23.3,8.37,0
"5","Guinea-Bissau","Coconuts",0.04,1874303,40173000,"Production_kg",249,"Coconuts - Incl Copra",58,17012.89,179777.88,1508081.12,674246.45,128.55,0,1.04,1000.06,153.76,88.4,17517.48,345913.97,27.43,1134.96,5639.41,3.36,1.7,36.24,2.21,648.37,1553.04,200.94,1599426.4,142667.18,36597.82,0,0,2841.73,54.8,2223.73
"6","Guinea-Bissau","Cow peas, dry",0.0623254069051863,1874303,679000,"Production_kg",195,"Cow peas; dry",34,192.39,12593.99,860.05,32718.31,0.56,0,0.23,56.15,4.49,2.44,579.67,6166.12,0.5,14.99,236.01,0.31,0,1.58,0.21,86.23,117.93,0.73,192.39,61.61,315.04,0,0,6.78,2.04,0
"7","Guinea-Bissau","Fonio",0.0477,1874303,603000,"Production_kg",94,"Fonio",10,234.33,5470.35,1552.97,49920.01,0,0,0,25.05,4.35,1.65,192.22,2298.64,0.3,6.47,114.83,0.15,0,1.14,0.5,0,221.44,0,0,0,0,0,0,7.44,1.24,0
"8","Guinea-Bissau","Fruit, fresh nes",0.107099201828105,1874303,24296000,"Production_kg",619,"Fresh fruit; nes",147,1089.35,18485.59,9219.22,233266.71,472.07,0.6,0.18,649.26,44.15,3.04,3371.69,42031.94,1.36,135.12,506.4,0.75,0.69,12.11,1.08,845.12,386.26,2.54,1481.46,1020.72,1410.72,0,0,916.18,11.04,336.88
"9","Guinea-Bissau","Groundnuts, with shell",0.028,1874303,49845000,"Production_kg",242,"Groundnuts (Shelled Eq)",54,52110.24,2238013.17,4170105.67,1617201.25,134.87,0,11.06,5689.41,335.45,264.46,66146.92,789196.86,103.31,974.52,37102.66,72.5,16.07,1361.26,51.33,13130.73,17811.32,139.33,596367.89,2319936.63,1477670.27,0,0,801.78,259.74,0
"10","Guinea-Bissau","Lemons and limes",0.0785,1874303,4484000,"Production_kg",497,"Lemons; Limes",114,114.99,2310.27,1272.45,25329.8,125.5,0,0,115.28,1.77,0.57,639.37,4053.29,0.58,13.83,59.8,0.11,0,1.37,0.18,15.54,30.48,0,102.6,40.63,207.24,0,0,271.65,1.12,106.67
