"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Hungary","Almonds, with shell",0.0296505238073522,9707499,131000,"Production_kg/Import_kg",221,"Almonds; with shell",45,27.1,965.32,2328.25,821.81,0.47,0,0,11.05,0.14,0.16,35.83,329.97,0,0.22,21.97,0,0,0.18,0,2.37,14.63,0,179.82,1537.21,530.88,0,0,0.23,0.13,2.96
"2","Hungary","Apples",0.121111111111111,9707499,540750000,"Production_kg/Import_kg",515,"Apples",119,2581.9,14277.44,13549.19,601837.04,667.78,0.25,0,356.46,32.25,2.94,4730.86,65158.77,1.33,267.92,499.37,2.09,1.3,8.61,1.86,7460.3,214.64,1.61,1793.78,390.95,3012.63,0,0,3886.69,11.83,459.94
"3","Hungary","Apricots",0.03995,9707499,27367000,"Production_kg/Import_kg",526,"Apricots",125,348.6,7056.72,1804.5,80333.73,47.16,0.9,0,119.96,5.61,1.55,2058.21,9644.19,0.55,9.35,168.19,0.16,0.79,5.5,0.38,19.76,70.57,0.54,201.12,1199.64,553.95,0,0,604.11,5.57,59.98
"4","Hungary","Artichokes",0.1,9707499,43000,"Production_kg/Import_kg",366,"Artichokes",79,0.25,11.59,0.78,51.39,0,0,0,0.37,0,0,1.52,10.93,0,0.47,0.43,0,0,0,0,0.15,0.27,0,0.19,0,0.27,0,0,0.38,0,0.27
"5","Hungary","Asparagus",0.0845294117647059,9707499,6063000,"Production_kg/Import_kg",367,"Asparagus",80,14.96,1593.86,149.89,2249.88,16.02,0,0,15.52,0.81,0.4,160.15,1797.93,0.11,3.41,61.94,0,0,0.66,0,11.82,10.34,0.12,33.25,3.69,51.72,0,0,68.59,0.48,34.73
"6","Hungary","Barley",0.04775,9707499,1403973000,"Production_kg/Import_kg",44,"Barley",3,104235.77,2769733.54,421488.64,22582253.71,201.92,0,6.36,16885.85,2355.97,765.69,77992.93,2508898.92,193.64,6481.74,88585.67,79.66,39.18,1619.59,87.53,11449.06,23524.08,430.6,109947.32,67240.51,252606.24,0,0,3556.56,554.89,0
"7","Hungary","Beans, green",0.0843965476190476,9707499,15048000,"Production_kg/Import_kg",414,"Beans; green",92,87.63,8375.06,999.97,13743.65,42.1,0,0.12,115.64,3.99,0.85,534.61,4115.54,0,30.46,195.81,0.23,1.83,1.61,0.26,14.88,55.1,0.16,89.39,33.67,172.65,0,0,152.66,2.09,22.78
"8","Hungary","Berries nes",0.109406559397488,9707499,17460000,"Production_kg",558,"Berries; nes",138,93.05,1530.07,740.96,21087.19,76.13,0.12,0,60.24,2.53,0.7,271.8,4734.63,0.19,9.93,36.99,0,0,0.8,0,16.06,26.71,1.56,29.59,69.05,358.8,0,0,141.14,0.83,1.32
"9","Hungary","Blueberries",0.134028846153846,9707499,40000,"Production_kg",552,"Blueberries",136,0.18,2.28,1.01,44.55,0,0,0,0,0,0,0.24,7.38,0,0,0,0,0,0,0,0,0,0,0,0.14,0.45,0,0,0.26,0,0
"10","Hungary","Broad beans, horse beans, dry",0.052,9707499,4442000,"Production_kg/Import_kg",181,"Broad beans; horse beans; dry",32,294.35,21117.32,1397.69,48396.88,2.4,0,0.37,87.2,7.11,3.07,1049.98,17042.09,0.72,16.04,335.68,0.34,0.25,2.32,0.32,84.3,168.51,1.43,221.75,265.31,531.06,0,0,9.17,2.64,23.76
"11","Hungary","Cabbages and other brassicas",0.08324,9707499,62251000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,206.97,17496.67,2348.04,33762.85,472.43,1.78,0.48,945.41,13.33,2.63,2199.91,17001.56,1.19,302.82,543.14,0.47,0.79,5.97,1.39,189.94,188.1,1.95,264.3,138.08,676.75,0,0,699.84,8.52,212.63
