"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","India","Almonds, with shell",0.0296505238073522,1352642280,161652000,"Import_kg",221,"Almonds; with shell",45,239.98,8548.82,20618.85,7277.85,4.19,0,0,97.83,1.26,1.46,317.34,2922.16,0.41,1.94,194.56,0,0.31,1.57,0,21,129.58,0.84,1592.48,13613.43,4701.45,0,0,2,1.18,26.2
"2","India","Anise, badian, fennel, coriander",0.00195,1352642280,1472361000,"Production_kg/Import_kg",711,"Anise; badian; fennel; coriander",161,19402.41,882714.3,799959.83,2608649.62,583.33,1.33,0.65,45397.61,1791.5,258.87,82810.29,1332878.74,52.37,4130.75,25682.68,18.31,16.87,171.85,27.91,30581.47,17583.58,152.26,47012.35,607722,146708.46,0,0,556.07,375.78,0
"3","India","Apples",0.121111111111111,1352642280,2558713000,"Production_kg/Import_kg",515,"Apples",119,87.68,484.84,460.11,20437.53,22.68,0,0,12.1,1.1,0,160.65,2212.7,0,9.1,16.96,0,0,0.29,0,253.34,7.29,0,60.91,13.28,102.3,0,0,131.99,0.4,15.62
"4","India","Apricots",0.03995,1352642280,16484000,"Production_kg/Import_kg",526,"Apricots",125,1.51,30.5,7.8,347.26,0.2,0,0,0.52,0,0,8.9,41.69,0,0,0.73,0,0,0,0,0,0.31,0,0.87,5.19,2.39,0,0,2.61,0,0.26
"5","India","Asparagus",0.0845294117647059,1352642280,407000,"Import_kg",367,"Asparagus",80,0,0.77,0,1.08,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","India","Avocados",0.048,1352642280,381000,"Import_kg",572,"Avocados",141,0,0.94,8.27,2.55,0,0,0,0,0,0,0.3,2.57,0,0,0,0,0,0,0,0,0,0,1.4,4.66,0.98,0,0,0,0,0
"7","India","Bananas",0.04075,1352642280,3.046e+10,"Production_kg",486,"Bananas",117,5566.86,67183.65,12848.2,1290030.32,588.33,2.03,1.03,544.42,44.15,9.12,18777.71,86408.23,5.1,350.74,1401.62,2.95,2.79,47.05,19.29,541.56,1565.73,14.92,6133.98,1436.79,3122.25,0,0,4025.39,45.81,1961.77
"8","India","Barley",0.04775,1352642280,1889439000,"Production_kg/Import_kg",44,"Barley",3,1006.74,26750.78,4070.84,218105.09,1.95,0,0,163.09,22.75,7.4,753.28,24231.58,1.87,62.6,855.58,0.77,0.38,15.64,0.85,110.58,227.2,4.16,1061.9,649.43,2439.73,0,0,34.35,5.36,0
"9","India","Beans, dry",0.1145,1352642280,5830965000,"Production_kg/Import_kg",176,"Beans",30,1240.6,80162.54,5168.91,218366.89,6.83,0,1.54,526.77,27.45,11,4402.22,46694.78,3.28,58.81,1456.09,1.7,0.83,7.52,1.46,415.64,650.92,4.9,1163.77,516.77,1790.41,0,0,44.14,14.38,0
"10","India","Beans, green",0.0843965476190476,1352642280,725998000,"Production_kg",414,"Beans; green",92,30.34,2899.81,346.23,4758.64,14.58,0,0,40.04,1.38,0.29,185.11,1424.98,0,10.55,67.8,0,0.63,0.56,0,5.15,19.08,0,30.95,11.66,59.78,0,0,52.86,0.72,7.89
"11","India","Berries nes",0.109406559397488,1352642280,2438000,"Production_kg",558,"Berries; nes",138,0,1.53,0.74,21.13,0,0,0,0,0,0,0.27,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0.14,0,0
