"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Indonesia","Avocados",0.048,267670543,461613000,"Production_kg",572,"Avocados",141,523.39,5778.86,50614.14,15592.87,45.96,0.12,0.21,73.88,3.45,1.73,1832.47,15748.56,0.76,23.7,609.88,0.23,0.5,4.98,1.1,51.02,108.68,0.51,8592.24,28535.12,5978.46,0,0,276.26,4.22,136.53
"2","Indonesia","Bananas",0.04075,267670543,7280659000,"Production_kg",486,"Bananas",117,6724.09,81149.67,15519.06,1558199.6,710.63,2.45,1.25,657.6,53.32,11.01,22681.19,104370.62,6.16,423.65,1692.99,3.57,3.38,56.83,23.3,654.14,1891.21,18.02,7409.1,1735.46,3771.3,0,0,4862.18,55.33,2369.58
"3","Indonesia","Beans, dry",0.1145,267670543,161624000,"Production_kg",176,"Beans",30,173.77,11228.44,724.01,30586.84,0.96,0,0.22,73.79,3.85,1.54,616.62,6540.58,0.46,8.24,203.96,0.24,0.12,1.05,0.2,58.22,91.17,0.69,163.01,72.38,250.78,0,0,6.18,2.01,0
"4","Indonesia","Beans, green",0.0843965476190476,267670543,948285000,"Production_kg",414,"Beans; green",92,200.27,19140.57,2285.35,31410.07,96.21,0.13,0.27,264.28,9.12,1.95,1221.81,9405.76,0.21,69.61,447.5,0.53,4.18,3.67,0.58,34,125.93,0.36,204.29,76.96,394.59,0,0,348.89,4.77,52.05
"5","Indonesia","Cabbages and other brassicas",0.08324,267670543,1413059000,"Production_kg",358,"Cabbages and other brassicas",78,170.38,14403.77,1932.98,27794.57,388.92,1.46,0.4,778.29,10.98,2.16,1811.03,13996.18,0.98,249.29,447.13,0.38,0.65,4.91,1.14,156.37,154.85,1.61,217.58,113.67,557.12,0,0,576.13,7.02,175.04
"6","Indonesia","Carrots and turnips",0.0830718954248366,267670543,698880000,"Production_kg",426,"Carrots and turnips",96,95.03,4115.62,735.95,18439.73,86.04,1.91,0,208.49,4.88,0.81,914.73,6382.59,0.18,148.37,374.43,0.16,0.29,2.44,0.57,328.76,38.24,0.45,101.62,46.1,237.82,0,0,280.51,3.94,72.29
"7","Indonesia","Cashew nuts, with shell",0.0289438420348059,267670543,134183000,"Production_kg",217,"Cashew nuts; with shell",43,942.59,31824.01,72892.91,41881.24,2.83,0,0,69.77,10.49,8.95,1126.65,4607.04,3.66,160.09,814.89,0.92,0.26,2.26,0.75,0,524.21,2.3,13479.93,41215.73,13587.32,0,0,17.22,3.95,48.5
"8","Indonesia","Cassava",0.108277777777778,267670543,14586693000,"Production_kg",125,"Cassava",17,7000.09,91967.57,23889.42,1562394.7,1620.59,0.52,1.28,1962.13,61.28,17.11,18923.64,74486.68,5.03,463.03,1983.41,3.13,2.8,28.87,4.43,1192.79,1056.91,19.33,4378.61,4403.77,2214.47,0,0,3162.06,70.74,1056.91
"9","Indonesia","Castor oil seed",0.0178426203877423,267670543,1718000,"Production_kg",265,"Oilcrops Oil; Other",75,31.75,4.49,3269.94,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,813.72,1325.44,1180.82,0,0,0.29,0,0
"10","Indonesia","Cauliflowers and broccoli",0.103835520801038,267670543,183815000,"Production_kg",393,"Cauliflowers and broccoli",84,18.96,2048.62,213.84,2691.05,53.48,0.36,0,28.99,0.72,0.28,195.95,1256.57,0,19.8,71.83,0,0,0.47,0.12,41.89,11.9,0.12,41.17,12.4,21.33,0,0,57.28,0.71,31.75
"11","Indonesia","Chillies and peppers, green",0.0664142191142191,267670543,2588633000,"Production_kg",401,"Chillies and peppers; green",88,570.68,25926.68,9676.99,100589.5,1679.24,1.82,0.43,402.52,23.67,4.54,4105.29,46810.66,2.26,103.29,1483.51,1.84,1.75,17.29,5.17,117.58,525.34,3.44,607.22,259.81,2657.11,0,0,1285.33,12.87,241.08
"12","Indonesia","Cinnamon (cannella)",0.00115555555555556,267670543,89657000,"Production_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Indonesia","Cloves",0.0013,267670543,134792000,"Production_kg",698,"Cloves",157,9283.84,167470.73,361540.51,1749985.17,3.87,0.31,0.97,21718.25,333.52,89.87,39511.21,830897.56,14.26,10730.01,3150.57,3.06,4.26,30.21,15.15,1448.74,10032.75,2329.11,153086.58,53959.92,139683.76,0,0,1289.54,163.08,0
"14","Indonesia","Cocoa, beans",0.0115,267670543,783978000,"Production_kg",661,"Cocoa Beans",153,5806.85,410961.69,1053178.48,1474633.24,0,0,0.81,2731.76,129.23,173.44,25557.76,942339.03,96.48,210.12,14936.97,4.32,5.04,47.02,3.01,305.62,12708.84,97.72,586224.02,404760.08,21903.02,0,0,98.82,101.31,0
"15","Indonesia","Coconuts",0.04,267670543,17128595000,"Production_kg",249,"Coconuts - Incl Copra",58,50793.12,536738.74,4502475.94,2013007.38,383.78,0,3.11,2985.74,459.06,263.91,52299.58,1032749.02,81.89,3388.49,16836.83,10.04,5.07,108.21,6.61,1935.74,4636.71,599.92,4775193.29,425942.31,109265.2,0,0,8484.17,163.61,6639.1
"16","Indonesia","Coffee, green",0.00312,267670543,760963000,"Production_kg",656,"Coffee",152,16882.73,1030048.81,1359295.49,3298503.41,91.12,0.36,1.58,9389.19,314.84,48.35,202816.27,0,18.82,3240.64,25898.87,13.12,45.53,1010.32,2.12,3924.4,17025.33,34.72,3018.77,22640.76,1509.38,0,0,478.6,528.21,0
"17","Indonesia","Cucumbers and gherkins",0.0675,267670543,435973000,"Production_kg",397,"Cucumbers and gherkins",86,33.69,1557.09,285.3,6105.59,23.85,0,0,38.61,1.07,0.46,343.98,1574.19,0.13,16.02,87.52,0,0,0.46,0,14.48,30.16,0.19,80.84,6.03,62.74,0,0,231.06,1,37.4
"18","Indonesia","Eggplants (aubergines)",0.082,267670543,575392000,"Production_kg",399,"Eggplants (aubergines)",87,71.5,3025.89,1897.09,13869.32,17.29,0,0,44.87,1.6,0.5,526.45,5433.99,0.26,14.06,114.8,0.13,0.24,3.38,0.23,77.2,33.64,0.61,70.78,34.08,152.05,0,0,240.57,3.14,53.74
"19","Indonesia","Fruit, fresh nes",0.107099201828105,267670543,1337349000,"Production_kg",619,"Fresh fruit; nes",147,419.87,7124.96,3553.4,89908.75,181.95,0.23,0,250.25,17.02,1.17,1299.56,16200.51,0.53,52.08,195.18,0.29,0.27,4.67,0.42,325.74,148.88,0.98,571,393.42,543.74,0,0,353.13,4.25,129.84
"20","Indonesia","Fruit, tropical fresh nes",0.1073859375,267670543,2686355000,"Production_kg",603,"Fruit; tropical fresh; nes",146,875.3,13828.87,11174.25,194062.03,1003.84,0.4,0.16,302.5,16.34,3.5,2347.05,27167.65,1.04,91.65,335.9,2.57,2.73,9.81,1.43,74.02,262.93,2.06,6963.12,15400.09,3521.02,0,0,712.55,7.14,368.73
