"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Iraq","Almonds, with shell",0.0296505238073522,38433600,563000,"Import_kg",221,"Almonds; with shell",45,29.42,1047.87,2527.34,892.08,0.51,0,0,11.99,0.15,0.18,38.9,358.18,0,0.24,23.85,0,0,0.19,0,2.57,15.88,0.1,195.2,1668.66,576.28,0,0,0.25,0.14,3.21
"2","Iraq","Anise, badian, fennel, coriander",0.00195,38433600,1466000,"Import_kg",711,"Anise; badian; fennel; coriander",161,679.9,30932.26,28032.36,91412.86,20.44,0,0,1590.83,62.78,9.07,2901.86,46707.02,1.84,144.75,899.98,0.64,0.59,6.02,0.98,1071.64,616.17,5.34,1647.42,21295.93,5140.99,0,0,19.49,13.17,0
"3","Iraq","Apples",0.121111111111111,38433600,2.7e+08,"Import_kg",515,"Apples",119,325.61,1800.59,1708.74,75900.12,84.22,0,0,44.95,4.07,0.37,596.63,8217.44,0.17,33.79,62.98,0.26,0.16,1.09,0.23,940.85,27.07,0.2,226.22,49.3,379.94,0,0,490.17,1.49,58.01
"4","Iraq","Apricots",0.03995,38433600,35863000,"Import_kg",526,"Apricots",125,115.38,2335.71,597.27,26589.71,15.61,0.3,0,39.71,1.86,0.51,681.25,3192.14,0.18,3.09,55.67,0,0.26,1.82,0.13,6.54,23.36,0.18,66.57,397.07,183.35,0,0,199.95,1.85,19.85
"5","Iraq","Artichokes",0.1,38433600,10000,"Import_kg",366,"Artichokes",79,0,0.68,0,3.02,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Iraq","Asparagus",0.0845294117647059,38433600,7000,"Import_kg",367,"Asparagus",80,0,0.46,0,0.66,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Iraq","Avocados",0.048,38433600,134000,"Import_kg",572,"Avocados",141,1.06,11.68,102.33,31.52,0,0,0,0.15,0,0,3.7,31.84,0,0,1.23,0,0,0,0,0.1,0.22,0,17.37,57.69,12.09,0,0,0.56,0,0.28
"8","Iraq","Bambara beans",0.028,38433600,2000,"Import_kg",203,"Bambara beans",37,0,3.3,1.05,10.06,0,0,0,0,0,0,0.23,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Iraq","Bananas",0.04075,38433600,227827000,"Import_kg",486,"Bananas",117,1465.41,17685.23,3382.12,339583.91,154.87,0.53,0.27,143.31,11.62,2.4,4942.99,22745.86,1.34,92.33,368.96,0.78,0.74,12.39,5.08,142.56,412.16,3.93,1614.69,378.22,821.89,0,0,1059.63,12.06,516.41
"10","Iraq","Barley",0.04775,38433600,45533000,"Import_kg",44,"Barley",3,853.85,22688.29,3452.63,184982.69,1.65,0,0,138.32,19.3,6.27,638.88,20551.66,1.59,53.1,725.65,0.65,0.32,13.27,0.72,93.79,192.7,3.53,900.63,550.8,2069.23,0,0,29.13,4.55,0
