"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Israel","Alfalfa meal and pellets",0.0651708222811671,8381516,2754000,"Import_kg",862,"Mixed grain",12,175.57,5763.4,1250.37,37156.21,0,0,0,12.4,1.68,1.31,173.77,5327.53,0.23,2.76,159.35,0.2,0,2.17,0.15,16.46,59.76,1.3,221.51,268.46,525.71,0,0,5.42,0.83,0
"2","Israel","Almonds shelled",0.0296505238073522,8381516,4109000,"Import_kg",231,"Almonds; with shell",45,984.43,35068.88,84582.38,29855.12,17.2,0,0,401.31,5.16,5.99,1301.79,11987.24,1.68,7.98,798.1,0.35,1.27,6.46,0.23,86.14,531.57,3.45,6532.63,55844.83,19286.23,0,0,8.22,4.85,107.47
"3","Israel","Almonds, with shell",0.0296505238073522,8381516,10453000,"Production_kg/Import_kg",221,"Almonds; with shell",45,2504.32,89212.7,215171.48,75949.27,43.74,0,0.19,1020.9,13.14,15.23,3311.65,30494.67,4.27,20.29,2030.31,0.9,3.23,16.42,0.58,219.14,1352.28,8.79,16618.55,142065.23,49062.78,0,0,20.92,12.34,273.4
"4","Israel","Anise, badian, fennel, coriander",0.00195,8381516,908000,"Import_kg",711,"Anise; badian; fennel; coriander",161,1931.02,87852.09,79615.95,259625.7,58.06,0.13,0,4518.19,178.3,25.76,8241.69,132654.68,5.21,411.11,2556.07,1.82,1.68,17.1,2.78,3043.62,1750,15.15,4678.9,60483.5,14601.15,0,0,55.34,37.4,0
"5","Israel","Apples",0.121111111111111,8381516,144534000,"Production_kg/Import_kg",515,"Apples",119,799.28,4419.86,4194.42,186310.44,206.72,0,0,110.35,9.98,0.91,1464.53,20171.17,0.41,82.94,154.59,0.65,0.4,2.67,0.57,2309.48,66.45,0.5,555.3,121.03,932.62,0,0,1203.2,3.66,142.38
"6","Israel","Apricots",0.03995,8381516,7006000,"Production_kg/Import_kg",526,"Apricots",125,103.36,2092.33,535.04,23819.12,13.98,0.27,0,35.57,1.66,0.46,610.26,2859.52,0.16,2.77,49.87,0,0.23,1.63,0.11,5.86,20.92,0.16,59.63,355.7,164.25,0,0,179.12,1.65,17.78
"7","Israel","Apricots, dry",0.03995,8381516,1194000,"Import_kg",527,"Apricots",125,17.62,356.59,91.18,4059.38,2.38,0,0,6.06,0.28,0,104,487.33,0,0.47,8.5,0,0,0.28,0,1,3.57,0,10.16,60.62,27.99,0,0,30.53,0.28,3.03
"8","Israel","Artichokes",0.1,8381516,2292000,"Production_kg",366,"Artichokes",79,15.18,715.64,47.86,3172.81,2.26,0,0,22.78,0.37,0,93.61,674.53,0,29.02,26.8,0,0,0.16,0,9.41,16.41,0,11.76,2.05,16.95,0,0,23.58,0.35,16.41
"9","Israel","Asparagus",0.0845294117647059,8381516,107000,"Production_kg",367,"Asparagus",80,0.31,32.58,3.06,45.99,0.33,0,0,0.32,0,0,3.27,36.75,0,0,1.27,0,0,0,0,0.24,0.21,0,0.68,0,1.06,0,0,1.4,0,0.71
"10","Israel","Avocados",0.048,8381516,138766000,"Production_kg",572,"Avocados",141,5024.69,55478.58,485908.95,149695.58,441.23,1.17,2.01,709.3,33.14,16.64,17592.19,151190.24,7.28,227.52,5855.03,2.17,4.84,47.77,10.53,489.79,1043.39,4.9,82487.78,273944.64,57394.8,0,0,2652.21,40.48,1310.7
