"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Italy","Almonds, with shell",0.0296505238073522,60627291,2340000,"Import_kg",221,"Almonds; with shell",45,77.5,2760.93,6659.08,2350.46,1.35,0,0,31.59,0.41,0.47,102.49,943.74,0.13,0.63,62.83,0,0,0.51,0,6.78,41.85,0.27,514.31,4396.6,1518.38,0,0,0.65,0.38,8.46
"2","Italy","Apples",0.121111111111111,60627291,45209000,"Import_kg",515,"Apples",119,34.56,191.13,181.38,8056.5,8.94,0,0,4.77,0.43,0,63.33,872.25,0,3.59,6.68,0,0,0.12,0,99.87,2.87,0,24.01,5.23,40.33,0,0,52.03,0.16,6.16
"3","Italy","Apricots",0.03995,60627291,16140000,"Import_kg",526,"Apricots",125,32.92,666.37,170.4,7586.01,4.45,0,0,11.33,0.53,0.15,194.36,910.71,0,0.88,15.88,0,0,0.52,0,1.87,6.66,0,18.99,113.28,52.31,0,0,57.05,0.53,5.66
"4","Italy","Artichokes",0.1,60627291,16316000,"Import_kg",366,"Artichokes",79,14.94,704.29,47.1,3122.46,2.23,0,0,22.42,0.36,0,92.13,663.83,0,28.56,26.37,0,0,0.16,0,9.26,16.15,0,11.57,2.02,16.69,0,0,23.2,0.34,16.15
"5","Italy","Asparagus",0.0845294117647059,60627291,4975000,"Import_kg",367,"Asparagus",80,1.97,209.41,19.69,295.6,2.1,0,0,2.04,0.11,0,21.04,236.22,0,0.45,8.14,0,0,0,0,1.55,1.36,0,4.37,0.49,6.8,0,0,9.01,0,4.56
"6","Italy","Barley",0.04775,60627291,497102000,"Import_kg",44,"Barley",3,5909.39,157023.24,23895.26,1280245.41,11.45,0,0.36,957.3,133.57,43.41,4421.62,142235.86,10.98,367.47,5022.15,4.52,2.22,91.82,4.96,649.08,1333.64,24.41,6233.19,3812.04,14320.89,0,0,201.63,31.46,0
"7","Italy","Beans, green",0.0843965476190476,60627291,20812000,"Import_kg",414,"Beans; green",92,19.41,1854.65,221.44,3043.52,9.32,0,0,25.61,0.88,0.19,118.39,911.38,0,6.75,43.36,0,0.41,0.36,0,3.29,12.2,0,19.79,7.46,38.23,0,0,33.81,0.46,5.04
"8","Italy","Broad beans, horse beans, dry",0.052,60627291,20753000,"Import_kg",181,"Broad beans; horse beans; dry",32,220.19,15797.21,1045.56,36204.2,1.79,0,0.28,65.23,5.32,2.3,785.46,12748.65,0.54,12,251.11,0.25,0.19,1.73,0.24,63.06,126.06,1.07,165.89,198.47,397.27,0,0,6.86,1.98,17.77
"9","Italy","Cabbages and other brassicas",0.08324,60627291,25970000,"Import_kg",358,"Cabbages and other brassicas",78,13.83,1168.75,156.84,2255.3,31.56,0.12,0,63.15,0.89,0.18,146.95,1135.67,0,20.23,36.28,0,0,0.4,0,12.69,12.56,0.13,17.65,9.22,45.21,0,0,46.75,0.57,14.2
"10","Italy","Carrots and turnips",0.0830718954248366,60627291,7278000,"Import_kg",426,"Carrots and turnips",96,4.37,189.22,33.84,847.81,3.96,0,0,9.59,0.22,0,42.06,293.45,0,6.82,17.22,0,0,0.11,0,15.12,1.76,0,4.67,2.12,10.93,0,0,12.9,0.18,3.32
"11","Italy","Cauliflowers and broccoli",0.103835520801038,60627291,21960000,"Import_kg",393,"Cauliflowers and broccoli",84,10,1080.55,112.79,1419.4,28.21,0.19,0,15.29,0.38,0.15,103.35,662.78,0,10.44,37.89,0,0,0.25,0,22.09,6.28,0,21.71,6.54,11.25,0,0,30.21,0.38,16.74
"12","Italy","Cherries",0.1289,60627291,11731000,"Import_kg",531,"Cherries",127,6.84,163.37,26.02,1563.16,1.88,0,0,4.14,0,0,37.3,157.62,0,0.23,3.51,0,0,0.1,0,0.92,1.65,0,5.7,7.06,7.81,0,0,12.37,0.1,1.2
"13","Italy","Chestnut",0.059,60627291,32878000,"Import_kg",220,"Chestnuts",44,240.82,4684.59,2680.85,47860.01,16.24,0,0.1,34.31,1.53,0.42,600.66,11305.51,0.6,17.13,116.27,0.19,0.19,0.99,0.61,0,68.02,1.19,769.33,1410.89,1615.86,0,0,31.21,1.88,18.38
"14","Italy","Chillies and peppers, green",0.0664142191142191,60627291,91196000,"Import_kg",401,"Chillies and peppers; green",88,88.76,4032.59,1505.14,15645.53,261.19,0.28,0,62.61,3.68,0.71,638.53,7280.86,0.35,16.07,230.74,0.29,0.27,2.69,0.8,18.29,81.71,0.54,94.45,40.41,413.28,0,0,199.92,2,37.5
"15","Italy","Cucumbers and gherkins",0.0675,60627291,19370000,"Import_kg",397,"Cucumbers and gherkins",86,6.61,305.43,55.96,1197.65,4.68,0,0,7.57,0.21,0,67.47,308.79,0,3.14,17.17,0,0,0,0,2.84,5.92,0,15.86,1.18,12.31,0,0,45.32,0.2,7.34
"16","Italy","Currants",0.038,60627291,1270000,"Import_kg",550,"Currants",135,6.9,99.23,13.92,1647.97,5.57,0,0,3.76,0.17,0,16.45,146.08,0,0,3.91,0,0,0,0,0.42,1.02,0,1.41,2.37,7.36,0,0,3.66,0,0.11
"17","Italy","Eggplants (aubergines)",0.082,60627291,24523000,"Import_kg",399,"Eggplants (aubergines)",87,13.45,569.37,356.97,2609.74,3.25,0,0,8.44,0.3,0,99.06,1022.49,0,2.65,21.6,0,0,0.64,0,14.53,6.33,0.11,13.32,6.41,28.61,0,0,45.27,0.59,10.11
"18","Italy","Figs",0.0504615384615385,60627291,904000,"Import_kg",569,"Figs",139,1.6,29.96,6.21,368.39,0.25,0,0,1.38,0,0,6.54,65.01,0,0,0.72,0,0,0,0,0.14,0.5,0,1.38,1.54,3.29,0,0,2.48,0,0.22
