"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Italy","Almonds, with shell",0.0296505238073522,60627291,77300000,"Production_kg",221,"Almonds; with shell",45,2560.25,91205.21,219977.2,77645.54,44.72,0,0.19,1043.7,13.43,15.57,3385.62,31175.75,4.37,20.75,2075.66,0.92,3.3,16.79,0.59,224.04,1382.48,8.99,16989.71,145238.16,50158.56,0,0,21.39,12.62,279.51
"2","Italy","Apples",0.121111111111111,60627291,2303690000,"Production_kg",515,"Apples",119,1761.19,9739.06,9242.3,410530.67,455.51,0.17,0,243.15,22,2.01,3227.05,44446.7,0.91,182.75,340.63,1.43,0.89,5.87,1.27,5088.89,146.41,1.1,1223.59,266.68,2055.01,0,0,2651.23,8.07,313.74
"3","Italy","Apricots",0.03995,60627291,272990000,"Production_kg",526,"Apricots",125,556.79,11270.98,2882.15,128308.87,75.33,1.44,0.1,191.61,8.95,2.48,3287.37,15403.68,0.88,14.93,268.63,0.26,1.26,8.79,0.61,31.56,112.71,0.87,321.22,1916.07,884.77,0,0,964.88,8.9,95.8
"4","Italy","Artichokes",0.1,60627291,378820000,"Production_kg",366,"Artichokes",79,346.78,16351.91,1093.46,72496.38,51.71,0.16,0.42,520.49,8.35,2.15,2139.02,15412.57,1.44,663.11,612.34,0.55,0.33,3.66,0.72,214.94,374.9,1.6,268.68,46.86,387.4,0,0,538.69,7.99,374.9
"5","Italy","Asparagus",0.0845294117647059,60627291,49910000,"Production_kg",367,"Asparagus",80,19.72,2100.83,197.56,2965.51,21.12,0,0,20.45,1.06,0.52,211.09,2369.81,0.15,4.5,81.64,0.12,0.12,0.88,0,15.58,13.63,0.15,43.83,4.87,68.17,0,0,90.41,0.64,45.77
"6","Italy","Barley",0.04775,60627291,1104990000,"Production_kg",44,"Barley",3,13135.77,349041.26,53115.91,2845811.08,25.45,0,0.8,2127.95,296.9,96.49,9828.65,316170.94,24.4,816.83,11163.55,10.04,4.94,204.1,11.03,1442.81,2964.5,54.26,13855.54,8473.64,31833.39,0,0,448.2,69.93,0
"7","Italy","Beans, green",0.0843965476190476,60627291,154390000,"Production_kg",414,"Beans; green",92,143.96,13758.39,1642.72,22577.8,69.15,0,0.19,189.97,6.56,1.4,878.25,6760.93,0.15,50.04,321.67,0.38,3.01,2.64,0.42,24.44,90.52,0.26,146.84,55.32,283.63,0,0,250.79,3.43,37.42
"8","Italy","Berries nes",0.109406559397488,60627291,6390000,"Production_kg",558,"Berries; nes",138,5.45,89.66,43.42,1235.7,4.46,0,0,3.53,0.15,0,15.93,277.45,0,0.58,2.17,0,0,0,0,0.94,1.57,0,1.73,4.05,21.03,0,0,8.27,0,0
"9","Italy","Broad beans, horse beans, dry",0.052,60627291,132310000,"Production_kg",181,"Broad beans; horse beans; dry",32,1403.84,100714.54,6665.96,230818.54,11.43,0,1.78,415.89,33.89,14.66,5007.66,81278.57,3.45,76.52,1600.97,1.62,1.21,11.06,1.54,402.06,803.69,6.82,1057.6,1265.34,2532.79,0,0,43.76,12.61,113.31
"10","Italy","Cabbages and other brassicas",0.08324,60627291,457810000,"Production_kg",358,"Cabbages and other brassicas",78,243.72,20603.15,2764.93,39757.34,556.31,2.09,0.57,1113.26,15.7,3.09,2590.49,20020.14,1.4,356.58,639.58,0.55,0.93,7.03,1.63,223.67,221.5,2.3,311.23,162.59,796.91,0,0,824.1,10.03,250.38
"11","Italy","Carrots and turnips",0.0830718954248366,60627291,492220000,"Production_kg",426,"Carrots and turnips",96,295.48,12797.47,2288.41,57338.15,267.54,5.95,0.21,648.29,15.16,2.53,2844.33,19846.59,0.57,461.34,1164.27,0.5,0.91,7.58,1.78,1022.28,118.91,1.4,316,143.34,739.51,0,0,872.25,12.26,224.78
"12","Italy","Cauliflowers and broccoli",0.103835520801038,60627291,368150000,"Production_kg",393,"Cauliflowers and broccoli",84,167.63,18115.02,1890.87,23795.69,472.93,3.17,0.35,256.36,6.35,2.46,1732.69,11111.29,0.25,175.05,635.19,0.64,0.63,4.19,1.05,370.38,105.26,1.07,364.04,109.65,188.6,0,0,506.52,6.32,280.71
"13","Italy","Cereals nes",0.0486257263475995,60627291,106110000,"Production_kg",108,"Cereals; nes",13,1253.47,46878.97,16566.32,264519.49,3.87,0,0,522.59,79.82,13.68,1536.92,11363.61,2.92,28.07,1369.99,1.29,0.95,5.25,1.73,47.15,662.28,33.26,1616.1,2120.01,3854.89,0,0,39.28,14.11,0
"14","Italy","Cherries",0.1289,60627291,98600000,"Production_kg",531,"Cherries",127,57.52,1373.15,218.69,13138.49,15.8,0,0,34.82,0.64,0,313.53,1324.78,0,1.89,29.52,0,0,0.87,0,7.7,13.88,0,47.94,59.3,65.61,0,0,103.93,0.86,10.09
