"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Jamaica","Avocados",0.048,2934847,28000,"Import_kg",572,"Avocados",141,2.9,31.97,280.01,86.26,0.25,0,0,0.41,0,0,10.14,87.12,0,0.13,3.37,0,0,0,0,0.28,0.6,0,47.53,157.86,33.07,0,0,1.53,0,0.76
"2","Jamaica","Beans, dry",0.1145,2934847,8359000,"Import_kg",176,"Beans",30,819.68,52964.25,3415.15,144277.36,4.51,0,1.02,348.04,18.14,7.26,2908.59,30851.74,2.17,38.85,962.05,1.12,0.55,4.97,0.96,274.62,430.07,3.24,768.91,341.43,1182.95,0,0,29.16,9.5,0
"3","Jamaica","Broad beans, horse beans, dry",0.052,2934847,302000,"Import_kg",181,"Broad beans; horse beans; dry",32,66.19,4748.86,314.31,10883.48,0.54,0,0,19.61,1.6,0.69,236.12,3832.42,0.16,3.61,75.49,0,0,0.52,0,18.96,37.9,0.32,49.87,59.66,119.43,0,0,2.06,0.59,5.34
"4","Jamaica","Cabbages and other brassicas",0.08324,2934847,102000,"Import_kg",358,"Cabbages and other brassicas",78,1.12,94.83,12.73,182.98,2.56,0,0,5.12,0,0,11.92,92.14,0,1.64,2.94,0,0,0,0,1.03,1.02,0,1.43,0.75,3.67,0,0,3.79,0,1.15
"5","Jamaica","Carrots and turnips",0.0830718954248366,2934847,125000,"Import_kg",426,"Carrots and turnips",96,1.55,67.14,12.01,300.8,1.4,0,0,3.4,0,0,14.92,104.12,0,2.42,6.11,0,0,0,0,5.36,0.62,0,1.66,0.75,3.88,0,0,4.58,0,1.18
"6","Jamaica","Cauliflowers and broccoli",0.103835520801038,2934847,214000,"Import_kg",393,"Cauliflowers and broccoli",84,2.01,217.53,22.71,285.74,5.68,0,0,3.08,0,0,20.81,133.42,0,2.1,7.63,0,0,0,0,4.45,1.26,0,4.37,1.32,2.26,0,0,6.08,0,3.37
"7","Jamaica","Chillies and peppers, dry",4e-04,2934847,121000,"Import_kg",689,"Pimento",156,2478.48,105626.52,92001.9,422978.97,777.51,7,0.56,2138.37,75.24,27.24,18779.68,229025.57,6.8,4676.88,1916.3,2.88,4.49,56.86,17.77,530.82,1582.15,22.45,27314.03,17539.39,63547.21,0,0,288.89,61.68,0
"8","Jamaica","Chillies and peppers, green",0.0664142191142191,2934847,13000,"Import_kg",401,"Chillies and peppers; green",88,0.26,11.88,4.43,46.07,0.77,0,0,0.18,0,0,1.88,21.44,0,0,0.68,0,0,0,0,0,0.24,0,0.28,0.12,1.22,0,0,0.59,0,0.11
"9","Jamaica","Coconuts",0.04,2934847,32000,"Import_kg",249,"Coconuts - Incl Copra",58,8.65,91.45,767.18,343,0,0,0,0.51,0,0,8.91,175.97,0,0.58,2.87,0,0,0,0,0.33,0.79,0.1,813.64,72.58,18.62,0,0,1.45,0,1.13
"10","Jamaica","Coffee, green",0.00312,2934847,531000,"Import_kg",656,"Coffee",152,1074.46,65554.71,86508.74,209924.45,5.8,0,0.1,597.55,20.04,3.08,12907.7,0,1.2,206.24,1648.26,0.83,2.9,64.3,0.14,249.76,1083.53,2.21,192.12,1440.91,96.06,0,0,30.46,33.62,0
"11","Jamaica","Cucumbers and gherkins",0.0675,2934847,1000,"Import_kg",397,"Cucumbers and gherkins",86,0,0.33,0,1.28,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
