"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Jamaica","Anise, badian, fennel, coriander",0.00195,2934847,1e+05,"Import_kg",711,"Anise; badian; fennel; coriander",161,607.35,27631.43,25040.98,81658.04,18.26,0,0,1421.07,56.08,8.1,2592.19,41722.84,1.64,129.3,803.94,0.57,0.53,5.38,0.87,957.29,550.42,4.77,1471.62,19023.4,4592.39,0,0,17.41,11.76,0
"2","Jamaica","Apples",0.121111111111111,2934847,1127000,"Import_kg",515,"Apples",119,17.8,98.42,93.4,4148.85,4.6,0,0,2.46,0.22,0,32.61,449.18,0,1.85,3.44,0,0,0,0,51.43,1.48,0,12.37,2.7,20.77,0,0,26.79,0,3.17
"3","Jamaica","Asparagus",0.0845294117647059,2934847,227000,"Import_kg",367,"Asparagus",80,1.85,197.38,18.56,278.62,1.98,0,0,1.92,0,0,19.83,222.66,0,0.42,7.67,0,0,0,0,1.46,1.28,0,4.12,0.46,6.41,0,0,8.49,0,4.3
"4","Jamaica","Avocados",0.048,2934847,2349000,"Production_kg/Import_kg",572,"Avocados",141,242.91,2682.02,23490.48,7236.79,21.33,0,0,34.29,1.6,0.8,850.47,7309.05,0.35,11,283.05,0.11,0.23,2.31,0.51,23.68,50.44,0.24,3987.74,13243.41,2774.66,0,0,128.22,1.96,63.36
"5","Jamaica","Bananas",0.04075,2934847,63653000,"Production_kg",486,"Bananas",117,5361.63,64706.82,12374.53,1242471.37,566.64,1.95,0.99,524.35,42.52,8.78,18085.44,83222.65,4.91,337.8,1349.95,2.85,2.69,45.32,18.58,521.59,1508.01,14.37,5907.84,1383.82,3007.14,0,0,3876.99,44.12,1889.44
"6","Jamaica","Barley",0.04775,2934847,18000,"Import_kg",44,"Barley",3,4.42,117.46,17.87,957.64,0,0,0,0.72,0,0,3.31,106.39,0,0.27,3.76,0,0,0,0,0.49,1,0,4.66,2.85,10.71,0,0,0.15,0,0
"7","Jamaica","Beans, dry",0.1145,2934847,8487000,"Production_kg/Import_kg",176,"Beans",30,832.23,53775.29,3467.45,146486.65,4.58,0,1.03,353.37,18.42,7.38,2953.13,31324.17,2.2,39.45,976.79,1.14,0.56,5.05,0.98,278.83,436.65,3.29,780.69,346.66,1201.06,0,0,29.61,9.65,0
"8","Jamaica","Beans, green",0.0843965476190476,2934847,2000,"Import_kg",414,"Beans; green",92,0,3.68,0.44,6.04,0,0,0,0,0,0,0.24,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Jamaica","Blueberries",0.134028846153846,2934847,22000,"Import_kg",552,"Blueberries",136,0.32,4.14,1.85,81.04,0,0,0,0,0,0,0.43,13.42,0,0,0,0,0,0,0,0,0,0,0.16,0.26,0.82,0,0,0.47,0,0
"10","Jamaica","Broad beans, horse beans, dry",0.052,2934847,522000,"Production_kg/Import_kg",181,"Broad beans; horse beans; dry",32,114.41,8208.29,543.28,18811.84,0.93,0,0.14,33.89,2.76,1.19,408.13,6624.25,0.28,6.24,130.48,0.13,0,0.9,0.13,32.77,65.5,0.56,86.2,103.13,206.42,0,0,3.57,1.03,9.24
"11","Jamaica","Cabbages and other brassicas",0.08324,2934847,38494000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,423.33,35786.9,4802.58,69057.01,966.3,3.63,0.99,1933.69,27.27,5.37,4499.59,34774.23,2.44,619.37,1110.92,0.95,1.62,12.21,2.84,388.5,384.74,3.99,540.59,282.42,1384.2,0,0,1431.43,17.43,434.9
"12","Jamaica","Carrots and turnips",0.0830718954248366,2934847,26079000,"Production_kg/Import_kg",426,"Carrots and turnips",96,323.41,14006.78,2504.66,62756.4,292.82,6.51,0.23,709.55,16.59,2.76,3113.11,21722.02,0.63,504.93,1274.29,0.55,1,8.29,1.95,1118.88,130.14,1.53,345.86,156.89,809.39,0,0,954.67,13.42,246.02
"13","Jamaica","Cassava",0.108277777777778,2934847,26529000,"Production_kg",125,"Cassava",17,1161.13,15255.06,3962.64,259161.16,268.81,0,0.21,325.47,10.16,2.84,3138.95,12355.43,0.83,76.8,329,0.52,0.46,4.79,0.73,197.85,175.31,3.21,726.3,730.47,367.32,0,0,524.5,11.73,175.31
"14","Jamaica","Cauliflowers and broccoli",0.103835520801038,2934847,2156000,"Production_kg/Import_kg",393,"Cauliflowers and broccoli",84,20.28,2191.52,228.75,2878.76,57.21,0.38,0,31.01,0.77,0.3,209.62,1344.22,0,21.18,76.84,0,0,0.51,0.13,44.81,12.73,0.13,44.04,13.27,22.82,0,0,61.28,0.76,33.96
"15","Jamaica","Cherries",0.1289,2934847,10000,"Import_kg",531,"Cherries",127,0.12,2.88,0.46,27.53,0,0,0,0,0,0,0.66,2.78,0,0,0,0,0,0,0,0,0,0,0.1,0.12,0.14,0,0,0.22,0,0
"16","Jamaica","Chick peas",0.04575,2934847,67000,"Import_kg",191,"Chick peas",33,17.58,970.24,251.19,2909.97,0.1,0,0,6.8,0.35,0.17,40.37,380.9,0,1,15.49,0,0,0,0,7.32,4.94,0.56,30.76,68.04,132.76,0,0,0.52,0.15,0
"17","Jamaica","Chillies and peppers, dry",4e-04,2934847,18227000,"Production_kg/Import_kg",689,"Pimento",156,373349.31,15911195.04,13858831.65,63716013.76,117120.53,1054.05,85.01,322116.58,11334.25,4102.84,2828903.35,34499578.68,1024.35,704508.72,288665.03,433.42,676.23,8565.89,2676.36,79960.77,238329.67,3381.12,4114486.21,2642069.44,9572520.36,0,0,43517.81,9290.98,0
