"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Japan","Apples",0.121111111111111,127202192,706468000,"Production_kg/Import_kg",515,"Apples",119,257.42,1423.5,1350.9,60005.03,66.58,0,0,35.54,3.22,0.29,471.68,6496.53,0.13,26.71,49.79,0.21,0.13,0.86,0.18,743.81,21.4,0.16,178.85,38.98,300.37,0,0,387.52,1.18,45.86
"2","Japan","Apricots",0.03995,127202192,88100000,"Production_kg",526,"Apricots",125,85.64,1733.66,443.32,19736.01,11.59,0.22,0,29.47,1.38,0.38,505.65,2369.34,0.14,2.3,41.32,0,0.19,1.35,0,4.85,17.34,0.13,49.41,294.72,136.09,0,0,148.41,1.37,14.74
"3","Japan","Asparagus",0.0845294117647059,127202192,37237000,"Production_kg/Import_kg",367,"Asparagus",80,7.01,747.05,70.25,1054.53,7.51,0,0,7.27,0.38,0.19,75.06,842.7,0,1.6,29.03,0,0,0.31,0,5.54,4.85,0,15.58,1.73,24.24,0,0,32.15,0.23,16.28
"4","Japan","Bananas",0.04075,127202192,1045133000,"Production_kg/Import_kg",486,"Bananas",117,2031.14,24512.84,4687.83,470684.55,214.66,0.74,0.38,198.64,16.11,3.33,6851.3,31527.18,1.86,127.97,511.4,1.08,1.02,17.17,7.04,197.59,571.28,5.44,2238.06,524.23,1139.19,0,0,1468.72,16.71,715.78
"5","Japan","Barley",0.04775,127202192,1370528000,"Production_kg/Import_kg",44,"Barley",3,7765.31,206338.33,31399.87,1682322.29,15.04,0,0.47,1257.95,175.51,57.04,5810.28,186906.79,14.43,482.87,6599.41,5.93,2.92,120.66,6.52,852.93,1752.49,32.08,8190.8,5009.25,18818.54,0,0,264.95,41.34,0
"6","Japan","Beans, dry",0.1145,127202192,142608000,"Production_kg/Import_kg",176,"Beans",30,322.64,20847.95,1344.28,56790.88,1.78,0,0.4,137,7.14,2.86,1144.89,12143.95,0.85,15.29,378.69,0.44,0.22,1.96,0.38,108.1,169.28,1.28,302.66,134.4,465.63,0,0,11.48,3.74,0
"7","Japan","Broad beans, horse beans, dry",0.052,127202192,16607000,"Production_kg/Import_kg",181,"Broad beans; horse beans; dry",32,83.98,6025.1,398.78,13808.38,0.68,0,0.11,24.88,2.03,0.88,299.58,4862.37,0.21,4.58,95.78,0,0,0.66,0,24.05,48.08,0.41,63.27,75.7,151.52,0,0,2.62,0.75,6.78
"8","Japan","Buckwheat",0.0421111111111111,127202192,89385000,"Production_kg/Import_kg",89,"Buckwheat",9,550.25,17750.6,4505.44,114972.13,0,0,0,70.08,11.81,4.47,685.83,15518.73,1.06,10.1,585.71,0.67,0.47,9.53,0.35,0,382.13,2.17,1236.49,1735.43,1733.76,0,0,22.26,3.67,0
"9","Japan","Cabbages and other brassicas",0.08324,127202192,1428669000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,362.5,30644.57,4112.48,59133.99,827.45,3.11,0.84,1655.84,23.35,4.6,3853.03,29777.41,2.09,530.37,951.29,0.82,1.39,10.46,2.43,332.67,329.45,3.42,462.91,241.83,1185.3,0,0,1225.74,14.93,372.4
"10","Japan","Carrots and turnips",0.0830718954248366,127202192,671284000,"Production_kg/Import_kg",426,"Carrots and turnips",96,192.07,8318.49,1487.49,37270.42,173.9,3.87,0.14,421.4,9.85,1.64,1848.84,12900.5,0.37,299.88,756.79,0.33,0.59,4.92,1.16,664.49,77.29,0.91,205.4,93.17,480.69,0,0,566.97,7.97,146.11
"11","Japan","Cauliflowers and broccoli",0.103835520801038,127202192,172407000,"Production_kg/Import_kg",393,"Cauliflowers and broccoli",84,37.42,4043.36,422.05,5311.31,105.56,0.71,0,57.22,1.42,0.55,386.75,2480.09,0,39.07,141.78,0.14,0.14,0.94,0.23,82.67,23.5,0.24,81.26,24.47,42.1,0,0,113.06,1.41,62.65
