"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Jordan","Almonds, with shell",0.0296505238073522,9965318,1409000,"Production_kg",221,"Almonds; with shell",45,283.92,10114.12,24394.18,8610.43,4.96,0,0,115.74,1.49,1.73,375.44,3457.21,0.48,2.3,230.18,0.1,0.37,1.86,0,24.84,153.31,1,1884.06,16106.06,5562.29,0,0,2.37,1.4,31
"2","Jordan","Apples",0.121111111111111,9965318,21051000,"Production_kg",515,"Apples",119,97.91,541.43,513.81,22822.93,25.32,0,0,13.52,1.22,0.11,179.4,2470.96,0,10.16,18.94,0,0,0.33,0,282.91,8.14,0,68.02,14.83,114.25,0,0,147.39,0.45,17.44
"3","Jordan","Apricots",0.03995,9965318,26459000,"Production_kg",526,"Apricots",125,328.32,6646.08,1699.5,75658.96,44.42,0.85,0,112.98,5.28,1.46,1938.44,9082.97,0.52,8.81,158.4,0.16,0.74,5.18,0.36,18.61,66.46,0.51,189.41,1129.83,521.72,0,0,568.95,5.25,56.49
"4","Jordan","Bananas",0.04075,9965318,32803000,"Production_kg",486,"Bananas",117,813.74,9820.62,1878.1,188571.21,86,0.3,0.15,79.58,6.45,1.33,2744.85,12630.79,0.75,51.27,204.88,0.43,0.41,6.88,2.82,79.16,228.87,2.18,896.64,210.02,456.4,0,0,588.41,6.7,286.76
"5","Jordan","Barley",0.04775,9965318,66618000,"Production_kg",44,"Barley",3,4817.99,128022.71,19482.06,1043797.64,9.33,0,0.29,780.5,108.9,35.39,3604.99,115966.4,8.95,299.6,4094.61,3.68,1.81,74.86,4.05,529.2,1087.33,19.9,5081.99,3107.99,11675.97,0,0,164.39,25.65,0
"6","Jordan","Beans, green",0.0843965476190476,9965318,11160000,"Production_kg",414,"Beans; green",92,63.31,6050.48,722.42,9928.96,30.41,0,0,83.54,2.88,0.62,386.22,2973.23,0,22.01,141.46,0.17,1.32,1.16,0.18,10.75,39.81,0.11,64.58,24.33,124.73,0,0,110.29,1.51,16.45
"7","Jordan","Cabbages and other brassicas",0.08324,9965318,35074000,"Production_kg",358,"Cabbages and other brassicas",78,113.6,9603.08,1288.73,18530.81,259.3,0.97,0.26,518.89,7.32,1.44,1207.42,9331.34,0.65,166.2,298.11,0.26,0.43,3.28,0.76,104.25,103.24,1.07,145.06,75.78,371.44,0,0,384.11,4.68,116.7
"8","Jordan","Carrots and turnips",0.0830718954248366,9965318,23433000,"Production_kg",426,"Carrots and turnips",96,85.58,3706.55,662.8,16606.93,77.49,1.72,0,187.76,4.39,0.73,823.81,5748.19,0.17,133.62,337.21,0.15,0.26,2.19,0.52,296.08,34.44,0.4,91.52,41.52,214.18,0,0,252.63,3.55,65.1
"9","Jordan","Cauliflowers and broccoli",0.103835520801038,9965318,46799000,"Production_kg",393,"Cauliflowers and broccoli",84,129.64,14009.66,1462.35,18402.94,365.75,2.45,0.27,198.26,4.91,1.9,1340.02,8593.16,0.19,135.38,491.24,0.5,0.49,3.24,0.81,286.44,81.41,0.83,281.54,84.8,145.86,0,0,391.73,4.88,217.09
"10","Jordan","Cherries",0.1289,9965318,952000,"Production_kg",531,"Cherries",127,3.38,80.66,12.85,771.76,0.93,0,0,2.05,0,0,18.42,77.82,0,0.11,1.73,0,0,0,0,0.45,0.82,0,2.82,3.48,3.85,0,0,6.11,0,0.59
