"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Kazakhstan","Alfalfa meal and pellets",0.0651708222811671,18319618,48000,"Import_kg",862,"Mixed grain",12,1.4,45.96,9.97,296.29,0,0,0,0,0,0,1.39,42.48,0,0,1.27,0,0,0,0,0.13,0.48,0,1.77,2.14,4.19,0,0,0,0,0
"2","Kazakhstan","Almonds shelled",0.0296505238073522,18319618,8777000,"Import_kg",231,"Almonds; with shell",45,962.06,34271.88,82660.12,29176.61,16.8,0,0,392.19,5.05,5.85,1272.2,11714.81,1.64,7.8,779.96,0.35,1.24,6.31,0.22,84.19,519.49,3.38,6384.17,54575.67,18847.92,0,0,8.04,4.74,105.03
"3","Kazakhstan","Almonds, with shell",0.0296505238073522,18319618,833000,"Import_kg",221,"Almonds; with shell",45,91.31,3252.65,7845.04,2769.07,1.59,0,0,37.22,0.48,0.56,120.74,1111.82,0.16,0.74,74.02,0,0.12,0.6,0,7.99,49.3,0.32,605.9,5179.62,1788.8,0,0,0.76,0.45,9.97
"4","Kazakhstan","Anise, badian, fennel, coriander",0.00195,18319618,513000,"Import_kg",711,"Anise; badian; fennel; coriander",161,499.14,22708.57,20579.64,67109.71,15.01,0,0,1167.89,46.09,6.66,2130.36,34289.43,1.35,106.27,660.71,0.47,0.43,4.42,0.72,786.73,452.35,3.92,1209.43,15634.16,3774.2,0,0,14.31,9.67,0
"5","Kazakhstan","Apples",0.121111111111111,18319618,144426000,"Import_kg",515,"Apples",119,365.41,2020.64,1917.58,85176.29,94.51,0,0,50.45,4.56,0.42,669.54,9221.74,0.19,37.92,70.67,0.3,0.18,1.22,0.26,1055.83,30.38,0.23,253.87,55.33,426.37,0,0,550.07,1.67,65.09
"6","Kazakhstan","Apricots",0.03995,18319618,36663000,"Import_kg",526,"Apricots",125,247.47,5009.5,1281,57028.2,33.48,0.64,0,85.16,3.98,1.1,1461.11,6846.32,0.39,6.64,119.39,0.12,0.56,3.91,0.27,14.03,50.1,0.39,142.77,851.62,393.25,0,0,428.85,3.96,42.58
"7","Kazakhstan","Apricots, dry",0.03995,18319618,4095000,"Import_kg",527,"Apricots",125,27.64,559.53,143.08,6369.65,3.74,0,0,9.51,0.44,0.12,163.2,764.69,0,0.74,13.34,0,0,0.44,0,1.57,5.6,0,15.95,95.12,43.92,0,0,47.9,0.44,4.76
"8","Kazakhstan","Artichokes",0.1,18319618,1000,"Import_kg",366,"Artichokes",79,0,0.14,0,0.63,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Kazakhstan","Asparagus",0.0845294117647059,18319618,17000,"Import_kg",367,"Asparagus",80,0,2.37,0.22,3.34,0,0,0,0,0,0,0.24,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
"10","Kazakhstan","Avocados",0.048,18319618,118000,"Import_kg",572,"Avocados",141,1.95,21.58,189.04,58.24,0.17,0,0,0.28,0,0,6.84,58.82,0,0,2.28,0,0,0,0,0.19,0.41,0,32.09,106.58,22.33,0,0,1.03,0,0.51
"11","Kazakhstan","Bananas",0.04075,18319618,44914000,"Import_kg",486,"Bananas",117,606.08,7314.46,1398.82,140448.89,64.05,0.22,0.11,59.27,4.81,0.99,2044.38,9407.48,0.56,38.19,152.6,0.32,0.3,5.12,2.1,58.96,170.47,1.62,667.82,156.43,339.93,0,0,438.25,4.99,213.58
"12","Kazakhstan","Barley",0.04775,18319618,38485000,"Import_kg",44,"Barley",3,1514.05,40231.08,6122.23,328012.93,2.93,0,0,245.27,34.22,11.12,1132.87,36442.39,2.81,94.15,1286.73,1.16,0.57,23.52,1.27,166.3,341.69,6.25,1597.01,976.69,3669.17,0,0,51.66,8.06,0
"13","Kazakhstan","Beans, dry",0.1145,18319618,3863000,"Import_kg",176,"Beans",30,60.69,3921.23,252.84,10681.63,0.33,0,0,25.77,1.34,0.54,215.34,2284.12,0.16,2.88,71.23,0,0,0.37,0,20.33,31.84,0.24,56.93,25.28,87.58,0,0,2.16,0.7,0
"14","Kazakhstan","Beans, green",0.0843965476190476,18319618,235000,"Import_kg",414,"Beans; green",92,0.73,69.31,8.27,113.73,0.35,0,0,0.96,0,0,4.42,34.06,0,0.25,1.62,0,0,0,0,0.12,0.46,0,0.74,0.28,1.43,0,0,1.26,0,0.19
"15","Kazakhstan","Beet pulp",0.125770747489689,18319618,815000,"Import_kg",169,"Roots and tubers; nes",23,3.62,68.57,27.11,767.33,0.51,0,0,1.18,0.1,0,17.17,62.93,0,0.53,2.36,0,0,0,0,0.77,1.52,0,0.73,0.15,1.6,0,0,2.55,0,0.77
