"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Kenya","Almonds, with shell",0.0296505238073522,51392565,11000,"Import_kg",221,"Almonds; with shell",45,0.43,15.31,36.93,13.03,0,0,0,0.18,0,0,0.57,5.23,0,0,0.35,0,0,0,0,0,0.23,0,2.85,24.38,8.42,0,0,0,0,0
"2","Kenya","Anise, badian, fennel, coriander",0.00195,51392565,656000,"Production_kg/Import_kg",711,"Anise; badian; fennel; coriander",161,227.52,10351.24,9380.81,30590.6,6.84,0,0,532.36,21.01,3.04,971.08,15630.14,0.61,48.44,301.17,0.21,0.2,2.02,0.33,358.62,206.2,1.79,551.3,7126.51,1720.39,0,0,6.52,4.41,0
"3","Kenya","Apples",0.121111111111111,51392565,16326000,"Production_kg/Import_kg",515,"Apples",119,14.72,81.42,77.27,3432.17,3.81,0,0,2.03,0.18,0,26.98,371.59,0,1.53,2.85,0,0,0,0,42.54,1.22,0,10.23,2.23,17.18,0,0,22.17,0,2.62
"4","Kenya","Apricots",0.03995,51392565,99000,"Production_kg/Import_kg",526,"Apricots",125,0.24,4.82,1.23,54.89,0,0,0,0,0,0,1.41,6.59,0,0,0.11,0,0,0,0,0,0,0,0.14,0.82,0.38,0,0,0.41,0,0
"5","Kenya","Artichokes",0.1,51392565,29000,"Production_kg/Import_kg",366,"Artichokes",79,0,1.48,0,6.55,0,0,0,0,0,0,0.19,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Kenya","Asparagus",0.0845294117647059,51392565,271000,"Production_kg/Import_kg",367,"Asparagus",80,0.13,13.46,1.27,19,0.14,0,0,0.13,0,0,1.35,15.18,0,0,0.52,0,0,0,0,0,0,0,0.28,0,0.44,0,0,0.58,0,0.29
"7","Kenya","Avocados",0.048,51392565,364981000,"Production_kg/Import_kg",572,"Avocados",141,2155.35,23797.69,208431.99,64212.33,189.27,0.5,0.86,304.26,14.21,7.14,7546.22,64853.47,3.12,97.6,2511.53,0.93,2.07,20.49,4.52,210.1,447.56,2.1,35383.36,117509.31,24619.66,0,0,1137.67,17.36,562.23
"8","Kenya","Bananas",0.04075,51392565,1715770000,"Production_kg",486,"Bananas",117,8253.2,99603.69,19048.21,1912545.4,872.24,3.01,1.53,807.14,65.45,13.52,27839.06,128105.25,7.56,519.99,2077.99,4.38,4.14,69.76,28.59,802.89,2321.29,22.12,9093.98,2130.12,4628.92,0,0,5967.88,67.91,2908.44
"9","Kenya","Barley",0.04775,51392565,85893000,"Production_kg/Import_kg",44,"Barley",3,1204.54,32006.93,4870.71,260959.65,2.33,0,0,195.13,27.23,8.85,901.28,28992.74,2.24,74.9,1023.69,0.92,0.45,18.72,1.01,132.3,271.84,4.98,1270.55,777.03,2919.11,0,0,41.1,6.41,0
"10","Kenya","Beans, dry",0.1145,51392565,822830000,"Production_kg/Import_kg",176,"Beans",30,4607.69,297730.84,19197.78,811034.14,25.37,0,5.72,1956.48,101.96,40.84,16350.22,173428.58,12.2,218.42,5408.04,6.32,3.09,27.95,5.42,1543.74,2417.57,18.21,4322.34,1919.31,6649.75,0,0,163.93,53.42,0
"11","Kenya","Beans, green",0.0843965476190476,51392565,42009000,"Production_kg/Import_kg",414,"Beans; green",92,46.21,4416.3,527.3,7247.24,22.2,0,0,60.98,2.1,0.45,281.91,2170.19,0,16.06,103.25,0.12,0.96,0.85,0.13,7.85,29.06,0,47.14,17.76,91.04,0,0,80.5,1.1,12.01
"12","Kenya","Berries nes",0.109406559397488,51392565,617000,"Production_kg",558,"Berries; nes",138,0.62,10.21,4.95,140.76,0.51,0,0,0.4,0,0,1.81,31.6,0,0,0.25,0,0,0,0,0.11,0.18,0,0.2,0.46,2.39,0,0,0.94,0,0
"13","Kenya","Broad beans, horse beans, dry",0.052,51392565,1000,"Import_kg",181,"Broad beans; horse beans; dry",32,0,0.9,0,2.06,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Kenya","Cabbages and other brassicas",0.08324,51392565,829332000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,520.83,44029.59,5908.74,84962.7,1188.86,4.47,1.21,2379.08,33.55,6.61,5535.97,42783.67,3,762.02,1366.8,1.17,1.99,15.02,3.49,477.98,473.35,4.91,665.1,347.46,1703.02,0,0,1761.13,21.44,535.06
"15","Kenya","Carrots and turnips",0.0830718954248366,51392565,329025000,"Production_kg",426,"Carrots and turnips",96,233.01,10091.64,1804.56,45214.86,210.97,4.69,0.17,511.22,11.95,1.99,2242.94,15650.32,0.45,363.8,918.11,0.4,0.72,5.97,1.41,806.13,93.77,1.1,249.19,113.03,583.15,0,0,687.82,9.67,177.26
"16","Kenya","Cashew nuts, with shell",0.0289438420348059,51392565,12840000,"Production_kg/Import_kg",217,"Cashew nuts; with shell",43,469.77,15860.72,36328.97,20873.12,1.41,0,0,34.77,5.23,4.46,561.51,2296.1,1.83,79.79,406.13,0.46,0.13,1.13,0.38,0,261.26,1.15,6718.24,20541.43,6771.76,0,0,8.58,1.97,24.17
"17","Kenya","Cassava",0.108277777777778,51392565,970587000,"Production_kg",125,"Cassava",17,2425.95,31872.24,8279.11,541462.86,561.63,0.18,0.44,679.99,21.24,5.93,6558.17,25814.07,1.74,160.47,687.37,1.09,0.97,10.01,1.53,413.37,366.28,6.7,1517.45,1526.17,767.45,0,0,1095.84,24.52,366.28
"18","Kenya","Castor oil seed",0.0178426203877423,51392565,4e+06,"Production_kg",265,"Oilcrops Oil; Other",75,385.05,54.46,39653.05,23.68,0,0,0,0.75,0,0,0.79,0,0,0.2,0.75,0,0,0,0,1.88,0.16,0,9867.59,16073.01,14319.3,0,0,3.46,0,0
"19","Kenya","Cauliflowers and broccoli",0.103835520801038,51392565,10690000,"Production_kg/Import_kg",393,"Cauliflowers and broccoli",84,5.74,620.53,64.77,815.12,16.2,0.11,0,8.78,0.22,0,59.35,380.61,0,6,21.76,0,0,0.14,0,12.69,3.61,0,12.47,3.76,6.46,0,0,17.35,0.22,9.62
"20","Kenya","Cherries",0.1289,51392565,23000,"Import_kg",531,"Cherries",127,0,0.38,0,3.62,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
