"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Kenya","Anise, badian, fennel, coriander",0.00195,51392565,78000,"Production_kg",711,"Anise; badian; fennel; coriander",161,27.05,1230.79,1115.4,3637.3,0.81,0,0,63.3,2.5,0.36,115.46,1858.46,0,5.76,35.81,0,0,0.24,0,42.64,24.52,0.21,65.55,847.36,204.56,0,0,0.78,0.52,0
"2","Kenya","Apples",0.121111111111111,51392565,702000,"Production_kg",515,"Apples",119,0.63,3.5,3.32,147.58,0.16,0,0,0,0,0,1.16,15.98,0,0,0.12,0,0,0,0,1.83,0,0,0.44,0,0.74,0,0,0.95,0,0.11
"3","Kenya","Apricots",0.03995,51392565,82000,"Production_kg",526,"Apricots",125,0.2,3.99,1.02,45.47,0,0,0,0,0,0,1.16,5.46,0,0,0,0,0,0,0,0,0,0,0.11,0.68,0.31,0,0,0.34,0,0
"4","Kenya","Artichokes",0.1,51392565,19000,"Production_kg",366,"Artichokes",79,0,0.97,0,4.29,0,0,0,0,0,0,0.13,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Kenya","Asparagus",0.0845294117647059,51392565,269000,"Production_kg",367,"Asparagus",80,0.13,13.36,1.26,18.86,0.13,0,0,0.13,0,0,1.34,15.07,0,0,0.52,0,0,0,0,0,0,0,0.28,0,0.43,0,0,0.57,0,0.29
"6","Kenya","Avocados",0.048,51392565,364935000,"Production_kg",572,"Avocados",141,2155.08,23794.69,208405.72,64204.24,189.24,0.5,0.86,304.22,14.21,7.14,7545.27,64845.3,3.12,97.58,2511.21,0.93,2.07,20.49,4.51,210.07,447.51,2.1,35378.9,117494.5,24616.56,0,0,1137.53,17.36,562.16
"7","Kenya","Bananas",0.04075,51392565,1715770000,"Production_kg",486,"Bananas",117,8253.2,99603.69,19048.21,1912545.4,872.24,3.01,1.53,807.14,65.45,13.52,27839.06,128105.25,7.56,519.99,2077.99,4.38,4.14,69.76,28.59,802.89,2321.29,22.12,9093.98,2130.12,4628.92,0,0,5967.88,67.91,2908.44
"8","Kenya","Barley",0.04775,51392565,85781000,"Production_kg",44,"Barley",3,1202.97,31965.2,4864.36,260619.37,2.33,0,0,194.88,27.19,8.84,900.11,28954.93,2.23,74.81,1022.36,0.92,0.45,18.69,1.01,132.13,271.49,4.97,1268.89,776.02,2915.3,0,0,41.05,6.4,0
"9","Kenya","Beans, dry",0.1145,51392565,7.47e+08,"Production_kg",176,"Beans",30,4183.06,270292.69,17428.56,736291.22,23.03,0,5.19,1776.17,92.57,37.07,14843.42,157445.83,11.07,198.29,4909.65,5.74,2.8,25.37,4.92,1401.47,2194.77,16.53,3924,1742.43,6036.93,0,0,148.83,48.5,0
"10","Kenya","Beans, green",0.0843965476190476,51392565,40416000,"Production_kg",414,"Beans; green",92,44.46,4248.83,507.3,6972.42,21.36,0,0,58.67,2.02,0.43,271.22,2087.89,0,15.45,99.34,0.12,0.93,0.81,0.13,7.55,27.95,0,45.35,17.08,87.59,0,0,77.45,1.06,11.55
"11","Kenya","Berries nes",0.109406559397488,51392565,617000,"Production_kg",558,"Berries; nes",138,0.62,10.21,4.95,140.76,0.51,0,0,0.4,0,0,1.81,31.6,0,0,0.25,0,0,0,0,0.11,0.18,0,0.2,0.46,2.39,0,0,0.94,0,0
"12","Kenya","Cabbages and other brassicas",0.08324,51392565,829331000,"Production_kg",358,"Cabbages and other brassicas",78,520.83,44029.54,5908.73,84962.6,1188.86,4.47,1.21,2379.07,33.55,6.61,5535.96,42783.62,3,762.02,1366.79,1.17,1.99,15.02,3.49,477.98,473.35,4.91,665.1,347.46,1703.01,0,0,1761.13,21.44,535.06
"13","Kenya","Carrots and turnips",0.0830718954248366,51392565,329025000,"Production_kg",426,"Carrots and turnips",96,233.01,10091.64,1804.56,45214.86,210.97,4.69,0.17,511.22,11.95,1.99,2242.94,15650.32,0.45,363.8,918.11,0.4,0.72,5.97,1.41,806.13,93.77,1.1,249.19,113.03,583.15,0,0,687.82,9.67,177.26
"14","Kenya","Cashew nuts, with shell",0.0289438420348059,51392565,12802000,"Production_kg",217,"Cashew nuts; with shell",43,468.38,15813.78,36221.45,20811.34,1.41,0,0,34.67,5.21,4.45,559.85,2289.3,1.82,79.55,404.93,0.46,0.13,1.12,0.37,0,260.49,1.14,6698.36,20480.64,6751.72,0,0,8.56,1.96,24.1
"15","Kenya","Cassava",0.108277777777778,51392565,970587000,"Production_kg",125,"Cassava",17,2425.95,31872.24,8279.11,541462.86,561.63,0.18,0.44,679.99,21.24,5.93,6558.17,25814.07,1.74,160.47,687.37,1.09,0.97,10.01,1.53,413.37,366.28,6.7,1517.45,1526.17,767.45,0,0,1095.84,24.52,366.28
"16","Kenya","Castor oil seed",0.0178426203877423,51392565,4e+06,"Production_kg",265,"Oilcrops Oil; Other",75,385.05,54.46,39653.05,23.68,0,0,0,0.75,0,0,0.79,0,0,0.2,0.75,0,0,0,0,1.88,0.16,0,9867.59,16073.01,14319.3,0,0,3.46,0,0
"17","Kenya","Cauliflowers and broccoli",0.103835520801038,51392565,10680000,"Production_kg",393,"Cauliflowers and broccoli",84,5.74,619.94,64.71,814.35,16.18,0.11,0,8.77,0.22,0,59.3,380.26,0,5.99,21.74,0,0,0.14,0,12.68,3.6,0,12.46,3.75,6.45,0,0,17.33,0.22,9.61
"18","Kenya","Chick peas",0.04575,51392565,1306000,"Production_kg",191,"Chick peas",33,19.57,1080.03,279.61,3239.23,0.12,0,0,7.57,0.38,0.19,44.94,424,0,1.11,17.24,0,0,0,0,8.15,5.5,0.63,34.24,75.74,147.78,0,0,0.58,0.16,0
"19","Kenya","Chillies and peppers, dry",4e-04,51392565,2490000,"Production_kg",689,"Pimento",156,2912.63,124128.68,108117.49,497070.42,913.7,8.22,0.66,2512.94,88.42,32.01,22069.24,269143.02,7.99,5496.11,2251.97,3.38,5.28,66.83,20.88,623.8,1859.29,26.38,32098.51,20611.69,74678.51,0,0,339.5,72.48,0
"20","Kenya","Chillies and peppers, green",0.0664142191142191,51392565,2058000,"Production_kg",401,"Chillies and peppers; green",88,2.36,107.35,40.07,416.51,6.95,0,0,1.67,0,0,17,193.83,0,0.43,6.14,0,0,0,0,0.49,2.18,0,2.51,1.08,11,0,0,5.32,0,1
"21","Kenya","Cloves",0.0013,51392565,2387000,"Production_kg",698,"Cloves",157,856.28,15446.41,33346.14,161407.22,0.36,0,0,2003.15,30.76,8.29,3644.26,76636.57,1.31,989.67,290.59,0.28,0.39,2.79,1.4,133.62,925.36,214.82,14119.71,4976.91,12883.52,0,0,118.94,15.04,0
"22","Kenya","Coconuts",0.04,51392565,109889000,"Production_kg",249,"Coconuts - Incl Copra",58,1697.22,17934.77,150447.22,67263.29,12.82,0,0.1,99.77,15.34,8.82,1747.56,34508.62,2.74,113.22,562.59,0.34,0.17,3.62,0.22,64.68,154.93,20.05,159559.89,14232.58,3651.02,0,0,283.49,5.47,221.84
"23","Kenya","Coffee, green",0.00312,51392565,44500000,"Production_kg",656,"Coffee",152,5142.09,313728.92,414009.81,1004647.47,27.75,0.11,0.48,2859.73,95.89,14.73,61773.12,0,5.73,987.02,7888.19,4,13.87,307.72,0.65,1195.28,5185.52,10.57,919.45,6895.85,459.72,0,0,145.77,160.88,0
"24","Kenya","Cow peas, dry",0.0623254069051863,51392565,246870000,"Production_kg",195,"Cow peas; dry",34,2551.12,166994.26,11404.17,433839.26,7.39,0,3.11,744.49,59.58,32.33,7686.39,81761.73,6.7,198.7,3129.45,4.15,1.18,20.94,2.73,1143.38,1563.7,9.74,2551.12,816.97,4177.36,0,0,89.9,27.05,0
"25","Kenya","Cucumbers and gherkins",0.0675,51392565,5675000,"Production_kg",397,"Cucumbers and gherkins",86,2.28,105.56,19.34,413.94,1.62,0,0,2.62,0,0,23.32,106.72,0,1.09,5.93,0,0,0,0,0.98,2.04,0,5.48,0.41,4.25,0,0,15.67,0,2.54
"26","Kenya","Dates",0.0393863636363636,51392565,1100000,"Production_kg",577,"Dates",121,10.8,95.51,15.96,2769.34,0.37,0,0,2.26,0,0,32.8,268.46,0,0.11,4.37,0,0,0,0,0.44,2.19,0,0.87,0.98,0.52,0,0,2.05,0,0.94
"27","Kenya","Fruit, citrus nes",0.125066666666667,51392565,82380000,"Production_kg",512,"Citrus; Other",116,82.67,1403.44,403.73,18968.88,45.24,0,0,78.61,0.97,0.24,238.39,8330.93,0.12,8.33,11.54,0,0,0.27,0,10.77,25.63,0.17,132.01,197.38,219.17,0,0,107.29,0.65,8.97
"28","Kenya","Fruit, fresh nes",0.107099201828105,51392565,125541000,"Production_kg",619,"Fresh fruit; nes",147,205.28,3483.56,1737.34,43958.52,88.96,0.11,0,122.35,8.32,0.57,635.39,7920.81,0.26,25.46,95.43,0.14,0.13,2.28,0.2,159.26,72.79,0.48,279.18,192.35,265.85,0,0,172.65,2.08,63.48
"29","Kenya","Fruit, tropical fresh nes",0.1073859375,51392565,39078000,"Production_kg",603,"Fruit; tropical fresh; nes",146,66.32,1047.75,846.62,14703.13,76.06,0,0,22.92,1.24,0.27,177.82,2058.36,0,6.94,25.45,0.19,0.21,0.74,0.11,5.61,19.92,0.16,527.56,1166.79,266.77,0,0,53.99,0.54,27.94
"30","Kenya","Garlic",0.00732,51392565,2067000,"Production_kg",406,"Garlic",90,67.02,2791.8,137.53,14036.62,7.3,0,0,28.24,0.76,0.64,242.58,872.25,0.27,9.57,111.43,0,0,0.29,0.56,12.75,21.43,0.73,49.18,5.77,131.59,0,0,35.94,0.8,7.14
"31","Kenya","Ginger",0.02852,51392565,359000,"Production_kg",720,"Ginger",162,4.77,119.57,51.5,997.54,0,0,0,1.74,0.13,0,22.12,144.59,0,0.6,2.15,0,0,0,0,1.01,3.59,0.82,63.66,11.73,22.75,0,0,1.14,0,0
"32","Kenya","Grapefruit (inc. pomelos)",0.15,51392565,2353000,"Production_kg",507,"Grapefruit",115,1.1,21.5,4.64,245.12,1.2,0,0,0.57,0,0,5.8,30.86,0,0.22,0.64,0,0,0,0,0.24,0.23,0,0.37,0.35,0.67,0,0,2.73,0,1.37
"33","Kenya","Groundnuts, with shell",0.028,51392565,15463000,"Production_kg",242,"Groundnuts (Shelled Eq)",54,589.57,25320.62,47180.09,18296.82,1.53,0,0.13,64.37,3.8,2.99,748.38,8928.88,1.17,11.03,419.78,0.82,0.18,15.4,0.58,148.56,201.52,1.58,6747.24,26247.49,16718.19,0,0,9.07,2.94,0
"34","Kenya","Leeks, other alliaceous vegetables",0.083270092226614,51392565,305000,"Production_kg",407,"Leeks; other alliaceous veg.",91,0.34,15.27,2.12,68.42,0.14,0,0,0.44,0,0,1.32,13.26,0,0,0.53,0,0,0,0,0,0.41,0,0.54,0.26,1.19,0,0,0.61,0,0.2
"35","Kenya","Lemons and limes",0.0785,51392565,25899000,"Production_kg",497,"Lemons; Limes",114,24.22,486.65,268.04,5335.67,26.44,0,0,24.28,0.37,0.12,134.68,853.82,0.12,2.91,12.6,0,0,0.29,0,3.27,6.42,0,21.61,8.56,43.65,0,0,57.22,0.24,22.47
"36","Kenya","Lentils",0.0454634146341463,51392565,1616000,"Production_kg",201,"Lentils",36,22.71,1598.03,72.32,3881.39,0.12,0,0,4.77,0.65,0.2,57.68,797.11,0,0.79,22.57,0,0,0.15,0,13.67,5.3,0,9.82,12.21,30.29,0,0,0.79,0.19,0
"37","Kenya","Lettuce and chicory",0.0865961538461538,51392565,2591000,"Production_kg",372,"Lettuce and chicory",81,1.01,83.46,14.45,162.47,0.65,0,0,3.09,0,0,14.95,103.13,0,1.48,3.93,0,0,0,0,1.88,0.79,0,2.13,0.43,4.89,0,0,5.45,0,0.99
"38","Kenya","Linseed",0.0178426203877423,51392565,968000,"Production_kg",333,"Oilcrops; Other",62,55.05,2018.42,4104.95,2873.02,0.24,0,0,35.77,1.81,0.46,76.01,1303.72,0.13,3.49,58.27,0,0,0.33,0,4.62,35.13,0.31,463.98,1062.21,2787.18,0,0,0.61,0.46,2.45
