"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Kuwait","Almonds, with shell",0.0296505238073522,4137312,78000,"Import_kg",221,"Almonds; with shell",45,37.86,1348.6,3252.69,1148.1,0.66,0,0,15.43,0.2,0.23,50.06,460.98,0,0.31,30.69,0,0,0.25,0,3.31,20.44,0.13,251.22,2147.56,741.67,0,0,0.32,0.19,4.13
"2","Kuwait","Anise, badian, fennel, coriander",0.00195,4137312,2208000,"Import_kg",711,"Anise; badian; fennel; coriander",161,9512.73,432782.42,392209.07,1278984.26,286,0.65,0.32,22257.81,878.34,126.92,40600.72,653491.72,25.68,2025.25,12591.86,8.98,8.27,84.25,13.68,14993.67,8620.98,74.65,23049.5,297957.56,71929.09,0,0,272.63,184.24,0
"3","Kuwait","Apples",0.121111111111111,4137312,22371000,"Import_kg",515,"Apples",119,250.62,1385.89,1315.2,58419.37,64.82,0,0,34.6,3.13,0.29,459.22,6324.86,0.13,26.01,48.47,0.2,0.13,0.84,0.18,724.16,20.83,0.16,174.12,37.95,292.43,0,0,377.28,1.15,44.65
"4","Kuwait","Apricots",0.03995,4137312,1177000,"Import_kg",526,"Apricots",125,35.18,712.1,182.09,8106.55,4.76,0,0,12.11,0.57,0.16,207.7,973.2,0,0.94,16.97,0,0,0.56,0,1.99,7.12,0,20.29,121.06,55.9,0,0,60.96,0.56,6.05
"5","Kuwait","Artichokes",0.1,4137312,44000,"Import_kg",366,"Artichokes",79,0.59,27.83,1.86,123.39,0,0,0,0.89,0,0,3.64,26.23,0,1.13,1.04,0,0,0,0,0.37,0.64,0,0.46,0,0.66,0,0,0.92,0,0.64
"6","Kuwait","Asparagus",0.0845294117647059,4137312,95000,"Import_kg",367,"Asparagus",80,0.55,58.6,5.51,82.72,0.59,0,0,0.57,0,0,5.89,66.1,0,0.13,2.28,0,0,0,0,0.43,0.38,0,1.22,0.14,1.9,0,0,2.52,0,1.28
"7","Kuwait","Avocados",0.048,4137312,1826000,"Import_kg",572,"Avocados",141,133.95,1478.93,12953.2,3990.53,11.76,0,0,18.91,0.88,0.44,468.97,4030.38,0.19,6.07,156.08,0,0.13,1.27,0.28,13.06,27.81,0.13,2198.93,7302.72,1530.01,0,0,70.7,1.08,34.94
"8","Kuwait","Bananas",0.04075,4137312,73906000,"Import_kg",486,"Bananas",117,4415.96,53293.97,10191.94,1023326.93,466.7,1.61,0.82,431.87,35.02,7.23,14895.57,68544.02,4.04,278.22,1111.85,2.34,2.22,37.32,15.3,429.6,1242.03,11.84,4865.83,1139.74,2476.75,0,0,3193.17,36.34,1556.19
"9","Kuwait","Barley",0.04775,4137312,330399000,"Import_kg",44,"Barley",3,57555.37,1529350.54,232731.37,12469135.15,111.5,0,3.51,9323.78,1300.88,422.79,43064.99,1385326.73,106.92,3578.99,48913.93,43.98,21.63,894.28,48.33,6321.77,12989.18,237.76,60709.09,37127.87,139480.38,0,0,1963.81,306.39,0
"10","Kuwait","Beans, dry",0.1145,4137312,2795000,"Import_kg",176,"Beans",30,194.42,12562.54,810.04,34221.01,1.07,0,0.24,82.55,4.3,1.72,689.89,7317.7,0.51,9.22,228.19,0.27,0.13,1.18,0.23,65.14,102.01,0.77,182.38,80.98,280.58,0,0,6.92,2.25,0
