"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Kuwait","Barley",0.04775,4137312,333125000,"Production_kg/Import_kg",44,"Barley",3,58030.24,1541968.64,234651.55,12572013.38,112.42,0,3.54,9400.71,1311.62,426.28,43420.3,1396756.55,107.81,3608.52,49317.5,44.35,21.81,901.66,48.73,6373.93,13096.35,239.73,61209.98,37434.2,140631.18,0,0,1980.01,308.92,0
"2","Kuwait","Beans, green",0.0843965476190476,4137312,3611000,"Production_kg/Import_kg",414,"Beans; green",92,49.34,4715.48,563.02,7738.2,23.7,0,0,65.11,2.25,0.48,301.01,2317.21,0,17.15,110.25,0.13,1.03,0.9,0.14,8.38,31.02,0,50.33,18.96,97.21,0,0,85.95,1.17,12.82
"3","Kuwait","Cabbages and other brassicas",0.08324,4137312,22140000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,172.71,14600.77,1959.41,28174.71,394.24,1.48,0.4,788.93,11.13,2.19,1835.8,14187.61,1,252.7,453.25,0.39,0.66,4.98,1.16,158.5,156.97,1.63,220.56,115.22,564.74,0,0,584.01,7.11,177.43
"4","Kuwait","Carrots and turnips",0.0830718954248366,4137312,21370000,"Production_kg/Import_kg",426,"Carrots and turnips",96,187.99,8141.78,1455.89,36478.66,170.21,3.78,0.14,412.44,9.64,1.61,1809.57,12626.44,0.37,293.51,740.71,0.32,0.58,4.82,1.13,650.37,75.65,0.89,201.04,91.19,470.48,0,0,554.92,7.8,143.01
"5","Kuwait","Cauliflowers and broccoli",0.103835520801038,4137312,24187000,"Production_kg/Import_kg",393,"Cauliflowers and broccoli",84,161.38,17439.97,1820.41,22908.97,455.31,3.05,0.34,246.81,6.12,2.36,1668.12,10697.23,0.24,168.53,611.52,0.62,0.61,4.03,1.01,356.57,101.34,1.03,350.48,105.56,181.57,0,0,487.65,6.08,270.25
"6","Kuwait","Chillies and peppers, green",0.0664142191142191,4137312,33348000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,475.64,21608.69,8065.32,83836.72,1399.57,1.51,0.36,335.49,19.72,3.78,3421.57,39014.53,1.88,86.09,1236.44,1.53,1.46,14.41,4.31,98,437.84,2.87,506.09,216.54,2214.58,0,0,1071.27,10.73,200.93
"7","Kuwait","Cucumbers and gherkins",0.0675,4137312,82647000,"Production_kg/Import_kg",397,"Cucumbers and gherkins",86,413.13,19096.89,3499.07,74882.03,292.53,0.14,0.28,473.51,13.17,5.67,4218.8,19306.62,1.6,196.43,1073.4,0.78,0.94,5.64,1.18,177.56,369.93,2.34,991.4,73.99,769.45,0,0,2833.85,12.29,458.71
"8","Kuwait","Dates",0.0393863636363636,4137312,127590000,"Production_kg/Import_kg",577,"Dates",121,15565.71,137609.31,23000.13,3990082.71,529.07,0.35,1.54,3249.38,129.39,23.88,47253.04,386793.73,17.96,156.6,6293.23,5.38,9.47,128.79,13.94,634.22,3158.03,21.85,1252.77,1409.37,743.83,0,0,2959.19,104.92,1357.17
"9","Kuwait","Eggplants (aubergines)",0.082,4137312,37783000,"Production_kg/Import_kg",399,"Eggplants (aubergines)",87,303.77,12854.87,8059.4,58921.01,73.47,0,0.31,190.6,6.78,2.13,2236.53,23085.2,1.12,59.72,487.7,0.56,1.01,14.35,0.97,327.98,142.92,2.58,300.7,144.78,645.94,0,0,1022.02,13.32,228.31
"10","Kuwait","Fruit, fresh nes",0.107099201828105,4137312,16515000,"Production_kg/Import_kg",619,"Fresh fruit; nes",147,335.45,5692.44,2838.96,71832.02,145.37,0.18,0,199.93,13.59,0.93,1038.27,12943.29,0.42,41.61,155.94,0.23,0.21,3.73,0.33,260.25,118.94,0.78,456.2,314.32,434.42,0,0,282.13,3.4,103.74
"11","Kuwait","Garlic",0.00732,4137312,11082000,"Production_kg/Import_kg",406,"Garlic",90,4463.47,185927.9,9159.31,934807.79,486.13,0,0.13,1880.84,50.86,42.65,16155.47,58090.15,17.66,637.44,7421.11,5.16,2.95,19.6,37.05,848.94,1427.1,48.89,3275,384.22,8763.84,0,0,2393.43,53.04,475.7
"12","Kuwait","Grapes",0.1235,4137312,9043000,"Production_kg/Import_kg",560,"Grapes",122,108.88,950.07,419.12,25850.16,9.09,0,0,26.45,1.09,0.13,320.69,3741.89,0.17,5.69,35.99,0,0.24,0.39,0.17,9.91,47.78,1.22,211.2,24.19,165.18,0,0,147.34,0.84,24.78
"13","Kuwait","Lemons and limes",0.0785,4137312,25404000,"Production_kg/Import_kg",497,"Lemons; Limes",114,295.12,5929.53,3265.87,65011.45,322.11,0,0,295.89,4.55,1.47,1641.01,10403.17,1.48,35.5,153.49,0.28,0.22,3.53,0.45,39.89,78.22,0.15,263.34,104.29,531.89,0,0,697.22,2.86,273.77
"14","Kuwait","Lettuce and chicory",0.0865961538461538,4137312,31688000,"Production_kg/Import_kg",372,"Lettuce and chicory",81,152.84,12678.73,2195.07,24682.87,98.15,1.59,0.68,469.87,10.29,3.61,2270.87,15667.57,0.63,224.16,596.77,0.52,0.68,3.66,0.74,285.24,120.68,2.06,322.83,65.6,742.21,0,0,827.59,9.26,150.36
"15","Kuwait","Maize",0.0869363057324841,4137312,238929000,"Production_kg/Import_kg",56,"Maize",4,23472.24,574127.09,227372.15,4794223.75,45.55,1.47,1.55,1386.03,216.16,119.2,19569.97,344021.83,11.99,620.8,14540.28,17.72,7.86,171.34,23.54,0,7284.97,16.11,39308.61,85542.31,160472.79,0,0,827.76,83.38,0
"16","Kuwait","Melons, other (inc.cantaloupes)",0.179843076923077,4137312,12027000,"Production_kg/Import_kg",568,"Other melons (inc. cantaloupes)",111,46.06,874.79,245.83,10400.02,37.53,0,0,24.67,0.86,0.18,413.39,1108.38,0,19.63,26.53,0,0,0.77,0.15,12.28,17.46,0,61.42,4.31,96.44,0,0,149.47,0.77,77.05
"17","Kuwait","Okra",0.0853823529411765,4137312,3474000,"Production_kg",430,"Okra",97,31.68,1814.59,150.59,6379.71,19.52,0,0,71.04,0.59,0.41,219.63,2655.26,0,10.54,51.98,0,0,0.89,0.21,12.1,34.42,0.77,25.57,16.72,26.55,0,0,88.3,0.75,16.23
"18","Kuwait","Olives",0.014,4137312,158000,"Production_kg/Import_kg",260,"Olives",61,26.73,259.82,4313.32,1618.94,0.22,0,0,20.73,0.73,0,2.32,777.42,0,200.49,4.5,0,0,0,0,2.3,1.09,0,316.97,1767.47,204.18,0,0,20.3,0.77,0
"19","Kuwait","Onions, dry",0.093304347826087,4137312,88384000,"Production_kg/Import_kg",403,"Onions",77,904.06,26350.84,3217.83,191287.04,203.57,0,0.31,949.01,16.3,9.02,2958.12,32511.86,0.63,229.97,1194.18,0.77,0.84,5.51,2.51,139.66,273.22,1.48,778.45,557.13,1274.53,0,0,2065.6,11.89,183.17
"20","Kuwait","Oranges",0.138371428571429,4137312,46527000,"Production_kg/Import_kg",490,"Oranges; Mandarines",113,359.2,6446.37,1864.74,81264.15,375.24,0.45,0.2,256.71,3.93,0.5,1366.11,10934.76,0.36,21.93,175.94,0.56,0.34,14.37,0.57,88.32,86.15,0.24,170.67,249.91,264.13,0,0,706.46,3.46,217.81
"21","Kuwait","Potatoes",0.133867924528302,4137312,103535000,"Production_kg/Import_kg",116,"Potatoes",18,1499.08,38458.44,2540.71,334944.48,298.97,0,0.28,171.46,19.69,7.77,6991.71,25196.27,1.65,196.55,904.92,1.49,1.21,25.75,4.6,654.28,461.11,2.07,549.59,26.17,766.44,0,0,1427.58,19.72,415.93
"22","Kuwait","Pumpkins, squash and gourds",0.100019949494949,4137312,22693000,"Production_kg/Import_kg",394,"Pumpkins; squash; and gourds",85,117.38,5575.27,974.8,21968.47,94.28,1.21,0.13,152.83,5.37,1.16,995.21,8645.56,0.56,39.59,347.44,0.2,0.34,4.08,0.73,220.59,121.91,0.33,300.39,72.51,146.24,0,0,511.12,3.08,119.27
"23","Kuwait","Spices nes",0.00767204314204314,4137312,4829000,"Production_kg/Import_kg",723,"Spices; nes",163,3586.89,150943.82,106561.49,588875.64,623.56,3.31,2.46,11225.53,381.08,48.25,16916.13,255289.22,11.07,891.92,2987.92,3.63,5.35,73.7,13.43,2216.47,3931.66,89.1,25968.76,46851.11,29444.38,0,0,562.99,84.92,153.4
"24","Kuwait","Spinach",0.0856063829787234,4137312,952000,"Production_kg/Import_kg",373,"Spinach",82,6.34,690.79,120.79,761.5,10.18,0,0,34.44,1.1,0.15,131.47,542.96,0,27.21,14.21,0,0,0.18,0,5.19,17.56,0.19,12.5,2.69,23.52,0,0,24.49,0.49,7.53
"25","Kuwait","Strawberries",0.127327819548872,4137312,2807000,"Production_kg/Import_kg",544,"Strawberries",132,18.47,464.91,198.93,3968.93,31.84,0,0,12.47,0.55,0,72.73,812.59,0,1.19,12.91,0,0,0.25,0,3.04,6.93,0.21,9.32,24.78,70.6,0,0,47.95,0.21,2.66
"26","Kuwait","Tomatoes",0.0714285714285714,4137312,156742000,"Production_kg/Import_kg",388,"Tomatoes",76,1059.01,50551.2,13363.93,192996.63,1222.51,3.39,1.17,795.5,53.71,10.13,10399.18,60773.83,3.58,591.21,2138.13,2.59,2.23,42.78,4.38,355.36,689.51,3.02,1538.13,1617.69,4322.68,0,0,4985.08,28.31,344.75
"27","Kuwait","Vegetables, fresh nes",0.075156077445368,4137312,69315000,"Production_kg/Import_kg",463,"Vegetables; fresh; nes",101,1054.72,71137.15,14882.2,178245.44,1057.27,6.95,1.64,4413.66,91.41,12.48,8689.58,105400.29,3.59,1058.67,1761.91,2.04,4.43,22.92,4.87,487.11,1146.23,14.38,1527.21,1459.88,2909.76,0,0,1889.81,36.39,558.01
"28","Kuwait","Vegetables, leguminous nes",0.0561030012218987,4137312,174000,"Production_kg",420,"Leguminous vegetables; nes",94,5.75,528.86,141.12,765.18,0.97,0,0,4.33,0.15,0,24.89,562.22,0,0.75,9.67,0,0,0.17,0,0,2.47,0,8.85,7.8,25.64,0,0,5.98,0,0.22
"29","Kuwait","Watermelons",0.193615384615385,4137312,17702000,"Production_kg/Import_kg",567,"Watermelons",110,52.42,1116.26,316.18,11560.32,14.14,0,0,18.08,2.19,0.17,214.91,632.02,0,8.36,80,0,0,0.3,0.13,9.06,21.6,0,35.36,81.76,110.49,0,0,206.07,0.55,102.76
"30","Kuwait","Wheat",0.0442045454545455,4137312,587769000,"Production_kg/Import_kg",15,"Wheat",1,108246.14,3677011.18,590539.32,22288332.32,107.13,0,13.02,13671.5,1264.24,792.43,109948.33,1626192.64,151.05,2384.65,98460.72,106.91,65.88,1481,181.26,10027.12,43948.98,864.2,138194.24,90951.09,375052.73,0,0,3584.48,607.87,0
