"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Lao People's Democratic Republic","Chillies and peppers, dry",4e-04,7061507,1000,"Import_kg",689,"Pimento",156,8.51,362.81,316.01,1452.85,2.67,0,0,7.34,0.26,0,64.5,786.66,0,16.06,6.58,0,0,0.2,0,1.82,5.43,0,93.82,60.24,218.27,0,0,0.99,0.21,0
"2","Lao People's Democratic Republic","Chillies and peppers, green",0.0664142191142191,7061507,48000,"Import_kg",401,"Chillies and peppers; green",88,0.4,18.22,6.8,70.7,1.18,0,0,0.28,0,0,2.89,32.9,0,0,1.04,0,0,0,0,0,0.37,0,0.43,0.18,1.87,0,0,0.9,0,0.17
"3","Lao People's Democratic Republic","Grapefruit (inc. pomelos)",0.15,7061507,1962000,"Import_kg",507,"Grapefruit",115,6.7,130.45,28.15,1487.54,7.29,0,0,3.44,0,0,35.22,187.29,0,1.35,3.86,0,0,0,0,1.43,1.42,0,2.22,2.13,4.08,0,0,16.59,0,8.29
"4","Lao People's Democratic Republic","Lemons and limes",0.0785,7061507,79000,"Import_kg",497,"Lemons; Limes",114,0.54,10.8,5.95,118.45,0.59,0,0,0.54,0,0,2.99,18.95,0,0,0.28,0,0,0,0,0,0.14,0,0.48,0.19,0.97,0,0,1.27,0,0.5
"5","Lao People's Democratic Republic","Maize",0.0869363057324841,7061507,2197000,"Import_kg",56,"Maize",4,126.46,3093.07,1224.95,25828.57,0.25,0,0,7.47,1.16,0.64,105.43,1853.4,0,3.34,78.33,0,0,0.92,0.13,0,39.25,0,211.77,460.85,864.54,0,0,4.46,0.45,0
"6","Lao People's Democratic Republic","Mangoes, mangosteens, guavas",0.09628125,7061507,23246000,"Import_kg",571,"Mangos; mangosteens; guavas",140,209.84,2568.56,845.04,47170.05,295.8,0.44,0,60.44,1.81,0.46,614.49,9117.54,0.25,36.23,65.46,0.16,0.19,3.95,0.4,25.98,155.57,0.18,522.44,257.8,575.77,0,0,283.77,2.03,90.61
"7","Lao People's Democratic Republic","Melons, other (inc.cantaloupes)",0.179843076923077,7061507,139000,"Import_kg",568,"Other melons (inc. cantaloupes)",111,0.31,5.92,1.66,70.42,0.25,0,0,0.17,0,0,2.8,7.51,0,0.13,0.18,0,0,0,0,0,0.12,0,0.42,0,0.65,0,0,1.01,0,0.52
"8","Lao People's Democratic Republic","Nutmeg, mace and cardamoms",0.021,7061507,1000,"Import_kg",702,"Nutmeg; mace; and cardamoms",160,0.27,5.94,13.44,34.08,0,0,0,0.12,0,0,0.43,11.78,0,0,0,0,0,0,0,0.53,0.14,0,8.12,3.43,1.16,0,0,0,0,0
"9","Lao People's Democratic Republic","Oranges",0.138371428571429,7061507,281000,"Import_kg",490,"Oranges; Mandarines",113,1.27,22.81,6.6,287.56,1.33,0,0,0.91,0,0,4.83,38.69,0,0,0.62,0,0,0,0,0.31,0.3,0,0.6,0.88,0.93,0,0,2.5,0,0.77
"10","Lao People's Democratic Republic","Papayas",0.151,7061507,13000,"Import_kg",600,"Papayas",145,0,0.91,0.17,9.4,0,0,0,0,0,0,0.21,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0
"11","Lao People's Democratic Republic","Pineapples",0.1096,7061507,5000,"Import_kg",574,"Pineapples",120,0,0.3,0.14,7.14,0,0,0,0,0,0,0.1,0.54,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0
"12","Lao People's Democratic Republic","Potatoes",0.133867924528302,7061507,5220000,"Import_kg",116,"Potatoes",18,44.28,1136.05,75.05,9894.12,8.83,0,0,5.06,0.58,0.23,206.53,744.29,0,5.81,26.73,0,0,0.76,0.14,19.33,13.62,0,16.23,0.77,22.64,0,0,42.17,0.58,12.29
"13","Lao People's Democratic Republic","Rice, paddy",0.0488821264103023,7061507,1178000,"Import_kg",27,"Rice (Milled Equivalent)",2,120.85,2537.08,364.13,26521.04,0,0,0,11.79,0.75,0.42,42.76,569.99,0,3.2,53.31,0,0,1.14,0,0,19.91,0.34,42.83,61.6,57.33,0,0,4.01,0.29,0
"14","Lao People's Democratic Republic","Rice, paddy (rice milled equivalent)",0.0488821264103023,7061507,91839000,"Import_kg",30,"Rice (Milled Equivalent)",2,9421.59,197795.48,28387.91,2067627.66,0.92,0,0.51,919.1,58.5,33,3333.32,44437.52,3.98,249.14,4156.34,4.72,1.45,88.97,5.92,0,1552.02,26.7,3339.05,4802.38,4469.81,0,0,312.55,22.84,0
"15","Lao People's Democratic Republic","Roots and tubers nes",0.125770747489689,7061507,28000,"Import_kg",149,"Roots and tubers; nes",23,0.32,6.11,2.42,68.39,0,0,0,0.11,0,0,1.53,5.61,0,0,0.21,0,0,0,0,0,0.14,0,0,0,0.14,0,0,0.23,0,0
"16","Lao People's Democratic Republic","Sesame seed",0.0154423214285714,7061507,1000,"Import_kg",289,"Sesameseed",59,0.53,18,44.44,15,0,0,0,0.74,0,0,0.44,10.96,0,0,0.55,0,0,0,0,0,0.32,0,7.41,20,21.59,0,0,0,0,0
"17","Lao People's Democratic Republic","Soybeans",0.071,7061507,171000,"Import_kg",236,"Soyabeans",53,13.79,1206.7,593.87,811.52,0.11,0,0,8.1,0.3,0.14,51.18,335.81,0,0.33,20.63,0,0,0,0,3.95,8.1,0,98.3,149.29,361.28,0,0,0.31,0.17,0
"18","Lao People's Democratic Republic","Sweet potatoes",0.10804347826087,7061507,114688000,"Import_kg",122,"Sweet Potatoes",19,1649.9,19683.81,3622.34,379565.94,360.8,5.68,0.63,511.81,21.61,3.76,3893.77,33702.15,1.39,287.96,611.07,1.31,0.68,11.22,3.57,184.9,299.14,1.94,1192.55,205.44,2074.44,0,0,1064.1,15.34,341.98
"19","Lao People's Democratic Republic","Tangerines, mandarins, clementines, satsumas",0.138371428571429,7061507,233000,"Import_kg",495,"Oranges; Mandarines",113,1.05,18.91,5.47,238.44,1.1,0,0,0.75,0,0,4.01,32.08,0,0,0.52,0,0,0,0,0.26,0.25,0,0.5,0.73,0.77,0,0,2.07,0,0.64
"20","Lao People's Democratic Republic","Tea",0.0019,7061507,269000,"Import_kg",667,"Tea",154,12.49,7518.52,902.22,3747.98,45.11,0,0,335.83,18.67,0.25,462.25,0,0.12,37.48,197.72,0.11,0.44,2,0,5,37.48,2.74,24.99,12.49,49.97,0,0,32.08,8.87,0
"21","Lao People's Democratic Republic","Vegetables, fresh nes",0.075156077445368,7061507,168000,"Import_kg",463,"Vegetables; fresh; nes",101,1.5,101.02,21.13,253.12,1.5,0,0,6.27,0.13,0,12.34,149.67,0,1.5,2.5,0,0,0,0,0.69,1.63,0,2.17,2.07,4.13,0,0,2.68,0,0.79
"22","Lao People's Democratic Republic","Watermelons",0.193615384615385,7061507,10000,"Import_kg",567,"Watermelons",110,0,0.37,0.1,3.83,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
