"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Latvia","Apples",0.121111111111111,1928459,22320000,"Import_kg",515,"Apples",119,536.46,2966.5,2815.19,125047.07,138.75,0,0,74.06,6.7,0.61,982.96,13538.4,0.28,55.67,103.76,0.43,0.27,1.79,0.39,1550.07,44.6,0.33,372.7,81.23,625.95,0,0,807.56,2.46,95.57
"2","Latvia","Barley",0.04775,1928459,29901000,"Import_kg",44,"Barley",3,11174.82,296935.34,45186.61,2420979.9,21.65,0,0.68,1810.28,252.58,82.09,8361.4,268972,20.76,694.89,9497.02,8.54,4.2,173.63,9.38,1227.42,2521.95,46.16,11787.14,7208.67,27081.2,0,0,381.29,59.49,0
"3","Latvia","Blueberries",0.134028846153846,1928459,1364000,"Import_kg",552,"Blueberries",136,30.08,390.51,174.15,7646.7,5.12,0,0,3.17,0.15,0,40.63,1266.53,0,0.53,6.33,0,0,0.22,0,3.17,3.17,0.18,14.78,24.8,77.05,0,0,44.44,0.13,2.64
"4","Latvia","Broad beans, horse beans, dry",0.052,1928459,11941000,"Import_kg",181,"Broad beans; horse beans; dry",32,3983.12,285757.72,18913.36,654902.24,32.43,0,5.04,1179.99,96.16,41.58,14208.24,230611.96,9.79,217.12,4542.43,4.61,3.44,31.37,4.38,1140.76,2280.32,19.36,3000.73,3590.16,7186.28,0,0,124.15,35.78,321.51
"5","Latvia","Cabbages and other brassicas",0.08324,1928459,7557000,"Import_kg",358,"Cabbages and other brassicas",78,126.48,10691.92,1434.85,20631.9,288.7,1.08,0.29,577.72,8.15,1.61,1344.33,10389.36,0.73,185.05,331.91,0.29,0.48,3.65,0.85,116.07,114.95,1.19,161.51,84.38,413.55,0,0,427.66,5.21,129.93
"6","Latvia","Carrots and turnips",0.0830718954248366,1928459,10754000,"Import_kg",426,"Carrots and turnips",96,202.96,8790.07,1571.82,39383.31,183.76,4.09,0.15,445.28,10.41,1.73,1953.66,13631.84,0.39,316.88,799.69,0.34,0.63,5.2,1.22,702.16,81.67,0.96,217.05,98.45,507.94,0,0,599.11,8.42,154.4
"7","Latvia","Cauliflowers and broccoli",0.103835520801038,1928459,2783000,"Import_kg",393,"Cauliflowers and broccoli",84,39.84,4305.12,449.37,5655.16,112.39,0.75,0,60.93,1.51,0.58,411.78,2640.65,0,41.6,150.96,0.15,0.15,1,0.25,88.02,25.02,0.25,86.52,26.06,44.82,0,0,120.38,1.5,66.71
"8","Latvia","Cucumbers and gherkins",0.0675,1928459,8260000,"Import_kg",397,"Cucumbers and gherkins",86,88.58,4094.71,750.26,16056.04,62.72,0,0,101.53,2.82,1.22,904.59,4139.68,0.34,42.12,230.16,0.17,0.2,1.21,0.25,38.07,79.32,0.5,212.57,15.86,164.98,0,0,607.63,2.64,98.36
"9","Latvia","Currants",0.038,1928459,42000,"Import_kg",550,"Currants",135,7.18,103.16,14.47,1713.38,5.79,0,0,3.91,0.17,0,17.11,151.88,0,0,4.07,0,0,0,0,0.44,1.06,0,1.46,2.46,7.65,0,0,3.81,0,0.11
"10","Latvia","Garlic",0.00732,1928459,1230000,"Import_kg",406,"Garlic",90,1062.84,44273.04,2181.01,222595.9,115.76,0,0,447.86,12.11,10.16,3846.93,13832.39,4.21,151.79,1767.11,1.23,0.7,4.67,8.82,202.15,339.82,11.64,779.84,91.49,2086.84,0,0,569.92,12.63,113.27
