"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Latvia","Apples",0.121111111111111,1928459,32710000,"Production_kg/Import_kg",515,"Apples",119,786.18,4347.42,4125.67,183256.7,203.34,0,0,108.54,9.82,0.9,1440.52,19840.56,0.41,81.58,152.06,0.64,0.4,2.62,0.56,2271.63,65.36,0.49,546.2,119.04,917.33,0,0,1183.48,3.6,140.05
"2","Latvia","Barley",0.04775,1928459,335301000,"Production_kg/Import_kg",44,"Barley",3,125311.18,3329745.4,506709.34,27148154.97,242.75,0,7.65,20300,2832.32,920.51,93762.31,3016172.67,232.8,7792.29,106496.79,95.76,47.1,1947.05,105.23,13763.94,28280.41,517.67,132177.55,80835.86,303680.65,0,0,4275.66,667.08,0
"3","Latvia","Berries nes",0.109406559397488,1928459,480000,"Production_kg",558,"Berries; nes",138,12.88,211.74,102.54,2918.18,10.54,0,0,8.34,0.35,0,37.61,655.21,0,1.37,5.12,0,0,0.11,0,2.22,3.7,0.22,4.1,9.56,49.65,0,0,19.53,0.11,0.18
"4","Latvia","Blueberries",0.134028846153846,1928459,1834000,"Production_kg/Import_kg",552,"Blueberries",136,40.45,525.08,234.16,10281.56,6.88,0,0,4.26,0.2,0.11,54.64,1702.95,0,0.71,8.51,0,0,0.3,0,4.26,4.26,0.24,19.87,33.35,103.6,0,0,59.75,0.17,3.55
"5","Latvia","Broad beans, horse beans, dry",0.052,1928459,85441000,"Production_kg/Import_kg",181,"Broad beans; horse beans; dry",32,28500.25,2044671.75,135330.04,4685997.99,232.01,0.46,36.04,8443.17,688.03,297.53,101663.68,1650089.29,70.04,1553.53,32502.27,32.95,24.62,224.43,31.35,8162.4,16316.29,138.54,21471.04,25688.57,51419.74,0,0,888.33,256.01,2300.47
"6","Latvia","Cabbages and other brassicas",0.08324,1928459,30657000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,513.08,43374.63,5820.85,83698.84,1171.18,4.4,1.19,2343.69,33.05,6.51,5453.62,42147.24,2.96,750.69,1346.46,1.16,1.96,14.8,3.44,470.87,466.31,4.84,655.21,342.29,1677.68,0,0,1734.93,21.13,527.1
"7","Latvia","Carrots and turnips",0.0830718954248366,1928459,24704000,"Production_kg/Import_kg",426,"Carrots and turnips",96,466.23,20192.49,3610.77,90471.01,422.14,9.39,0.34,1022.9,23.92,3.98,4487.92,31314.94,0.91,727.92,1837.05,0.79,1.44,11.95,2.81,1613,187.62,2.21,498.6,226.17,1166.83,0,0,1376.27,19.35,354.68
"8","Latvia","Cauliflowers and broccoli",0.103835520801038,1928459,3083000,"Production_kg/Import_kg",393,"Cauliflowers and broccoli",84,44.13,4769.2,497.81,6264.77,124.51,0.83,0,67.49,1.67,0.65,456.17,2925.3,0,46.09,167.23,0.17,0.17,1.1,0.28,97.51,27.71,0.28,95.84,28.87,49.65,0,0,133.35,1.66,73.9
"9","Latvia","Cereals nes",0.0486257263475995,1928459,13500000,"Production_kg",108,"Cereals; nes",13,5013.58,187505.17,66261.51,1058017.6,15.48,0,0,2090.22,319.25,54.73,6147.31,45451.84,11.66,112.29,5479.63,5.17,3.82,20.99,6.94,188.59,2648.96,133.02,6464.03,8479.55,15418.66,0,0,157.12,56.43,0
"10","Latvia","Cucumbers and gherkins",0.0675,1928459,15510000,"Production_kg/Import_kg",397,"Cucumbers and gherkins",86,166.33,7688.74,1408.79,30148.81,117.78,0,0.11,190.64,5.3,2.28,1698.56,7773.18,0.64,79.09,432.17,0.31,0.38,2.27,0.48,71.49,148.94,0.94,399.16,29.79,309.79,0,0,1140.96,4.95,184.68
